date,code,open,close,high,low,volume
2022-11-21,300142,46.49,45.89,46.52,45.26,39571030
2022-11-22,300142,45.59,43.92,46.19,43.45,37184845
2022-11-23,300142,43.75,43.09,44.09,42.43,21573771
2022-11-24,300142,43.2,44.0,44.19,43.18,18839289
2022-11-25,300142,43.8,43.34,43.98,42.78,15219387
2022-11-28,300142,42.9,43.41,44.29,42.83,16970101
2022-11-29,300142,43.02,45.12,45.3,42.87,31340178
2022-11-30,300142,44.39,42.27,44.39,41.11,33538010
2022-12-01,300142,42.26,40.84,42.58,39.73,47542927
2022-12-02,300142,40.84,41.01,41.26,40.48,17371382
2022-12-05,300142,40.35,39.43,40.5,38.9,36164291
2022-12-06,300142,39.22,39.21,39.63,38.9,17749666
2022-12-07,300142,38.98,39.32,39.5,38.55,17550627
2022-12-08,300142,39.58,40.2,40.59,39.33,25351504
2022-12-09,300142,40.0,40.7,41.08,39.61,24750478
2022-12-12,300142,40.32,40.13,40.89,39.86,17052435
2022-12-13,300142,39.9,42.09,43.7,39.5,42408017
2022-12-14,300142,42.09,41.25,42.26,41.12,20012461
2022-12-15,300142,41.0,40.11,41.29,40.0,18260687
2022-12-16,300142,39.91,40.51,40.86,39.89,15553708
2022-12-19,300142,40.9,39.34,40.95,39.02,13841606
2022-12-20,300142,39.3,39.7,40.32,39.01,12101905
2022-12-21,300142,40.29,39.88,40.34,39.7,10984140
2022-12-22,300142,39.83,39.29,40.1,39.1,10577885
2022-12-23,300142,38.99,39.98,40.6,38.91,15239241
2022-12-26,300142,39.75,39.79,40.1,39.4,8691949
2022-12-27,300142,39.85,39.02,39.95,38.39,17087552
2022-12-28,300142,38.75,39.1,39.58,38.73,11088209
2022-12-29,300142,38.99,39.87,40.47,38.87,18837242
2022-12-30,300142,40.0,40.19,40.85,39.64,13935514
2023-01-03,300142,40.0,39.98,40.49,39.63,13682333
2023-01-04,300142,39.8,39.38,39.9,39.18,14515308
2023-01-05,300142,39.55,40.25,40.56,39.21,22879736
2023-01-06,300142,40.22,39.98,40.48,39.81,12514261
2023-01-09,300142,39.99,39.8,40.29,39.62,12688729
2023-01-10,300142,39.7,39.88,40.25,39.39,13863956
2023-01-11,300142,39.7,39.38,40.54,39.2,19432034
2023-01-12,300142,39.13,38.23,39.36,38.16,19887793
2023-01-13,300142,38.23,39.26,39.26,38.12,16640953
2023-01-16,300142,39.2,40.82,41.58,39.02,38095151
2023-01-17,300142,40.88,40.64,41.13,40.54,11543541
2023-01-18,300142,40.6,40.26,40.76,40.13,9174345
2023-01-19,300142,40.27,40.99,41.24,39.85,15306346
2023-01-20,300142,41.06,40.81,41.2,40.64,10837520
2023-01-30,300142,40.81,40.38,41.32,40.16,17568600
2023-01-31,300142,40.5,39.97,40.58,39.93,14017762
2023-02-01,300142,40.1,40.28,40.3,39.63,14400163
2023-02-02,300142,40.45,40.52,40.88,40.2,14902632
2023-02-03,300142,40.52,40.45,41.2,40.01,14203285
2023-02-06,300142,40.16,39.53,40.29,39.44,14647630
2023-02-07,300142,39.6,39.55,39.82,39.27,11018787
2023-02-08,300142,39.6,39.11,39.67,39.09,9583103
2023-02-09,300142,39.03,39.51,39.58,38.88,11007505
2023-02-10,300142,39.49,39.25,39.74,39.04,8779105
2023-02-13,300142,39.29,39.11,39.55,39.05,11978164
2023-02-14,300142,39.14,39.06,39.3,38.78,10155805
2023-02-15,300142,38.9,38.4,39.13,38.39,15574719
2023-02-16,300142,38.35,37.7,38.83,37.5,15965413
2023-02-17,300142,37.69,38.2,38.62,37.51,15263380
2023-02-20,300142,38.5,38.7,38.82,38.25,12435834
2023-02-21,300142,38.52,38.86,39.2,38.52,11249790
2023-02-22,300142,38.69,39.04,39.25,38.62,7960715
2023-02-23,300142,39.04,38.48,39.28,38.41,9348178
2023-02-24,300142,38.43,38.55,38.59,38.28,7558906
2023-02-27,300142,38.5,37.96,38.7,37.91,8631018
2023-02-28,300142,37.81,38.27,38.29,37.81,6560189
