date,code,open,close,high,low,volume
2022-11-23,300308,29.35,29.14,29.49,28.68,9482706.0
2022-11-24,300308,29.14,29.06,29.63,28.9,5873163.0
2022-11-25,300308,29.05,28.58,29.05,28.54,5057242.0
2022-11-28,300308,28.0,28.12,28.38,27.8,7425927.0
2022-11-29,300308,28.09,29.0,29.2,28.09,9254057.0
2022-11-30,300308,28.99,28.63,29.04,28.52,6080455.0
2022-12-01,300308,28.8,28.45,29.15,28.37,9154818.0
2022-12-02,300308,28.45,28.61,28.9,28.41,6526464.0
2022-12-05,300308,28.85,28.68,28.95,28.5,6369074.0
2022-12-06,300308,28.56,28.58,28.88,28.5,4651913.0
2022-12-07,300308,28.49,28.12,28.58,27.89,9128477.0
2022-12-08,300308,28.03,28.16,28.47,27.83,7569544.0
2022-12-09,300308,28.11,28.18,28.27,27.72,9779960.0
2022-12-12,300308,28.1,28.59,28.8,27.96,7842326.0
2022-12-13,300308,28.42,28.71,29.06,28.32,8357155.0
2022-12-14,300308,28.62,28.89,29.85,28.61,10176506.0
2022-12-15,300308,28.69,28.6,29.13,28.46,6208021.0
2022-12-16,300308,28.46,28.05,28.64,27.55,8302084.0
2022-12-19,300308,27.99,27.6,28.25,27.51,5503277.0
2022-12-20,300308,27.6,27.41,27.73,27.19,4195231.0
2022-12-21,300308,27.41,27.08,27.46,26.8,4769848.0
2022-12-22,300308,27.19,26.58,27.23,26.55,6204824.0
2022-12-23,300308,26.46,26.33,26.7,26.03,5905111.0
2022-12-26,300308,26.3,26.56,26.77,26.3,4784633.0
2022-12-27,300308,26.74,26.95,27.16,26.57,6454677.0
2022-12-28,300308,26.87,26.68,26.92,26.52,4141187.0
2022-12-29,300308,26.43,27.14,27.52,26.37,8813044.0
2022-12-30,300308,27.08,27.03,27.47,26.94,5779766.0
2023-01-03,300308,27.2,28.3,28.57,26.88,11300000.0
2023-01-04,300308,28.21,28.68,28.86,28.1,7476851.0
2023-01-05,300308,28.56,28.67,28.79,28.42,6724233.0
2023-01-06,300308,28.68,28.42,28.68,28.28,6878072.0
2023-01-09,300308,28.54,28.2,28.54,27.98,6913667.0
2023-01-10,300308,28.2,28.25,28.35,28.02,3806115.0
2023-01-11,300308,28.35,27.96,28.35,27.92,4175945.0
2023-01-12,300308,28.01,28.11,28.27,27.83,4138900.0
2023-01-13,300308,28.11,27.82,28.19,27.7,4945464.0
2023-01-16,300308,27.87,28.21,28.5,27.71,5829436.0
2023-01-17,300308,28.3,28.32,28.56,28.17,4846974.0
2023-01-18,300308,28.32,28.7,28.86,28.11,6034334.0
2023-01-19,300308,28.7,28.86,28.94,28.56,4651683.0
2023-01-20,300308,28.96,28.99,29.29,28.73,5732232.0
2023-01-30,300308,29.4,28.91,29.45,28.82,7223416.0
2023-01-31,300308,29.5,29.1,29.97,29.08,12389389.0
2023-02-01,300308,30.0,29.83,30.3,29.22,12556601.0
2023-02-02,300308,30.1,30.35,30.67,29.75,15688552.0
2023-02-03,300308,30.38,31.56,31.7,30.3,21736490.0
2023-02-06,300308,31.93,32.04,32.3,31.35,21355549.0
2023-02-07,300308,32.57,33.83,34.61,32.5,39873288.0
2023-02-08,300308,34.21,33.1,34.89,33.0,20606867.0
2023-02-09,300308,33.0,35.18,35.46,32.25,36872470.0
2023-02-10,300308,35.2,34.95,36.88,34.35,46895778.0
2023-02-13,300308,35.29,35.98,36.38,34.83,33537941.0
2023-02-14,300308,35.58,35.15,36.45,34.79,28198434.0
2023-02-15,300308,34.86,35.78,36.65,34.6,34029218.0
2023-02-16,300308,35.53,35.04,36.6,34.7,25396158.0
2023-02-17,300308,34.83,33.35,34.89,33.17,28433285.0
2023-02-20,300308,33.4,34.2,34.28,33.3,17724119.0
2023-02-21,300308,34.2,33.72,34.41,33.53,11523183.0
2023-02-22,300308,33.57,33.7,34.33,33.38,10989088.0
2023-02-23,300308,33.55,33.5,33.94,33.35,7605910.0
2023-02-24,300308,33.77,34.87,35.38,33.77,26228747.0
2023-02-27,300308,34.76,34.58,35.27,34.39,12327370.0
2023-02-28,300308,35.88,35.5,36.78,35.01,27987011.0
2023-03-01,300308,35.51,35.91,36.5,35.3,26757604.0
2023-03-02,300308,35.8,36.62,37.77,35.66,31634951.0
2023-03-03,300308,35.67,35.43,36.34,35.08,27396267.0
2023-03-06,300308,35.25,35.57,36.48,35.25,19342203.0
