date,open,high,low,close,volume
2022-11-23,43.940,44.200,41.880,42.350,17814532
2022-11-24,42.210,42.860,42.080,42.520,9767300
2022-11-25,42.270,42.380,41.150,41.180,11590953
2022-11-28,39.800,40.700,39.570,40.550,10240940
2022-11-29,40.660,42.380,40.600,42.160,13189136
2022-11-30,41.880,42.390,41.200,41.760,11355235
2022-12-01,42.200,42.780,41.810,42.200,12030667
2022-12-02,41.950,42.260,41.490,41.670,8621634
2022-12-05,42.000,42.330,41.650,41.890,9476201
2022-12-06,41.630,42.880,41.500,41.930,11886757
2022-12-07,41.640,42.720,41.300,42.400,10420925
2022-12-08,42.480,42.950,41.880,42.120,9699773
2022-12-09,42.120,42.250,41.530,41.800,12183304
2022-12-12,41.540,42.300,41.400,41.570,8348455
2022-12-13,41.670,41.770,40.690,41.300,8639843
2022-12-14,42.310,43.300,40.970,41.470,15677717
2022-12-15,41.200,41.850,40.710,40.880,9350222
2022-12-16,40.500,42.280,40.320,41.690,13066453
2022-12-19,41.460,41.790,39.490,39.570,12375794
2022-12-20,39.370,40.500,38.730,39.920,9006902
2022-12-21,39.760,40.030,38.780,38.910,7441243
2022-12-22,39.200,40.680,38.850,39.220,11020310
2022-12-23,38.850,39.580,38.310,38.490,7923250
2022-12-26,38.290,39.650,38.290,39.520,7647073
2022-12-27,39.680,40.580,38.760,39.950,12619565
2022-12-28,39.650,40.760,39.290,40.180,11513355
2022-12-29,39.850,42.620,39.820,42.010,20602692
2022-12-30,41.900,42.690,40.800,40.850,17441191
2023-01-03,40.800,41.320,40.080,40.890,13168836
2023-01-04,40.580,42.250,40.550,41.930,15896756
2023-01-05,41.560,43.850,41.560,43.140,25698899
2023-01-06,43.000,43.450,42.520,42.800,11700612
2023-01-09,42.690,42.850,42.010,42.320,10772442
2023-01-10,42.500,42.830,41.790,42.490,10627197
2023-01-11,42.380,43.380,42.050,42.090,12645158
2023-01-12,41.910,43.100,41.800,42.100,10443722
2023-01-13,42.100,42.670,41.380,42.670,10575134
2023-01-16,43.360,49.980,43.350,48.930,57114075
2023-01-17,49.410,49.500,46.910,47.200,26845288
2023-01-18,47.470,47.490,45.960,46.030,15951488
2023-01-19,46.050,49.960,45.920,48.990,35308091
2023-01-20,49.100,49.490,48.220,48.570,19747749
2023-01-30,48.600,49.440,47.680,49.070,25743360
2023-01-31,48.660,49.070,47.100,47.290,19147412
2023-02-01,47.430,49.000,46.940,48.990,18197663
2023-02-02,49.280,51.320,48.560,50.450,24535089
2023-02-03,50.370,51.800,49.830,51.120,18617761
2023-02-06,50.000,50.290,47.520,48.310,19091258
2023-02-07,48.300,49.260,47.690,48.420,10959291
2023-02-08,48.350,49.400,47.900,48.000,10140498
2023-02-09,47.780,48.600,47.510,48.500,8839117
2023-02-10,48.500,48.780,47.400,48.090,8616262
2023-02-13,47.970,48.980,47.720,48.450,10230533
2023-02-14,48.300,48.870,47.880,48.470,6950011
2023-02-15,48.470,48.560,46.280,46.360,15521858
2023-02-16,46.370,47.640,45.500,46.020,13998508
2023-02-17,46.010,46.100,45.000,45.010,10324335
2023-02-20,45.030,45.900,44.500,45.900,6946315
2023-02-21,45.900,46.160,45.260,45.600,6218256
2023-02-22,45.210,45.960,45.010,45.300,4874784
2023-02-23,45.300,46.190,45.100,45.600,6478701
2023-02-24,45.750,45.870,44.680,44.850,5840546
2023-02-27,44.480,45.110,44.000,44.190,5707068
2023-02-28,44.380,44.950,44.160,44.720,5129225
2023-03-01,44.720,44.750,43.820,44.150,8194319
2023-03-02,44.190,44.690,43.830,44.100,5748039
2023-03-03,44.480,44.680,43.450,43.640,7763106
2023-03-06,43.450,43.650,42.750,43.020,8877118
2023-03-07,43.020,43.550,42.270,42.300,6733951
2023-03-08,42.060,42.540,41.790,42.070,5538192
2023-03-09,42.110,42.500,41.860,41.980,5040423
2023-03-10,41.520,42.360,41.310,41.980,8727227
2023-03-13,41.600,41.750,40.500,40.850,12298985
2023-03-14,40.970,41.480,40.310,41.050,6666425
2023-03-15,41.090,41.680,40.870,40.900,6158206
2023-03-16,40.530,41.300,39.980,40.070,6501479
2023-03-17,40.350,40.630,39.890,40.030,6473229
2023-03-20,39.980,40.140,38.900,39.640,9680019
2023-03-21,39.760,41.390,39.510,41.300,12618307
2023-03-22,41.600,41.920,41.140,41.760,9655602
2023-03-23,41.480,42.050,41.310,41.990,6470433
2023-03-24,41.990,42.750,41.360,41.500,9736242
2023-03-27,41.800,43.340,41.190,42.370,16658132
2023-03-28,42.550,42.690,38.660,39.020,25862067
2023-03-29,39.020,39.150,37.230,37.530,21718725
2023-03-30,37.600,37.980,36.880,37.900,12004152
2023-03-31,37.750,37.960,36.890,37.090,10324740
2023-04-03,37.990,38.990,37.720,37.780,14208664
2023-04-04,37.510,37.880,36.290,36.950,13959525
2023-04-06,36.750,37.580,36.700,37.220,7859863
2023-04-07,37.000,39.050,37.000,38.700,14699557
2023-04-10,39.000,39.420,38.210,38.540,11192314
2023-04-11,38.500,38.950,37.930,38.290,7652098
2023-04-12,38.220,38.580,37.520,37.740,7072143
2023-04-13,37.700,39.980,37.310,39.980,20722502
2023-04-14,40.110,41.710,39.580,39.760,20612142
2023-04-17,39.430,39.890,39.040,39.700,9635909
2023-04-18,39.210,39.280,38.530,38.880,8008319
2023-04-19,38.750,38.980,38.310,38.470,6909342
2023-04-20,38.480,38.700,37.190,37.400,10130155
2023-04-21,37.310,38.000,36.830,36.840,8664264
2023-04-24,36.840,37.880,35.800,36.030,10387145
2023-04-25,35.900,35.980,33.330,33.900,15649501
2023-04-26,33.810,34.850,33.810,34.470,7793584
2023-04-27,34.390,34.840,33.900,34.200,6317642
2023-04-28,34.390,34.820,33.950,34.330,6502555
2023-05-04,34.010,34.580,33.940,33.980,5784116
2023-05-05,33.970,34.030,33.110,33.280,5992475
2023-05-08,33.330,33.770,32.850,33.670,5727840
2023-05-09,32.650,32.750,31.970,31.970,6371030
2023-05-10,31.780,32.820,31.690,32.770,5883302
2023-05-11,32.910,33.810,32.710,33.070,7704896
2023-05-12,32.850,33.170,32.300,32.300,4529376
2023-05-15,31.950,33.140,31.800,33.120,4952531
2023-05-16,33.110,33.150,32.500,32.770,4984387
2023-05-17,32.630,32.800,32.330,32.470,3770975
2023-05-18,32.410,32.630,31.810,32.020,5016413
2023-05-19,31.990,32.360,31.710,32.100,4551614
2023-05-22,32.000,32.480,31.770,32.120,4642712
2023-05-23,32.120,32.780,32.000,32.270,7153832
2023-05-24,32.000,32.200,31.550,31.930,5158877
2023-05-25,31.810,32.040,31.350,31.640,4719999
2023-05-26,31.520,31.740,30.910,31.120,4721201
2023-05-29,31.200,31.690,31.030,31.480,5075889
2023-05-30,31.350,31.590,30.440,31.160,6817290
2023-05-31,30.900,31.580,30.750,30.760,5653758
2023-06-01,30.600,32.250,30.570,31.700,9658395
2023-06-02,31.670,32.120,31.480,32.020,5767685
2023-06-05,32.000,32.020,31.270,31.340,5958518
2023-06-06,31.460,31.480,30.710,30.730,4352462
2023-06-07,30.780,30.910,29.680,29.790,8314070
2023-06-08,29.700,29.980,29.290,29.440,5748202
2023-06-09,29.570,30.560,29.350,29.880,9882612
2023-06-12,29.650,29.880,29.300,29.780,6359107
2023-06-13,29.800,30.190,29.450,29.660,4838211
2023-06-14,29.680,30.050,29.510,29.660,4768866
2023-06-15,29.800,31.270,29.680,31.150,12892143
2023-06-16,31.140,31.600,31.000,31.380,8445241
2023-06-19,31.300,31.390,30.710,30.860,4834479
2023-06-20,30.950,31.230,30.480,30.480,4636401
2023-06-21,30.310,30.530,28.780,28.780,12153698
