date,code,open,close,high,low,volume
2022-11-23,300601,35.67,34.69,35.71,34.16,11732562
2022-11-24,300601,35.0,35.18,35.47,34.68,9862130
2022-11-25,300601,34.8,34.53,35.18,34.05,9378573
2022-11-28,300601,33.91,34.0,34.81,33.69,6773844
2022-11-29,300601,34.0,35.15,35.19,33.9,8616129
2022-11-30,300601,35.1,34.4,35.1,34.16,10106123
2022-12-01,300601,34.43,34.15,34.78,33.33,12759132
2022-12-02,300601,34.02,33.52,34.34,33.44,9700436
2022-12-05,300601,33.7,34.16,34.3,33.12,8967228
2022-12-06,300601,34.0,34.08,35.11,33.92,10231143
2022-12-07,300601,34.1,34.73,34.98,33.65,11854730
2022-12-08,300601,35.02,35.33,35.72,35.02,13811462
2022-12-09,300601,34.97,34.79,35.37,34.61,11082899
2022-12-12,300601,34.58,34.1,35.05,34.03,9945366
2022-12-13,300601,34.3,34.92,35.5,33.47,14184980
2022-12-14,300601,34.6,33.61,34.79,33.6,11469175
2022-12-15,300601,33.23,32.31,33.86,32.3,13280014
2022-12-16,300601,32.2,32.54,32.66,32.04,7864608
2022-12-19,300601,32.58,31.17,32.62,31.0,8026445
2022-12-20,300601,31.4,30.8,31.59,30.63,7101837
2022-12-21,300601,30.9,30.33,30.97,30.16,5686486
2022-12-22,300601,30.5,29.85,30.66,29.82,6769577
2022-12-23,300601,29.7,30.26,30.43,29.62,4920901
2022-12-26,300601,30.25,30.3,30.78,30.2,5164600
2022-12-27,300601,30.45,30.31,30.5,29.88,7503331
2022-12-28,300601,30.47,30.55,30.99,30.12,7404775
2022-12-29,300601,30.34,31.47,32.17,30.22,10705577
2022-12-30,300601,31.43,31.53,31.82,31.2,6447706
2023-01-03,300601,31.55,32.1,32.62,31.35,8462246
2023-01-04,300601,31.75,32.25,32.6,31.75,6956186
2023-01-05,300601,32.29,34.15,34.48,31.8,18948732
2023-01-06,300601,34.12,33.74,34.15,33.65,7906890
2023-01-09,300601,33.99,33.95,34.19,33.37,7811764
2023-01-10,300601,34.01,34.39,34.64,33.71,9569098
2023-01-11,300601,34.39,36.26,37.25,34.0,39393125
2023-01-12,300601,36.26,35.27,36.26,35.01,17290654
2023-01-13,300601,35.27,36.88,36.88,35.05,15368321
2023-01-16,300601,36.69,37.24,37.58,36.67,16695568
2023-01-17,300601,37.22,37.18,37.75,36.85,9653717
2023-01-18,300601,36.93,36.81,37.26,36.7,6849206
2023-01-19,300601,36.8,37.93,38.18,36.56,10183779
2023-01-20,300601,37.88,37.47,38.27,37.4,8196928
2023-01-30,300601,38.0,37.4,38.0,36.97,10398676
2023-01-31,300601,37.39,36.74,37.7,36.58,8852349
2023-02-01,300601,36.96,37.28,37.28,36.53,7550865
2023-02-02,300601,37.69,37.48,37.89,36.57,10830052
2023-02-03,300601,37.35,38.46,39.14,37.18,18089856
2023-02-06,300601,38.34,37.7,39.2,37.61,11004633
2023-02-07,300601,38.15,37.23,38.35,37.05,9887749
2023-02-08,300601,37.25,37.1,37.9,37.05,9383589
2023-02-09,300601,37.01,37.34,37.44,36.87,5791002
2023-02-10,300601,37.32,37.55,38.24,37.23,5948659
2023-02-13,300601,37.61,37.42,38.38,36.93,9964247
2023-02-14,300601,37.37,36.96,38.3,36.85,8661251
2023-02-15,300601,36.88,36.31,37.18,36.0,11948815
2023-02-16,300601,36.17,35.62,36.87,35.33,9447272
2023-02-17,300601,35.65,35.5,36.14,35.33,6690920
2023-02-20,300601,35.55,36.3,36.39,35.04,5993062
2023-02-21,300601,36.12,35.98,36.55,35.89,6109430
2023-02-22,300601,35.91,35.88,36.6,35.61,5172963
2023-02-23,300601,35.93,35.34,36.3,35.1,6766439
2023-02-24,300601,35.37,35.24,35.5,35.03,3659101
2023-02-27,300601,35.02,34.76,35.45,34.41,6058086
2023-02-28,300601,34.74,34.71,35.08,34.36,6155895
2023-03-01,300601,34.75,34.47,34.97,34.15,6562498
2023-03-02,300601,34.47,34.21,34.77,34.15,4856817
2023-03-03,300601,34.44,34.3,34.65,33.9,5924997
2023-03-06,300601,34.44,34.54,34.6,34.22,6604771
2023-03-07,300601,34.58,33.33,34.75,33.21,9338348
2023-03-08,300601,33.23,33.49,33.65,33.14,3824979
2023-03-09,300601,33.59,34.09,34.41,33.44,6432160
2023-03-10,300601,33.97,34.14,34.65,33.67,6672718
2023-03-13,300601,33.91,33.33,34.14,32.42,13376988
2023-03-14,300601,33.21,33.46,33.98,32.92,6162725
2023-03-15,300601,33.48,32.99,33.8,32.79,6674795
2023-03-16,300601,32.88,32.6,33.23,32.49,5356265
2023-03-17,300601,32.85,32.2,33.2,31.96,7929302
2023-03-20,300601,32.2,31.8,32.47,31.49,9129216
2023-03-21,300601,32.0,32.32,32.6,31.9,5790822
2023-03-22,300601,32.3,32.62,32.7,32.26,4610663
2023-03-23,300601,32.64,32.36,32.98,32.11,4933465
2023-03-24,300601,32.48,32.41,33.05,32.24,6947084
2023-03-27,300601,32.41,32.93,33.66,32.08,9916680
2023-03-28,300601,32.83,32.33,33.15,32.1,8797090
2023-03-29,300601,32.34,31.76,32.43,31.4,8353353
2023-03-30,300601,31.91,31.76,31.95,31.43,4926709
2023-03-31,300601,31.76,31.64,32.05,31.28,7468430
2023-04-03,300601,31.54,31.18,31.59,31.0,6919036
2023-04-04,300601,31.24,31.57,31.59,31.22,6754530
2023-04-06,300601,31.6,31.88,32.35,31.59,6881689
2023-04-07,300601,31.88,33.76,33.95,31.8,14240237
2023-04-10,300601,33.9,33.59,33.9,33.4,7301743
2023-04-11,300601,33.74,33.19,33.85,32.93,6498965
2023-04-12,300601,33.27,32.92,33.65,32.69,5736583
2023-04-13,300601,32.73,33.75,34.05,32.58,11693574
2023-04-14,300601,34.28,33.97,34.38,33.22,13706404
2023-04-17,300601,33.7,33.58,34.25,33.38,7655588
2023-04-18,300601,33.67,33.03,33.71,32.82,7325333
2023-04-19,300601,32.91,32.44,33.18,32.28,6244924
2023-04-20,300601,32.44,31.65,32.62,31.54,7132620
2023-04-21,300601,31.6,31.11,32.04,31.06,6938574
2023-04-24,300601,31.11,30.86,32.15,30.67,8858015
2023-04-25,300601,30.88,29.88,30.96,29.5,9675110
2023-04-26,300601,29.8,30.15,30.45,29.78,6268867
2023-04-27,300601,30.16,30.28,30.48,29.9,4663477
2023-04-28,300601,30.32,30.31,30.65,29.93,5724062
2023-05-04,300601,30.3,30.18,30.6,29.8,5243549
2023-05-05,300601,30.21,29.53,30.29,29.41,5082777
2023-05-08,300601,29.7,30.32,30.52,29.54,6577491
2023-05-09,300601,30.32,29.78,30.49,29.73,4677036
2023-05-10,300601,29.78,29.82,30.24,29.69,4829163
2023-05-11,300601,29.9,30.23,30.5,29.87,4892949
2023-05-12,300601,30.3,30.04,30.72,30.03,5425449
2023-05-15,300601,30.03,29.92,30.17,29.24,6687210
2023-05-16,300601,30.05,29.8,30.33,29.67,4678818
2023-05-17,300601,29.8,29.49,29.82,29.27,4963241
2023-05-18,300601,29.4,28.83,29.56,28.33,10378459
2023-05-19,300601,28.76,29.17,29.36,28.72,5628057
2023-05-22,300601,29.1,29.23,29.37,28.96,5094376
2023-05-23,300601,29.3,29.35,30.04,29.21,8652411
2023-05-24,300601,29.33,28.43,29.33,28.3,7563515
2023-05-25,300601,28.35,28.32,28.51,28.03,5873899
2023-05-26,300601,28.3,29.02,29.1,28.3,5708769
2023-05-29,300601,28.97,28.17,29.3,27.7,10878444
2023-05-30,300601,28.12,27.95,28.4,27.58,7554551
2023-05-31,300601,27.81,27.79,28.16,27.64,6421398
2023-06-01,300601,27.69,28.08,28.41,27.68,6623999
2023-06-02,300601,28.16,27.96,28.21,27.67,5169388
2023-06-05,300601,27.9,27.3,27.9,27.12,7253168
2023-06-06,300601,27.3,26.53,27.33,26.53,7011200
2023-06-07,300601,26.53,25.93,26.75,25.85,10951431
2023-06-08,300601,26.0,25.46,26.1,25.3,11162975
2023-06-09,300601,25.56,25.61,26.08,25.2,18458701
2023-06-12,300601,25.46,25.36,25.59,24.89,12992721
2023-06-13,300601,25.5,25.14,25.65,25.0,8912617
2023-06-14,300601,25.14,24.74,25.27,24.74,9086602
2023-06-15,300601,24.88,25.5,25.58,24.75,12047007
2023-06-16,300601,25.5,25.8,25.86,25.33,8725210
2023-06-19,300601,25.51,25.72,26.12,25.49,7224399
2023-06-20,300601,25.83,25.54,25.97,25.47,5418646
2023-06-21,300601,25.43,24.95,25.59,24.9,6869134
2023-06-26,300601,24.74,24.93,25.39,24.6,8420966
2023-06-27,300601,25.02,25.37,25.66,24.94,6496587
2023-06-28,300601,25.39,25.07,25.54,24.92,4827979
2023-06-29,300601,25.01,24.8,25.28,24.71,5736658
2023-06-30,300601,24.81,25.39,25.6,24.75,7424937
2023-07-03,300601,25.39,25.64,25.76,25.21,6697513
2023-07-04,300601,25.56,25.87,25.87,25.26,7458140
2023-07-05,300601,25.68,25.48,25.77,25.32,7093599
2023-07-06,300601,25.38,25.02,25.49,24.98,6217340
2023-07-07,300601,24.95,25.14,25.35,24.88,5326103
2023-07-10,300601,25.17,26.07,26.44,25.0,13240572
2023-07-11,300601,26.08,26.61,26.74,26.08,9307751
2023-07-12,300601,26.5,26.3,26.87,26.25,8157595
2023-07-13,300601,26.48,26.7,26.79,26.28,7017446
2023-07-14,300601,26.64,26.34,26.77,26.23,6010059
2023-07-17,300601,26.3,26.11,26.33,25.78,5389153
2023-07-18,300601,26.11,26.14,26.27,25.9,3515405
2023-07-19,300601,26.03,25.6,26.22,25.5,6924123
2023-07-20,300601,25.68,24.97,25.9,24.95,8845464
2023-07-21,300601,26.8,28.6,29.56,26.47,42830186
2023-07-24,300601,28.22,28.99,29.65,27.9,27888189
2023-07-25,300601,29.13,28.9,29.14,28.42,16473480
2023-07-26,300601,28.75,29.93,30.68,28.57,31638459
2023-07-27,300601,29.93,30.09,30.55,29.7,16111914
2023-07-28,300601,29.94,30.16,30.36,29.58,13318568
2023-07-31,300601,29.78,29.29,30.2,29.0,20686284
2023-08-01,300601,29.02,29.26,29.95,29.02,13909864
2023-08-02,300601,29.06,28.89,29.28,28.73,8068069
2023-08-03,300601,28.86,29.01,29.14,28.6,7948692
2023-08-04,300601,29.08,28.8,29.67,28.78,7406443
2023-08-07,300601,28.78,28.17,28.78,27.9,10251657
2023-08-08,300601,28.23,28.0,28.42,27.88,6523840
2023-08-09,300601,28.09,29.44,30.17,28.01,21059306
2023-08-10,300601,29.2,29.32,29.53,28.78,10514496
2023-08-11,300601,29.32,28.48,29.37,28.43,10031270
