date,code,open,close,high,low,volume
2017-11-10,300725,3.9,4.97,4.97,3.9,22
2017-11-13,300725,5.62,5.62,5.62,5.62,6
2017-11-14,300725,6.32,6.32,6.32,6.32,12
2017-11-15,300725,7.1,7.1,7.1,7.1,26
2017-11-16,300725,7.96,7.96,7.96,7.96,34
2017-11-17,300725,8.9,8.9,8.9,8.9,28
2017-11-20,300725,9.94,9.94,9.94,9.94,71
2017-11-21,300725,11.08,11.08,11.08,11.08,66
2017-11-22,300725,12.33,12.33,12.33,12.33,195
2017-11-23,300725,13.71,13.71,13.71,13.71,650
2017-11-24,300725,15.23,15.23,15.23,15.23,867
2017-11-27,300725,16.9,16.9,16.9,16.9,1223
2017-11-28,300725,18.73,18.73,18.73,18.73,2033
2017-11-29,300725,20.75,20.75,20.75,20.75,1118
2017-11-30,300725,22.97,22.97,22.97,22.97,1152
2017-12-01,300725,25.42,25.42,25.42,25.42,4807
2017-12-04,300725,28.1,25.25,28.1,24.98,130285
2017-12-05,300725,26.23,25.46,26.86,25.18,71668
2017-12-06,300725,26.63,28.15,28.15,26.4,74353
2017-12-07,300725,27.74,31.12,31.12,27.63,58869
2017-12-08,300725,32.07,34.37,34.37,32.07,37273
2017-12-11,300725,36.88,37.2,37.9,34.92,74977
2017-12-19,300725,34.84,35.86,36.72,33.71,56042
2017-12-20,300725,36.1,39.59,39.59,36.06,48740
2017-12-21,300725,40.75,43.7,43.7,39.18,32000
2017-12-22,300725,45.92,45.09,48.22,45.09,59284
2017-12-25,300725,46.08,47.79,48.6,43.83,53529
2017-12-26,300725,47.25,46.41,49.39,45.92,50176
2017-12-27,300725,45.09,47.15,49.79,44.73,53705
2017-12-28,300725,47.47,45.14,51.93,44.97,63093
2017-12-29,300725,45.15,43.63,46.39,43.12,44692
2018-01-02,300725,43.75,44.21,45.21,42.02,35595
2018-01-03,300725,44.3,42.39,44.3,42.33,31514
2018-01-04,300725,41.68,45.6,46.47,41.36,45378
2018-01-05,300725,44.65,47.41,48.62,44.33,40713
2018-01-08,300725,46.67,46.67,50.41,45.88,39866
2018-01-09,300725,46.87,51.48,51.48,46.87,43476
2018-01-10,300725,50.22,52.43,53.81,49.24,43624
2018-01-11,300725,51.4,51.21,53.53,50.88,31399
2018-01-12,300725,51.44,52.31,54.47,51.44,32752
2018-01-15,300725,51.4,49.83,53.64,49.74,31390
2018-01-16,300725,51.8,54.93,54.95,51.21,49752
2018-01-17,300725,53.77,51.01,54.54,49.43,37183
2018-01-18,300725,51.75,51.92,52.94,50.61,22160
2018-01-19,300725,51.76,50.85,53.37,49.63,28135
2018-01-22,300725,50.61,45.62,50.61,45.62,26502
2018-01-23,300725,44.65,45.35,47.32,43.12,29737
2018-01-24,300725,44.54,46.08,46.2,43.76,22643
2018-01-25,300725,45.88,43.71,45.88,43.12,21662
2018-01-26,300725,43.83,47.02,48.05,43.83,26667
2018-01-29,300725,45.49,44.7,45.57,42.33,24785
2018-01-30,300725,44.3,41.06,44.7,40.49,21736
2018-01-31,300725,40.32,37.24,41.03,37.2,23158
2018-02-01,300725,35.31,37.08,38.92,35.31,18200
2018-02-02,300725,36.91,35.83,38.65,35.1,18316
2018-02-05,300725,35.31,32.48,35.95,32.21,23296
2018-02-06,300725,32.13,32.49,35.23,31.52,36577
2018-02-07,300725,33.65,32.98,33.97,31.16,33724
2018-02-08,300725,32.14,33.46,33.77,31.68,28226
2018-02-09,300725,32.07,32.5,34.24,31.42,26225
2018-02-12,300725,33.08,33.39,34.2,32.63,22624
2018-02-13,300725,33.53,31.22,33.57,31.2,24416
2018-02-14,300725,30.51,29.41,31.09,28.95,21507
2018-02-22,300725,29.81,30.46,30.88,29.53,16240
2018-02-23,300725,30.42,32.13,32.54,29.95,26872
2018-02-26,300725,32.97,34.91,35.49,32.43,35615
2018-02-27,300725,34.57,34.95,35.78,33.79,28918
2018-02-28,300725,34.17,33.89,34.79,33.26,18869
2018-03-01,300725,33.59,35.76,36.73,33.59,31909
2018-03-02,300725,34.92,34.35,35.41,34.0,21930
2018-03-05,300725,34.54,35.52,35.97,34.24,21710
2018-03-06,300725,36.65,39.21,39.21,36.65,16129
2018-03-07,300725,41.7,39.77,41.88,39.57,41501
