date,code,open,close,high,low,volume
2022-11-23,300750,375.0,379.52,382.89,373.5,8829427
2022-11-24,300750,383.12,376.62,383.22,375.01,8546530
2022-11-25,300750,373.06,372.2,375.0,371.0,6138945
2022-11-28,300750,365.0,370.31,372.31,360.02,11114051
2022-11-29,300750,372.01,377.9,381.4,367.5,11717222
2022-11-30,300750,379.0,385.0,385.0,372.17,14041956
2022-12-01,300750,397.15,395.25,402.15,394.92,20937498
2022-12-02,300750,397.0,391.88,399.29,391.8,8292566
2022-12-05,300750,391.88,392.31,396.87,388.0,12098474
2022-12-06,300750,389.12,400.02,404.04,389.0,13661164
2022-12-07,300750,400.0,418.31,421.68,399.0,24410839
2022-12-08,300750,418.32,420.47,425.0,414.01,10433749
2022-12-09,300750,421.58,424.6,425.7,420.5,9353940
2022-12-12,300750,421.1,414.35,423.53,414.14,8789953
2022-12-13,300750,415.0,405.41,415.9,402.05,11270707
2022-12-14,300750,410.0,402.3,411.95,399.28,9197282
2022-12-15,300750,402.11,423.8,424.17,401.0,17298775
2022-12-16,300750,418.51,418.01,422.8,413.88,8942249
2022-12-19,300750,419.0,420.4,430.1,418.06,10105860
2022-12-20,300750,420.0,409.52,420.6,409.0,8120795
2022-12-21,300750,410.0,406.82,412.47,404.51,5403052
2022-12-22,300750,410.99,402.0,410.99,400.0,7390460
2022-12-23,300750,396.9,398.48,402.83,394.1,7385760
2022-12-26,300750,398.48,403.92,407.25,391.1,11512345
2022-12-27,300750,402.23,403.57,405.99,396.66,8139710
2022-12-28,300750,398.06,394.0,398.3,380.28,18529322
2022-12-29,300750,391.0,393.96,397.8,390.4,9897472
2022-12-30,300750,398.5,393.42,402.0,393.0,7405249
2023-01-03,300750,392.0,389.64,392.57,381.72,10482036
2023-01-04,300750,386.5,384.01,387.0,382.05,19602262
2023-01-05,300750,388.0,407.51,410.17,385.01,26043260
2023-01-06,300750,406.0,416.66,424.98,404.06,18392495
2023-01-09,300750,422.88,416.6,422.88,414.0,12840302
2023-01-10,300750,417.66,432.0,435.0,413.3,18260652
2023-01-11,300750,430.5,427.86,436.0,424.0,12241806
2023-01-12,300750,432.0,433.5,438.78,429.68,11136798
2023-01-13,300750,444.0,439.5,452.52,430.0,20757496
2023-01-16,300750,438.5,446.63,449.5,435.11,16809099
2023-01-17,300750,446.93,445.61,451.87,443.61,9895801
2023-01-18,300750,448.51,448.5,450.88,443.11,7344325
