date,code,open,close,high,low,volume
2022-11-23,510630,1.078,1.071,1.079,1.067,4566000
2022-11-24,510630,1.069,1.063,1.082,1.06,4659600
2022-11-25,510630,1.061,1.061,1.064,1.052,3904000
2022-11-28,510630,1.056,1.06,1.063,1.025,5043400
2022-11-29,510630,1.065,1.097,1.102,1.065,10170900
2022-11-30,510630,1.098,1.093,1.104,1.088,8360100
2022-12-01,510630,1.129,1.13,1.147,1.102,17505600
2022-12-02,510630,1.13,1.14,1.146,1.128,11412300
2022-12-05,510630,1.198,1.155,1.198,1.15,21215900
2022-12-06,510630,1.158,1.183,1.206,1.15,26874700
2022-12-07,510630,1.181,1.193,1.209,1.172,25808100
2022-12-08,510630,1.196,1.188,1.197,1.177,19292000
2022-12-09,510630,1.188,1.208,1.208,1.174,19895200
2022-12-12,510630,1.206,1.195,1.211,1.194,12462300
2022-12-13,510630,1.189,1.202,1.206,1.183,12307900
2022-12-14,510630,1.202,1.229,1.236,1.194,21007400
2022-12-15,510630,1.24,1.214,1.241,1.206,15450500
2022-12-16,510630,1.209,1.213,1.218,1.202,10436400
2022-12-19,510630,1.213,1.201,1.224,1.197,11947000
2022-12-20,510630,1.192,1.166,1.2,1.154,13800100
2022-12-21,510630,1.164,1.177,1.186,1.164,10362400
2022-12-22,510630,1.182,1.196,1.212,1.181,13372900
2022-12-23,510630,1.185,1.203,1.214,1.182,9846700
2022-12-26,510630,1.208,1.193,1.209,1.187,12933400
2022-12-27,510630,1.206,1.206,1.214,1.191,11847800
2022-12-28,510630,1.207,1.203,1.207,1.194,6804700
2022-12-29,510630,1.203,1.195,1.203,1.183,7289500
2022-12-30,510630,1.197,1.201,1.205,1.191,7506300
2023-01-03,510630,1.202,1.178,1.204,1.17,14828900
2023-01-04,510630,1.177,1.181,1.186,1.172,7611300
2023-01-05,510630,1.181,1.218,1.222,1.181,19825300
2023-01-06,510630,1.225,1.213,1.225,1.2,11446400
2023-01-09,510630,1.219,1.229,1.234,1.204,26197800
2023-01-10,510630,1.222,1.238,1.246,1.222,18644500
2023-01-11,510630,1.238,1.232,1.243,1.224,10645400
2023-01-12,510630,1.232,1.221,1.237,1.216,8192800
2023-01-13,510630,1.224,1.256,1.258,1.221,17559300
2023-01-16,510630,1.264,1.279,1.295,1.26,13459100
2023-01-17,510630,1.279,1.269,1.279,1.264,8706500
2023-01-18,510630,1.27,1.25,1.279,1.249,15691900
2023-01-19,510630,1.25,1.246,1.25,1.233,11682400
2023-01-20,510630,1.243,1.233,1.255,1.231,19179200
2023-01-30,510630,1.27,1.248,1.27,1.239,20368000
2023-01-31,510630,1.248,1.226,1.255,1.223,12812900
2023-02-01,510630,1.222,1.228,1.231,1.21,14582900
2023-02-02,510630,1.23,1.242,1.247,1.224,12281400
2023-02-03,510630,1.241,1.229,1.241,1.217,13632600
2023-02-06,510630,1.228,1.209,1.228,1.198,10576100
2023-02-07,510630,1.206,1.208,1.22,1.203,7234100
2023-02-08,510630,1.208,1.201,1.215,1.2,8742000
2023-02-09,510630,1.201,1.226,1.23,1.201,14619700
2023-02-10,510630,1.227,1.231,1.234,1.221,9532000
2023-02-13,510630,1.23,1.26,1.268,1.227,18616700
2023-02-14,510630,1.264,1.264,1.274,1.254,9746600
2023-02-15,510630,1.264,1.256,1.271,1.254,7825700
2023-02-16,510630,1.257,1.264,1.284,1.254,17913500
2023-02-17,510630,1.264,1.256,1.282,1.253,17973800
2023-02-20,510630,1.25,1.273,1.275,1.243,23857600
2023-02-21,510630,1.273,1.264,1.273,1.255,11802700
2023-02-22,510630,1.264,1.261,1.275,1.254,6896200
2023-02-23,510630,1.261,1.252,1.269,1.244,6641800
2023-02-24,510630,1.255,1.237,1.255,1.23,6342500
2023-02-27,510630,1.242,1.246,1.248,1.224,11970200
2023-02-28,510630,1.253,1.251,1.255,1.238,7675500
2023-03-01,510630,1.251,1.259,1.26,1.239,9835600
2023-03-02,510630,1.256,1.254,1.259,1.251,6671800
2023-03-03,510630,1.259,1.247,1.265,1.238,5701500
2023-03-06,510630,1.247,1.245,1.253,1.234,6003400
2023-03-07,510630,1.244,1.219,1.244,1.217,11011700
2023-03-08,510630,1.214,1.211,1.221,1.206,10897210
2023-03-09,510630,1.208,1.2,1.215,1.189,11422200
2023-03-10,510630,1.198,1.187,1.204,1.185,6393800
2023-03-13,510630,1.183,1.206,1.211,1.183,6457000
2023-03-14,510630,1.204,1.202,1.207,1.189,6943200
2023-03-15,510630,1.202,1.187,1.211,1.185,7223000
2023-03-16,510630,1.186,1.188,1.202,1.18,6424900
2023-03-17,510630,1.19,1.177,1.195,1.169,9625500
2023-03-20,510630,1.177,1.159,1.177,1.153,8018000
2023-03-21,510630,1.158,1.183,1.188,1.157,6247100
2023-03-22,510630,1.185,1.182,1.196,1.179,6422800
2023-03-23,510630,1.182,1.191,1.2,1.177,4432400
2023-03-24,510630,1.196,1.193,1.201,1.186,3393400
2023-03-27,510630,1.192,1.184,1.193,1.179,4006500
2023-03-28,510630,1.184,1.195,1.199,1.184,5316800
2023-03-29,510630,1.202,1.2,1.207,1.191,8437500
2023-03-30,510630,1.199,1.212,1.216,1.195,6380000
2023-03-31,510630,1.214,1.216,1.229,1.213,7323300
2023-04-03,510630,1.216,1.209,1.218,1.202,5793600
2023-04-04,510630,1.212,1.216,1.217,1.202,8015100
2023-04-06,510630,1.213,1.198,1.214,1.196,4496000
2023-04-07,510630,1.196,1.196,1.208,1.19,9232400
2023-04-10,510630,1.2,1.182,1.2,1.171,10147100
2023-04-11,510630,1.182,1.169,1.189,1.166,8178500
2023-04-12,510630,1.17,1.145,1.17,1.141,15584800
2023-04-13,510630,1.145,1.153,1.153,1.135,6818500
2023-04-14,510630,1.15,1.144,1.159,1.14,7708500
2023-04-17,510630,1.144,1.155,1.162,1.143,10057700
2023-04-18,510630,1.155,1.162,1.166,1.153,18368300
2023-04-19,510630,1.162,1.153,1.162,1.15,8976900
2023-04-20,510630,1.153,1.139,1.155,1.136,9500300
2023-04-21,510630,1.139,1.13,1.149,1.129,5494900
2023-04-24,510630,1.13,1.116,1.135,1.11,11605400
2023-04-25,510630,1.116,1.133,1.134,1.112,38671100
2023-04-26,510630,1.137,1.131,1.137,1.115,8038164
2023-04-27,510630,1.131,1.137,1.143,1.121,7747000
2023-04-28,510630,1.141,1.155,1.164,1.141,13271300
2023-05-04,510630,1.156,1.14,1.166,1.137,9960800
2023-05-05,510630,1.138,1.141,1.144,1.13,7109400
2023-05-08,510630,1.14,1.129,1.145,1.127,7493500
2023-05-09,510630,1.123,1.127,1.141,1.118,5872200
2023-05-10,510630,1.127,1.125,1.128,1.118,3700200
2023-05-11,510630,1.123,1.119,1.131,1.116,5337100
2023-05-12,510630,1.116,1.111,1.127,1.11,3925900
2023-05-15,510630,1.111,1.121,1.121,1.104,4468400
2023-05-16,510630,1.121,1.11,1.124,1.106,7441100
