date,code,open,close,high,low,volume
2022-11-23,512000,0.833,0.834,0.842,0.83,477667272
2022-11-24,512000,0.842,0.831,0.845,0.83,447535100
2022-11-25,512000,0.829,0.839,0.845,0.829,554231898
2022-11-28,512000,0.826,0.827,0.828,0.813,653095212
2022-11-29,512000,0.828,0.858,0.863,0.827,1413930801
2022-11-30,512000,0.853,0.855,0.868,0.853,684664466
2022-12-01,512000,0.871,0.862,0.888,0.86,1205926481
2022-12-02,512000,0.859,0.857,0.867,0.853,441159770
2022-12-05,512000,0.867,0.885,0.887,0.865,1058478240
2022-12-06,512000,0.879,0.881,0.895,0.879,778810131
2022-12-07,512000,0.88,0.876,0.887,0.869,763983529
2022-12-08,512000,0.875,0.875,0.877,0.869,419885053
2022-12-09,512000,0.875,0.879,0.884,0.867,776457997
2022-12-12,512000,0.874,0.859,0.874,0.858,760855390
2022-12-13,512000,0.859,0.859,0.865,0.857,318902900
2022-12-14,512000,0.862,0.865,0.87,0.857,518999603
2022-12-15,512000,0.863,0.859,0.867,0.857,421357000
2022-12-16,512000,0.854,0.856,0.862,0.853,428231649
2022-12-19,512000,0.858,0.833,0.863,0.829,633388428
2022-12-20,512000,0.831,0.829,0.836,0.824,504083100
2022-12-21,512000,0.83,0.828,0.834,0.824,333202666
2022-12-22,512000,0.833,0.827,0.839,0.823,438863066
2022-12-23,512000,0.821,0.826,0.833,0.821,508386500
2022-12-26,512000,0.827,0.825,0.829,0.82,420298300
2022-12-27,512000,0.831,0.836,0.839,0.827,574615700
2022-12-28,512000,0.832,0.832,0.837,0.829,343031700
2022-12-29,512000,0.829,0.828,0.832,0.822,630303857
2022-12-30,512000,0.831,0.832,0.836,0.83,431337536
2023-01-03,512000,0.825,0.829,0.83,0.808,734421619
2023-01-04,512000,0.826,0.83,0.835,0.826,558285498
2023-01-05,512000,0.835,0.846,0.85,0.835,918309086
2023-01-06,512000,0.844,0.846,0.855,0.843,1287628181
