date,code,open,close,high,low,volume
2022-11-23,512010,0.471,0.463,0.471,0.459,1594219281
2022-11-24,512010,0.464,0.465,0.469,0.462,1140808869
2022-11-25,512010,0.464,0.465,0.466,0.456,1134990560
2022-11-28,512010,0.454,0.457,0.459,0.45,1555563512
2022-11-29,512010,0.456,0.468,0.469,0.456,1516953502
2022-11-30,512010,0.467,0.464,0.468,0.462,1037096716
2022-12-01,512010,0.472,0.473,0.475,0.468,1713889644
2022-12-02,512010,0.471,0.469,0.474,0.468,1112040300
2022-12-05,512010,0.473,0.471,0.475,0.468,1765502876
2022-12-06,512010,0.47,0.471,0.477,0.467,1331520806
2022-12-07,512010,0.469,0.471,0.475,0.466,1637489806
2022-12-08,512010,0.471,0.47,0.473,0.468,1047574475
2022-12-09,512010,0.47,0.47,0.471,0.464,1478262586
2022-12-12,512010,0.471,0.473,0.478,0.47,1592342303
2022-12-13,512010,0.474,0.471,0.475,0.466,1314198378
2022-12-14,512010,0.471,0.47,0.475,0.467,1147905674
2022-12-15,512010,0.47,0.468,0.474,0.466,1085278189
2022-12-16,512010,0.467,0.47,0.472,0.466,1273232019
2022-12-19,512010,0.471,0.458,0.472,0.457,1399785641
2022-12-20,512010,0.457,0.451,0.46,0.45,1211385644
2022-12-21,512010,0.453,0.452,0.456,0.452,790136400
2022-12-22,512010,0.455,0.46,0.467,0.452,1295016238
2022-12-23,512010,0.457,0.464,0.465,0.456,1030980456
2022-12-26,512010,0.465,0.463,0.467,0.462,658461900
2022-12-27,512010,0.465,0.469,0.47,0.46,1026010010
2022-12-28,512010,0.467,0.469,0.473,0.467,863812880
2022-12-29,512010,0.468,0.476,0.479,0.466,1250772309
2022-12-30,512010,0.477,0.478,0.48,0.475,866531600
2023-01-03,512010,0.478,0.477,0.482,0.472,1081325961
2023-01-04,512010,0.476,0.48,0.482,0.476,1055289339
2023-01-05,512010,0.482,0.494,0.498,0.481,1740502785
2023-01-06,512010,0.494,0.491,0.495,0.488,893779122
2023-01-09,512010,0.492,0.495,0.497,0.488,888928386
2023-01-10,512010,0.495,0.502,0.505,0.492,1112442666
2023-01-11,512010,0.502,0.499,0.507,0.498,928611758
2023-01-12,512010,0.499,0.496,0.503,0.495,842139500
2023-01-13,512010,0.498,0.511,0.511,0.496,1126652130
2023-01-16,512010,0.512,0.531,0.54,0.51,2019770640
2023-01-17,512010,0.53,0.528,0.533,0.524,952511344
2023-01-18,512010,0.527,0.523,0.528,0.521,818816035
2023-01-19,512010,0.523,0.534,0.539,0.52,1481415514
2023-01-20,512010,0.534,0.532,0.542,0.531,1110845114
2023-01-30,512010,0.539,0.527,0.541,0.526,978178600
2023-01-31,512010,0.526,0.513,0.528,0.512,1296118997
2023-02-01,512010,0.514,0.518,0.519,0.509,1063719708
2023-02-02,512010,0.518,0.52,0.527,0.515,1079924874
2023-02-03,512010,0.516,0.515,0.521,0.51,1315740208
2023-02-06,512010,0.508,0.503,0.51,0.501,1610172000
2023-02-07,512010,0.506,0.504,0.509,0.501,1193531900
2023-02-08,512010,0.505,0.505,0.511,0.504,840811985
2023-02-09,512010,0.503,0.512,0.512,0.502,1023313900
2023-02-10,512010,0.51,0.51,0.512,0.505,1035624534
2023-02-13,512010,0.509,0.514,0.52,0.509,1270488174
2023-02-14,512010,0.514,0.515,0.517,0.511,977541503
2023-02-15,512010,0.515,0.507,0.517,0.506,966444900
2023-02-16,512010,0.507,0.505,0.513,0.498,1184205776
2023-02-17,512010,0.502,0.502,0.507,0.5,988537743
2023-02-20,512010,0.501,0.509,0.511,0.495,1429257759
2023-02-21,512010,0.508,0.506,0.509,0.503,950470092
2023-02-22,512010,0.503,0.503,0.507,0.5,728658300
2023-02-23,512010,0.501,0.498,0.506,0.496,1092661200
2023-02-24,512010,0.499,0.494,0.5,0.492,821101200
2023-02-27,512010,0.491,0.489,0.493,0.487,816464100
2023-02-28,512010,0.49,0.494,0.496,0.489,996596000
2023-03-01,512010,0.494,0.496,0.496,0.489,1361930047
2023-03-02,512010,0.494,0.491,0.495,0.49,937827240
2023-03-03,512010,0.492,0.492,0.497,0.489,1104540138
2023-03-06,512010,0.492,0.49,0.493,0.488,983577587
2023-03-07,512010,0.489,0.482,0.494,0.481,1549413638
2023-03-08,512010,0.48,0.48,0.482,0.477,986184216
2023-03-09,512010,0.48,0.48,0.483,0.478,950432521
2023-03-10,512010,0.477,0.48,0.485,0.474,1516078379
2023-03-13,512010,0.478,0.477,0.481,0.476,1136206124
2023-03-14,512010,0.477,0.477,0.483,0.476,1433789700
2023-03-15,512010,0.481,0.475,0.483,0.473,1330037005
2023-03-16,512010,0.473,0.473,0.478,0.471,1148483820
2023-03-17,512010,0.475,0.463,0.476,0.46,2179671262
2023-03-20,512010,0.461,0.456,0.462,0.453,1452452092
2023-03-21,512010,0.458,0.471,0.472,0.457,1685598570
2023-03-22,512010,0.472,0.472,0.475,0.471,1127833952
2023-03-23,512010,0.471,0.472,0.475,0.47,826482700
2023-03-24,512010,0.473,0.469,0.475,0.468,998156199
2023-03-27,512010,0.469,0.474,0.477,0.463,1352313270
2023-03-28,512010,0.474,0.475,0.476,0.472,882739420
2023-03-29,512010,0.475,0.471,0.475,0.47,925746087
2023-03-30,512010,0.471,0.473,0.474,0.468,874859410
2023-03-31,512010,0.473,0.47,0.475,0.469,846049200
2023-04-03,512010,0.469,0.466,0.471,0.463,1552738700
2023-04-04,512010,0.465,0.469,0.469,0.463,1591518300
2023-04-06,512010,0.469,0.472,0.472,0.467,1724163121
2023-04-07,512010,0.471,0.483,0.484,0.47,3050116900
2023-04-10,512010,0.484,0.487,0.49,0.483,2429310747
2023-04-11,512010,0.488,0.485,0.492,0.482,1724137787
2023-04-12,512010,0.485,0.481,0.488,0.479,1442707000
2023-04-13,512010,0.479,0.489,0.492,0.476,2185947657
2023-04-14,512010,0.492,0.488,0.498,0.486,2093255340
2023-04-17,512010,0.486,0.49,0.492,0.485,1814794778
2023-04-18,512010,0.487,0.485,0.488,0.482,1821347909
2023-04-19,512010,0.484,0.481,0.485,0.478,1918209100
2023-04-20,512010,0.48,0.471,0.482,0.47,2207105900
2023-04-21,512010,0.47,0.464,0.473,0.463,1686892551
2023-04-24,512010,0.465,0.462,0.47,0.46,1455656067
2023-04-25,512010,0.463,0.455,0.463,0.45,2690292000
2023-04-26,512010,0.452,0.455,0.459,0.451,1393650016
2023-04-27,512010,0.454,0.459,0.462,0.453,1292003561
2023-04-28,512010,0.461,0.461,0.465,0.457,1294486620
2023-05-04,512010,0.461,0.462,0.466,0.46,987663600
2023-05-05,512010,0.463,0.455,0.463,0.454,1237368950
2023-05-08,512010,0.459,0.457,0.46,0.453,1538438570
2023-05-09,512010,0.457,0.453,0.459,0.451,1434872097
2023-05-10,512010,0.452,0.454,0.455,0.448,1830559680
2023-05-11,512010,0.454,0.452,0.46,0.451,1519467350
2023-05-12,512010,0.451,0.449,0.455,0.448,1054320000
2023-05-15,512010,0.449,0.459,0.459,0.447,1305077830
2023-05-16,512010,0.461,0.463,0.464,0.459,1356566961
2023-05-17,512010,0.463,0.459,0.463,0.457,960731208
2023-05-18,512010,0.459,0.455,0.461,0.453,923710750
2023-05-19,512010,0.454,0.459,0.462,0.452,1178858500
2023-05-22,512010,0.459,0.462,0.466,0.459,1623913800
2023-05-23,512010,0.463,0.462,0.468,0.461,1241469157
2023-05-24,512010,0.461,0.455,0.461,0.454,1117274750
2023-05-25,512010,0.454,0.452,0.455,0.449,1106322800
2023-05-26,512010,0.452,0.453,0.456,0.452,989984100
2023-05-29,512010,0.454,0.452,0.457,0.448,1094089559
2023-05-30,512010,0.451,0.447,0.453,0.439,1550823440
2023-05-31,512010,0.445,0.437,0.447,0.436,1629550287
2023-06-01,512010,0.437,0.441,0.445,0.436,1279283200
2023-06-02,512010,0.441,0.443,0.445,0.439,1140257154
2023-06-05,512010,0.443,0.44,0.445,0.438,843225140
2023-06-06,512010,0.441,0.433,0.441,0.432,1167676236
2023-06-07,512010,0.434,0.426,0.435,0.423,1392613128
2023-06-08,512010,0.425,0.423,0.426,0.421,1364528903
2023-06-09,512010,0.424,0.428,0.429,0.423,1132777929
2023-06-12,512010,0.427,0.428,0.43,0.423,984933500
2023-06-13,512010,0.428,0.429,0.432,0.426,878745400
2023-06-14,512010,0.43,0.431,0.435,0.428,1218737699
2023-06-15,512010,0.432,0.441,0.441,0.431,1391320368
2023-06-16,512010,0.441,0.443,0.446,0.44,1015167899
2023-06-19,512010,0.442,0.438,0.443,0.437,807454101
2023-06-20,512010,0.439,0.436,0.441,0.435,1014947498
2023-06-21,512010,0.434,0.425,0.435,0.423,1502619670
2023-06-26,512010,0.422,0.423,0.424,0.419,1219999799
2023-06-27,512010,0.424,0.424,0.428,0.422,1189914531
2023-06-28,512010,0.424,0.421,0.425,0.42,810936100
2023-06-29,512010,0.421,0.421,0.424,0.419,1047318580
2023-06-30,512010,0.421,0.425,0.428,0.42,1267857000
2023-07-03,512010,0.426,0.429,0.429,0.424,1126813500
2023-07-04,512010,0.428,0.432,0.435,0.423,1699731842
2023-07-05,512010,0.431,0.428,0.432,0.428,858569700
2023-07-06,512010,0.428,0.422,0.428,0.421,1252863300
2023-07-07,512010,0.421,0.421,0.424,0.42,1095734900
2023-07-10,512010,0.423,0.423,0.429,0.422,1255019600
2023-07-11,512010,0.425,0.427,0.427,0.422,982024100
2023-07-12,512010,0.427,0.425,0.428,0.424,790935200
2023-07-13,512010,0.426,0.433,0.434,0.425,1562544551
2023-07-14,512010,0.433,0.431,0.434,0.43,828285188
2023-07-17,512010,0.43,0.427,0.431,0.426,788310633
2023-07-18,512010,0.428,0.43,0.43,0.426,789969477
2023-07-19,512010,0.429,0.426,0.43,0.425,892966177
2023-07-20,512010,0.428,0.424,0.431,0.424,784815244
2023-07-21,512010,0.425,0.429,0.434,0.424,1471256182
2023-07-24,512010,0.428,0.431,0.436,0.428,1167065850
2023-07-25,512010,0.434,0.436,0.436,0.431,1471931086
2023-07-26,512010,0.435,0.44,0.442,0.434,1468396085
2023-07-27,512010,0.44,0.441,0.444,0.439,1363932498
2023-07-28,512010,0.44,0.448,0.449,0.438,1522803192
2023-07-31,512010,0.45,0.437,0.451,0.434,2837504100
2023-08-01,512010,0.436,0.435,0.442,0.433,2032162240
2023-08-02,512010,0.434,0.428,0.435,0.428,2052001990
2023-08-03,512010,0.427,0.434,0.435,0.426,1698164180
2023-08-04,512010,0.436,0.431,0.438,0.431,1634140680
2023-08-07,512010,0.429,0.418,0.43,0.416,3890578820
2023-08-08,512010,0.416,0.42,0.423,0.415,2144842093
2023-08-09,512010,0.419,0.426,0.429,0.418,2396045870
2023-08-10,512010,0.425,0.427,0.427,0.422,1214594200
2023-08-11,512010,0.427,0.421,0.429,0.42,1360077757
2023-08-14,512010,0.418,0.423,0.423,0.417,1474973492
2023-08-15,512010,0.422,0.419,0.423,0.416,1413204730
2023-08-16,512010,0.419,0.42,0.425,0.418,1419900925
2023-08-17,512010,0.419,0.422,0.423,0.417,1273363597
2023-08-18,512010,0.422,0.416,0.423,0.415,1427104139
2023-08-21,512010,0.413,0.412,0.417,0.409,1612151910
2023-08-22,512010,0.412,0.41,0.414,0.402,2003545228
2023-08-23,512010,0.408,0.402,0.409,0.401,1230974867
2023-08-24,512010,0.403,0.412,0.414,0.402,1757912087
2023-08-25,512010,0.41,0.409,0.414,0.407,1225371800
2023-08-28,512010,0.433,0.415,0.435,0.413,2215010233
2023-08-29,512010,0.414,0.421,0.423,0.413,1504455352
2023-08-30,512010,0.422,0.421,0.423,0.418,1418783118
2023-08-31,512010,0.419,0.419,0.42,0.416,1017479538
2023-09-01,512010,0.419,0.416,0.42,0.414,1143120639
2023-09-04,512010,0.417,0.42,0.422,0.416,1162435125
2023-09-05,512010,0.419,0.418,0.42,0.417,797352014
2023-09-06,512010,0.417,0.412,0.418,0.411,1277508696
2023-09-07,512010,0.412,0.405,0.412,0.405,1211162910
2023-09-08,512010,0.404,0.405,0.408,0.404,1100013640
2023-09-11,512010,0.406,0.415,0.416,0.405,2105822527
