date,code,open,close,high,low,volume
2022-11-23,512760,1.002,0.999,1.009,0.979,304561900
2022-11-24,512760,1.0,0.988,1.007,0.986,254501000
2022-11-25,512760,0.987,0.982,1.007,0.98,311095200
2022-11-28,512760,0.964,0.968,0.975,0.958,362812342
2022-11-29,512760,0.968,0.984,0.989,0.962,360369901
2022-11-30,512760,0.984,0.979,0.99,0.972,295807251
2022-12-01,512760,0.995,0.992,1.007,0.99,405455324
2022-12-02,512760,0.987,0.985,1.0,0.985,259972524
2022-12-05,512760,0.992,0.993,0.996,0.98,329094736
2022-12-06,512760,0.991,1.012,1.023,0.989,544837940
2022-12-07,512760,1.008,1.002,1.009,1.0,308349565
2022-12-08,512760,1.003,0.987,1.004,0.986,308759152
2022-12-09,512760,0.988,0.997,1.006,0.988,682432694
2022-12-12,512760,0.998,1.018,1.027,0.99,487969730
2022-12-13,512760,1.012,1.002,1.015,1.0,306203363
2022-12-14,512760,1.036,1.001,1.04,0.999,618021958
2022-12-15,512760,0.996,1.015,1.026,0.99,497573160
2022-12-16,512760,1.006,0.994,1.007,0.99,434508700
2022-12-19,512760,0.99,0.967,0.996,0.964,358261037
2022-12-20,512760,0.961,0.969,0.979,0.961,282291387
2022-12-21,512760,0.968,0.954,0.975,0.946,308534100
2022-12-22,512760,0.958,0.937,0.96,0.934,308666692
2022-12-23,512760,0.926,0.918,0.933,0.91,344712093
2022-12-26,512760,0.916,0.941,0.944,0.914,278548853
2022-12-27,512760,0.941,0.955,0.957,0.935,273419629
2022-12-28,512760,0.945,0.942,0.953,0.941,204327301
2022-12-29,512760,0.937,0.942,0.952,0.935,231091606
2022-12-30,512760,0.947,0.934,0.952,0.933,257381206
2023-01-03,512760,0.934,0.948,0.949,0.923,293875426
2023-01-04,512760,0.948,0.942,0.961,0.936,279978200
2023-01-05,512760,0.942,0.95,0.954,0.935,351869893
2023-01-06,512760,0.947,0.949,0.959,0.94,380880900
2023-01-09,512760,0.952,0.954,0.968,0.948,392720200
2023-01-10,512760,0.954,0.963,0.974,0.95,442137300
2023-01-11,512760,0.964,0.952,0.978,0.95,392732347
2023-01-12,512760,0.953,0.949,0.955,0.943,283897900
2023-01-13,512760,0.952,0.951,0.953,0.941,318144200
2023-01-16,512760,0.941,0.979,0.985,0.94,638325894
2023-01-17,512760,0.982,1.002,1.011,0.98,562477755
2023-01-18,512760,1.003,1.001,1.008,0.996,312110662
2023-01-19,512760,1.0,1.023,1.025,0.997,463794200
2023-01-20,512760,1.025,1.028,1.029,1.019,259712210
2023-01-30,512760,1.039,1.027,1.044,1.021,470541106
2023-01-31,512760,1.027,1.001,1.027,0.998,437100136
2023-02-01,512760,1.001,1.016,1.021,1.001,477649110
2023-02-02,512760,1.024,1.033,1.05,1.022,621430826
2023-02-03,512760,1.027,1.036,1.045,1.017,559263353
2023-02-06,512760,1.028,1.022,1.037,1.018,381919233
2023-02-07,512760,1.021,1.02,1.026,1.012,301242241
2023-02-08,512760,1.022,1.008,1.034,1.006,349653710
2023-02-09,512760,1.003,1.05,1.05,0.996,742586144
2023-02-10,512760,1.046,1.045,1.058,1.035,519125050
2023-02-13,512760,1.039,1.048,1.055,1.031,358895273
2023-02-14,512760,1.05,1.044,1.068,1.036,388171560
2023-02-15,512760,1.046,1.056,1.056,1.033,404776100
2023-02-16,512760,1.051,1.027,1.066,1.018,638013281
2023-02-17,512760,1.025,0.992,1.028,0.992,711424117
2023-02-20,512760,0.991,1.006,1.006,0.983,535932128
2023-02-21,512760,1.005,1.001,1.012,0.991,398684256
2023-02-22,512760,0.994,0.999,1.005,0.991,317067700
2023-02-23,512760,1.0,0.997,1.002,0.992,312465800
2023-02-24,512760,1.002,0.994,1.007,0.99,347574305
2023-02-27,512760,0.988,0.975,0.992,0.972,445710990
2023-02-28,512760,0.978,0.981,0.985,0.969,300149488
2023-03-01,512760,0.98,0.991,0.993,0.977,426848510
2023-03-02,512760,0.993,0.982,1.0,0.981,364298850
2023-03-03,512760,0.997,1.007,1.01,0.99,653287860
2023-03-06,512760,1.005,1.011,1.019,0.995,484912705
2023-03-07,512760,1.008,0.983,1.013,0.982,592480800
2023-03-08,512760,0.981,0.991,0.993,0.979,336833234
2023-03-09,512760,0.991,1.0,1.013,0.991,463589634
2023-03-10,512760,0.992,0.995,1.012,0.989,454554800
2023-03-13,512760,0.991,0.996,1.001,0.984,349511976
2023-03-14,512760,0.993,1.027,1.03,0.985,868758498
2023-03-15,512760,1.03,1.024,1.047,1.022,558277685
2023-03-16,512760,1.015,1.016,1.035,1.013,549589608
2023-03-17,512760,1.028,1.036,1.043,1.016,601297981
2023-03-20,512760,1.034,1.059,1.068,1.027,693674776
2023-03-21,512760,1.056,1.057,1.062,1.044,447968498
2023-03-22,512760,1.056,1.06,1.063,1.048,403647138
2023-03-23,512760,1.055,1.106,1.107,1.053,911124363
2023-03-24,512760,1.106,1.097,1.11,1.082,719214900
2023-03-27,512760,1.096,1.082,1.102,1.071,532349633
2023-03-28,512760,1.076,1.05,1.082,1.048,537596400
2023-03-29,512760,1.05,1.084,1.099,1.043,725969358
2023-03-30,512760,1.087,1.096,1.11,1.081,788429839
2023-03-31,512760,1.097,1.106,1.107,1.087,441533243
2023-04-03,512760,1.122,1.165,1.166,1.122,787299516
2023-04-04,512760,1.162,1.182,1.21,1.155,932612987
2023-04-06,512760,1.176,1.231,1.268,1.173,1034075112
2023-04-07,512760,1.239,1.25,1.26,1.22,691974059
2023-04-10,512760,1.251,1.203,1.267,1.197,878765414
2023-04-11,512760,1.203,1.206,1.224,1.179,728496903
2023-04-12,512760,1.2,1.221,1.231,1.187,612346252
2023-04-13,512760,1.21,1.178,1.221,1.173,678349308
2023-04-14,512760,1.192,1.233,1.234,1.157,1057263070
2023-04-17,512760,1.232,1.221,1.24,1.213,594033821
2023-04-18,512760,1.21,1.196,1.213,1.176,725562076
2023-04-19,512760,1.199,1.197,1.223,1.192,570944658
2023-04-20,512760,1.189,1.23,1.233,1.189,731688517
2023-04-21,512760,1.228,1.16,1.229,1.16,796699250
2023-04-24,512760,1.148,1.127,1.162,1.116,652416703
2023-04-25,512760,1.128,1.102,1.136,1.087,753387000
2023-04-26,512760,1.092,1.071,1.1,1.06,1064906379
2023-04-27,512760,1.064,1.072,1.095,1.061,932822919
2023-04-28,512760,1.063,1.089,1.098,1.062,1051503867
2023-05-04,512760,1.08,1.061,1.086,1.057,608386531
2023-05-05,512760,1.059,1.047,1.072,1.045,518385724
2023-05-08,512760,1.045,1.051,1.063,1.039,705197500
