date,code,open,close,high,low,volume
2022-11-23,512800,1.018,1.023,1.036,1.017,218036504
2022-11-24,512800,1.028,1.022,1.033,1.018,129318700
2022-11-25,512800,1.022,1.045,1.049,1.02,339470279
2022-11-28,512800,1.033,1.028,1.033,1.018,207446486
2022-11-29,512800,1.037,1.073,1.08,1.037,635520146
2022-11-30,512800,1.073,1.067,1.081,1.066,219808837
2022-12-01,512800,1.086,1.062,1.088,1.06,234907079
2022-12-02,512800,1.061,1.054,1.063,1.046,173253142
2022-12-05,512800,1.061,1.081,1.085,1.06,449995360
2022-12-06,512800,1.077,1.08,1.083,1.072,183807071
2022-12-07,512800,1.077,1.071,1.082,1.068,233229500
2022-12-08,512800,1.07,1.078,1.084,1.067,114663100
2022-12-09,512800,1.08,1.09,1.095,1.077,189168613
2022-12-12,512800,1.083,1.068,1.085,1.065,192423981
2022-12-13,512800,1.065,1.076,1.079,1.065,99880859
2022-12-14,512800,1.077,1.079,1.084,1.07,119264066
2022-12-15,512800,1.077,1.068,1.08,1.066,217324966
2022-12-16,512800,1.063,1.078,1.082,1.063,161600581
2022-12-19,512800,1.08,1.062,1.084,1.06,125763181
2022-12-20,512800,1.061,1.048,1.065,1.043,133775100
2022-12-21,512800,1.048,1.053,1.06,1.048,158909900
2022-12-22,512800,1.058,1.056,1.066,1.054,168312200
2022-12-23,512800,1.052,1.054,1.061,1.05,186196200
2022-12-26,512800,1.051,1.048,1.056,1.047,96821000
2022-12-27,512800,1.053,1.068,1.069,1.053,118892122
2022-12-28,512800,1.065,1.077,1.081,1.064,140261100
2022-12-29,512800,1.072,1.071,1.075,1.061,207346400
2022-12-30,512800,1.072,1.078,1.082,1.071,163053300
2023-01-03,512800,1.077,1.083,1.085,1.065,120749500
2023-01-04,512800,1.081,1.103,1.108,1.081,254414777
2023-01-05,512800,1.103,1.104,1.113,1.1,208656277
2023-01-06,512800,1.103,1.101,1.107,1.093,162501447
2023-01-09,512800,1.101,1.102,1.107,1.096,230488400
2023-01-10,512800,1.102,1.09,1.102,1.087,184902900
2023-01-11,512800,1.09,1.098,1.103,1.089,249682050
2023-01-12,512800,1.101,1.1,1.102,1.092,106459050
2023-01-13,512800,1.099,1.111,1.111,1.098,147571500
2023-01-16,512800,1.111,1.113,1.126,1.109,206596059
2023-01-17,512800,1.111,1.112,1.116,1.106,181956906
2023-01-18,512800,1.112,1.113,1.117,1.108,131992300
2023-01-19,512800,1.11,1.114,1.115,1.103,176528700
2023-01-20,512800,1.115,1.115,1.116,1.111,144786506
2023-01-30,512800,1.129,1.119,1.132,1.117,269030400
2023-01-31,512800,1.119,1.109,1.125,1.107,158167300
2023-02-01,512800,1.11,1.106,1.112,1.095,232820500
2023-02-02,512800,1.107,1.097,1.108,1.093,274791450
2023-02-03,512800,1.093,1.088,1.096,1.082,327212500
2023-02-06,512800,1.081,1.076,1.082,1.073,224264100
2023-02-07,512800,1.077,1.081,1.085,1.077,278419100
2023-02-08,512800,1.081,1.079,1.085,1.077,113102700
2023-02-09,512800,1.077,1.083,1.086,1.076,188829200
2023-02-10,512800,1.081,1.083,1.083,1.076,127451300
2023-02-13,512800,1.083,1.074,1.083,1.067,310141200
2023-02-14,512800,1.074,1.076,1.078,1.072,223509700
2023-02-15,512800,1.075,1.067,1.076,1.065,200009000
2023-02-16,512800,1.066,1.067,1.076,1.063,252156800
2023-02-17,512800,1.065,1.059,1.068,1.055,163476300
2023-02-20,512800,1.06,1.084,1.085,1.059,316888841
2023-02-21,512800,1.084,1.086,1.086,1.079,190705198
2023-02-22,512800,1.082,1.078,1.083,1.076,123397900
2023-02-23,512800,1.078,1.079,1.086,1.077,118153861
2023-02-24,512800,1.078,1.07,1.079,1.069,198145400
2023-02-27,512800,1.068,1.066,1.07,1.064,98788800
2023-02-28,512800,1.067,1.069,1.069,1.061,102983800
2023-03-01,512800,1.067,1.079,1.081,1.067,166973800
2023-03-02,512800,1.079,1.083,1.087,1.077,167874100
2023-03-03,512800,1.086,1.094,1.096,1.082,296933071
2023-03-06,512800,1.094,1.077,1.095,1.076,225731900
2023-03-07,512800,1.075,1.078,1.099,1.073,316203445
2023-03-08,512800,1.072,1.071,1.073,1.064,197993337
2023-03-09,512800,1.07,1.067,1.076,1.065,145499969
2023-03-10,512800,1.061,1.05,1.064,1.05,190260000
2023-03-13,512800,1.049,1.053,1.056,1.045,160157000
2023-03-14,512800,1.047,1.045,1.053,1.041,154149037
2023-03-15,512800,1.05,1.056,1.06,1.05,174217600
2023-03-16,512800,1.052,1.057,1.069,1.049,220513869
2023-03-17,512800,1.061,1.058,1.069,1.053,268392100
2023-03-20,512800,1.058,1.052,1.066,1.052,186782500
2023-03-21,512800,1.053,1.05,1.061,1.047,176187831
2023-03-22,512800,1.052,1.059,1.061,1.05,151503200
2023-03-23,512800,1.056,1.066,1.067,1.053,198439800
2023-03-24,512800,1.063,1.056,1.064,1.054,127208500
2023-03-27,512800,1.051,1.045,1.055,1.043,195639700
2023-03-28,512800,1.047,1.049,1.052,1.044,142937200
2023-03-29,512800,1.051,1.046,1.054,1.045,154606500
2023-03-30,512800,1.048,1.054,1.055,1.042,158083800
2023-03-31,512800,1.053,1.05,1.059,1.047,135433400
