date,code,open,close,high,low,volume
2022-11-23,513180,0.48,0.487,0.491,0.474,6370065466
2022-11-24,513180,0.49,0.484,0.495,0.483,3897289827
2022-11-25,513180,0.488,0.479,0.488,0.476,3714793316
2022-11-28,513180,0.461,0.47,0.474,0.458,6654559735
2022-11-29,513180,0.483,0.497,0.499,0.48,7697970862
2022-11-30,513180,0.5,0.505,0.508,0.497,5088620617
2022-12-01,513180,0.532,0.522,0.541,0.52,7043265986
2022-12-02,513180,0.52,0.521,0.531,0.516,5174297206
2022-12-05,513180,0.542,0.559,0.561,0.535,6547576327
2022-12-06,513180,0.549,0.551,0.569,0.546,5964294624
2022-12-07,513180,0.553,0.547,0.575,0.545,7744509648
2022-12-08,513180,0.544,0.562,0.564,0.542,6771060912
2022-12-09,513180,0.569,0.577,0.584,0.559,8210806714
2022-12-12,513180,0.567,0.558,0.574,0.558,4712093607
2022-12-13,513180,0.558,0.561,0.57,0.555,5286650947
2022-12-14,513180,0.567,0.563,0.57,0.553,5641433693
2022-12-15,513180,0.56,0.55,0.562,0.548,4288278789
2022-12-16,513180,0.547,0.554,0.56,0.539,5272580818
2022-12-19,513180,0.558,0.549,0.57,0.545,4946197009
2022-12-20,513180,0.543,0.529,0.544,0.526,4700246892
2022-12-21,513180,0.534,0.53,0.537,0.53,3723235060
2022-12-22,513180,0.547,0.558,0.562,0.545,4329818373
2022-12-23,513180,0.549,0.551,0.56,0.546,3394764500
2022-12-26,513180,0.547,0.543,0.548,0.542,1019452619
2022-12-27,513180,0.547,0.555,0.556,0.547,1369582375
2022-12-28,513180,0.555,0.557,0.568,0.554,3333675687
2022-12-29,513180,0.548,0.547,0.554,0.544,3171251425
2022-12-30,513180,0.558,0.549,0.56,0.548,2601410571
2023-01-03,513180,0.542,0.554,0.557,0.531,4446034132
2023-01-04,513180,0.564,0.578,0.579,0.56,4183115325
2023-01-05,513180,0.596,0.587,0.604,0.586,5136376045
2023-01-06,513180,0.594,0.578,0.596,0.574,4074540944
2023-01-09,513180,0.584,0.588,0.593,0.579,3707419700
2023-01-10,513180,0.587,0.586,0.589,0.578,3305556202
2023-01-11,513180,0.591,0.586,0.599,0.585,3449740600
2023-01-12,513180,0.588,0.571,0.59,0.567,5333078863
2023-01-13,513180,0.575,0.578,0.579,0.568,3756935468
2023-01-16,513180,0.582,0.569,0.584,0.567,4992602201
2023-01-17,513180,0.572,0.573,0.582,0.568,3862290162
2023-01-18,513180,0.573,0.575,0.581,0.568,2888496717
2023-01-19,513180,0.57,0.571,0.575,0.565,2728191300
2023-01-20,513180,0.576,0.583,0.585,0.574,2880102027
2023-01-30,513180,0.608,0.587,0.609,0.586,5452500768
2023-01-31,513180,0.588,0.571,0.592,0.57,4215803840
2023-02-01,513180,0.582,0.595,0.597,0.576,4845295864
2023-02-02,513180,0.603,0.6,0.608,0.596,3362995881
2023-02-03,513180,0.592,0.591,0.596,0.582,3758520647
2023-02-06,513180,0.577,0.568,0.58,0.566,4706584100
2023-02-07,513180,0.572,0.575,0.583,0.571,4405693233
2023-02-08,513180,0.574,0.565,0.577,0.563,4188242566
2023-02-09,513180,0.561,0.583,0.583,0.56,4613538097
2023-02-10,513180,0.578,0.561,0.579,0.56,4750137900
2023-02-13,513180,0.553,0.561,0.566,0.551,5271758502
2023-02-14,513180,0.565,0.557,0.566,0.557,2846372824
2023-02-15,513180,0.559,0.554,0.562,0.549,3969907783
2023-02-16,513180,0.56,0.564,0.577,0.558,6961668256
2023-02-17,513180,0.564,0.554,0.569,0.553,4736184645
2023-02-20,513180,0.554,0.561,0.563,0.548,4546916332
2023-02-21,513180,0.557,0.545,0.559,0.542,5833663489
2023-02-22,513180,0.538,0.535,0.543,0.532,5817635706
2023-02-23,513180,0.536,0.54,0.546,0.534,6153613208
2023-02-24,513180,0.537,0.532,0.538,0.53,4753352679
2023-02-27,513180,0.524,0.523,0.533,0.522,5449831900
2023-02-28,513180,0.528,0.52,0.531,0.515,4487724961
2023-03-01,513180,0.521,0.545,0.546,0.518,6345923758
2023-03-02,513180,0.535,0.538,0.542,0.534,3887727600
2023-03-03,513180,0.551,0.553,0.556,0.543,3857845400
2023-03-06,513180,0.548,0.549,0.554,0.542,3626205600
2023-03-07,513180,0.548,0.537,0.558,0.535,5988336616
2023-03-08,513180,0.531,0.526,0.533,0.522,4628262100
2023-03-09,513180,0.526,0.524,0.529,0.521,3486294501
2023-03-10,513180,0.509,0.499,0.51,0.499,6068895054
2023-03-13,513180,0.504,0.51,0.516,0.502,6005037195
2023-03-14,513180,0.507,0.498,0.51,0.495,5522597821
2023-03-15,513180,0.507,0.503,0.514,0.501,5081991497
2023-03-16,513180,0.499,0.497,0.509,0.496,4609684900
2023-03-17,513180,0.508,0.514,0.518,0.506,5553232724
2023-03-20,513180,0.516,0.502,0.517,0.499,4336661500
2023-03-21,513180,0.508,0.514,0.514,0.505,4536453095
2023-03-22,513180,0.522,0.523,0.53,0.521,3804722300
2023-03-23,513180,0.521,0.539,0.539,0.518,5478671346
2023-03-24,513180,0.54,0.544,0.555,0.539,5956915812
2023-03-27,513180,0.546,0.54,0.547,0.532,5422770351
2023-03-28,513180,0.54,0.54,0.545,0.533,3940104198
2023-03-29,513180,0.564,0.555,0.565,0.552,5545356674
2023-03-30,513180,0.557,0.555,0.563,0.55,4253398700
2023-03-31,513180,0.565,0.56,0.567,0.557,3386847000
2023-04-03,513180,0.557,0.559,0.561,0.553,3012281102
2023-04-04,513180,0.558,0.553,0.558,0.547,3433390450
2023-04-06,513180,0.543,0.547,0.551,0.542,3371970322
2023-04-07,513180,0.554,0.557,0.559,0.553,1568728449
2023-04-10,513180,0.558,0.555,0.559,0.555,668484622
2023-04-11,513180,0.557,0.55,0.562,0.546,4140377802
2023-04-12,513180,0.552,0.543,0.554,0.542,2629806100
2023-04-13,513180,0.533,0.536,0.54,0.528,3774126600
2023-04-14,513180,0.543,0.54,0.545,0.534,3094062964
2023-04-17,513180,0.537,0.552,0.553,0.536,3703270902
2023-04-18,513180,0.55,0.546,0.552,0.545,2697140763
2023-04-19,513180,0.545,0.538,0.546,0.536,2629605981
2023-04-20,513180,0.537,0.536,0.539,0.534,2399685500
2023-04-21,513180,0.533,0.52,0.533,0.519,3582718640
