date,code,open,close,high,low,volume
2022-11-23,515030,1.749,1.763,1.77,1.728,134985845
2022-11-24,515030,1.772,1.769,1.791,1.754,150144800
2022-11-25,515030,1.761,1.729,1.762,1.727,140376100
2022-11-28,515030,1.694,1.716,1.718,1.678,105946400
2022-11-29,515030,1.71,1.729,1.74,1.703,154925600
2022-11-30,515030,1.73,1.759,1.771,1.724,223412327
2022-12-01,515030,1.8,1.788,1.813,1.786,239364386
2022-12-02,515030,1.774,1.777,1.799,1.772,99311926
2022-12-05,515030,1.789,1.782,1.794,1.764,127930823
2022-12-06,515030,1.768,1.798,1.815,1.754,182092765
2022-12-07,515030,1.792,1.837,1.86,1.787,205078404
2022-12-08,515030,1.831,1.832,1.85,1.815,109311700
2022-12-09,515030,1.831,1.828,1.84,1.814,105375145
2022-12-12,515030,1.823,1.8,1.823,1.794,86968804
2022-12-13,515030,1.8,1.773,1.814,1.77,100831326
2022-12-14,515030,1.773,1.761,1.785,1.755,80692100
2022-12-15,515030,1.759,1.813,1.815,1.753,169749906
2022-12-16,515030,1.799,1.769,1.805,1.76,123368176
2022-12-19,515030,1.775,1.777,1.824,1.772,168418864
2022-12-20,515030,1.766,1.74,1.77,1.732,106267513
2022-12-21,515030,1.74,1.729,1.751,1.721,83975966
2022-12-22,515030,1.736,1.7,1.738,1.69,118955411
2022-12-23,515030,1.685,1.675,1.693,1.662,112418611
2022-12-26,515030,1.673,1.727,1.729,1.672,108784338
2022-12-27,515030,1.727,1.73,1.734,1.705,139564600
2022-12-28,515030,1.717,1.694,1.717,1.673,150828211
2022-12-29,515030,1.684,1.694,1.712,1.68,109307769
2022-12-30,515030,1.708,1.678,1.716,1.676,119077839
2023-01-03,515030,1.675,1.69,1.694,1.646,153705265
2023-01-04,515030,1.68,1.654,1.682,1.647,174552937
2023-01-05,515030,1.665,1.712,1.721,1.66,223553323
2023-01-06,515030,1.707,1.736,1.763,1.705,494785351
2023-01-09,515030,1.748,1.746,1.773,1.743,183208747
2023-01-10,515030,1.742,1.77,1.782,1.726,217949168
2023-01-11,515030,1.766,1.749,1.774,1.745,128084460
2023-01-12,515030,1.753,1.776,1.804,1.753,191794254
2023-01-13,515030,1.789,1.782,1.807,1.762,140277786
2023-01-16,515030,1.783,1.786,1.803,1.766,242016460
2023-01-17,515030,1.785,1.792,1.808,1.784,167841923
2023-01-18,515030,1.799,1.795,1.814,1.79,150550138
2023-01-19,515030,1.795,1.802,1.804,1.782,117967090
2023-01-20,515030,1.805,1.832,1.833,1.798,158914580
2023-01-30,515030,1.9,1.884,1.922,1.88,270786461
2023-01-31,515030,1.884,1.875,1.894,1.865,150559706
2023-02-01,515030,1.881,1.917,1.919,1.881,253615781
2023-02-02,515030,1.923,1.898,1.93,1.897,193955000
2023-02-03,515030,1.894,1.871,1.896,1.845,220384852
2023-02-06,515030,1.86,1.841,1.865,1.829,158818537
2023-02-07,515030,1.841,1.846,1.852,1.831,176241494
2023-02-08,515030,1.848,1.847,1.865,1.836,169765353
2023-02-09,515030,1.841,1.863,1.865,1.831,140984597
2023-02-10,515030,1.853,1.829,1.857,1.824,136684100
2023-02-13,515030,1.825,1.841,1.846,1.821,109260356
2023-02-14,515030,1.844,1.831,1.85,1.822,120569850
2023-02-15,515030,1.837,1.816,1.846,1.815,101418200
2023-02-16,515030,1.818,1.783,1.829,1.772,187855919
2023-02-17,515030,1.782,1.747,1.791,1.743,223335879
2023-02-20,515030,1.743,1.751,1.752,1.712,175404997
