date,code,open,close,high,low,volume
2025-11-14,563530,0.998,0.988,1.004,0.987,509302.0
2025-11-17,563530,0.99,0.996,0.999,0.988,148315.0
2025-11-18,563530,0.996,0.978,0.996,0.975,57851.0
2025-11-19,563530,0.975,0.975,0.987,0.973,60190.0
2025-11-20,563530,0.975,0.972,0.99,0.97,54039.0
2025-11-21,563530,0.961,0.943,0.97,0.94,106379.0
2025-11-24,563530,0.945,0.983,0.985,0.945,122100.0
2025-11-25,563530,0.983,0.994,1.005,0.976,448515.0
2025-11-26,563530,0.993,0.978,1.0,0.976,128785.0
2025-11-27,563530,0.978,0.977,0.986,0.968,109784.0
2025-11-28,563530,0.985,0.999,1.0,0.984,326470.0
2025-12-01,563530,1.006,1.012,1.021,1.003,1066388.0
2025-12-02,563530,1.009,1.011,1.02,1.0,642883.0
2025-12-03,563530,1.016,0.997,1.018,0.989,292556.0
2025-12-04,563530,0.997,1.021,1.03,0.992,650886.0
2025-12-05,563530,1.02,1.048,1.052,1.01,732961.0
2025-12-08,563530,1.065,1.067,1.093,1.062,624388.0
2025-12-09,563530,1.067,1.061,1.073,1.05,343624.0
2025-12-10,563530,1.055,1.078,1.089,1.052,244489.0
2025-12-11,563530,1.082,1.094,1.104,1.076,398905.0
2025-12-12,563530,1.095,1.108,1.116,1.085,346795.0
2025-12-15,563530,1.111,1.132,1.141,1.092,367635.0
2025-12-16,563530,1.132,1.138,1.15,1.1,617625.0
2025-12-17,563530,1.13,1.131,1.147,1.11,638735.0
2025-12-18,563530,1.127,1.174,1.197,1.121,591682.0
2025-12-19,563530,1.176,1.186,1.214,1.176,648973.0
2025-12-22,563530,1.199,1.205,1.22,1.192,531576.0
2025-12-23,563530,1.215,1.155,1.215,1.143,1035451.0
2025-12-24,563530,1.139,1.212,1.212,1.136,792850.0
2025-12-25,563530,1.213,1.283,1.284,1.202,992817.0
2025-12-26,563530,1.29,1.329,1.341,1.274,1190707.0
2025-12-29,563530,1.316,1.354,1.358,1.297,971197.0
2025-12-30,563530,1.354,1.343,1.397,1.321,1224078.0
2025-12-31,563530,1.339,1.438,1.445,1.336,1354557.0
2026-01-05,563530,1.47,1.484,1.505,1.439,1509065.0
2026-01-06,563530,1.481,1.603,1.61,1.467,1631469.0
2026-01-07,563530,1.62,1.575,1.62,1.529,2536478.0
2026-01-08,563530,1.552,1.657,1.667,1.545,2090124.0
2026-01-09,563530,1.683,1.761,1.789,1.683,3540446.0
2026-01-12,563530,1.83,1.937,1.937,1.801,2817703.0
2026-01-13,563530,1.99,1.807,1.991,1.75,4086874.0
2026-01-14,563530,1.788,1.833,1.897,1.767,3395370.0
2026-01-15,563530,1.764,1.656,1.78,1.65,2623608.0
2026-01-16,563530,1.664,1.682,1.717,1.645,1862189.0
2026-01-19,563530,1.66,1.694,1.72,1.656,1660015.0
