date,code,open,close,high,low,volume
2022-11-23,600026,18.81,18.88,19.18,18.33,60000242
2022-11-24,600026,18.08,18.22,18.6,17.79,55942196
2022-11-25,600026,17.99,18.14,18.25,17.28,45657450
2022-11-28,600026,17.68,17.92,18.08,17.38,34363302
2022-11-29,600026,17.56,16.75,17.67,16.48,113594140
2022-11-30,600026,16.49,15.38,16.49,15.08,134623686
2022-12-01,600026,15.06,15.25,15.39,14.66,92055977
2022-12-02,600026,15.1,13.78,15.1,13.73,153844139
2022-12-05,600026,13.89,14.18,14.61,13.89,124416524
2022-12-06,600026,13.93,13.69,14.13,13.53,90298030
2022-12-07,600026,13.5,13.56,13.7,13.33,69868722
2022-12-08,600026,13.47,13.34,13.55,13.22,56015710
2022-12-09,600026,13.6,13.65,13.77,13.42,92907464
2022-12-12,600026,13.73,13.94,14.0,12.87,95824041
2022-12-13,600026,14.3,14.81,14.99,14.3,123415918
2022-12-14,600026,14.4,14.12,14.66,14.08,71048848
2022-12-15,600026,13.94,13.95,14.22,13.79,49068098
2022-12-16,600026,13.86,13.77,14.16,13.57,40932488
2022-12-19,600026,13.54,13.2,13.78,13.11,64348515
2022-12-20,600026,13.13,13.28,13.42,12.96,41651150
2022-12-21,600026,13.18,13.18,13.33,12.93,32500771
2022-12-22,600026,13.19,12.44,13.26,12.39,80078507
2022-12-23,600026,12.34,12.03,12.55,11.78,67962827
2022-12-26,600026,12.1,12.24,12.33,11.86,40940554
2022-12-27,600026,12.25,12.26,12.33,12.05,32160695
2022-12-28,600026,12.22,12.15,12.43,12.04,39439316
2022-12-29,600026,11.95,12.01,12.15,11.95,31420679
2022-12-30,600026,12.02,12.05,12.34,11.92,43632817
2023-01-03,600026,12.02,12.58,12.69,11.88,62573064
2023-01-04,600026,12.37,12.05,12.44,11.9,68716918
2023-01-05,600026,11.88,11.89,12.04,11.81,48807044
2023-01-06,600026,11.81,12.0,12.13,11.61,62017106
2023-01-09,600026,11.94,12.0,12.23,11.92,41472556
2023-01-10,600026,12.04,11.78,12.12,11.73,45955478
2023-01-11,600026,11.89,12.25,12.56,11.82,104970713
2023-01-12,600026,12.13,13.06,13.18,11.89,133904433
2023-01-13,600026,13.12,13.42,13.76,12.93,114887988
2023-01-16,600026,13.33,13.66,13.83,13.06,82353005
2023-01-17,600026,13.64,13.65,13.7,13.35,44070723
2023-01-18,600026,13.75,14.18,14.44,13.75,68318563
2023-01-19,600026,14.15,14.18,14.22,13.87,35924178
2023-01-20,600026,14.15,14.32,14.6,14.12,38161688
2023-01-30,600026,14.54,13.69,14.62,13.63,63517460
2023-01-31,600026,13.76,14.28,14.68,13.7,69771893
2023-02-01,600026,14.37,14.89,14.94,14.0,67982428
2023-02-02,600026,14.9,14.92,15.6,14.72,71147641
2023-02-03,600026,14.76,15.09,15.28,14.69,51488528
2023-02-06,600026,15.08,14.92,15.35,14.7,37801766
2023-02-07,600026,15.3,15.58,15.8,15.16,70831958
2023-02-08,600026,15.69,15.56,16.1,15.35,58566155
2023-02-09,600026,15.56,15.43,15.59,15.27,36173430
2023-02-10,600026,15.69,15.45,15.95,15.2,44038453
2023-02-13,600026,15.45,15.15,15.51,14.96,47932420
2023-02-14,600026,15.53,15.51,15.87,15.37,46712515
2023-02-15,600026,15.52,15.34,15.73,15.16,35520373
2023-02-16,600026,15.39,14.91,15.39,14.78,31268431
2023-02-17,600026,14.93,15.51,15.64,14.93,52215305
2023-02-20,600026,15.68,15.39,16.02,15.0,69332540
2023-02-21,600026,15.4,15.18,15.45,14.96,34818423
2023-02-22,600026,15.19,15.23,15.49,15.03,29108324
2023-02-23,600026,15.22,14.63,15.22,14.36,62467155
2023-02-24,600026,15.0,14.89,15.18,14.74,44674380
2023-02-27,600026,14.58,14.44,14.86,14.28,44592577
2023-02-28,600026,14.44,14.48,14.52,14.2,30116236
2023-03-01,600026,14.51,15.04,15.2,14.42,53506166
2023-03-02,600026,14.99,14.9,15.15,14.77,26177594
2023-03-03,600026,15.03,15.41,15.51,14.76,52455039
2023-03-06,600026,15.39,15.06,15.67,15.0,44596850
2023-03-07,600026,15.06,14.54,15.08,14.49,55957432
2023-03-08,600026,14.63,14.62,14.64,14.36,22450795
2023-03-09,600026,15.06,15.87,15.88,15.03,96074800
2023-03-10,600026,16.08,15.71,16.38,15.6,96455275
2023-03-13,600026,15.85,16.17,16.21,15.32,65453355
2023-03-14,600026,15.66,14.55,15.85,14.55,96919925
2023-03-15,600026,14.56,15.05,15.25,14.35,65172997
2023-03-16,600026,14.45,14.01,14.58,13.57,102412287
2023-03-17,600026,13.71,13.93,14.02,13.64,52404197
2023-03-20,600026,13.84,14.13,14.4,13.84,48091269
2023-03-21,600026,14.48,14.72,14.92,14.48,52547237
2023-03-22,600026,15.0,14.46,15.08,14.38,42551863
2023-03-23,600026,14.07,14.13,14.33,13.94,41147677
2023-03-24,600026,13.99,13.66,13.99,13.55,48534202
2023-03-27,600026,13.77,13.89,14.05,13.49,33559612
2023-03-28,600026,14.14,13.7,14.15,13.66,28829552
2023-03-29,600026,13.65,13.48,13.86,13.4,31392567
2023-03-30,600026,13.4,13.7,13.7,13.27,29853699
2023-03-31,600026,13.79,13.54,13.79,13.43,21673532
2023-04-03,600026,12.9,12.49,12.99,12.21,117087041
2023-04-04,600026,12.4,12.33,12.47,12.1,65246325
2023-04-06,600026,12.32,12.66,12.7,12.1,48943901
