date,code,open,close,high,low,volume
2022-11-23,600030,19.13,19.22,19.42,19.08,48763730
2022-11-24,600030,19.38,19.1,19.49,19.07,40616459
2022-11-25,600030,19.1,19.35,19.45,19.06,54237450
2022-11-28,600030,19.0,19.01,19.05,18.75,53679828
2022-11-29,600030,19.05,19.74,19.91,19.05,121273259
2022-11-30,600030,19.65,19.82,20.09,19.62,105567645
2022-12-01,600030,20.18,19.97,20.96,19.93,197949708
2022-12-02,600030,20.0,19.83,20.13,19.74,58584964
2022-12-05,600030,20.14,20.83,20.88,20.14,168080567
2022-12-06,600030,20.63,20.9,21.26,20.63,125161813
2022-12-07,600030,20.84,20.59,20.98,20.5,76081404
2022-12-08,600030,20.55,20.51,20.72,20.4,63247457
2022-12-09,600030,20.55,20.64,20.76,20.26,84404958
2022-12-12,600030,20.44,20.24,20.55,20.16,69433652
2022-12-13,600030,20.3,20.3,20.5,20.21,59767149
2022-12-14,600030,20.35,20.54,20.7,20.16,59059350
2022-12-15,600030,20.45,20.27,20.6,20.25,43305946
2022-12-16,600030,20.22,20.41,20.58,20.19,59449899
2022-12-19,600030,20.46,19.96,20.6,19.86,68277182
2022-12-20,600030,19.9,19.71,20.1,19.56,48812040
2022-12-21,600030,19.84,19.74,19.85,19.67,29533481
2022-12-22,600030,20.0,19.87,20.06,19.77,46856350
2022-12-23,600030,19.73,19.79,19.97,19.68,35493718
2022-12-26,600030,19.75,19.67,19.91,19.62,34223769
2022-12-27,600030,19.8,20.14,20.17,19.7,59665274
2022-12-28,600030,20.06,20.05,20.15,19.96,31369783
2022-12-29,600030,19.9,19.78,19.98,19.63,48367877
2022-12-30,600030,19.85,19.91,20.15,19.85,44871281
2023-01-03,600030,19.78,19.9,19.97,19.36,69294429
2023-01-04,600030,19.94,20.15,20.2,19.9,49264467
2023-01-05,600030,20.3,20.44,20.55,20.21,78058636
2023-01-06,600030,20.34,20.41,20.51,20.25,50333737
