date,code,open,close,high,low,volume
2022-11-23,600036,32.33,32.22,32.95,32.15,57764427
2022-11-24,600036,32.6,32.22,32.87,32.08,40630100
2022-11-25,600036,32.21,33.02,33.22,32.18,83012155
2022-11-28,600036,32.1,31.96,32.11,31.45,80937686
2022-11-29,600036,32.79,34.86,34.91,32.75,175318695
2022-11-30,600036,34.33,34.96,35.44,34.2,87332461
2022-12-01,600036,35.9,35.0,36.5,34.85,83139723
2022-12-02,600036,35.0,34.39,35.0,34.16,59846240
2022-12-05,600036,34.97,36.1,36.1,34.61,105060439
2022-12-06,600036,35.91,35.85,35.98,35.42,65110353
2022-12-07,600036,35.8,35.32,35.95,35.3,56460628
2022-12-08,600036,35.25,35.45,35.77,35.16,44355151
2022-12-09,600036,35.8,36.75,36.93,35.63,95816291
2022-12-12,600036,36.41,35.79,36.6,35.68,60626240
2022-12-13,600036,35.73,36.14,36.26,35.61,38290398
2022-12-14,600036,36.14,36.91,37.04,36.02,64436167
2022-12-15,600036,36.62,36.33,36.96,36.22,40340341
2022-12-16,600036,36.3,37.09,37.2,36.3,60782001
2022-12-19,600036,37.1,36.5,37.34,36.25,54784253
2022-12-20,600036,36.24,35.72,36.55,35.3,70291116
2022-12-21,600036,35.99,35.95,36.23,35.71,33049776
2022-12-22,600036,36.53,36.5,36.85,36.25,35971483
2022-12-23,600036,36.29,36.37,36.8,36.15,33058360
2022-12-26,600036,36.35,35.95,36.8,35.89,36047352
2022-12-27,600036,36.45,36.67,36.98,36.33,36790747
2022-12-28,600036,36.67,37.33,37.52,36.58,52885997
2022-12-29,600036,36.9,37.23,37.32,36.65,51362913
2022-12-30,600036,37.34,37.26,37.63,37.19,52322805
2023-01-03,600036,37.08,37.58,37.78,36.53,60626616
2023-01-04,600036,37.78,38.65,38.83,37.53,83645411
2023-01-05,600036,38.99,38.5,39.27,38.4,61908519
2023-01-06,600036,38.66,38.38,38.93,37.89,59000699
2023-01-09,600036,38.41,38.8,39.1,38.41,49914886
2023-01-10,600036,38.78,38.25,38.8,38.16,54197159
2023-01-11,600036,38.38,38.92,39.18,38.14,54170698
2023-01-12,600036,39.11,39.05,39.15,38.73,30434871
2023-01-13,600036,39.07,39.66,39.66,38.97,46376708
2023-01-16,600036,40.0,40.47,41.14,39.8,88046855
2023-01-17,600036,40.45,40.68,40.94,40.28,43204705
2023-01-18,600036,40.65,40.38,40.95,40.23,29467472
2023-01-19,600036,40.2,40.65,40.8,39.92,47249021
2023-01-20,600036,40.98,41.05,41.1,40.68,41340273
2023-01-30,600036,42.55,42.03,42.63,41.85,100700740
2023-01-31,600036,42.35,41.21,42.35,41.21,64231185
2023-02-01,600036,41.64,40.54,41.69,39.95,91679130
2023-02-02,600036,40.7,40.03,40.75,39.55,72723293
2023-02-03,600036,39.79,39.3,39.79,39.01,63816364
2023-02-06,600036,38.72,38.35,38.74,37.88,73100066
2023-02-07,600036,38.5,38.41,38.94,38.16,42657086
2023-02-08,600036,38.5,38.49,38.92,38.36,31706528
2023-02-09,600036,38.42,38.49,38.89,38.32,49817481
2023-02-10,600036,38.3,38.16,38.39,37.9,41102639
2023-02-13,600036,37.9,37.72,37.98,37.07,82518134
2023-02-14,600036,37.78,38.0,38.06,37.51,48607663
2023-02-15,600036,38.0,37.17,38.09,37.0,77104778
2023-02-16,600036,37.2,37.27,37.85,37.02,65415231
2023-02-17,600036,37.15,36.71,37.38,36.68,57581280
2023-02-20,600036,36.82,38.49,38.51,36.82,108022830
2023-02-21,600036,38.43,38.69,38.82,38.13,53046540
2023-02-22,600036,38.46,38.16,38.6,38.14,38309139
2023-02-23,600036,38.16,38.27,38.77,38.16,37063824
2023-02-24,600036,38.17,37.46,38.25,37.4,53369015
2023-02-27,600036,37.27,37.16,37.58,37.09,44933367
2023-02-28,600036,37.17,37.31,37.48,36.85,37822552
2023-03-01,600036,37.25,38.25,38.34,37.2,57119401
2023-03-02,600036,38.04,38.25,38.5,37.77,34907009
2023-03-03,600036,38.5,38.25,38.77,37.9,35711390
2023-03-06,600036,38.02,37.0,38.23,36.91,81051939
2023-03-07,600036,36.89,36.56,37.48,36.41,73741149
2023-03-08,600036,36.25,36.0,36.32,35.8,61658357
2023-03-09,600036,36.0,35.58,36.08,35.5,53999602
2023-03-10,600036,35.05,35.03,35.66,34.95,55845366
2023-03-13,600036,34.92,35.05,35.38,34.71,58420463
2023-03-14,600036,34.68,34.58,34.93,34.34,62666750
2023-03-15,600036,35.15,34.88,35.71,34.88,67638378
2023-03-16,600036,34.5,34.65,35.15,34.21,40389489
2023-03-17,600036,35.02,34.36,35.37,34.02,83271578
2023-03-20,600036,34.44,34.12,34.91,34.02,52072515
2023-03-21,600036,34.21,34.23,34.5,34.01,36747539
2023-03-22,600036,34.52,34.54,34.73,34.28,45986740
2023-03-23,600036,34.4,35.2,35.34,34.32,54214633
2023-03-24,600036,34.98,34.43,34.98,34.23,67871839
2023-03-27,600036,34.6,34.21,34.6,34.05,44983610
2023-03-28,600036,34.41,34.4,34.72,34.18,53323436
2023-03-29,600036,34.61,34.12,34.7,34.1,41863012
2023-03-30,600036,34.15,34.35,34.39,33.71,56228970
2023-03-31,600036,34.36,34.27,34.82,34.14,57779428
2023-04-03,600036,34.31,34.37,34.45,33.98,50467501
2023-04-04,600036,34.38,34.28,34.42,34.06,48782066
2023-04-06,600036,34.17,33.8,34.17,33.73,48679567
2023-04-07,600036,33.85,34.14,34.26,33.75,39414120
2023-04-10,600036,34.15,34.24,34.3,33.97,33015949
2023-04-11,600036,34.24,33.73,34.34,33.63,73399153
