date,code,open,close,high,low,volume
2022-11-23,600050,4.15,3.99,4.19,3.96,882296062
2022-11-24,600050,3.89,3.8,3.94,3.8,521374427
2022-11-25,600050,3.82,4.17,4.18,3.82,1034313628
2022-11-28,600050,4.06,4.18,4.22,4.01,753194800
2022-11-29,600050,4.15,4.14,4.26,4.06,562026649
2022-11-30,600050,4.13,4.41,4.55,4.13,905326636
2022-12-01,600050,4.41,4.72,4.85,4.35,1155082430
2022-12-02,600050,4.68,4.74,4.79,4.64,610710671
2022-12-05,600050,4.8,5.2,5.21,4.78,982683262
2022-12-06,600050,5.12,4.97,5.15,4.93,952125230
2022-12-07,600050,4.97,5.09,5.25,4.91,940639235
2022-12-08,600050,5.01,5.09,5.12,4.88,669576283
2022-12-09,600050,5.02,4.95,5.06,4.94,496891619
2022-12-12,600050,4.91,5.08,5.22,4.91,699781225
2022-12-13,600050,5.05,4.94,5.13,4.91,453934934
2022-12-14,600050,4.93,4.77,4.96,4.68,671734379
2022-12-15,600050,4.82,4.79,4.94,4.74,473335816
2022-12-16,600050,4.8,4.84,4.84,4.69,405622568
2022-12-19,600050,4.76,4.56,4.76,4.48,616083899
2022-12-20,600050,4.53,4.52,4.62,4.46,409472203
2022-12-21,600050,4.49,4.53,4.56,4.46,277071318
2022-12-22,600050,4.57,4.54,4.72,4.49,420981439
2022-12-23,600050,4.48,4.8,4.81,4.46,569901851
2022-12-26,600050,4.74,4.78,4.81,4.69,318148077
2022-12-27,600050,4.81,4.81,4.94,4.72,314695289
2022-12-28,600050,4.76,4.6,4.81,4.56,482424192
2022-12-29,600050,4.56,4.51,4.57,4.46,326669069
2022-12-30,600050,4.56,4.48,4.56,4.47,214550863
2023-01-03,600050,4.48,4.93,4.93,4.48,699118511
2023-01-04,600050,4.99,5.02,5.05,4.89,627081120
2023-01-05,600050,4.99,5.07,5.22,4.99,585858123
2023-01-06,600050,5.06,4.99,5.07,4.94,313203407
2023-01-09,600050,4.98,4.98,5.01,4.88,324694295
2023-01-10,600050,4.95,4.98,5.02,4.9,257194766
2023-01-11,600050,4.97,4.96,5.12,4.93,312740144
2023-01-12,600050,4.94,5.11,5.14,4.92,387040580
2023-01-13,600050,5.07,5.06,5.14,4.99,322792638
2023-01-16,600050,5.06,5.02,5.1,4.98,294448975
2023-01-17,600050,4.99,4.95,5.04,4.94,209494695
2023-01-18,600050,4.95,5.07,5.12,4.91,339236568
2023-01-19,600050,5.04,5.17,5.18,5.02,432430619
2023-01-20,600050,5.19,5.53,5.62,5.17,747013221
2023-01-30,600050,5.54,5.33,5.6,5.29,576652462
2023-01-31,600050,5.3,5.23,5.35,5.19,324864858
2023-02-01,600050,5.24,5.28,5.3,5.2,304455682
2023-02-02,600050,5.25,5.2,5.37,5.19,338303017
2023-02-03,600050,5.18,5.24,5.29,5.1,302822442
2023-02-06,600050,5.18,5.03,5.2,5.01,428552536
2023-02-07,600050,5.04,5.02,5.07,5.0,196935117
2023-02-08,600050,5.02,4.85,5.03,4.83,397361458
2023-02-09,600050,4.83,4.94,4.98,4.81,352908246
2023-02-10,600050,4.92,4.98,5.03,4.89,276007189
2023-02-13,600050,4.95,5.04,5.08,4.95,287935352
2023-02-14,600050,5.04,4.96,5.09,4.92,242703051
2023-02-15,600050,4.99,5.05,5.19,4.97,470439051
2023-02-16,600050,5.01,5.21,5.49,5.01,806053399
2023-02-17,600050,5.2,4.92,5.26,4.92,470581666
2023-02-20,600050,4.94,5.29,5.35,4.92,686227808
2023-02-21,600050,5.28,5.47,5.47,5.23,636505547
2023-02-22,600050,5.4,5.31,5.42,5.26,456996332
2023-02-23,600050,5.3,5.19,5.31,5.15,336449424
2023-02-24,600050,5.17,5.16,5.22,5.1,287705138
2023-02-27,600050,5.13,5.09,5.18,5.03,225995670
2023-02-28,600050,5.21,5.28,5.43,5.17,553934294
2023-03-01,600050,5.25,5.81,5.81,5.24,1182212393
2023-03-02,600050,5.86,5.95,5.99,5.78,1090787544
2023-03-03,600050,5.87,6.07,6.24,5.78,972772565
2023-03-06,600050,6.1,6.05,6.29,5.96,758007850
2023-03-07,600050,6.0,5.88,6.16,5.83,691613096
2023-03-08,600050,5.81,6.07,6.08,5.81,567645085
2023-03-09,600050,5.91,6.0,6.2,5.77,960780512
2023-03-10,600050,5.93,5.74,6.09,5.72,847069532
2023-03-13,600050,5.7,6.05,6.15,5.7,977258800
2023-03-14,600050,6.04,6.18,6.45,5.99,1136247237
2023-03-15,600050,6.2,6.0,6.27,5.93,733374960
2023-03-16,600050,5.94,5.86,6.04,5.83,530308556
2023-03-17,600050,5.87,6.15,6.15,5.82,836920761
2023-03-20,600050,6.12,5.56,6.16,5.54,1077584235
2023-03-21,600050,5.55,5.58,5.68,5.46,588664253
