date,code,open,close,high,low,volume
2022-11-23,600104,14.42,14.55,14.66,14.39,23613629
2022-11-24,600104,14.57,14.52,14.65,14.49,12117680
2022-11-25,600104,14.5,14.65,14.65,14.47,18173547
2022-11-28,600104,14.49,14.36,14.49,14.21,23289590
2022-11-29,600104,14.4,14.77,14.79,14.38,35325833
2022-11-30,600104,14.72,15.18,15.4,14.71,62628248
2022-12-01,600104,15.45,15.07,15.45,15.06,37415348
2022-12-02,600104,15.07,15.06,15.12,14.93,18105297
2022-12-05,600104,15.18,15.26,15.29,15.09,25035388
2022-12-06,600104,15.22,15.29,15.53,15.15,24782576
2022-12-07,600104,15.28,15.23,15.39,15.19,20689495
2022-12-08,600104,15.22,15.24,15.3,15.18,14862066
2022-12-09,600104,15.22,15.24,15.28,15.07,20482882
2022-12-12,600104,15.22,15.04,15.24,15.01,15542401
2022-12-13,600104,15.09,15.11,15.18,14.95,13638168
2022-12-14,600104,15.1,15.14,15.17,14.97,11757742
2022-12-15,600104,15.1,15.13,15.23,14.99,16135980
2022-12-16,600104,15.04,15.25,15.26,15.01,18632714
2022-12-19,600104,15.35,15.03,15.45,14.97,24280967
2022-12-20,600104,14.95,14.72,15.03,14.54,21113361
2022-12-21,600104,14.7,14.69,14.79,14.63,10560425
2022-12-22,600104,14.8,14.77,14.96,14.71,12401354
2022-12-23,600104,14.72,14.67,14.82,14.62,11575523
2022-12-26,600104,14.67,14.71,14.76,14.63,7889814
2022-12-27,600104,14.81,14.76,14.83,14.65,8882286
2022-12-28,600104,14.71,14.63,14.74,14.56,12270548
2022-12-29,600104,14.56,14.33,14.6,14.33,16359908
2022-12-30,600104,14.42,14.41,14.52,14.38,12051968
2023-01-03,600104,14.32,14.41,14.45,14.19,17267385
2023-01-04,600104,14.39,14.41,14.44,14.34,12575631
2023-01-05,600104,14.5,14.47,14.54,14.43,19455298
2023-01-06,600104,14.45,14.47,14.56,14.41,16946444
2023-01-09,600104,14.51,14.48,14.59,14.47,15812715
2023-01-10,600104,14.48,14.49,14.58,14.31,25310857
2023-01-11,600104,14.48,14.43,14.52,14.41,15195789
2023-01-12,600104,14.49,14.38,14.52,14.34,16092572
2023-01-13,600104,14.4,14.52,14.52,14.38,16146083
2023-01-16,600104,14.5,14.7,14.79,14.46,25178933
2023-01-17,600104,14.69,14.73,14.74,14.62,13514470
2023-01-18,600104,14.75,14.72,14.84,14.69,12265979
2023-01-19,600104,14.72,14.75,14.76,14.61,13651402
2023-01-20,600104,14.77,14.84,14.85,14.75,14846037
2023-01-30,600104,15.12,15.02,15.2,14.96,31335018
2023-01-31,600104,14.99,15.02,15.18,14.98,18961231
2023-02-01,600104,15.06,15.19,15.2,15.05,21103696
2023-02-02,600104,15.21,14.96,15.23,14.89,40541417
2023-02-03,600104,14.92,14.84,14.92,14.76,19733218
2023-02-06,600104,14.8,14.85,14.88,14.74,15767243
2023-02-07,600104,14.9,14.9,14.93,14.82,13210949
2023-02-08,600104,14.9,14.85,14.92,14.82,10479554
2023-02-09,600104,14.8,14.9,14.92,14.79,12185644
2023-02-10,600104,14.86,14.83,14.9,14.78,11659764
2023-02-13,600104,14.82,14.88,14.92,14.74,17319466
2023-02-14,600104,14.89,14.92,14.92,14.85,10628340
2023-02-15,600104,14.93,14.95,15.02,14.9,15544467
