date,code,open,close,high,low,volume
2022-11-23,600196,36.26,35.35,36.55,34.88,45476399
2022-11-24,600196,35.42,36.06,36.06,35.42,28195944
2022-11-25,600196,35.71,35.04,35.86,34.79,26111808
2022-11-28,600196,35.1,35.48,35.88,34.88,24463919
2022-11-29,600196,35.55,37.15,37.37,35.5,47552741
2022-11-30,600196,36.68,37.1,37.28,36.55,35746920
2022-12-01,600196,38.1,36.23,38.31,36.0,47907106
2022-12-02,600196,36.1,36.5,36.96,36.03,23631186
2022-12-05,600196,36.6,36.43,36.98,35.79,32334952
2022-12-06,600196,36.0,34.81,36.2,34.81,46652697
2022-12-07,600196,34.6,34.93,35.35,34.22,28674966
2022-12-08,600196,35.18,36.93,37.45,35.13,82930630
2022-12-09,600196,36.98,37.0,37.27,36.35,48820590
2022-12-12,600196,37.1,37.49,38.33,37.1,54687799
2022-12-13,600196,38.06,37.37,38.36,36.44,48254224
2022-12-14,600196,40.68,38.61,40.68,38.19,114306928
2022-12-15,600196,38.2,37.31,38.73,37.16,55499090
2022-12-16,600196,37.06,40.04,40.44,37.01,106866606
2022-12-19,600196,39.5,37.2,39.59,37.19,75996097
2022-12-20,600196,37.58,36.78,37.84,35.88,35788913
2022-12-21,600196,37.0,37.05,37.55,36.06,29398198
2022-12-22,600196,37.15,35.7,37.32,35.61,34611326
2022-12-23,600196,35.05,37.07,37.88,35.05,43540515
2022-12-26,600196,37.07,36.21,37.56,36.08,30966780
2022-12-27,600196,36.29,35.18,36.54,34.5,38747008
2022-12-28,600196,35.05,35.37,35.85,35.02,23639111
2022-12-29,600196,35.29,35.65,36.15,34.9,22037625
2022-12-30,600196,35.79,35.24,35.95,35.08,19104346
2023-01-03,600196,35.27,35.57,35.99,35.27,17250997
2023-01-04,600196,35.75,35.67,35.87,35.4,18238547
2023-01-05,600196,35.83,36.51,36.63,35.55,31138962
2023-01-06,600196,36.25,36.1,36.29,35.86,19651730
2023-01-09,600196,36.75,36.17,37.12,36.13,25867057
2023-01-10,600196,36.18,35.77,36.31,35.45,18979030
2023-01-11,600196,35.74,35.36,35.96,35.32,18603716
2023-01-12,600196,35.21,34.91,35.46,34.9,17978153
2023-01-13,600196,35.0,35.92,35.98,34.8,25338120
2023-01-16,600196,35.8,36.89,37.18,35.7,45616721
2023-01-17,600196,36.9,36.28,36.95,36.2,21569953
2023-01-18,600196,36.44,36.43,36.6,36.05,15263200
2023-01-19,600196,36.46,36.29,36.68,36.12,20165907
2023-01-20,600196,36.3,36.31,36.5,36.2,18257537
2023-01-30,600196,36.06,34.5,36.09,34.39,78768260
2023-01-31,600196,34.55,34.02,34.65,33.91,37404473
2023-02-01,600196,34.05,34.23,34.25,33.95,26771861
2023-02-02,600196,34.26,34.36,34.55,34.04,22019712
2023-02-03,600196,34.37,34.17,34.45,34.0,19659603
2023-02-06,600196,33.98,33.65,34.05,33.62,22730413
2023-02-07,600196,33.65,33.76,33.88,33.63,16604582
2023-02-08,600196,33.76,33.67,33.85,33.67,12669386
2023-02-09,600196,33.48,33.73,33.76,33.4,16256156
2023-02-10,600196,33.8,33.75,33.95,33.6,15040620
2023-02-13,600196,33.71,33.85,33.92,33.66,14066790
2023-02-14,600196,33.91,34.14,34.15,33.72,17310510
2023-02-15,600196,34.15,34.07,34.18,33.88,13223402
2023-02-16,600196,34.09,33.95,34.41,33.4,27031810
2023-02-17,600196,33.88,34.06,34.39,33.67,20590873
2023-02-20,600196,34.2,34.23,34.35,33.67,18290001
2023-02-21,600196,34.13,34.21,34.4,34.0,15682119
2023-02-22,600196,34.08,34.09,34.36,33.99,12906307
2023-02-23,600196,34.1,33.8,34.19,33.75,15695572
2023-02-24,600196,33.68,33.68,33.92,33.61,10253522
2023-02-27,600196,33.67,33.25,33.81,33.23,13556801
2023-02-28,600196,33.27,33.7,33.8,33.26,12563776
2023-03-01,600196,33.72,33.97,34.15,33.6,17489263
2023-03-02,600196,33.98,33.77,34.16,33.75,10204410
2023-03-03,600196,33.78,33.87,34.0,33.7,8448245
2023-03-06,600196,33.89,33.61,33.96,33.59,12296221
2023-03-07,600196,33.5,33.16,33.72,33.16,13961330
2023-03-08,600196,33.1,32.75,33.1,32.53,13780453
