date,code,open,close,high,low,volume
2022-11-23,600219,3.45,3.47,3.48,3.43,43142702
2022-11-24,600219,3.48,3.51,3.52,3.46,62225585
2022-11-25,600219,3.5,3.51,3.53,3.49,41623953
2022-11-28,600219,3.48,3.45,3.48,3.41,44010951
2022-11-29,600219,3.47,3.52,3.53,3.46,57694566
2022-11-30,600219,3.51,3.5,3.55,3.5,61679038
2022-12-01,600219,3.56,3.59,3.62,3.54,101676307
2022-12-02,600219,3.59,3.48,3.59,3.46,78347233
2022-12-05,600219,3.51,3.62,3.65,3.51,114718264
2022-12-06,600219,3.6,3.63,3.66,3.56,85106739
2022-12-07,600219,3.6,3.56,3.61,3.55,59768060
2022-12-08,600219,3.55,3.52,3.57,3.51,65368790
2022-12-09,600219,3.53,3.62,3.63,3.52,93639370
2022-12-12,600219,3.59,3.52,3.6,3.51,66550240
2022-12-13,600219,3.5,3.5,3.54,3.49,45880721
2022-12-14,600219,3.51,3.46,3.55,3.44,49921443
2022-12-15,600219,3.46,3.49,3.5,3.42,46174489
2022-12-16,600219,3.43,3.48,3.5,3.42,37301987
2022-12-19,600219,3.46,3.38,3.48,3.36,40939440
2022-12-20,600219,3.38,3.33,3.41,3.32,44496753
2022-12-21,600219,3.35,3.33,3.38,3.32,28752973
2022-12-22,600219,3.35,3.29,3.38,3.28,34070084
2022-12-23,600219,3.29,3.28,3.33,3.26,32257717
2022-12-26,600219,3.28,3.32,3.32,3.27,23467700
2022-12-27,600219,3.33,3.39,3.4,3.32,28829547
2022-12-28,600219,3.38,3.36,3.4,3.34,31325839
2022-12-29,600219,3.35,3.3,3.36,3.29,34843788
2022-12-30,600219,3.32,3.27,3.33,3.26,42075914
2023-01-03,600219,3.27,3.34,3.36,3.23,52082076
2023-01-04,600219,3.33,3.32,3.36,3.3,33211679
2023-01-05,600219,3.34,3.32,3.34,3.31,34492156
2023-01-06,600219,3.32,3.33,3.35,3.31,40806394
2023-01-09,600219,3.35,3.39,3.42,3.35,56250272
2023-01-10,600219,3.4,3.39,3.43,3.37,46920164
2023-01-11,600219,3.43,3.41,3.44,3.39,46714614
2023-01-12,600219,3.43,3.41,3.44,3.39,34664656
2023-01-13,600219,3.43,3.45,3.47,3.4,42528549
2023-01-16,600219,3.44,3.46,3.48,3.43,51795225
2023-01-17,600219,3.46,3.44,3.47,3.41,39537029
2023-01-18,600219,3.43,3.5,3.51,3.43,51951187
2023-01-19,600219,3.49,3.51,3.51,3.47,33134404
2023-01-20,600219,3.51,3.59,3.59,3.51,64367113
2023-01-30,600219,3.63,3.57,3.65,3.56,72444461
2023-01-31,600219,3.57,3.61,3.63,3.56,60116100
2023-02-01,600219,3.61,3.7,3.73,3.61,110913135
2023-02-02,600219,3.71,3.68,3.71,3.64,72110499
2023-02-03,600219,3.67,3.62,3.67,3.57,71659743
2023-02-06,600219,3.6,3.6,3.63,3.54,57692905
2023-02-07,600219,3.62,3.65,3.66,3.61,55967805
2023-02-08,600219,3.67,3.59,3.68,3.59,47352498
2023-02-09,600219,3.59,3.64,3.65,3.56,48105991
2023-02-10,600219,3.62,3.59,3.64,3.58,45673739
2023-02-13,600219,3.59,3.6,3.61,3.57,42246639
2023-02-14,600219,3.6,3.64,3.7,3.6,87927265
2023-02-15,600219,3.65,3.63,3.71,3.61,72706640
2023-02-16,600219,3.62,3.52,3.63,3.5,107476709
2023-02-17,600219,3.54,3.54,3.59,3.52,61617540
2023-02-20,600219,3.55,3.65,3.67,3.55,102959018
2023-02-21,600219,3.65,3.72,3.72,3.64,158166091
2023-02-22,600219,3.69,3.71,3.78,3.67,79039461
2023-02-23,600219,3.71,3.7,3.73,3.67,54669330
2023-02-24,600219,3.7,3.64,3.7,3.63,44735748
2023-02-27,600219,3.62,3.62,3.67,3.6,44660115
2023-02-28,600219,3.64,3.61,3.64,3.56,59529517
2023-03-01,600219,3.61,3.68,3.68,3.6,69518259
2023-03-02,600219,3.69,3.65,3.69,3.63,47384024
2023-03-03,600219,3.65,3.68,3.71,3.62,58858698
2023-03-06,600219,3.68,3.62,3.69,3.61,56410114
2023-03-07,600219,3.62,3.58,3.68,3.58,68409496
2023-03-08,600219,3.56,3.6,3.6,3.54,45338258
2023-03-09,600219,3.6,3.59,3.62,3.56,58066493
2023-03-10,600219,3.58,3.53,3.59,3.52,59894368
2023-03-13,600219,3.52,3.5,3.55,3.44,74311392
2023-03-14,600219,3.5,3.48,3.54,3.45,59371272
2023-03-15,600219,3.49,3.5,3.52,3.47,39558084
