date,code,open,close,high,low,volume
2022-11-23,600276,39.69,39.5,39.89,39.06,27988278
2022-11-24,600276,39.62,39.37,40.11,38.81,28407498
2022-11-25,600276,39.18,39.63,39.8,38.8,24863939
2022-11-28,600276,38.9,39.18,39.47,38.61,26013507
2022-11-29,600276,39.42,40.05,40.22,39.09,27573327
2022-11-30,600276,40.05,39.83,40.3,39.6,29326372
2022-12-01,600276,40.22,40.47,40.96,39.8,37955816
2022-12-02,600276,40.43,40.5,40.91,40.23,25060329
2022-12-05,600276,40.5,39.88,40.86,39.6,45331741
2022-12-06,600276,39.7,39.88,40.5,39.68,27430804
2022-12-07,600276,39.8,40.58,40.88,39.34,39600331
2022-12-08,600276,40.57,38.87,40.58,38.86,61277745
2022-12-09,600276,38.94,38.82,39.3,38.7,40982699
2022-12-12,600276,38.9,38.88,39.55,38.5,37690011
2022-12-13,600276,38.89,38.38,39.0,37.86,38459977
2022-12-14,600276,38.38,38.44,38.58,37.8,26294084
2022-12-15,600276,38.18,37.96,38.8,37.86,21286504
2022-12-16,600276,37.81,38.0,38.05,37.71,24909248
2022-12-19,600276,38.08,37.19,38.24,37.08,29134505
2022-12-20,600276,37.17,36.51,37.48,36.5,27843799
2022-12-21,600276,36.51,36.14,36.69,35.93,25131327
2022-12-22,600276,36.45,36.63,37.35,36.26,35620632
2022-12-23,600276,36.31,36.75,36.93,36.2,21684520
2022-12-26,600276,36.71,37.56,38.0,36.68,31640183
2022-12-27,600276,37.88,37.07,37.89,36.88,32014023
2022-12-28,600276,36.99,37.4,37.85,36.92,24749478
2022-12-29,600276,37.25,38.13,38.31,37.05,35750843
2022-12-30,600276,38.17,38.53,38.85,38.17,28241127
2023-01-03,600276,38.62,38.44,39.05,38.11,25756493
2023-01-04,600276,38.63,38.77,38.99,38.41,25766800
2023-01-05,600276,39.0,39.55,39.87,38.71,40846418
2023-01-06,600276,39.7,39.31,39.84,39.21,20010679
2023-01-09,600276,39.28,39.55,39.8,38.77,32836027
2023-01-10,600276,39.53,39.38,39.9,39.3,37450772
2023-01-11,600276,39.38,38.45,39.65,38.33,53157259
2023-01-12,600276,38.47,37.79,38.54,37.74,49527676
2023-01-13,600276,38.45,39.27,39.51,37.84,70816302
2023-01-16,600276,39.27,43.13,43.2,39.27,137880485
2023-01-17,600276,42.79,42.18,43.33,41.88,84431216
2023-01-18,600276,42.28,41.57,42.66,41.33,54131292
2023-01-19,600276,42.16,43.64,44.77,41.66,109486409
2023-01-20,600276,43.68,43.54,44.88,43.39,53246467
2023-01-30,600276,43.9,43.25,44.44,43.09,49662346
2023-01-31,600276,43.27,42.21,43.8,42.14,40917558
2023-02-01,600276,42.23,42.64,42.7,41.98,39641365
2023-02-02,600276,42.7,43.0,44.1,42.45,65348651
2023-02-03,600276,43.07,42.8,43.59,42.72,49801817
2023-02-06,600276,42.8,42.49,42.97,41.9,37917265
2023-02-07,600276,42.39,42.1,43.18,41.84,30763310
2023-02-08,600276,42.19,42.96,43.5,42.15,42394935
2023-02-09,600276,42.82,43.65,43.87,42.67,37302195
2023-02-10,600276,43.64,43.6,43.96,43.23,27969963
2023-02-13,600276,44.31,44.97,45.99,44.31,65267726
2023-02-14,600276,44.93,45.22,45.4,44.54,32976250
2023-02-15,600276,45.2,44.81,45.53,44.45,26946978
2023-02-16,600276,44.8,43.79,45.07,43.31,45881524
2023-02-17,600276,43.7,44.17,44.9,43.38,39571599
2023-02-20,600276,44.16,45.22,45.45,43.69,45992311
2023-02-21,600276,45.02,44.5,45.44,44.3,33743404
2023-02-22,600276,44.4,44.11,44.8,44.0,22247659
2023-02-23,600276,44.02,43.52,44.32,43.18,33706211
2023-02-24,600276,43.39,43.19,44.19,43.09,23817826
2023-02-27,600276,42.9,43.13,43.4,42.6,27040102
2023-02-28,600276,43.23,43.5,44.43,42.92,32849451
2023-03-01,600276,43.43,43.77,44.14,43.18,26521282
2023-03-02,600276,43.49,43.19,43.77,42.88,23068576
2023-03-03,600276,43.16,43.4,43.98,43.1,19015612
2023-03-06,600276,43.5,43.42,43.76,43.08,21086872
2023-03-07,600276,43.4,42.12,43.8,42.11,33438682
2023-03-08,600276,42.11,41.96,42.33,41.59,27051028
2023-03-09,600276,41.93,41.73,42.23,41.7,17677388
2023-03-10,600276,41.36,41.86,42.21,41.33,20826778
2023-03-13,600276,41.53,41.42,41.9,41.21,25468854
2023-03-14,600276,41.42,41.48,42.46,41.28,33139474
2023-03-15,600276,41.85,41.38,42.27,41.26,21209571
2023-03-16,600276,41.15,41.19,41.95,41.06,18424765
2023-03-17,600276,41.55,40.82,41.79,40.7,38771555
2023-03-20,600276,40.88,40.4,41.09,40.09,33513318
2023-03-21,600276,40.35,41.6,41.78,40.35,33389663
2023-03-22,600276,41.61,42.63,42.76,41.61,33114424
2023-03-23,600276,42.59,42.67,42.96,42.29,26265561
2023-03-24,600276,42.6,41.7,42.87,41.63,25985641
2023-03-27,600276,41.7,43.28,43.3,40.9,46930086
2023-03-28,600276,43.09,43.0,43.2,42.32,26161118
2023-03-29,600276,43.35,43.16,43.46,42.78,18357576
2023-03-30,600276,43.16,43.01,43.25,42.51,20674689
2023-03-31,600276,43.01,42.82,43.44,42.5,22069849
2023-04-03,600276,42.65,42.56,43.18,42.4,24411361
2023-04-04,600276,42.56,43.15,43.16,42.1,33852719
2023-04-06,600276,43.2,42.78,43.25,42.3,28035252
2023-04-07,600276,42.79,45.15,45.3,42.79,67000852
2023-04-10,600276,45.15,46.27,46.69,44.9,66271965
2023-04-11,600276,46.2,46.01,46.66,45.72,32702606
2023-04-12,600276,46.1,45.63,47.35,45.56,33600869
2023-04-13,600276,45.63,47.35,47.75,45.47,64601144
2023-04-14,600276,47.94,47.72,48.63,47.0,60487952
2023-04-17,600276,47.8,49.29,50.3,47.8,80331157
2023-04-18,600276,49.3,48.93,49.7,48.38,37630631
2023-04-19,600276,48.8,48.66,49.2,48.41,26781979
2023-04-20,600276,48.5,47.8,48.91,47.53,41476607
2023-04-21,600276,47.8,47.32,48.35,47.32,40835484
2023-04-24,600276,47.33,48.35,49.32,47.33,60310483
2023-04-25,600276,48.35,47.98,48.96,47.28,43867208
