date,code,open,close,high,low,volume
2022-11-02,600446,11.75,11.62,11.8,11.44,28789725
2022-11-03,600446,11.51,11.49,11.67,11.37,17418647
2022-11-04,600446,11.47,11.5,11.63,11.38,21123541
2022-11-07,600446,11.5,11.71,11.83,11.41,27681417
2022-11-08,600446,11.61,11.6,11.66,11.32,17420685
2022-11-09,600446,11.58,11.47,11.65,11.4,13709536
2022-11-10,600446,11.39,11.64,11.67,11.34,20871676
2022-11-11,600446,11.96,10.9,11.99,10.88,49755923
2022-11-14,600446,10.8,11.23,11.55,10.71,38267335
2022-11-15,600446,11.36,11.68,11.85,11.25,36599352
2022-11-16,600446,11.68,11.41,11.87,11.3,31108893
2022-11-17,600446,11.49,11.88,11.88,11.33,29149315
2022-11-18,600446,11.95,11.67,12.02,11.58,27429700
2022-11-21,600446,11.55,11.6,11.67,11.26,21605394
2022-11-22,600446,11.56,11.19,11.64,11.09,22863950
2022-11-23,600446,11.15,10.96,11.24,10.78,19062655
2022-11-24,600446,10.99,10.77,11.09,10.73,15246655
2022-11-25,600446,10.8,10.62,10.84,10.6,11733069
2022-11-28,600446,10.42,10.43,10.56,10.32,12957437
2022-11-29,600446,10.51,10.89,11.02,10.45,20480094
2022-11-30,600446,10.85,10.74,10.87,10.69,12784153
2022-12-01,600446,10.85,10.86,11.05,10.76,15222915
2022-12-02,600446,10.88,10.97,11.15,10.84,16943445
2022-12-05,600446,11.09,11.38,11.53,11.02,23384256
2022-12-06,600446,11.31,11.34,11.56,11.25,14281021
2022-12-07,600446,11.34,11.35,11.48,11.27,12346764
2022-12-08,600446,11.36,11.11,11.4,11.08,13550737
2022-12-09,600446,11.17,10.97,11.2,10.97,18112991
2022-12-12,600446,10.94,11.0,11.05,10.7,15348898
2022-12-13,600446,11.02,10.75,11.12,10.71,11421453
2022-12-14,600446,10.73,10.71,10.85,10.68,8643061
2022-12-15,600446,10.71,10.81,10.92,10.64,8126011
2022-12-16,600446,10.75,10.49,10.75,10.46,10821290
2022-12-19,600446,10.48,10.29,10.56,10.21,10144217
2022-12-20,600446,10.32,10.24,10.47,10.2,10701888
2022-12-21,600446,10.22,10.13,10.3,10.06,7678200
2022-12-22,600446,10.21,10.14,10.29,10.09,7116692
2022-12-23,600446,10.06,10.25,10.31,10.04,7444503
2022-12-26,600446,10.27,10.32,10.36,10.27,6511823
2022-12-27,600446,10.39,10.24,10.4,10.12,9728985
2022-12-28,600446,10.18,10.0,10.19,9.95,9588901
2022-12-29,600446,9.95,10.13,10.25,9.9,10525335
2022-12-30,600446,10.15,10.29,10.3,10.12,8017400
2023-01-03,600446,10.27,10.69,10.73,10.21,15280012
2023-01-04,600446,10.71,10.83,10.88,10.66,15284591
2023-01-05,600446,10.85,10.8,10.95,10.76,11889470
2023-01-06,600446,10.87,11.11,11.66,10.64,35594196
2023-01-09,600446,10.9,12.22,12.22,10.9,25312836
2023-01-10,600446,12.63,12.95,13.44,12.4,124635330
2023-01-11,600446,12.82,12.3,12.88,12.29,73727427
2023-01-12,600446,12.39,12.6,12.78,12.22,65976514
2023-01-13,600446,12.5,12.5,12.67,12.28,42825721
2023-01-16,600446,12.64,13.11,13.75,12.48,77697109
2023-01-17,600446,13.03,12.74,13.11,12.63,39396011
2023-01-18,600446,12.78,12.85,12.99,12.78,29672309
2023-01-19,600446,12.74,12.97,12.99,12.72,28535126
2023-01-20,600446,13.06,13.5,13.67,12.9,44927520
2023-01-30,600446,14.02,13.5,14.1,13.45,43436458
2023-01-31,600446,13.63,13.31,13.65,13.25,26851411
2023-02-01,600446,13.3,13.72,13.85,13.27,30166649
2023-02-02,600446,13.9,13.2,14.09,13.15,48433283
2023-02-03,600446,13.2,13.39,13.53,13.07,34512519
2023-02-06,600446,13.0,13.09,13.22,12.76,35524822
2023-02-07,600446,13.03,12.96,13.14,12.81,24667568
2023-02-08,600446,12.96,12.91,13.18,12.82,27137941
2023-02-09,600446,12.84,13.28,13.36,12.75,25029125
2023-02-10,600446,13.27,13.11,13.39,13.04,18700661
2023-02-13,600446,13.07,13.42,13.64,13.03,28128679
2023-02-14,600446,13.44,13.51,13.58,13.22,23484830
2023-02-15,600446,13.5,13.65,13.78,13.42,22239563
2023-02-16,600446,13.61,13.37,13.89,13.22,33616135
2023-02-17,600446,13.48,12.82,13.5,12.8,24526852
