date,code,open,close,high,low,volume
2022-11-23,600460,36.99,36.68,37.53,36.18,17685597
2022-11-24,600460,36.98,35.98,36.98,35.88,15971098
2022-11-25,600460,35.9,35.61,36.76,35.57,15103377
2022-11-28,600460,34.52,35.14,35.48,34.28,12571675
2022-11-29,600460,35.2,36.27,36.73,35.2,18935652
2022-11-30,600460,36.09,36.6,36.75,35.86,15728419
2022-12-01,600460,36.98,36.54,37.31,36.38,18855014
2022-12-02,600460,36.17,35.97,36.85,35.96,12962492
2022-12-05,600460,36.23,36.46,36.46,35.68,14808684
2022-12-06,600460,36.5,37.2,37.62,36.45,24959221
2022-12-07,600460,37.02,36.85,37.23,36.64,14082052
2022-12-08,600460,36.58,35.74,36.94,35.72,14837760
2022-12-09,600460,35.98,36.32,36.77,35.97,14927191
2022-12-12,600460,36.06,37.14,37.76,35.78,25552656
2022-12-13,600460,36.93,37.14,37.46,36.54,16159404
2022-12-14,600460,38.67,37.26,39.1,37.21,32632794
2022-12-15,600460,37.04,37.55,38.28,36.78,25154617
2022-12-16,600460,37.0,36.67,37.25,36.32,17488173
2022-12-19,600460,36.24,35.23,36.5,35.1,13660052
2022-12-20,600460,35.1,35.27,35.83,35.05,7787313
2022-12-21,600460,35.27,34.39,35.67,34.11,10874273
2022-12-22,600460,34.6,33.96,34.75,33.75,9817407
2022-12-23,600460,33.73,32.84,33.96,32.37,14640430
2022-12-26,600460,32.84,33.88,34.33,32.71,15062789
2022-12-27,600460,33.9,33.99,34.07,33.46,9951206
2022-12-28,600460,33.72,33.35,33.92,33.25,7231680
2022-12-29,600460,33.48,33.04,33.64,33.0,8455158
2022-12-30,600460,33.39,32.79,33.55,32.62,9864705
2023-01-03,600460,32.79,33.25,33.29,32.44,10865530
2023-01-04,600460,33.12,33.01,33.81,32.73,12297040
2023-01-05,600460,32.9,32.28,33.36,32.0,35538173
2023-01-06,600460,32.02,32.88,33.1,31.64,27084979
2023-01-09,600460,32.98,33.2,33.88,32.81,19418452
2023-01-10,600460,33.2,33.6,33.85,33.11,18651161
2023-01-11,600460,33.6,33.11,34.2,33.1,17695793
2023-01-12,600460,33.2,32.97,33.33,32.7,9270439
2023-01-13,600460,33.08,33.18,33.25,32.63,9161055
2023-01-16,600460,32.92,34.0,34.29,32.82,22081667
2023-01-17,600460,34.14,35.32,36.59,34.0,36637063
2023-01-18,600460,35.23,35.01,35.5,34.8,15556681
2023-01-19,600460,35.05,35.65,35.75,34.9,17031432
2023-01-20,600460,35.72,35.66,35.77,35.42,12854877
2023-01-30,600460,36.4,35.82,36.47,35.78,17342004
2023-01-31,600460,35.7,35.33,35.98,35.18,14851093
2023-02-01,600460,35.46,35.98,36.3,35.42,17155159
2023-02-02,600460,36.34,36.41,37.03,36.09,26099250
2023-02-03,600460,36.41,36.3,36.98,35.6,17848331
2023-02-06,600460,36.02,35.72,36.38,35.61,12429907
2023-02-07,600460,35.86,35.52,36.0,35.31,13141360
2023-02-08,600460,35.59,35.23,36.08,35.21,12143155
2023-02-09,600460,35.2,36.88,36.99,34.92,31712701
2023-02-10,600460,36.88,36.55,37.18,36.21,18891643
2023-02-13,600460,36.44,36.62,36.9,36.18,17361121
2023-02-14,600460,36.62,36.42,37.31,36.21,19218006
2023-02-15,600460,36.34,36.49,36.57,35.91,16097079
2023-02-16,600460,36.44,35.62,36.97,35.32,26021361
2023-02-17,600460,35.42,34.21,35.7,34.16,23392217
2023-02-20,600460,34.2,34.46,34.57,33.8,16378525
2023-02-21,600460,34.37,34.32,34.81,34.0,14723663
2023-02-22,600460,34.05,34.03,34.43,33.8,12519315
2023-02-23,600460,34.03,34.1,34.18,33.81,11362903
2023-02-24,600460,34.38,33.91,34.45,33.71,13807964
2023-02-27,600460,33.5,33.42,33.79,33.15,11828891
2023-02-28,600460,33.5,33.71,33.77,33.2,10199002
2023-03-01,600460,33.69,34.09,34.09,33.55,12350161
2023-03-02,600460,34.12,33.67,34.27,33.65,12154242
2023-03-03,600460,34.15,34.28,34.61,33.82,21918024
2023-03-06,600460,34.29,34.4,34.6,33.84,15820307
2023-03-07,600460,34.3,33.31,34.33,33.31,14619071
2023-03-08,600460,33.17,33.5,33.68,33.1,10210630
2023-03-09,600460,33.51,33.93,34.3,33.51,16550295
2023-03-10,600460,33.75,33.69,34.26,33.34,15966709
2023-03-13,600460,33.52,33.13,33.76,32.9,13492474
2023-03-14,600460,33.01,34.59,34.82,32.6,38361884
2023-03-15,600460,34.7,34.6,35.09,34.3,24901135
2023-03-16,600460,34.18,34.78,35.35,34.11,30885175
2023-03-17,600460,35.08,34.96,35.26,34.61,29891015
2023-03-20,600460,34.9,35.59,35.88,34.43,33245685
2023-03-21,600460,35.51,35.55,35.86,35.23,20179792
2023-03-22,600460,35.5,35.26,35.6,34.81,23194643
2023-03-23,600460,34.98,36.35,36.5,34.9,47646478
2023-03-24,600460,36.4,36.37,36.62,35.8,35666086
2023-03-27,600460,36.23,35.68,36.49,35.38,25673785
2023-03-28,600460,35.66,34.81,35.69,34.8,19772289
2023-03-29,600460,34.89,35.89,36.41,34.53,39300033
2023-03-30,600460,35.89,35.99,36.69,35.58,36772187
2023-03-31,600460,37.1,37.01,38.07,36.66,73254437
2023-04-03,600460,37.11,37.52,37.72,36.8,62267183
2023-04-04,600460,37.5,38.05,38.83,37.21,75797931
2023-04-06,600460,38.06,41.19,41.86,38.06,122671047
2023-04-07,600460,41.5,41.36,41.71,40.4,79998254
2023-04-10,600460,41.35,39.32,41.36,39.31,66901923
2023-04-11,600460,39.32,39.66,40.02,38.66,48045148
2023-04-12,600460,39.46,40.14,40.38,38.91,46908402
2023-04-13,600460,39.65,38.02,39.88,38.0,48094094
2023-04-14,600460,38.34,39.46,39.68,37.5,52195891
2023-04-17,600460,39.12,38.65,39.67,38.5,32607290
2023-04-18,600460,38.41,37.74,38.41,37.4,36642219
2023-04-19,600460,37.87,37.79,38.38,37.64,30516737
2023-04-20,600460,37.31,37.86,38.49,37.21,33392645
2023-04-21,600460,37.66,35.34,37.67,35.3,45383886
2023-04-24,600460,35.34,33.9,35.49,33.57,41354853
