date,code,open,close,high,low,volume
2022-11-23,600547,19.6,19.54,19.8,19.36,11924775
2022-11-24,600547,19.9,20.05,20.23,19.82,31498653
2022-11-25,600547,20.05,20.89,21.6,20.02,51664131
2022-11-28,600547,20.74,20.86,21.11,20.55,27526410
2022-11-29,600547,20.58,20.41,20.61,20.03,35128673
2022-11-30,600547,20.3,20.45,20.72,20.16,22631215
2022-12-01,600547,21.03,20.97,21.16,20.68,26376572
2022-12-02,600547,21.37,20.8,21.55,20.45,48747204
2022-12-05,600547,20.67,20.94,21.32,20.64,34183982
2022-12-06,600547,20.55,20.71,20.8,20.42,22493869
2022-12-07,600547,20.67,20.37,20.83,20.27,24034802
2022-12-08,600547,20.37,20.51,20.69,20.36,16398350
2022-12-09,600547,20.54,20.59,20.63,20.26,15048939
2022-12-12,600547,20.5,19.29,20.57,19.22,45180191
2022-12-13,600547,19.42,19.8,19.8,19.35,20192488
2022-12-14,600547,19.92,19.88,20.15,19.73,15818839
2022-12-15,600547,19.7,19.27,19.71,18.95,29177972
2022-12-16,600547,19.16,19.27,19.3,19.04,14053584
2022-12-19,600547,19.31,19.07,19.58,19.0,13733681
2022-12-20,600547,19.04,18.98,19.15,18.88,9050799
2022-12-21,600547,19.5,19.0,19.56,18.93,16449575
2022-12-22,600547,19.11,18.84,19.22,18.76,12007932
2022-12-23,600547,18.6,18.81,18.95,18.47,9657608
2022-12-26,600547,18.77,18.65,18.8,18.57,9952492
2022-12-27,600547,18.74,18.99,19.08,18.66,15579592
2022-12-28,600547,19.02,19.06,19.28,18.92,12323746
2022-12-29,600547,19.0,18.91,19.03,18.7,8579599
2022-12-30,600547,19.05,19.16,19.28,18.94,10956016
2023-01-03,600547,19.19,19.49,19.53,19.05,21781856
2023-01-04,600547,19.44,19.58,19.78,19.35,21168163
2023-01-05,600547,19.85,19.38,19.86,19.33,23160157
2023-01-06,600547,19.23,19.2,19.39,19.13,15058430
2023-01-09,600547,19.61,19.96,20.06,19.4,33894864
2023-01-10,600547,19.94,19.9,20.08,19.74,18993937
2023-01-11,600547,19.95,19.78,20.04,19.68,15434169
2023-01-12,600547,19.72,19.58,19.93,19.56,13490395
2023-01-13,600547,19.81,19.6,19.86,19.49,17252080
2023-01-16,600547,20.0,19.82,20.09,19.74,22837297
2023-01-17,600547,19.74,19.62,19.8,19.36,16281439
2023-01-18,600547,19.56,19.65,19.69,19.54,10593200
2023-01-19,600547,19.61,19.37,19.64,19.2,27506925
2023-01-20,600547,19.44,20.0,20.08,19.44,43857415
2023-01-30,600547,20.08,19.85,20.12,19.7,31484285
2023-01-31,600547,19.84,19.79,20.12,19.72,24387860
2023-02-01,600547,19.98,20.19,20.35,19.85,32898446
2023-02-02,600547,20.5,20.41,20.72,20.18,43926352
2023-02-03,600547,20.0,19.95,20.05,19.78,28618454
2023-02-06,600547,19.45,19.11,19.48,18.92,51329085
2023-02-07,600547,19.09,19.25,19.28,19.01,22720726
2023-02-08,600547,19.22,19.11,19.25,19.1,13989884
2023-02-09,600547,19.11,19.18,19.2,18.94,14249486
2023-02-10,600547,19.08,19.04,19.15,18.98,21246333
2023-02-13,600547,18.97,19.13,19.19,18.96,19286271
2023-02-14,600547,19.13,19.26,19.28,19.09,19453012
2023-02-15,600547,19.2,19.15,19.36,19.13,18699406
2023-02-16,600547,19.02,18.89,19.18,18.72,24972445
2023-02-17,600547,18.88,18.76,18.95,18.68,19880283
2023-02-20,600547,18.89,18.98,18.98,18.74,17909224
2023-02-21,600547,18.91,19.1,19.18,18.91,16875839
2023-02-22,600547,19.03,19.22,19.25,19.02,18204409
2023-02-23,600547,19.1,19.17,19.2,19.02,12697357
2023-02-24,600547,19.14,18.95,19.16,18.91,12328033
2023-02-27,600547,18.86,18.83,19.05,18.75,13673110
2023-02-28,600547,18.84,18.98,19.0,18.84,9773566
2023-03-01,600547,19.09,19.15,19.19,19.01,16002027
2023-03-02,600547,19.1,19.2,19.31,19.08,17063513
2023-03-03,600547,19.28,19.23,19.32,19.15,13181961
2023-03-06,600547,19.3,19.57,19.7,19.3,32299545
2023-03-07,600547,19.59,19.71,20.09,19.5,38251484
2023-03-08,600547,19.41,19.11,19.42,18.87,31572882
