date,code,open,close,high,low,volume
2022-11-23,600570,42.11,42.66,42.88,41.91,11977432
2022-11-24,600570,42.7,40.95,42.94,40.78,16568932
2022-11-25,600570,41.03,40.45,41.24,40.03,19986082
2022-11-28,600570,40.0,39.94,40.72,39.5,15120197
2022-11-29,600570,40.04,40.1,40.58,39.31,15346344
2022-11-30,600570,39.9,39.96,40.55,39.48,11896206
2022-12-01,600570,40.5,40.9,41.25,39.94,16327677
2022-12-02,600570,40.45,40.1,41.5,40.04,14936806
2022-12-05,600570,40.5,40.3,41.13,39.9,13553583
2022-12-06,600570,40.2,39.97,40.67,39.8,11502788
2022-12-07,600570,40.02,39.71,40.35,39.53,11314589
2022-12-08,600570,39.72,39.62,39.9,38.92,11817332
2022-12-09,600570,39.61,39.5,40.0,38.8,21933329
2022-12-12,600570,39.45,39.94,40.5,39.27,16815965
2022-12-13,600570,39.79,38.79,40.3,38.76,11846846
2022-12-14,600570,38.81,38.9,39.29,38.4,8486964
2022-12-15,600570,38.89,38.79,39.2,38.51,7672092
2022-12-16,600570,38.68,38.39,38.72,37.9,13260211
2022-12-19,600570,38.37,38.5,38.78,37.5,6749452
2022-12-20,600570,38.0,36.79,38.3,36.44,16093049
2022-12-21,600570,37.07,36.86,37.76,36.6,8034637
2022-12-22,600570,37.13,37.67,38.23,36.9,11500964
2022-12-23,600570,37.66,38.5,39.2,37.47,13833237
2022-12-26,600570,38.49,39.59,39.91,38.49,11884046
2022-12-27,600570,39.72,39.74,39.97,39.11,7988180
2022-12-28,600570,39.83,39.31,40.19,39.12,9761975
2022-12-29,600570,39.35,40.37,40.5,38.9,12667767
2022-12-30,600570,40.31,40.46,41.18,40.2,9306386
2023-01-03,600570,40.35,41.9,42.17,40.11,18878516
2023-01-04,600570,42.07,42.76,43.05,41.37,25784166
2023-01-05,600570,42.32,42.09,42.74,41.7,9920643
2023-01-06,600570,42.43,42.21,44.0,41.7,21846478
2023-01-09,600570,41.58,42.53,43.11,40.9,19154367
2023-01-10,600570,42.59,42.98,43.78,42.13,13794964
2023-01-11,600570,42.95,41.98,42.95,41.7,16814479
2023-01-12,600570,41.91,42.08,42.44,41.4,12788190
2023-01-13,600570,42.24,42.21,42.37,41.61,7900505
2023-01-16,600570,42.49,44.0,44.42,42.21,24010707
2023-01-17,600570,43.77,43.99,44.49,43.56,10852488
2023-01-18,600570,44.0,46.0,46.72,43.92,23782633
2023-01-19,600570,46.0,46.39,46.77,45.54,15864651
2023-01-20,600570,46.25,46.21,46.97,45.75,11401406
2023-01-30,600570,47.0,46.29,48.35,46.0,18207766
2023-01-31,600570,46.69,47.22,47.65,46.08,19731935
2023-02-01,600570,47.21,47.78,48.1,46.96,19359797
2023-02-02,600570,49.8,47.22,50.4,46.35,52317795
2023-02-03,600570,47.42,47.84,48.22,46.89,25294797
2023-02-06,600570,47.65,47.37,48.0,46.84,15182187
2023-02-07,600570,47.12,46.66,47.3,45.9,21300850
2023-02-08,600570,46.9,47.8,48.0,46.45,14076523
2023-02-09,600570,47.79,47.28,47.79,46.4,19844570
2023-02-10,600570,47.06,46.4,47.07,45.82,19393361
2023-02-13,600570,46.18,46.36,47.25,46.18,20455657
2023-02-14,600570,46.45,46.36,46.77,45.92,13279038
2023-02-15,600570,46.3,46.31,46.87,46.15,9924544
2023-02-16,600570,46.31,45.43,46.5,45.0,19210141
2023-02-17,600570,45.2,43.97,45.55,43.93,20040879
2023-02-20,600570,44.5,44.76,44.95,44.05,10899062
2023-02-21,600570,44.78,45.3,46.07,44.31,20758499
2023-02-22,600570,44.88,44.55,44.99,43.94,17176319
2023-02-23,600570,44.36,44.2,44.8,43.78,9382717
2023-02-24,600570,44.1,44.51,45.1,44.1,14965107
2023-02-27,600570,43.91,44.32,45.99,43.9,16218491
2023-02-28,600570,44.51,44.4,45.3,43.88,17130776
2023-03-01,600570,44.4,45.28,45.38,44.11,15627974
2023-03-02,600570,45.02,45.37,46.11,44.67,11873465
2023-03-03,600570,45.35,45.49,45.74,44.86,10387001
2023-03-06,600570,45.9,46.21,46.55,45.28,13662226
2023-03-07,600570,46.12,44.08,46.12,44.0,18214190
2023-03-08,600570,44.09,44.77,44.94,44.01,11687205
2023-03-09,600570,44.45,45.59,45.79,43.76,14539596
2023-03-10,600570,45.42,45.27,45.84,45.1,9241096
2023-03-13,600570,45.1,46.99,47.58,44.5,23114373
2023-03-14,600570,46.99,46.46,47.07,46.07,10344606
2023-03-15,600570,46.8,46.09,47.6,45.94,11350527
2023-03-16,600570,45.7,45.16,46.09,44.93,11281600
2023-03-17,600570,45.66,47.25,47.99,45.66,23045718
2023-03-20,600570,47.05,45.19,47.75,45.08,17716904
2023-03-21,600570,45.58,45.32,46.11,44.8,13740151
2023-03-22,600570,45.68,44.9,45.68,44.58,17000495
2023-03-23,600570,44.6,45.93,46.02,43.51,24331595
2023-03-24,600570,45.87,47.4,47.5,45.34,29597020
2023-03-27,600570,47.2,50.6,52.14,47.2,66468546
2023-03-28,600570,49.87,49.0,50.12,48.4,28805528
2023-03-29,600570,49.61,48.93,50.14,48.25,22249146
2023-03-30,600570,48.6,48.38,49.08,47.69,15661507
2023-03-31,600570,48.21,53.22,53.22,47.5,52244804
2023-04-03,600570,54.0,57.57,58.18,53.88,83971770
2023-04-04,600570,58.72,57.21,59.1,55.69,59337113
2023-04-06,600570,54.81,52.81,55.2,51.59,63675448
2023-04-07,600570,52.7,53.2,54.39,51.61,34659967
2023-04-10,600570,53.2,49.0,53.46,48.76,58294151
2023-04-11,600570,49.0,49.18,49.94,48.42,36534702
2023-04-12,600570,49.32,50.6,51.53,49.2,39781841
2023-04-13,600570,51.0,50.87,53.3,50.6,49412155
2023-04-14,600570,50.68,50.5,51.22,49.54,20685995
2023-04-17,600570,50.39,50.09,50.99,49.26,21281122
2023-04-18,600570,50.0,50.01,51.14,49.53,22315785
2023-04-19,600570,50.0,51.11,52.41,49.77,33200166
