date,code,open,close,high,low,volume
2022-11-23,600588,23.5,23.59,23.95,23.1,32350042
2022-11-24,600588,23.78,23.1,23.8,22.88,38248471
2022-11-25,600588,23.09,22.91,23.58,22.73,26400283
2022-11-28,600588,22.35,22.53,23.06,21.95,26830284
2022-11-29,600588,22.55,22.87,22.99,22.2,29726007
2022-11-30,600588,22.8,22.91,22.91,22.38,17852192
2022-12-01,600588,23.0,23.38,23.75,22.83,47125741
2022-12-02,600588,22.91,22.58,23.5,22.52,34386582
2022-12-05,600588,22.67,23.16,23.76,22.67,32780538
2022-12-06,600588,23.12,22.84,23.53,22.7,21241216
2022-12-07,600588,22.79,22.69,23.03,22.42,25145278
2022-12-08,600588,22.62,22.35,22.65,22.11,21084152
2022-12-09,600588,22.36,22.62,22.9,22.15,36991165
2022-12-12,600588,22.6,23.75,23.85,22.58,51733733
2022-12-13,600588,23.79,23.03,23.79,22.94,30922367
2022-12-14,600588,23.03,23.19,23.65,22.92,21650500
2022-12-15,600588,23.25,23.34,23.58,22.61,24886240
2022-12-16,600588,23.18,22.86,23.2,22.68,16942935
2022-12-19,600588,22.76,22.13,22.87,21.98,14642808
2022-12-20,600588,22.17,21.59,22.49,21.25,22315932
2022-12-21,600588,21.55,21.44,21.92,21.2,14902332
2022-12-22,600588,21.58,21.59,21.97,21.48,14400867
2022-12-23,600588,21.44,22.6,22.9,21.4,22772305
2022-12-26,600588,22.58,22.9,22.96,22.31,13027682
2022-12-27,600588,23.1,22.98,23.26,22.73,10668079
2022-12-28,600588,23.04,23.0,23.44,22.66,14264921
2022-12-29,600588,22.88,23.8,24.01,22.83,35297159
2022-12-30,600588,23.85,24.17,24.4,23.73,23839513
2023-01-03,600588,24.17,24.9,25.08,24.0,31709255
2023-01-04,600588,25.05,24.88,25.52,24.6,30533243
2023-01-05,600588,24.8,24.53,24.96,24.41,23236761
2023-01-06,600588,24.53,24.27,24.6,24.07,19314226
2023-01-09,600588,24.27,24.35,24.49,24.1,15115713
2023-01-10,600588,24.4,24.12,24.45,23.9,14155163
2023-01-11,600588,24.09,23.58,24.1,23.45,17432370
2023-01-12,600588,23.67,23.68,23.97,23.32,14641097
2023-01-13,600588,23.68,23.4,23.84,23.07,16709221
2023-01-16,600588,23.4,23.88,24.2,23.4,20765897
2023-01-17,600588,23.87,23.65,24.08,23.5,13887386
2023-01-18,600588,23.71,24.4,24.75,23.66,23927086
2023-01-19,600588,24.1,25.32,25.49,24.1,33761382
2023-01-20,600588,25.3,26.08,26.26,25.2,36988827
2023-01-30,600588,26.6,24.95,26.73,24.91,57376599
2023-01-31,600588,25.12,24.51,25.48,24.4,34085586
2023-02-01,600588,24.55,24.72,24.74,24.33,32767752
2023-02-02,600588,25.0,25.72,26.68,24.8,53136045
2023-02-03,600588,25.5,26.25,26.45,25.31,33734285
2023-02-06,600588,26.12,25.7,26.48,25.36,36658916
2023-02-07,600588,25.6,25.16,25.7,24.99,23290828
2023-02-08,600588,25.17,25.05,25.53,24.89,22724316
2023-02-09,600588,24.99,25.84,26.2,24.32,41620866
2023-02-10,600588,25.59,24.88,25.76,24.77,30502450
2023-02-13,600588,24.71,24.87,25.18,24.62,21569385
2023-02-14,600588,24.86,24.49,25.08,24.46,19183418
2023-02-15,600588,24.45,25.29,25.74,24.28,41821398
2023-02-16,600588,25.48,25.08,25.97,24.86,34745104
2023-02-17,600588,25.03,23.25,25.15,23.19,47559995
