date,code,open,close,high,low,volume
2022-11-23,600643,5.45,5.47,5.49,5.43,5473170
2022-11-24,600643,5.48,5.42,5.51,5.41,5307574
2022-11-25,600643,5.44,5.53,5.54,5.41,9187350
2022-11-28,600643,5.5,5.54,5.57,5.41,8361042
2022-11-29,600643,5.57,5.7,5.73,5.54,17458281
2022-11-30,600643,5.69,5.72,5.79,5.68,16555291
2022-12-01,600643,5.77,5.65,5.79,5.64,9421100
2022-12-02,600643,5.66,5.65,5.69,5.62,4988517
2022-12-05,600643,5.67,5.94,6.06,5.67,36347765
2022-12-06,600643,5.89,5.81,5.92,5.79,21337690
2022-12-07,600643,5.8,5.79,5.84,5.71,10338875
2022-12-08,600643,5.75,5.76,5.8,5.73,6502522
2022-12-09,600643,5.75,5.77,5.82,5.72,7518410
2022-12-12,600643,5.76,5.67,5.78,5.66,7992620
2022-12-13,600643,5.69,5.72,5.74,5.64,8965831
2022-12-14,600643,5.72,5.74,5.78,5.68,6246289
2022-12-15,600643,5.76,5.68,5.76,5.67,4017530
2022-12-16,600643,5.68,5.7,5.72,5.67,3432968
2022-12-19,600643,5.68,5.58,5.73,5.57,6280153
2022-12-20,600643,5.58,5.59,5.65,5.55,3437669
2022-12-21,600643,5.58,5.58,5.63,5.56,3203091
2022-12-22,600643,5.62,5.49,5.68,5.47,4995306
2022-12-23,600643,5.46,5.5,5.55,5.45,3040590
2022-12-26,600643,5.48,5.49,5.56,5.47,3606655
2022-12-27,600643,5.51,5.52,5.56,5.5,4064600
2022-12-28,600643,5.53,5.49,5.55,5.45,3544933
2022-12-29,600643,5.48,5.48,5.51,5.44,3214516
2022-12-30,600643,5.5,5.52,5.54,5.47,3496213
2023-01-03,600643,5.53,5.56,5.58,5.47,5222384
2023-01-04,600643,5.55,5.6,5.64,5.53,4552575
2023-01-05,600643,5.62,5.6,5.66,5.6,3968524
2023-01-06,600643,5.59,5.56,5.62,5.55,3578795
2023-01-09,600643,5.57,5.59,5.64,5.56,4815366
2023-01-10,600643,5.6,5.59,5.65,5.56,4039266
2023-01-11,600643,5.58,5.55,5.62,5.55,3562830
2023-01-12,600643,5.57,5.55,5.58,5.48,3894356
2023-01-13,600643,5.56,5.68,5.68,5.54,8213650
2023-01-16,600643,5.69,5.74,5.8,5.66,10442849
2023-01-17,600643,5.72,5.75,5.76,5.68,5517730
2023-01-18,600643,5.76,5.81,5.88,5.73,9683899
2023-01-19,600643,5.77,5.9,5.93,5.76,10628021
2023-01-20,600643,5.9,5.88,5.95,5.85,7800526
2023-01-30,600643,5.94,5.83,5.94,5.82,9122002
2023-01-31,600643,5.83,5.81,5.85,5.75,9444315
2023-02-01,600643,5.82,5.92,5.93,5.8,7577708
2023-02-02,600643,5.97,5.84,5.97,5.83,8202432
2023-02-03,600643,5.85,5.81,5.86,5.77,4957198
2023-02-06,600643,5.79,5.76,5.81,5.75,4185606
2023-02-07,600643,5.78,5.78,5.8,5.73,5447640
2023-02-08,600643,5.77,5.69,5.78,5.68,6589752
2023-02-09,600643,5.7,5.76,5.77,5.68,5427133
2023-02-10,600643,5.76,5.76,5.79,5.73,4798182
2023-02-13,600643,5.78,5.77,5.79,5.74,4431097
2023-02-14,600643,5.78,5.78,5.8,5.75,3244435
2023-02-15,600643,5.79,5.74,5.79,5.73,3844853
2023-02-16,600643,5.73,5.7,5.83,5.66,8703252
2023-02-17,600643,5.72,5.68,5.75,5.68,4903801
2023-02-20,600643,5.68,5.78,5.79,5.67,6646909
2023-02-21,600643,5.78,5.8,5.84,5.77,4777360
2023-02-22,600643,5.82,5.79,5.83,5.77,3824676
2023-02-23,600643,5.8,5.81,5.87,5.78,5743951
2023-02-24,600643,5.81,5.82,5.85,5.76,4371602
2023-02-27,600643,5.79,5.77,5.85,5.76,4399750
2023-02-28,600643,5.79,5.85,5.85,5.78,4393492
2023-03-01,600643,5.84,5.86,5.9,5.83,9353600
2023-03-02,600643,5.86,5.85,5.88,5.83,4466278
2023-03-03,600643,5.86,5.86,5.88,5.82,5837136
2023-03-06,600643,5.88,5.83,5.89,5.81,3984086
2023-03-07,600643,5.83,5.74,5.86,5.74,6849026
2023-03-08,600643,5.74,5.74,5.77,5.71,4017790
2023-03-09,600643,5.76,5.71,5.76,5.68,5950406
2023-03-10,600643,5.68,5.61,5.72,5.59,5642723
2023-03-13,600643,5.61,5.61,5.66,5.58,4715763
2023-03-14,600643,5.62,5.5,5.62,5.47,6326390
2023-03-15,600643,5.54,5.54,5.56,5.51,5441122
2023-03-16,600643,5.53,5.52,5.58,5.51,5741292
2023-03-17,600643,5.56,5.55,5.6,5.54,5935353
2023-03-20,600643,5.58,5.53,5.63,5.51,6647420
2023-03-21,600643,5.55,5.55,5.57,5.52,4669945
2023-03-22,600643,5.56,5.57,5.59,5.55,4331180
2023-03-23,600643,5.56,5.59,5.6,5.54,5118982
2023-03-24,600643,5.61,5.58,5.61,5.55,4892300
2023-03-27,600643,5.59,5.55,5.59,5.51,5985445
2023-03-28,600643,5.56,5.54,5.58,5.52,4344101
2023-03-29,600643,5.53,5.46,5.55,5.46,5257701
2023-03-30,600643,5.47,5.46,5.48,5.39,6356349
2023-03-31,600643,5.45,5.37,5.48,5.37,8788217
2023-04-03,600643,5.39,5.43,5.45,5.37,11253162
2023-04-04,600643,5.44,5.4,5.45,5.37,8041543
2023-04-06,600643,5.39,5.33,5.42,5.33,7080832
2023-04-07,600643,5.36,5.4,5.41,5.34,5887981
2023-04-10,600643,5.42,5.37,5.44,5.36,6231328
2023-04-11,600643,5.4,5.42,5.44,5.37,6587635
2023-04-12,600643,5.43,5.45,5.47,5.41,6171453
2023-04-13,600643,5.44,5.41,5.46,5.41,4713814
2023-04-14,600643,5.43,5.4,5.44,5.39,4372647
2023-04-17,600643,5.4,5.43,5.46,5.38,11338689
2023-04-18,600643,5.44,5.41,5.46,5.4,6836215
2023-04-19,600643,5.41,5.36,5.41,5.35,6372381
2023-04-20,600643,5.36,5.32,5.36,5.28,8121971
2023-04-21,600643,5.33,5.24,5.34,5.23,7730289
2023-04-24,600643,5.24,5.21,5.27,5.2,7762721
2023-04-25,600643,5.24,5.22,5.25,5.19,6252384
2023-04-26,600643,5.19,5.24,5.25,5.19,5938437
2023-04-27,600643,5.24,5.33,5.35,5.22,8369049
2023-04-28,600643,5.34,5.39,5.43,5.32,8161230
2023-05-04,600643,5.41,5.52,5.53,5.39,15098421
2023-05-05,600643,5.49,5.54,5.57,5.49,9787941
2023-05-08,600643,5.55,5.6,5.65,5.54,16588167
2023-05-09,600643,5.62,5.67,5.86,5.6,27204093
2023-05-10,600643,5.65,5.62,5.73,5.59,14696817
2023-05-11,600643,5.64,5.66,5.7,5.59,7581558
2023-05-12,600643,5.65,5.7,5.75,5.64,8828101
2023-05-15,600643,5.68,5.72,5.73,5.56,8417652
2023-05-16,600643,5.71,5.7,5.75,5.68,5874763
2023-05-17,600643,5.69,5.69,5.72,5.64,6094707
2023-05-18,600643,5.69,5.65,5.72,5.64,6527646
2023-05-19,600643,5.68,5.58,5.68,5.56,7025870
2023-05-22,600643,5.57,5.52,5.6,5.5,5147514
2023-05-23,600643,5.49,5.44,5.55,5.43,6377013
2023-05-24,600643,5.42,5.35,5.44,5.33,7078765
2023-05-25,600643,5.33,5.34,5.37,5.28,6026496
2023-05-26,600643,5.39,5.37,5.39,5.31,5176880
2023-05-29,600643,5.35,5.33,5.41,5.33,5040942
2023-05-30,600643,5.31,5.33,5.36,5.27,5577124
2023-05-31,600643,5.35,5.33,5.37,5.31,5876400
2023-06-01,600643,5.33,5.31,5.4,5.27,6279153
2023-06-02,600643,5.32,5.33,5.35,5.3,6437455
2023-06-05,600643,5.34,5.33,5.35,5.32,4714735
2023-06-06,600643,5.34,5.26,5.36,5.25,8007214
2023-06-07,600643,5.27,5.3,5.34,5.26,6493592
2023-06-08,600643,5.32,5.36,5.36,5.27,7398372
2023-06-09,600643,5.36,5.28,5.38,5.26,10724964
2023-06-12,600643,5.27,5.11,5.27,5.1,18474185
2023-06-13,600643,5.04,5.02,5.07,5.01,10029131
2023-06-14,600643,5.02,5.02,5.05,5.01,6414903
2023-06-15,600643,5.02,5.01,5.03,4.96,8633014
2023-06-16,600643,5.01,5.01,5.04,5.0,7181412
2023-06-19,600643,5.01,4.96,5.02,4.95,8135563
2023-06-20,600643,4.96,4.93,4.97,4.93,6103163
2023-06-21,600643,4.94,4.91,4.95,4.89,6416570
2023-06-26,600643,4.9,4.88,4.92,4.87,6918390
2023-06-27,600643,4.9,4.93,4.96,4.88,6081688
2023-06-28,600643,4.94,4.98,4.99,4.91,6235221
2023-06-29,600643,4.95,4.96,4.98,4.94,4393742
2023-06-30,600643,4.94,5.0,5.01,4.94,4983822
2023-07-03,600643,5.0,5.03,5.05,4.99,5640328
2023-07-04,600643,5.04,5.01,5.05,5.0,4003387
2023-07-05,600643,5.03,5.0,5.03,4.98,4172994
2023-07-06,600643,5.0,4.99,5.01,4.97,3327210
2023-07-07,600643,4.97,5.02,5.03,4.97,4901414
2023-07-10,600643,5.04,5.01,5.05,4.99,4321720
2023-07-11,600643,5.02,5.03,5.04,5.01,2884408
2023-07-12,600643,5.03,4.99,5.04,4.98,3360420
2023-07-13,600643,5.01,5.06,5.06,4.99,6879299
2023-07-14,600643,5.03,5.02,5.06,5.02,4357661
2023-07-17,600643,5.01,5.04,5.04,4.98,4702376
2023-07-18,600643,5.02,5.04,5.05,4.99,3884315
2023-07-19,600643,5.02,5.07,5.08,5.02,6155149
2023-07-20,600643,5.08,5.09,5.14,5.07,6751421
2023-07-21,600643,5.09,5.1,5.13,5.08,5053821
2023-07-24,600643,5.12,5.12,5.13,5.09,3876748
2023-07-25,600643,5.15,5.25,5.26,5.15,11969997
2023-07-26,600643,5.24,5.28,5.29,5.23,7925047
2023-07-27,600643,5.29,5.26,5.29,5.24,5837559
2023-07-28,600643,5.25,5.5,5.53,5.25,25191348
2023-07-31,600643,5.51,5.83,5.84,5.51,47225398
2023-08-01,600643,5.72,5.84,5.86,5.67,28918877
2023-08-02,600643,5.83,5.91,6.06,5.78,29046956
2023-08-03,600643,5.91,6.1,6.1,5.86,37931342
2023-08-04,600643,6.14,6.29,6.41,6.1,61719971
2023-08-07,600643,6.22,6.13,6.28,6.08,38343409
2023-08-08,600643,6.1,6.08,6.13,5.97,21877937
2023-08-09,600643,6.07,6.02,6.1,5.99,18820904
2023-08-10,600643,6.02,6.06,6.09,6.0,11847450
