date,code,open,close,high,low,volume
2022-11-23,600887,28.68,28.47,28.85,28.43,24981208
2022-11-24,600887,28.66,28.48,28.87,28.42,18411165
2022-11-25,600887,28.4,28.5,28.56,28.15,25853919
2022-11-28,600887,28.0,28.47,28.63,27.69,51235436
2022-11-29,600887,28.9,29.11,29.23,28.4,48816328
2022-11-30,600887,28.98,28.85,29.11,28.58,45928483
2022-12-01,600887,29.7,29.91,30.16,29.52,78144799
2022-12-02,600887,29.92,29.74,30.09,29.56,41113378
2022-12-05,600887,30.43,30.64,30.97,30.3,63542561
2022-12-06,600887,30.85,31.18,31.59,30.57,62147924
2022-12-07,600887,31.16,31.58,31.94,30.96,56820561
2022-12-08,600887,31.6,31.23,31.68,31.16,42920302
2022-12-09,600887,31.36,31.99,32.0,30.95,79373895
2022-12-12,600887,31.78,31.75,31.98,31.52,42877381
2022-12-13,600887,31.52,31.29,31.55,31.18,32392748
2022-12-14,600887,31.3,31.72,31.9,31.18,47088371
2022-12-15,600887,31.72,31.36,31.99,31.31,37190687
2022-12-16,600887,31.17,31.42,31.5,31.01,27440606
2022-12-19,600887,31.32,31.39,32.06,31.26,36239291
2022-12-20,600887,31.22,30.5,31.38,30.2,50047431
2022-12-21,600887,30.82,30.93,31.23,30.68,39761578
2022-12-22,600887,31.1,30.85,31.3,30.75,37963257
2022-12-23,600887,30.63,31.1,31.27,30.51,28805579
2022-12-26,600887,31.08,30.57,31.15,30.5,27647884
2022-12-27,600887,30.88,31.16,31.27,30.82,24825981
2022-12-28,600887,30.93,30.93,31.17,30.87,24753876
2022-12-29,600887,30.71,30.87,31.02,30.42,23112241
2022-12-30,600887,30.97,31.0,31.3,30.8,27728634
2023-01-03,600887,31.0,30.7,31.07,30.33,41192622
2023-01-04,600887,30.7,30.58,30.94,30.5,27184860
2023-01-05,600887,30.83,31.54,31.6,30.77,53318052
2023-01-06,600887,31.7,31.5,31.7,31.24,33750701
2023-01-09,600887,31.45,31.6,31.79,31.2,44171044
