date,code,open,close,high,low,volume
2022-11-23,600941,69.69,68.57,69.94,68.0,8507700
2022-11-24,600941,68.24,68.11,69.19,67.98,4996363
2022-11-25,600941,68.03,72.0,72.12,67.66,14556390
2022-11-28,600941,71.5,72.3,72.4,71.03,8913597
2022-11-29,600941,72.15,71.15,72.4,70.6,9530607
2022-11-30,600941,71.19,73.81,76.0,70.7,15819291
2022-12-01,600941,73.53,73.91,77.33,72.51,17857940
2022-12-02,600941,72.77,72.44,73.79,72.01,8239610
2022-12-05,600941,72.69,77.59,77.8,72.69,16843820
2022-12-06,600941,76.8,76.81,79.24,76.66,12718188
2022-12-07,600941,76.4,73.6,76.8,73.36,12728776
2022-12-08,600941,73.56,71.95,73.56,71.6,8685602
2022-12-09,600941,71.98,72.89,73.4,71.6,7522790
2022-12-12,600941,71.99,73.75,75.16,71.7,8789151
2022-12-13,600941,73.3,73.4,75.0,72.78,4992278
2022-12-14,600941,73.66,72.17,73.66,71.88,5337517
2022-12-15,600941,71.78,71.85,72.79,71.78,3681871
2022-12-16,600941,71.48,70.98,71.76,70.61,6744415
2022-12-19,600941,71.1,68.78,71.23,68.74,7608404
2022-12-20,600941,68.99,69.0,69.74,68.19,6241444
2022-12-21,600941,68.94,69.0,69.74,68.8,4384022
2022-12-22,600941,69.28,69.54,70.87,68.73,8233218
2022-12-23,600941,69.3,69.45,69.52,68.25,5061318
2022-12-26,600941,69.1,71.15,71.23,69.02,6813035
2022-12-27,600941,71.33,72.01,72.55,70.7,4782015
2022-12-28,600941,71.79,71.0,72.37,70.5,4141370
2022-12-29,600941,70.8,68.8,70.96,68.61,7649500
2022-12-30,600941,68.6,67.67,68.84,67.48,9531833
2023-01-03,600941,67.67,71.95,72.18,67.5,12678466
2023-01-04,600941,71.8,73.37,73.88,71.5,9235592
2023-01-05,600941,73.07,73.99,75.9,73.07,10953241
2023-01-06,600941,73.85,73.46,74.03,72.0,7900872
2023-01-09,600941,73.39,73.34,74.65,73.13,6321712
2023-01-10,600941,73.34,73.06,73.92,72.61,3319015
2023-01-11,600941,72.99,74.29,74.49,72.88,6012511
2023-01-12,600941,74.3,75.95,76.92,73.8,8970698
2023-01-13,600941,76.05,75.45,77.1,74.82,10225574
2023-01-16,600941,75.45,73.81,75.45,73.19,10275386
2023-01-17,600941,73.82,73.43,74.2,72.9,5730078
2023-01-18,600941,73.43,74.52,75.1,73.39,6051688
2023-01-19,600941,74.41,74.58,75.1,74.18,3425773
2023-01-20,600941,74.65,77.87,78.85,74.52,13139136
2023-01-30,600941,78.97,75.6,79.2,75.51,11875337
2023-01-31,600941,75.21,76.16,76.3,75.13,5224703
2023-02-01,600941,75.99,77.05,78.2,75.7,10186554
2023-02-02,600941,77.02,76.61,78.08,76.51,5816252
2023-02-03,600941,76.2,77.81,78.05,75.65,6813433
2023-02-06,600941,77.25,78.35,79.2,77.25,7906539
2023-02-07,600941,78.26,76.8,78.43,76.3,6980003
2023-02-08,600941,76.81,76.28,77.38,75.93,3733852
2023-02-09,600941,76.0,76.7,76.93,75.8,5162166
2023-02-10,600941,76.5,76.1,76.9,75.74,6256341
2023-02-13,600941,76.11,76.2,76.58,75.89,5445031
2023-02-14,600941,76.25,75.26,76.8,74.72,6881437
2023-02-15,600941,74.5,76.0,76.29,74.0,11016542
2023-02-16,600941,75.62,77.8,82.0,75.58,21309683
2023-02-17,600941,77.51,75.8,78.5,75.45,10356104
2023-02-20,600941,76.19,80.72,81.5,76.19,18530291
2023-02-21,600941,80.8,80.0,80.96,78.7,13060248
2023-02-22,600941,79.0,78.14,79.44,77.91,7791948
2023-02-23,600941,78.01,78.18,78.79,77.55,5485670
2023-02-24,600941,78.21,77.89,78.29,77.41,5521943
2023-02-27,600941,77.8,78.5,79.45,77.28,7844377
2023-02-28,600941,80.0,80.6,81.7,79.15,17739676
2023-03-01,600941,80.52,84.61,85.95,80.08,25567788
2023-03-02,600941,83.9,84.73,86.28,83.5,14879336
2023-03-03,600941,84.54,86.9,88.98,84.06,17193423
2023-03-06,600941,88.02,89.6,93.59,87.5,26026986
2023-03-07,600941,89.4,86.36,91.0,85.18,28019604
2023-03-08,600941,85.3,88.55,88.6,84.8,20081165
2023-03-09,600941,87.53,90.61,93.47,85.66,26734693
2023-03-10,600941,89.73,89.4,93.88,88.73,20963344
2023-03-13,600941,90.25,98.34,98.34,90.25,34548575
2023-03-14,600941,98.34,98.17,100.58,96.7,31987700
2023-03-15,600941,98.17,99.23,99.47,95.0,26950883
2023-03-16,600941,98.0,100.06,102.72,97.61,30073345
2023-03-17,600941,99.18,101.1,101.25,98.1,27671591
2023-03-20,600941,100.4,91.96,100.88,91.2,51813170
2023-03-21,600941,91.21,91.6,92.7,90.11,29725289
2023-03-22,600941,91.17,92.06,93.48,89.77,27238703
2023-03-23,600941,91.43,93.08,93.93,90.22,32240540
2023-03-24,600941,92.9,90.86,92.99,88.08,44503932
2023-03-27,600941,89.91,87.95,90.15,86.74,35308484
2023-03-28,600941,87.96,88.46,89.3,87.4,25509285
2023-03-29,600941,87.8,88.8,89.39,86.05,22288996
2023-03-30,600941,88.0,86.34,88.46,84.79,25943630
2023-03-31,600941,86.39,89.97,90.77,86.39,25505487
2023-04-03,600941,89.3,92.72,93.5,88.18,31470563
2023-04-04,600941,92.0,97.19,99.29,91.66,36110611
2023-04-06,600941,95.51,97.19,98.46,94.2,19496608
2023-04-07,600941,96.69,96.52,98.89,95.79,14307820
2023-04-10,600941,96.54,97.25,99.42,95.66,19096731
2023-04-11,600941,97.28,94.59,97.28,93.0,17956868
2023-04-12,600941,94.2,97.25,98.6,93.79,16586896
2023-04-13,600941,96.8,95.1,98.32,94.75,15602637
2023-04-14,600941,95.1,98.3,99.6,94.54,18435234
2023-04-17,600941,98.29,102.81,103.0,97.2,26066336
2023-04-18,600941,102.7,105.68,106.0,101.0,25030772
2023-04-19,600941,104.5,101.68,104.96,100.78,19477417
2023-04-20,600941,100.88,102.7,104.25,99.64,21582400
2023-04-21,600941,101.64,101.29,105.5,99.89,22776117
2023-04-24,600941,100.3,100.8,102.89,99.3,14958334
2023-04-25,600941,100.32,101.9,103.4,99.5,16921914
2023-04-26,600941,100.99,97.48,101.39,96.0,18462293
2023-04-27,600941,96.48,99.4,100.0,96.05,11589552
2023-04-28,600941,99.0,101.12,101.6,98.77,12243268
2023-05-04,600941,100.97,103.84,104.0,99.9,15569863
2023-05-05,600941,103.05,101.97,104.51,100.94,10968419
2023-05-08,600941,103.1,107.65,109.59,102.01,25940933
2023-05-09,600941,107.18,103.72,107.5,103.0,14761150
2023-05-10,600941,103.1,103.0,104.28,101.6,11072084
2023-05-11,600941,102.35,99.95,102.5,97.95,17527173
2023-05-12,600941,99.87,96.14,100.96,96.0,18704576
2023-05-15,600941,95.5,96.91,97.69,92.48,22099593
2023-05-16,600941,96.5,94.23,97.21,94.18,13321713
2023-05-17,600941,93.0,91.09,93.2,90.2,24762835
2023-05-18,600941,91.52,92.4,93.68,91.1,18408280
2023-05-19,600941,92.09,93.11,93.9,90.88,13252758
2023-05-22,600941,92.9,94.47,95.68,92.2,13727736
2023-05-23,600941,94.0,91.6,95.3,91.57,12777300
2023-05-24,600941,91.35,90.29,92.22,90.11,13184111
2023-05-25,600941,90.39,91.5,91.6,88.94,13517365
2023-05-26,600941,91.0,93.77,94.6,90.91,18001541
2023-05-29,600941,93.8,94.45,95.99,93.8,11275556
2023-05-30,600941,93.92,96.46,96.9,93.22,14645565
2023-05-31,600941,96.02,96.4,98.01,95.7,12526703
2023-06-01,600941,96.3,98.84,99.01,95.98,14426751
2023-06-02,600941,99.0,99.29,99.95,97.5,9885065
2023-06-05,600941,99.36,97.5,99.66,97.25,9006593
2023-06-06,600941,97.6,98.33,99.36,97.36,8566943
2023-06-07,600941,96.68,95.85,97.6,94.9,7834327
2023-06-08,600941,95.8,96.9,97.68,94.85,7954290
2023-06-09,600941,96.7,102.66,102.66,96.17,14658557
2023-06-12,600941,100.68,99.8,102.0,99.2,10116903
2023-06-13,600941,99.69,97.52,100.55,96.5,14509006
2023-06-14,600941,97.3,96.5,97.4,95.83,12200998
2023-06-15,600941,96.81,97.17,97.89,95.95,10956828
2023-06-16,600941,97.16,95.74,97.3,95.2,14497105
2023-06-19,600941,95.78,96.0,96.48,93.06,17282331
2023-06-20,600941,95.6,94.5,96.06,93.98,11650932
2023-06-21,600941,93.59,92.33,93.97,92.0,15071789
2023-06-26,600941,91.32,93.04,95.0,91.14,13407232
2023-06-27,600941,93.55,94.45,96.2,92.8,13678925
2023-06-28,600941,94.03,93.44,94.38,92.78,9122976
2023-06-29,600941,92.85,94.02,94.65,92.85,8317191
2023-06-30,600941,93.55,93.3,94.19,92.9,8252287
2023-07-03,600941,93.3,94.8,95.82,92.42,14319844
2023-07-04,600941,94.44,95.19,95.5,94.31,9382223
2023-07-05,600941,95.01,94.32,95.54,93.83,8712291
2023-07-06,600941,94.31,94.21,95.2,93.72,6211577
2023-07-07,600941,93.8,93.19,94.5,92.89,6129118
2023-07-10,600941,93.37,93.0,94.34,92.58,5378691
2023-07-11,600941,93.03,93.35,93.98,92.89,5377311
2023-07-12,600941,93.35,90.9,93.35,90.75,14199468
2023-07-13,600941,91.4,91.91,92.45,90.8,9602328
2023-07-14,600941,91.9,95.35,97.85,91.89,29233523
2023-07-17,600941,95.3,95.28,97.42,94.4,13732359
2023-07-18,600941,94.9,95.11,95.82,94.5,5558606
2023-07-19,600941,95.11,95.25,96.23,94.73,4571380
2023-07-20,600941,95.34,94.69,95.62,94.52,5756959
2023-07-21,600941,94.5,94.8,95.35,93.85,4489395
2023-07-24,600941,94.69,96.55,96.86,94.2,9176283
2023-07-25,600941,97.49,95.5,97.75,95.0,10662102
2023-07-26,600941,95.5,94.6,95.73,94.3,4836577
2023-07-27,600941,94.6,94.2,95.15,93.96,5418019
2023-07-28,600941,93.85,95.06,95.7,92.9,11629817
2023-07-31,600941,95.2,93.75,95.4,93.49,13827420
2023-08-01,600941,93.6,94.29,94.46,93.26,6213529
2023-08-02,600941,94.08,93.39,94.22,93.33,5122469
2023-08-03,600941,93.3,93.63,94.23,93.18,5542838
2023-08-04,600941,93.98,96.91,97.5,93.9,19546505
2023-08-07,600941,96.01,96.32,96.62,95.4,6925485
2023-08-08,600941,96.3,96.74,97.33,96.0,5112942
2023-08-09,600941,96.69,96.22,96.99,96.12,3953259
2023-08-10,600941,96.65,97.48,97.73,96.26,6762956
2023-08-11,600941,97.8,98.0,100.46,97.2,15543222
2023-08-14,600941,97.0,99.59,100.2,96.9,13527029
2023-08-15,600941,99.61,99.59,100.18,98.66,8538466
2023-08-16,600941,99.35,96.49,100.2,95.01,12083414
2023-08-17,600941,95.86,96.33,96.58,95.0,6731358
2023-08-18,600941,96.3,94.41,96.79,94.2,5905876
2023-08-21,600941,94.7,97.36,98.87,94.6,12186847
2023-08-22,600941,98.01,100.45,100.98,97.13,15923518
2023-08-23,600941,99.9,99.21,100.5,98.91,8430205
2023-08-24,600941,99.36,97.99,99.75,97.02,9348187
2023-08-25,600941,97.0,97.59,98.25,96.07,7898241
2023-08-28,600941,100.95,98.55,101.43,98.0,11308511
2023-08-29,600941,98.3,98.35,99.82,97.77,9499014
2023-08-30,600941,98.43,98.66,98.79,97.85,7706178
2023-08-31,600941,98.8,100.48,100.88,98.5,12446583
2023-09-01,600941,98.29,96.9,98.29,96.33,8815734
2023-09-04,600941,96.99,97.98,99.31,96.99,8987345
2023-09-05,600941,97.97,96.99,98.0,96.59,6180555
2023-09-06,600941,96.87,96.05,96.89,95.24,6052788
2023-09-07,600941,95.99,96.31,97.0,95.6,4910735
2023-09-08,600941,96.01,97.67,98.87,95.71,7726581
2023-09-11,600941,98.4,98.46,99.2,97.65,6309068
2023-09-12,600941,98.55,99.4,99.82,97.96,5379752
2023-09-13,600941,99.48,99.63,99.85,98.81,5778683
2023-09-14,600941,99.66,101.37,102.22,99.63,9470290
2023-09-15,600941,101.0,101.97,102.32,100.28,7132227
2023-09-18,600941,101.54,99.23,101.54,98.95,8395027
2023-09-19,600941,99.3,100.88,101.2,99.17,6511238
2023-09-20,600941,101.13,100.4,102.16,100.2,4400919
2023-09-21,600941,100.4,100.38,101.0,99.8,4628543
2023-09-22,600941,100.23,99.86,100.38,98.58,6777697
2023-09-25,600941,99.96,99.21,99.97,98.68,5240500
2023-09-26,600941,99.19,97.18,99.77,96.59,10031188
2023-09-27,600941,97.21,97.25,97.5,96.83,4806852
2023-09-28,600941,97.57,96.82,97.63,96.2,7166650
2023-10-09,600941,96.82,99.03,99.93,96.3,10718273
2023-10-10,600941,98.91,98.72,99.33,98.0,4340473
2023-10-11,600941,98.73,98.25,98.9,97.4,4928663
