date,code,open,close,high,low,volume
2022-11-23,601168,10.92,10.87,11.0,10.78,18316295
2022-11-24,601168,10.94,10.89,10.99,10.84,15634083
2022-11-25,601168,10.82,10.88,10.94,10.8,14894815
2022-11-28,601168,10.68,10.67,10.7,10.44,29228396
2022-11-29,601168,10.98,10.89,10.99,10.77,26678134
2022-11-30,601168,10.87,10.9,10.95,10.76,21383347
2022-12-01,601168,11.13,10.93,11.19,10.88,34215273
2022-12-02,601168,10.92,10.74,10.94,10.71,20419569
2022-12-05,601168,10.87,11.11,11.25,10.84,47289024
2022-12-06,601168,11.07,11.03,11.18,10.81,33825668
2022-12-07,601168,11.01,10.92,11.15,10.9,25133505
2022-12-08,601168,10.93,11.0,11.09,10.89,16465653
2022-12-09,601168,11.03,11.39,11.39,11.02,45864204
2022-12-12,601168,11.27,10.61,11.27,10.6,75085043
2022-12-13,601168,10.61,10.81,10.94,10.61,33977998
2022-12-14,601168,10.86,10.86,11.09,10.81,30249308
2022-12-15,601168,10.8,10.81,10.86,10.65,20097200
2022-12-16,601168,10.65,10.71,10.74,10.52,21556084
2022-12-19,601168,10.71,10.46,10.83,10.42,20752342
2022-12-20,601168,10.45,10.41,10.55,10.36,12878168
2022-12-21,601168,10.52,10.44,10.54,10.36,11118693
2022-12-22,601168,10.51,10.16,10.52,10.08,17124631
2022-12-23,601168,10.06,10.11,10.2,9.93,14154652
2022-12-26,601168,10.15,10.29,10.32,10.08,12592960
2022-12-27,601168,10.29,10.42,10.45,10.28,10852060
2022-12-28,601168,10.37,10.52,10.62,10.29,17121269
2022-12-29,601168,10.41,10.27,10.46,10.26,11702740
2022-12-30,601168,10.34,10.2,10.36,10.15,10536732
2023-01-03,601168,10.18,10.43,10.47,10.07,16809644
2023-01-04,601168,10.37,10.18,10.44,10.16,17182813
2023-01-05,601168,10.18,10.24,10.32,10.16,12674915
2023-01-06,601168,10.3,10.28,10.37,10.25,13626893
2023-01-09,601168,10.5,10.94,10.99,10.45,55748464
2023-01-10,601168,10.88,10.86,10.97,10.77,27085307
