date,code,open,close,high,low,volume
2022-11-23,601186,7.52,7.93,8.12,7.41,315142512
2022-11-24,601186,7.8,7.67,7.81,7.62,130105479
2022-11-25,601186,7.65,7.85,7.95,7.63,130109609
2022-11-28,601186,7.7,7.75,7.95,7.66,99091299
2022-11-29,601186,7.88,8.15,8.32,7.82,230808282
2022-11-30,601186,8.08,8.11,8.18,8.03,87406638
2022-12-01,601186,8.13,7.92,8.15,7.88,114178379
2022-12-02,601186,7.88,7.91,7.94,7.78,74404074
2022-12-05,601186,8.11,8.7,8.7,8.1,285137011
2022-12-06,601186,8.79,8.71,9.08,8.66,382289243
2022-12-07,601186,8.7,8.78,8.96,8.54,238944152
2022-12-08,601186,8.75,8.86,8.92,8.62,183774397
2022-12-09,601186,8.88,8.77,8.91,8.53,173367634
2022-12-12,601186,8.62,8.46,8.73,8.43,143511264
2022-12-13,601186,8.41,8.46,8.53,8.32,110176361
2022-12-14,601186,8.41,8.35,8.47,8.26,84081766
2022-12-15,601186,8.36,8.34,8.41,8.25,58908755
2022-12-16,601186,8.29,8.39,8.5,8.28,82854921
2022-12-19,601186,8.31,7.95,8.37,7.91,145621313
2022-12-20,601186,7.93,7.94,8.04,7.92,66768311
2022-12-21,601186,7.97,7.9,7.97,7.86,42025852
2022-12-22,601186,7.95,7.82,8.05,7.77,72149334
2022-12-23,601186,7.77,7.8,7.86,7.74,37507760
2022-12-26,601186,7.81,7.79,7.83,7.65,58131408
2022-12-27,601186,7.81,7.82,7.89,7.77,64555325
2022-12-28,601186,7.78,7.75,7.81,7.69,44697064
2022-12-29,601186,7.72,7.64,7.73,7.61,44824558
2022-12-30,601186,7.66,7.73,7.76,7.64,43531376
2023-01-03,601186,7.71,7.89,7.94,7.66,79739271
2023-01-04,601186,7.87,7.93,7.97,7.83,62025053
2023-01-05,601186,7.92,7.91,8.02,7.88,60883800
2023-01-06,601186,7.9,7.82,7.93,7.79,57971334
2023-01-09,601186,7.83,7.78,7.86,7.76,48727855
2023-01-10,601186,7.8,7.73,7.81,7.68,43395476
2023-01-11,601186,7.74,7.7,7.78,7.69,40575156
2023-01-12,601186,7.69,7.61,7.72,7.57,62980517
2023-01-13,601186,7.6,7.69,7.69,7.57,43049381
2023-01-16,601186,7.68,7.77,7.87,7.62,85227834
2023-01-17,601186,7.76,7.73,7.77,7.69,34900479
2023-01-18,601186,7.73,7.73,7.78,7.72,30654041
2023-01-19,601186,7.71,7.79,7.79,7.65,44022668
2023-01-20,601186,7.8,8.0,8.03,7.78,95266882
2023-01-30,601186,8.08,7.9,8.08,7.89,83079890
2023-01-31,601186,7.9,7.91,7.94,7.86,42537490
2023-02-01,601186,7.93,8.02,8.04,7.83,98415739
2023-02-02,601186,7.99,7.98,8.03,7.93,70534110
2023-02-03,601186,7.96,7.86,7.97,7.82,66898735
2023-02-06,601186,7.81,7.89,7.96,7.78,58225994
2023-02-07,601186,7.87,8.04,8.05,7.86,86420369
2023-02-08,601186,8.02,7.88,8.04,7.87,69614842
2023-02-09,601186,7.86,7.92,7.94,7.85,44634601
2023-02-10,601186,7.91,7.98,8.03,7.89,59619950
2023-02-13,601186,7.97,8.06,8.1,7.91,85675610
2023-02-14,601186,8.05,8.02,8.06,7.97,46957275
2023-02-15,601186,8.01,7.95,8.02,7.93,44144700
2023-02-16,601186,7.96,7.95,8.15,7.9,119132685
2023-02-17,601186,7.94,7.83,7.97,7.82,70595020
2023-02-20,601186,7.86,8.13,8.15,7.83,133535709
2023-02-21,601186,8.16,8.17,8.24,8.07,84435333
2023-02-22,601186,8.13,8.18,8.25,8.11,66725010
2023-02-23,601186,8.18,8.12,8.19,8.09,51282901
2023-02-24,601186,8.11,8.07,8.12,8.01,45017627
2023-02-27,601186,8.05,8.02,8.12,8.01,38497489
2023-02-28,601186,8.03,8.11,8.11,7.96,51519335
