date,code,open,close,high,low,volume
2022-10-27,601211,13.53,13.58,13.68,13.51,13676443
2022-10-28,601211,13.55,13.4,13.7,13.35,19116277
2022-10-31,601211,13.41,13.22,13.45,13.2,31457000
2022-11-01,601211,13.25,13.44,13.44,13.22,37699196
2022-11-02,601211,13.37,13.42,13.47,13.3,26840259
2022-11-03,601211,13.35,13.27,13.37,13.22,19753581
2022-11-04,601211,13.25,13.55,13.6,13.24,37737848
2022-11-07,601211,13.5,13.54,13.62,13.47,26525150
2022-11-08,601211,13.55,13.47,13.58,13.42,18077137
2022-11-09,601211,13.48,13.44,13.52,13.43,11318027
2022-11-10,601211,13.39,13.5,13.53,13.34,15547700
2022-11-11,601211,13.71,13.78,13.93,13.63,39381048
2022-11-14,601211,13.84,13.8,14.04,13.78,34782446
2022-11-15,601211,13.76,14.09,14.23,13.75,57359321
2022-11-16,601211,14.0,13.92,14.06,13.91,23949556
2022-11-17,601211,13.88,13.96,14.0,13.83,21356062
2022-11-18,601211,13.95,13.81,14.04,13.8,22633987
2022-11-21,601211,13.76,13.69,13.77,13.62,19545524
2022-11-22,601211,13.69,13.78,13.88,13.66,20346784
2022-11-23,601211,13.75,13.86,13.93,13.74,19678065
2022-11-24,601211,13.92,13.78,13.97,13.77,16049569
2022-11-25,601211,13.78,13.88,13.96,13.74,20375600
2022-11-28,601211,13.65,13.67,13.7,13.52,27840645
2022-11-29,601211,13.67,14.03,14.1,13.66,43066708
2022-11-30,601211,14.02,13.99,14.17,13.99,28750554
2022-12-01,601211,14.19,14.12,14.4,14.1,46981524
2022-12-02,601211,14.1,14.12,14.2,14.09,21772628
2022-12-05,601211,14.22,14.41,14.53,14.22,47187149
2022-12-06,601211,14.39,14.32,14.47,14.26,28483640
2022-12-07,601211,14.31,14.22,14.35,14.12,34360537
2022-12-08,601211,14.2,14.21,14.25,14.13,26839966
2022-12-09,601211,14.21,14.3,14.52,14.14,77958376
2022-12-12,601211,14.23,14.19,14.32,14.18,32574201
2022-12-13,601211,14.23,14.18,14.31,14.16,21301719
2022-12-14,601211,14.2,14.21,14.26,14.12,15381599
2022-12-15,601211,14.16,14.07,14.24,14.05,14721887
2022-12-16,601211,14.01,14.11,14.14,14.0,12746119
2022-12-19,601211,14.09,13.75,14.16,13.69,23295563
2022-12-20,601211,13.71,13.67,13.8,13.62,16939284
2022-12-21,601211,13.65,13.6,13.75,13.46,21064922
2022-12-22,601211,13.69,13.52,13.75,13.47,22610467
2022-12-23,601211,13.46,13.49,13.59,13.39,15458641
2022-12-26,601211,13.51,13.53,13.55,13.43,12176764
2022-12-27,601211,13.62,13.64,13.68,13.57,13274210
2022-12-28,601211,13.6,13.58,13.63,13.53,13093055
2022-12-29,601211,13.54,13.53,13.57,13.46,12834749
2022-12-30,601211,13.58,13.59,13.63,13.55,13835194
2023-01-03,601211,13.45,13.45,13.47,13.15,44530828
2023-01-04,601211,13.45,13.46,13.53,13.4,22523695
2023-01-05,601211,13.53,13.61,13.67,13.51,25978141
2023-01-06,601211,13.62,13.61,13.7,13.52,17977538
2023-01-09,601211,13.69,13.73,13.87,13.66,24608838
2023-01-10,601211,13.75,13.72,13.85,13.7,22442400
2023-01-11,601211,13.72,13.64,13.79,13.63,18764864
2023-01-12,601211,13.66,13.7,13.72,13.58,13624990
2023-01-13,601211,13.7,13.88,13.9,13.67,27501878
2023-01-16,601211,13.92,14.23,14.43,13.89,56703891
2023-01-17,601211,14.22,14.3,14.32,14.15,29090563
2023-01-18,601211,14.26,14.25,14.35,14.22,20997358
2023-01-19,601211,14.21,14.41,14.42,14.19,28946233
2023-01-20,601211,14.41,14.49,14.51,14.31,32106094
2023-01-30,601211,14.69,14.42,14.7,14.4,32439991
2023-01-31,601211,14.41,14.27,14.47,14.25,22988435
2023-02-01,601211,14.31,14.55,14.55,14.27,23741951
2023-02-02,601211,14.74,14.38,14.77,14.36,43400419
2023-02-03,601211,14.34,14.28,14.39,14.18,24328716
2023-02-06,601211,14.2,14.16,14.24,14.12,20475004
2023-02-07,601211,14.18,14.19,14.23,14.13,16000469
2023-02-08,601211,14.24,14.1,14.28,14.09,20911054
2023-02-09,601211,14.1,14.25,14.25,14.05,21173700
2023-02-10,601211,14.21,14.22,14.27,14.16,17983548
2023-02-13,601211,14.21,14.29,14.32,14.16,21999594
2023-02-14,601211,14.32,14.29,14.33,14.24,14049994
2023-02-15,601211,14.29,14.22,14.31,14.2,13094555
2023-02-16,601211,14.22,14.1,14.4,14.04,33568167
2023-02-17,601211,14.1,14.02,14.18,14.01,20080697
2023-02-20,601211,14.19,14.46,14.49,14.11,43492488
2023-02-21,601211,14.43,14.5,14.53,14.37,23258651
2023-02-22,601211,14.41,14.39,14.5,14.35,18817951
2023-02-23,601211,14.41,14.46,14.57,14.39,21281736
2023-02-24,601211,14.44,14.28,14.47,14.25,24184081
2023-02-27,601211,14.22,14.2,14.29,14.18,12341010
2023-02-28,601211,14.24,14.29,14.32,14.17,11916460
2023-03-01,601211,14.29,14.46,14.49,14.25,23719186
2023-03-02,601211,14.47,14.5,14.53,14.42,19182957
2023-03-03,601211,14.5,14.58,14.6,14.43,24183692
2023-03-06,601211,14.6,14.42,14.61,14.41,21699420
2023-03-07,601211,14.43,14.27,14.62,14.25,32850905
2023-03-08,601211,14.23,14.25,14.27,14.19,13677950
