date,code,open,close,high,low,volume
2020-01-02,601222,4.89,4.91,5.0,4.87,229352.0
2020-01-03,601222,4.95,4.91,4.95,4.86,113550.0
2020-01-06,601222,4.88,5.07,5.14,4.85,363296.0
2020-01-07,601222,5.04,5.26,5.39,5.04,485813.0
2020-01-08,601222,5.28,5.3,5.43,5.24,493231.0
2020-01-09,601222,5.5,5.4,5.61,5.37,442481.0
2020-01-10,601222,5.42,5.34,5.43,5.32,218464.0
2020-01-13,601222,5.32,5.41,5.43,5.31,205093.0
2020-01-14,601222,5.39,5.4,5.44,5.38,155017.0
2020-01-15,601222,5.39,5.4,5.41,5.28,187710.0
2020-01-16,601222,5.39,5.35,5.44,5.34,112869.0
2020-01-17,601222,5.35,5.45,5.58,5.32,347008.0
2020-01-20,601222,5.48,5.43,5.5,5.37,229802.0
2020-01-21,601222,5.39,5.32,5.4,5.3,164008.0
2020-01-22,601222,5.31,5.35,5.4,5.18,205020.0
2020-01-23,601222,5.3,5.16,5.38,5.08,201234.0
2020-02-03,601222,4.64,4.64,4.72,4.64,262929.0
2020-02-04,601222,4.6,4.68,4.73,4.58,230977.0
2020-02-05,601222,4.7,4.81,4.9,4.67,214683.0
2020-02-06,601222,4.81,4.85,4.89,4.76,200945.0
2020-02-07,601222,4.84,5.03,5.05,4.8,245770.0
2020-02-10,601222,4.96,5.04,5.06,4.96,187815.0
2020-02-11,601222,5.02,4.96,5.08,4.93,168045.0
2020-02-12,601222,5.05,5.33,5.35,5.05,491421.0
2020-02-13,601222,5.33,5.13,5.37,5.12,389416.0
2020-02-14,601222,5.1,5.03,5.15,4.99,324496.0
2020-02-17,601222,5.05,5.2,5.2,5.04,276543.0
2020-02-18,601222,5.18,5.25,5.31,5.15,284954.0
2020-02-19,601222,5.25,5.52,5.62,5.23,730631.0
2020-02-20,601222,5.6,5.61,5.77,5.51,639469.0
2020-02-21,601222,5.55,5.73,5.85,5.51,452601.0
2020-02-24,601222,5.71,5.59,5.71,5.49,530022.0
2020-02-25,601222,5.42,5.45,5.52,5.27,465329.0
2020-02-26,601222,5.35,5.33,5.53,5.31,311855.0
2020-02-27,601222,5.38,5.4,5.48,5.3,264847.0
2020-02-28,601222,5.29,5.16,5.31,5.07,375434.0
2020-03-02,601222,5.22,5.38,5.43,5.18,236185.0
2020-03-03,601222,5.56,5.54,5.66,5.45,410102.0
2020-03-04,601222,5.5,5.61,5.63,5.45,270310.0
2020-03-05,601222,5.71,6.01,6.08,5.71,742846.0
2020-03-06,601222,5.9,5.99,6.25,5.86,524929.0
2020-03-09,601222,5.88,5.82,6.13,5.78,512769.0
2020-03-10,601222,5.82,5.88,5.95,5.57,498332.0
2020-03-11,601222,5.91,6.12,6.2,5.91,716545.0
