date,code,open,close,high,low,volume
2022-11-23,601225,19.44,19.53,19.87,19.34,43446799
2022-11-24,601225,19.54,19.85,20.19,19.26,56033192
2022-11-25,601225,19.78,20.58,20.66,19.77,75260406
2022-11-28,601225,20.08,19.97,20.5,19.69,72630888
2022-11-29,601225,20.14,20.04,20.2,19.63,64469360
2022-11-30,601225,19.86,20.17,20.67,19.85,83163334
2022-12-01,601225,20.34,19.61,20.43,19.54,103372573
2022-12-02,601225,19.5,19.17,19.56,19.13,75878740
2022-12-05,601225,19.37,19.74,19.8,19.25,77252555
2022-12-06,601225,19.64,19.94,20.05,19.34,56444177
2022-12-07,601225,19.89,19.39,19.9,19.2,67935175
2022-12-08,601225,19.36,19.52,19.73,19.2,46113253
2022-12-09,601225,19.52,19.68,19.68,19.18,89512103
2022-12-12,601225,19.49,18.89,19.63,18.75,114914149
2022-12-13,601225,18.86,19.0,19.17,18.76,55511155
2022-12-14,601225,19.03,19.22,19.29,18.91,59620716
2022-12-15,601225,19.13,18.9,19.23,18.82,44232680
2022-12-16,601225,18.81,19.12,19.25,18.81,42250613
2022-12-19,601225,19.01,18.67,19.2,18.58,39191294
2022-12-20,601225,18.6,18.56,18.82,18.4,32694718
2022-12-21,601225,18.56,18.47,18.61,18.37,22810810
2022-12-22,601225,18.62,18.11,18.7,18.11,36789212
2022-12-23,601225,18.11,18.32,18.38,17.8,30429364
2022-12-26,601225,18.32,18.7,18.79,18.28,35568102
2022-12-27,601225,18.86,18.85,19.18,18.76,34374004
2022-12-28,601225,18.72,18.67,18.95,18.57,28472471
2022-12-29,601225,18.57,18.38,18.64,18.27,30660783
2022-12-30,601225,18.4,18.58,18.68,18.32,26501674
2023-01-03,601225,18.43,18.68,18.72,18.42,30447473
2023-01-04,601225,18.72,18.26,18.72,17.94,44449463
2023-01-05,601225,18.31,18.36,18.5,18.19,41350732
2023-01-06,601225,18.38,18.96,19.01,18.31,46876216
2023-01-09,601225,19.08,19.15,19.23,18.77,49566347
2023-01-10,601225,19.14,19.0,19.35,18.84,24544456
2023-01-11,601225,19.03,19.63,19.8,18.95,85930408
2023-01-12,601225,19.56,19.66,19.74,19.31,35682196
2023-01-13,601225,19.65,19.73,19.9,19.5,30704801
2023-01-16,601225,19.72,19.62,19.73,19.28,45942012
2023-01-17,601225,19.77,19.81,19.94,19.39,45787241
2023-01-18,601225,19.7,19.84,20.08,19.67,34809357
2023-01-19,601225,20.03,19.89,20.19,19.6,36195106
2023-01-20,601225,19.96,20.02,20.19,19.89,34502473
2023-01-30,601225,20.1,19.55,20.14,19.3,48684599
2023-01-31,601225,19.62,19.55,19.85,19.47,28004076
2023-02-01,601225,19.55,19.44,19.59,19.25,29105219
2023-02-02,601225,19.44,19.62,19.73,19.31,31945765
2023-02-03,601225,19.55,19.26,19.55,19.15,28516571
2023-02-06,601225,19.09,19.09,19.2,18.9,29620749
2023-02-07,601225,19.2,19.1,19.49,19.06,26271873
2023-02-08,601225,19.15,18.99,19.21,18.98,19846389
2023-02-09,601225,19.0,19.14,19.23,18.91,21834023
2023-02-10,601225,19.15,18.81,19.16,18.8,26394301
2023-02-13,601225,18.72,18.66,18.76,18.2,57615581
2023-02-14,601225,18.75,18.77,18.82,18.44,25859365
2023-02-15,601225,18.75,18.54,18.83,18.46,21773932
2023-02-16,601225,18.6,18.38,18.81,18.3,32069870
2023-02-17,601225,18.38,18.5,18.82,18.38,34367466
2023-02-20,601225,18.71,19.16,19.2,18.55,68505730
2023-02-21,601225,19.3,19.5,19.77,19.04,57304601
2023-02-22,601225,19.45,19.59,19.83,19.31,46963498
2023-02-23,601225,20.04,19.76,20.31,19.7,107837084
2023-02-24,601225,19.71,19.72,20.0,19.53,36524724
2023-02-27,601225,19.78,20.1,20.49,19.77,59175108
2023-02-28,601225,20.08,20.0,20.1,19.81,30995630
2023-03-01,601225,20.02,20.02,20.28,19.88,32728612
2023-03-02,601225,19.92,20.0,20.18,19.8,21662500
2023-03-03,601225,20.0,19.96,20.05,19.74,29779066
2023-03-06,601225,19.93,19.38,20.02,19.3,57240094
2023-03-07,601225,19.58,19.69,20.2,19.5,61231557
2023-03-08,601225,19.64,19.58,19.76,19.43,23104841
2023-03-09,601225,19.6,19.77,20.2,19.6,41855251
2023-03-10,601225,19.75,19.34,19.85,19.3,29902188
2023-03-13,601225,19.39,19.68,19.74,19.36,25361273
2023-03-14,601225,19.62,19.39,20.0,19.38,26412978
2023-03-15,601225,19.5,19.44,19.54,19.23,29784989
2023-03-16,601225,19.21,18.79,19.23,18.75,44303193
2023-03-17,601225,18.95,18.96,19.39,18.75,37435921
2023-03-20,601225,19.06,18.81,19.42,18.76,34719898
2023-03-21,601225,18.88,18.66,18.92,18.57,24854859
2023-03-22,601225,18.7,19.21,19.31,18.7,39735921
2023-03-23,601225,19.13,19.29,19.52,19.09,25919550
