date,code,open,close,high,low,volume
2022-11-23,601238,11.57,11.58,11.64,11.46,20029752
2022-11-24,601238,11.65,11.62,11.73,11.56,21779426
2022-11-25,601238,11.59,11.53,11.6,11.45,15466367
2022-11-28,601238,11.37,11.33,11.37,11.15,31417838
2022-11-29,601238,11.33,11.72,11.74,11.33,40485986
2022-11-30,601238,11.74,12.32,12.53,11.68,110441678
2022-12-01,601238,12.55,12.27,12.88,12.25,77102981
2022-12-02,601238,12.35,12.0,12.35,11.98,38559389
2022-12-05,601238,12.11,12.11,12.22,12.01,50867640
2022-12-06,601238,12.07,12.14,12.32,11.9,45179316
2022-12-07,601238,12.04,12.2,12.34,12.04,46600720
2022-12-08,601238,12.14,12.18,12.24,12.04,31309196
2022-12-09,601238,12.21,12.1,12.25,12.0,30244262
2022-12-12,601238,11.99,11.76,11.99,11.73,41481440
2022-12-13,601238,11.72,11.8,11.96,11.72,27230835
2022-12-14,601238,11.85,11.69,11.85,11.66,20216978
2022-12-15,601238,11.75,11.91,11.96,11.64,34930834
2022-12-16,601238,11.84,11.89,11.98,11.8,21287826
2022-12-19,601238,11.96,11.76,12.19,11.71,43772397
2022-12-20,601238,11.68,11.66,11.69,11.38,28766353
2022-12-21,601238,11.67,11.48,11.69,11.4,20537282
2022-12-22,601238,11.54,11.42,11.71,11.35,32594832
2022-12-23,601238,11.28,11.3,11.36,11.18,22667230
2022-12-26,601238,11.25,11.36,11.39,11.23,25785530
2022-12-27,601238,11.39,11.39,11.41,11.23,21578253
2022-12-28,601238,11.33,11.15,11.41,11.13,40305392
2022-12-29,601238,11.11,10.96,11.21,10.94,41606665
2022-12-30,601238,11.14,11.03,11.29,11.0,37535764
2023-01-03,601238,11.05,11.15,11.15,10.9,37819593
2023-01-04,601238,11.09,11.03,11.14,10.98,33424801
2023-01-05,601238,11.14,11.27,11.37,11.1,49801888
2023-01-06,601238,11.2,11.24,11.36,11.16,45821314
2023-01-09,601238,11.26,11.26,11.36,11.24,33114213
2023-01-10,601238,11.28,11.46,11.54,11.09,61227778
2023-01-11,601238,11.36,11.19,11.38,11.19,36628971
2023-01-12,601238,11.2,11.18,11.38,11.15,42227181
2023-01-13,601238,11.19,11.23,11.28,11.13,30656630
2023-01-16,601238,11.17,11.31,11.43,11.17,48285195
2023-01-17,601238,11.31,11.37,11.37,11.26,27805800
2023-01-18,601238,11.38,11.38,11.47,11.33,26761149
2023-01-19,601238,11.34,11.37,11.37,11.27,22385069
2023-01-20,601238,11.37,11.53,11.56,11.35,50109778
2023-01-30,601238,11.85,11.71,11.97,11.7,70527793
2023-01-31,601238,11.67,11.73,11.87,11.65,38788627
2023-02-01,601238,11.75,12.02,12.05,11.75,71119416
2023-02-02,601238,12.06,11.93,12.09,11.88,46109740
2023-02-03,601238,11.9,11.79,11.95,11.69,40643234
2023-02-06,601238,11.8,11.67,11.8,11.6,34365948
2023-02-07,601238,11.7,11.71,11.75,11.66,24254723
2023-02-08,601238,11.71,11.63,11.71,11.6,21852318
2023-02-09,601238,11.62,11.74,11.74,11.57,25546587
2023-02-10,601238,11.71,11.63,11.72,11.58,26335595
2023-02-13,601238,11.6,11.67,11.69,11.52,25825500
2023-02-14,601238,11.67,11.68,11.69,11.57,28956014
2023-02-15,601238,11.67,11.65,11.84,11.64,39306899
2023-02-16,601238,11.64,11.45,11.78,11.33,48324652
2023-02-17,601238,11.45,11.37,11.5,11.35,27598086
2023-02-20,601238,11.37,11.47,11.47,11.3,36396348
2023-02-21,601238,11.46,11.67,11.76,11.44,53304632
2023-02-22,601238,11.6,11.69,11.7,11.52,32757221
2023-02-23,601238,11.7,11.65,11.79,11.61,26105179
2023-02-24,601238,11.64,11.52,11.66,11.46,21724887
2023-02-27,601238,11.44,11.41,11.49,11.37,19928600
2023-02-28,601238,11.43,11.47,11.48,11.34,21956736
2023-03-01,601238,11.44,11.6,11.62,11.4,33128649
2023-03-02,601238,11.66,11.65,11.85,11.64,45498310
2023-03-03,601238,11.69,11.73,11.75,11.58,28071702
2023-03-06,601238,11.78,11.69,11.83,11.62,28240160
2023-03-07,601238,11.67,11.59,11.83,11.57,48594394
2023-03-08,601238,11.53,11.54,11.6,11.46,24538061
2023-03-09,601238,11.62,11.58,11.78,11.54,36230913
2023-03-10,601238,11.46,11.09,11.48,11.06,74551575
2023-03-13,601238,10.9,10.8,10.96,10.61,62096418
2023-03-14,601238,10.78,10.79,10.84,10.52,34598802
2023-03-15,601238,10.84,10.82,10.89,10.78,19065950
2023-03-16,601238,10.78,10.66,10.86,10.62,22377872
2023-03-17,601238,10.73,10.72,10.77,10.66,23060982
2023-03-20,601238,10.7,10.69,10.73,10.6,21565075
2023-03-21,601238,10.67,10.8,10.81,10.65,26189879
2023-03-22,601238,10.84,10.89,10.95,10.82,26268896
2023-03-23,601238,10.82,10.94,10.95,10.82,19396331
2023-03-24,601238,10.95,11.06,11.11,10.95,30483395
2023-03-27,601238,11.06,11.06,11.13,10.95,18491203
2023-03-28,601238,11.09,11.17,11.22,11.08,28237547
2023-03-29,601238,11.17,11.33,11.41,11.17,37554147
2023-03-30,601238,11.27,11.24,11.4,11.12,27752817
2023-03-31,601238,11.25,11.14,11.29,11.09,22008657
2023-04-03,601238,11.16,11.14,11.21,11.08,24568141
2023-04-04,601238,11.13,11.0,11.13,10.95,27076219
2023-04-06,601238,10.95,10.99,11.09,10.92,21033740
2023-04-07,601238,11.0,11.06,11.18,11.0,22968861
2023-04-10,601238,11.03,10.97,11.09,10.93,18286212
2023-04-11,601238,11.0,10.97,11.02,10.83,25287444
2023-04-12,601238,10.99,10.99,11.06,10.92,29828829
2023-04-13,601238,10.98,10.84,11.05,10.76,46026137
2023-04-14,601238,10.84,11.04,11.19,10.83,47368241
2023-04-17,601238,11.06,11.13,11.19,11.04,30094928
2023-04-18,601238,11.14,11.08,11.18,11.04,22892381
2023-04-19,601238,11.09,10.94,11.11,10.91,21043008
2023-04-20,601238,10.92,10.76,10.93,10.71,32835335
2023-04-21,601238,10.77,10.57,10.82,10.55,34535150
2023-04-24,601238,10.56,10.48,10.72,10.42,25845537
2023-04-25,601238,10.52,10.33,10.56,10.24,26943839
2023-04-26,601238,10.3,10.45,10.52,10.26,17654930
2023-04-27,601238,10.5,10.46,10.53,10.41,13827760
2023-04-28,601238,10.46,10.64,10.65,10.46,22141159
2023-05-04,601238,10.57,10.57,10.63,10.45,18205047
2023-05-05,601238,10.6,10.43,10.6,10.38,17358651
2023-05-08,601238,10.53,10.59,10.66,10.52,18556119
2023-05-09,601238,10.59,10.61,10.75,10.52,24778810
2023-05-10,601238,10.61,10.95,10.98,10.55,50025398
2023-05-11,601238,10.87,10.74,10.95,10.71,36089625
2023-05-12,601238,10.75,10.61,10.82,10.58,20428563
2023-05-15,601238,10.6,10.69,10.69,10.52,20312794
2023-05-16,601238,10.7,10.57,10.73,10.54,15074004
2023-05-17,601238,10.57,10.5,10.61,10.46,14501827
2023-05-18,601238,10.53,10.39,10.56,10.35,23154307
2023-05-19,601238,10.37,10.35,10.38,10.26,16308791
2023-05-22,601238,10.33,10.44,10.49,10.33,14775970
2023-05-23,601238,10.44,10.37,10.48,10.37,11614279
2023-05-24,601238,10.33,10.29,10.39,10.27,13993314
2023-05-25,601238,10.25,10.21,10.29,10.14,18317448
2023-05-26,601238,10.21,10.27,10.31,10.08,14598027
2023-05-29,601238,10.26,10.17,10.27,10.13,13296681
2023-05-30,601238,10.16,10.19,10.26,10.11,11454659
2023-05-31,601238,10.17,10.19,10.19,10.12,10998573
2023-06-01,601238,10.15,10.22,10.26,10.12,14215537
2023-06-02,601238,10.27,10.36,10.37,10.22,19097310
2023-06-05,601238,10.41,10.35,10.43,10.27,15846244
2023-06-06,601238,10.3,10.2,10.35,10.17,13761570
2023-06-07,601238,10.24,10.17,10.25,10.14,10826556
2023-06-08,601238,10.2,10.21,10.23,10.14,10877827
2023-06-09,601238,10.29,10.33,10.45,10.29,20802073
2023-06-12,601238,10.28,10.47,10.52,10.24,26805680
2023-06-13,601238,10.51,10.45,10.52,10.38,15034150
2023-06-14,601238,10.48,10.47,10.53,10.42,16864959
2023-06-15,601238,10.47,10.58,10.69,10.43,25893584
2023-06-16,601238,10.5,10.4,10.52,10.37,20404420
2023-06-19,601238,10.39,10.47,10.54,10.37,20469002
2023-06-20,601238,10.46,10.39,10.47,10.32,15870377
2023-06-21,601238,10.39,10.37,10.53,10.34,18736161
2023-06-26,601238,10.27,10.37,10.66,10.23,31664229
2023-06-27,601238,10.34,10.44,10.5,10.24,18336291
2023-06-28,601238,10.41,10.39,10.57,10.36,16973665
2023-06-29,601238,10.37,10.34,10.4,10.33,12337776
2023-06-30,601238,10.37,10.42,10.46,10.29,14423969
2023-07-03,601238,10.48,10.68,10.7,10.48,39465558
2023-07-04,601238,10.69,11.03,11.16,10.62,79283617
2023-07-05,601238,11.0,11.01,11.14,10.93,44235093
2023-07-06,601238,11.01,11.11,11.2,10.88,35435523
2023-07-07,601238,11.09,11.03,11.22,11.03,30940995
2023-07-10,601238,11.06,10.93,11.22,10.88,32125880
2023-07-11,601238,10.94,11.12,11.19,10.94,34448478
2023-07-12,601238,11.11,11.05,11.3,11.02,35289933
2023-07-13,601238,10.96,10.93,11.09,10.89,30217959
2023-07-14,601238,10.89,10.77,10.89,10.75,19767163
2023-07-17,601238,10.73,10.68,10.77,10.6,19096997
2023-07-18,601238,10.66,10.95,11.04,10.65,32553343
2023-07-19,601238,10.94,10.92,11.04,10.82,16595052
2023-07-20,601238,10.91,10.73,11.0,10.72,18212437
2023-07-21,601238,10.7,10.7,10.78,10.57,14552820
2023-07-24,601238,10.63,10.71,10.8,10.57,17078775
2023-07-25,601238,10.91,11.05,11.13,10.85,40478462
2023-07-26,601238,10.96,10.83,11.02,10.78,26858409
2023-07-27,601238,10.99,11.02,11.26,10.97,58854497
2023-07-28,601238,11.01,11.34,11.41,10.85,72891464
2023-07-31,601238,11.41,11.7,11.85,11.41,88335515
2023-08-01,601238,11.62,11.54,11.79,11.49,47803792
2023-08-02,601238,11.53,11.49,11.75,11.45,35421396
2023-08-03,601238,11.44,11.46,11.49,11.31,25086044
2023-08-04,601238,11.56,11.67,11.79,11.51,54627472
2023-08-07,601238,11.63,11.58,11.72,11.5,29524438
2023-08-08,601238,11.58,11.6,11.63,11.48,27935269
2023-08-09,601238,11.53,11.56,11.7,11.41,27752986
2023-08-10,601238,11.52,11.39,11.59,11.3,22524565
2023-08-11,601238,11.43,11.12,11.44,11.09,27166502
2023-08-14,601238,11.0,10.89,11.0,10.72,33940834
2023-08-15,601238,10.9,10.75,10.92,10.7,17573359
2023-08-16,601238,10.75,10.6,10.77,10.58,16492965
2023-08-17,601238,10.55,10.63,10.68,10.48,19660630
2023-08-18,601238,10.63,10.46,10.7,10.46,18259912
2023-08-21,601238,10.44,10.3,10.53,10.3,15949443
2023-08-22,601238,10.37,10.32,10.41,10.15,26709547
2023-08-23,601238,10.28,10.15,10.36,10.15,16809945
2023-08-24,601238,10.16,10.17,10.3,10.12,16381980
2023-08-25,601238,10.13,10.08,10.17,10.03,21089112
2023-08-28,601238,10.56,10.24,10.63,10.21,36436498
2023-08-29,601238,10.22,10.37,10.43,10.21,24387711
2023-08-30,601238,10.34,10.27,10.4,10.25,19356184
2023-08-31,601238,10.23,10.08,10.24,10.08,23364018
2023-09-01,601238,10.14,10.19,10.27,10.1,17091791
2023-09-04,601238,10.23,10.47,10.47,10.19,29807133
2023-09-05,601238,10.45,10.36,10.45,10.34,13808070
2023-09-06,601238,10.36,10.36,10.44,10.28,16408174
2023-09-07,601238,10.32,10.2,10.33,10.16,14619551
2023-09-08,601238,10.17,10.15,10.19,10.12,10540666
2023-09-11,601238,10.19,10.38,10.44,10.14,24834866
2023-09-12,601238,10.39,10.36,10.46,10.35,14619265
2023-09-13,601238,10.35,10.24,10.37,10.19,16105912
2023-09-14,601238,10.22,10.2,10.29,10.12,15786452
2023-09-15,601238,10.22,10.09,10.25,10.08,23055470
2023-09-18,601238,10.07,10.25,10.26,10.04,26601543
2023-09-19,601238,10.22,10.19,10.27,10.14,12158011
2023-09-20,601238,10.18,10.12,10.21,10.1,11153925
2023-09-21,601238,10.07,9.92,10.12,9.91,27053104
2023-09-22,601238,9.9,10.05,10.05,9.88,15343882
2023-09-25,601238,10.04,10.02,10.11,10.0,12640872
2023-09-26,601238,10.0,9.96,10.07,9.95,11235821
2023-09-27,601238,9.93,9.94,10.03,9.93,11951773
2023-09-28,601238,9.96,10.01,10.09,9.95,13429689
2023-10-09,601238,10.03,10.09,10.1,10.0,17995315
2023-10-10,601238,10.06,10.07,10.14,10.0,15615243
2023-10-11,601238,10.13,10.0,10.14,9.97,18010496
