date,code,open,close,high,low,volume
2022-11-23,601318,42.02,41.77,42.44,41.76,44962046
2022-11-24,601318,42.21,41.8,42.38,41.67,24907646
2022-11-25,601318,41.78,42.75,42.95,41.75,59795984
2022-11-28,601318,41.63,41.41,41.84,40.99,51031527
2022-11-29,601318,42.32,44.78,44.9,42.32,175320480
2022-11-30,601318,44.82,44.95,46.17,44.6,116501586
2022-12-01,601318,45.98,44.83,46.29,44.68,85932650
2022-12-02,601318,44.82,44.62,45.0,44.0,60778715
2022-12-05,601318,45.55,47.28,47.31,45.35,138043595
2022-12-06,601318,47.28,47.44,47.68,46.74,87827308
2022-12-07,601318,47.44,46.7,47.48,46.37,83145478
2022-12-08,601318,46.38,47.15,47.2,46.3,44836406
2022-12-09,601318,47.07,47.6,47.88,46.7,70957885
2022-12-12,601318,47.2,46.17,47.28,46.08,65647053
2022-12-13,601318,46.46,46.7,47.09,46.3,42366316
2022-12-14,601318,47.08,46.89,47.11,46.14,34697318
2022-12-15,601318,46.8,46.43,47.09,45.8,40402095
2022-12-16,601318,46.11,46.9,47.01,46.07,42134762
2022-12-19,601318,46.9,45.77,47.27,45.45,50589649
2022-12-20,601318,45.56,44.93,45.88,44.58,49524516
2022-12-21,601318,45.1,45.26,45.6,44.94,29789568
2022-12-22,601318,46.0,45.88,46.18,45.65,35346187
2022-12-23,601318,45.53,45.64,46.01,45.32,30647249
2022-12-26,601318,45.64,44.66,45.88,44.66,40328181
2022-12-27,601318,45.27,45.58,45.95,45.03,34779327
2022-12-28,601318,45.43,46.28,46.45,45.3,45626696
2022-12-29,601318,45.95,45.82,46.01,45.11,46957620
2022-12-30,601318,46.0,47.0,47.2,46.0,55300540
2023-01-03,601318,46.59,47.15,47.26,46.06,60230443
2023-01-04,601318,47.3,48.53,48.63,47.3,86949610
2023-01-05,601318,49.2,48.93,49.5,48.5,73704809
2023-01-06,601318,49.5,49.74,49.83,49.05,78034581
2023-01-09,601318,50.0,50.91,50.95,49.7,88185743
2023-01-10,601318,50.9,49.21,50.91,49.14,83794865
2023-01-11,601318,49.5,50.7,51.0,49.44,96689497
2023-01-12,601318,50.9,50.91,51.11,50.43,60025574
2023-01-13,601318,51.2,52.35,52.35,51.05,89625747
2023-01-16,601318,52.52,52.09,53.48,51.49,122979440
2023-01-17,601318,51.96,51.5,52.07,51.0,69887253
2023-01-18,601318,51.5,51.55,51.87,51.16,41960296
2023-01-19,601318,51.4,51.81,51.87,51.15,51046054
2023-01-20,601318,52.1,52.1,52.24,51.5,49706934
2023-01-30,601318,53.59,51.48,53.6,51.48,85757885
2023-01-31,601318,51.76,50.98,52.28,50.85,61241827
2023-02-01,601318,51.55,51.35,51.75,50.41,56530105
2023-02-02,601318,51.6,50.83,51.6,50.4,63621734
2023-02-03,601318,50.5,49.6,50.55,48.9,92731026
2023-02-06,601318,48.8,48.16,48.86,47.72,92159525
2023-02-07,601318,48.5,48.7,48.84,48.2,44436330
2023-02-08,601318,48.75,48.5,49.19,48.38,34718961
2023-02-09,601318,48.5,49.32,49.55,48.39,56490688
2023-02-10,601318,49.46,49.3,49.55,49.01,30917292
2023-02-13,601318,49.19,49.25,49.3,48.29,45797264
2023-02-14,601318,49.3,49.9,49.9,49.17,37040170
2023-02-15,601318,49.84,48.88,49.89,48.71,46102667
2023-02-16,601318,49.08,49.2,50.05,49.0,57689131
2023-02-17,601318,49.2,48.8,49.83,48.71,41751901
2023-02-20,601318,48.85,49.95,49.99,48.75,66428495
2023-02-21,601318,49.86,50.01,50.12,49.45,42665990
2023-02-22,601318,49.5,49.18,49.96,49.11,44604615
2023-02-23,601318,49.0,48.98,49.7,48.81,38525359
2023-02-24,601318,48.89,48.2,49.01,48.11,44654799
2023-02-27,601318,48.0,47.8,48.39,47.78,46791711
2023-02-28,601318,48.01,48.2,48.28,47.51,38041710
2023-03-01,601318,48.02,49.99,50.0,48.01,72432311
2023-03-02,601318,49.97,50.2,50.46,49.72,38088855
2023-03-03,601318,50.48,50.28,50.66,49.85,28413325
2023-03-06,601318,50.0,48.58,50.17,48.45,77323721
2023-03-07,601318,48.55,47.91,49.2,47.75,58730233
2023-03-08,601318,47.55,47.23,47.61,46.99,52741684
2023-03-09,601318,47.38,46.64,47.38,46.47,51832490
2023-03-10,601318,46.06,46.0,46.65,46.0,45709202
2023-03-13,601318,46.0,46.5,46.79,45.91,39948280
2023-03-14,601318,46.22,45.46,46.22,45.39,49073263
2023-03-15,601318,46.03,45.95,46.66,45.78,44364320
2023-03-16,601318,44.9,45.23,45.83,44.75,78960922
2023-03-17,601318,45.81,46.2,46.96,45.81,95019092
2023-03-20,601318,46.0,45.58,46.58,45.56,71924435
2023-03-21,601318,45.89,46.01,46.4,45.78,44665895
2023-03-22,601318,46.25,46.5,46.77,46.22,55225117
2023-03-23,601318,46.3,46.88,46.89,46.3,55427358
2023-03-24,601318,46.8,46.2,46.8,46.06,43769382
2023-03-27,601318,46.26,45.99,46.33,45.5,36217267
2023-03-28,601318,46.09,45.88,46.38,45.68,28332434
2023-03-29,601318,46.33,45.42,46.58,45.4,40902005
2023-03-30,601318,45.51,45.48,45.7,44.94,45003047
2023-03-31,601318,45.6,45.6,46.3,45.38,52453993
2023-04-03,601318,45.55,45.68,45.9,45.29,45121453
2023-04-04,601318,45.67,45.57,45.86,45.23,47348640
2023-04-06,601318,45.55,45.08,45.55,45.03,36162706
