date,code,open,close,high,low,volume
2022-11-23,601390,5.49,5.79,5.99,5.45,453521161
2022-11-24,601390,5.71,5.62,5.74,5.57,199723999
2022-11-25,601390,5.63,5.83,5.92,5.6,245303947
2022-11-28,601390,5.75,5.75,5.89,5.7,153685918
2022-11-29,601390,5.81,5.94,6.02,5.76,239085796
2022-11-30,601390,5.87,5.88,5.96,5.83,128905917
2022-12-01,601390,5.92,5.8,5.93,5.78,142475335
2022-12-02,601390,5.76,5.78,5.81,5.68,104933738
2022-12-05,601390,5.96,6.36,6.36,5.9,360198711
2022-12-06,601390,6.34,6.31,6.53,6.24,324563357
2022-12-07,601390,6.29,6.16,6.36,6.11,205210227
2022-12-08,601390,6.16,6.17,6.21,6.09,154241669
2022-12-09,601390,6.15,6.09,6.16,6.0,172362619
2022-12-12,601390,6.05,5.97,6.13,5.95,139624325
2022-12-13,601390,5.98,5.99,6.06,5.94,102924886
2022-12-14,601390,6.0,5.95,6.01,5.9,82808291
2022-12-15,601390,5.95,5.87,5.98,5.85,91272028
2022-12-16,601390,5.84,5.95,6.0,5.84,102577985
2022-12-19,601390,5.91,5.71,5.95,5.66,138326670
2022-12-20,601390,5.7,5.66,5.75,5.63,63732570
2022-12-21,601390,5.67,5.65,5.68,5.6,41612765
2022-12-22,601390,5.68,5.59,5.74,5.56,75313027
2022-12-23,601390,5.57,5.6,5.63,5.55,38595957
2022-12-26,601390,5.6,5.61,5.62,5.52,48261449
2022-12-27,601390,5.64,5.6,5.68,5.59,66167405
2022-12-28,601390,5.56,5.57,5.63,5.52,65053324
2022-12-29,601390,5.54,5.48,5.55,5.45,65492530
2022-12-30,601390,5.51,5.56,5.58,5.46,74893594
2023-01-03,601390,5.54,5.64,5.68,5.49,95512736
2023-01-04,601390,5.61,5.66,5.71,5.61,76332924
2023-01-05,601390,5.68,5.69,5.73,5.64,67414653
2023-01-06,601390,5.67,5.62,5.67,5.6,55931238
2023-01-09,601390,5.63,5.62,5.65,5.59,53832616
2023-01-10,601390,5.61,5.54,5.63,5.53,63628682
2023-01-11,601390,5.54,5.53,5.59,5.52,51625271
2023-01-12,601390,5.54,5.47,5.55,5.45,67919526
2023-01-13,601390,5.47,5.52,5.52,5.46,44762716
2023-01-16,601390,5.53,5.62,5.67,5.48,99266044
2023-01-17,601390,5.63,5.57,5.63,5.55,61016968
2023-01-18,601390,5.58,5.57,5.62,5.55,60439216
2023-01-19,601390,5.57,5.63,5.63,5.53,57723166
2023-01-20,601390,5.63,5.77,5.78,5.62,115388445
2023-01-30,601390,5.81,5.68,5.85,5.68,130867153
2023-01-31,601390,5.7,5.7,5.72,5.67,62363738
2023-02-01,601390,5.71,5.8,5.82,5.66,135537080
2023-02-02,601390,5.78,5.79,5.83,5.72,105123319
2023-02-03,601390,5.78,5.74,5.79,5.68,98746710
2023-02-06,601390,5.7,5.89,5.95,5.7,184813731
2023-02-07,601390,5.86,6.03,6.1,5.82,198598949
2023-02-08,601390,6.01,5.93,6.05,5.91,98297057
2023-02-09,601390,5.92,5.91,5.95,5.87,92550549
2023-02-10,601390,5.92,5.91,5.94,5.84,85347879
2023-02-13,601390,5.89,5.95,6.02,5.86,100061863
2023-02-14,601390,5.96,5.92,5.97,5.9,56401740
2023-02-15,601390,5.91,5.84,5.92,5.8,103270516
2023-02-16,601390,5.85,5.85,5.98,5.82,142665298
2023-02-17,601390,5.84,5.79,5.89,5.79,65182848
2023-02-20,601390,5.81,6.07,6.09,5.81,196185344
2023-02-21,601390,6.09,6.13,6.17,6.03,141980482
2023-02-22,601390,6.1,6.13,6.18,6.08,92711671
2023-02-23,601390,6.15,6.1,6.17,6.06,61979053
2023-02-24,601390,6.1,6.04,6.11,6.0,78440990
2023-02-27,601390,6.04,6.0,6.08,5.98,57730156
2023-02-28,601390,6.01,6.04,6.06,5.95,86819132
2023-03-01,601390,6.03,6.18,6.19,6.0,157669442
2023-03-02,601390,6.15,6.34,6.47,6.14,282163813
