date,code,open,close,high,low,volume
2022-11-23,601628,32.47,32.74,33.58,32.31,21894892
2022-11-24,601628,32.77,32.5,33.18,32.41,9757718
2022-11-25,601628,32.3,33.62,33.78,32.25,17966454
2022-11-28,601628,33.1,33.37,33.7,32.75,15474025
2022-11-29,601628,33.56,35.78,36.0,33.56,35585706
2022-11-30,601628,35.32,36.15,36.36,35.21,26335532
2022-12-01,601628,36.33,35.58,37.19,35.36,26751428
2022-12-02,601628,35.59,35.3,35.87,34.94,20173055
2022-12-05,601628,35.71,37.1,37.15,35.52,27228867
2022-12-06,601628,36.88,36.85,37.17,36.0,17148450
2022-12-07,601628,36.36,36.12,36.68,35.34,23101124
2022-12-08,601628,36.01,36.36,36.54,35.88,14474012
2022-12-09,601628,36.0,36.2,36.52,35.65,13159311
2022-12-12,601628,36.03,35.35,36.09,35.12,13375983
2022-12-13,601628,35.44,35.46,35.75,35.31,7460436
2022-12-14,601628,35.53,35.39,35.71,35.0,8321326
2022-12-15,601628,35.15,35.2,35.46,34.7,8035787
2022-12-16,601628,34.97,35.63,36.15,34.97,12127875
2022-12-19,601628,35.61,34.99,35.94,34.89,9578176
2022-12-20,601628,34.94,34.76,35.29,34.35,15546984
2022-12-21,601628,34.99,35.45,35.81,34.64,8805922
2022-12-22,601628,35.48,35.85,36.76,35.48,9320698
2022-12-23,601628,35.63,36.38,36.65,35.5,10292147
2022-12-26,601628,36.42,35.59,36.48,35.28,14771837
2022-12-27,601628,35.95,36.9,37.07,35.81,12740776
2022-12-28,601628,36.56,36.95,37.28,36.4,10552021
2022-12-29,601628,36.58,36.72,37.1,35.95,11044136
2022-12-30,601628,36.92,37.12,37.45,36.62,10247196
2023-01-03,601628,37.12,36.7,37.16,36.23,11868904
2023-01-04,601628,36.98,37.73,37.78,36.42,13055826
2023-01-05,601628,37.73,37.93,38.5,37.53,16830446
2023-01-06,601628,37.91,37.03,37.98,36.98,10011570
2023-01-09,601628,37.31,37.27,37.4,36.7,9791112
2023-01-10,601628,37.29,36.4,37.29,36.25,15005409
2023-01-11,601628,36.5,36.99,37.54,36.43,12806921
2023-01-12,601628,37.26,37.12,37.26,36.58,10107251
2023-01-13,601628,37.05,38.05,38.1,36.66,12012935
2023-01-16,601628,38.04,37.43,38.39,37.35,19053012
2023-01-17,601628,37.43,36.1,37.43,35.42,25729948
2023-01-18,601628,35.92,36.2,36.31,35.7,13123583
2023-01-19,601628,36.0,35.99,36.3,35.56,14631907
2023-01-20,601628,36.18,36.1,36.48,35.75,12987313
2023-01-30,601628,36.84,34.8,36.87,34.61,24022646
2023-01-31,601628,34.86,34.04,35.23,33.96,19794678
2023-02-01,601628,34.12,33.94,34.26,33.35,24688664
2023-02-02,601628,33.88,33.89,34.08,33.35,20307045
2023-02-03,601628,33.85,33.51,33.85,33.15,15771846
2023-02-06,601628,33.08,33.49,33.5,32.79,18765484
2023-02-07,601628,33.58,33.7,34.08,33.38,22306444
2023-02-08,601628,33.65,33.41,33.98,33.28,10055862
2023-02-09,601628,33.31,34.18,34.28,33.31,18177416
2023-02-10,601628,34.14,34.23,34.3,33.86,9115911
2023-02-13,601628,34.13,34.6,34.96,33.3,22079871
2023-02-14,601628,34.61,35.23,35.23,34.31,13997140
2023-02-15,601628,35.05,34.76,35.45,34.45,11860523
2023-02-16,601628,34.6,34.42,35.38,34.26,12649356
2023-02-17,601628,34.01,34.42,35.28,34.01,13370055
2023-02-20,601628,34.46,36.18,36.26,34.42,21261966
2023-02-21,601628,36.2,36.15,36.25,35.7,8490837
2023-02-22,601628,35.98,35.85,36.1,35.61,9487774
2023-02-23,601628,35.61,35.84,36.46,35.61,9358317
2023-02-24,601628,35.96,35.53,35.98,35.39,11238882
2023-02-27,601628,35.53,35.69,35.93,35.24,6155282
2023-02-28,601628,35.6,35.77,35.91,35.4,10580934
2023-03-01,601628,35.8,37.1,37.14,35.68,17890046
2023-03-02,601628,36.72,37.01,37.15,36.7,6879204
2023-03-03,601628,37.01,36.88,37.6,36.68,9284377
2023-03-06,601628,36.7,36.03,36.8,35.61,16056344
2023-03-07,601628,35.93,35.49,36.68,35.41,11000315
2023-03-08,601628,35.42,35.1,35.45,34.67,13355363
2023-03-09,601628,35.25,35.06,35.34,34.51,8322556
2023-03-10,601628,34.68,34.71,35.3,34.65,8264742
2023-03-13,601628,34.8,35.32,35.38,34.63,8033071
2023-03-14,601628,35.11,33.96,35.11,33.69,15007511
2023-03-15,601628,34.2,34.33,34.54,34.03,7581054
2023-03-16,601628,34.1,33.72,34.24,33.69,8238894
2023-03-17,601628,34.05,34.41,35.39,33.88,15863307
2023-03-20,601628,34.32,34.33,35.3,34.12,15288583
2023-03-21,601628,34.34,34.24,34.95,33.93,12419195
2023-03-22,601628,34.33,33.9,34.55,33.82,9076562
2023-03-23,601628,33.95,34.47,34.63,33.43,9821512
2023-03-24,601628,34.43,33.77,34.43,33.68,10727428
2023-03-27,601628,33.78,34.41,34.6,32.9,22137670
2023-03-28,601628,34.25,33.81,34.46,33.71,12814219
2023-03-29,601628,34.13,34.01,34.23,33.33,14919199
