date,code,open,close,high,low,volume
2022-11-23,601633,28.8,28.86,29.19,28.72,9360069
2022-11-24,601633,29.11,28.89,29.25,28.71,11068687
2022-11-25,601633,28.75,28.48,28.82,28.31,13496241
2022-11-28,601633,28.15,28.72,28.85,27.59,14921403
2022-11-29,601633,28.72,29.29,29.45,28.51,16384227
2022-11-30,601633,29.3,31.98,32.22,29.24,71678888
2022-12-01,601633,32.48,32.08,33.9,31.93,54430810
2022-12-02,601633,32.06,31.21,32.07,31.19,23645407
2022-12-05,601633,31.52,31.15,31.78,30.94,21984953
2022-12-06,601633,30.85,31.65,32.6,30.63,28899025
2022-12-07,601633,31.67,31.84,32.43,31.67,24058375
2022-12-08,601633,31.5,31.55,32.1,31.35,15889690
2022-12-09,601633,31.12,31.55,31.79,31.01,18146348
2022-12-12,601633,31.16,30.96,31.5,30.75,14408318
2022-12-13,601633,30.8,31.0,31.95,30.77,13660244
2022-12-14,601633,30.88,30.75,31.01,30.4,11911601
2022-12-15,601633,30.75,31.11,31.35,30.45,17419062
2022-12-16,601633,30.68,30.53,31.08,30.35,14309360
2022-12-19,601633,30.76,30.21,31.69,30.1,20577587
2022-12-20,601633,30.04,29.81,30.2,29.1,17759629
2022-12-21,601633,29.92,29.27,30.1,29.14,14281679
2022-12-22,601633,29.66,30.51,31.2,29.36,31327970
2022-12-23,601633,30.31,29.55,30.37,29.35,16918536
2022-12-26,601633,29.32,30.05,30.2,28.99,13987686
2022-12-27,601633,30.02,30.22,30.3,29.68,13050222
2022-12-28,601633,29.81,29.22,29.86,28.78,18950036
2022-12-29,601633,29.08,29.3,29.79,28.87,11816347
2022-12-30,601633,29.81,29.62,30.43,29.57,20647557
2023-01-03,601633,28.88,29.1,29.35,28.55,24496090
2023-01-04,601633,28.81,28.64,29.0,28.4,15819849
2023-01-05,601633,29.0,29.09,29.6,28.88,20388126
2023-01-06,601633,29.0,29.32,29.75,28.9,15847743
2023-01-09,601633,29.32,29.19,29.68,29.1,17194325
2023-01-10,601633,29.37,30.24,30.5,28.81,34106288
2023-01-11,601633,29.7,29.63,30.24,29.51,24448015
2023-01-12,601633,29.69,29.92,30.66,29.65,22557092
2023-01-13,601633,29.86,29.41,30.47,29.12,27459461
2023-01-16,601633,29.56,29.64,29.88,29.2,18768384
2023-01-17,601633,29.8,29.78,30.09,29.52,13526678
2023-01-18,601633,29.85,29.94,30.52,29.8,19284491
2023-01-19,601633,29.76,29.86,30.18,29.69,12359700
2023-01-20,601633,29.86,30.4,30.48,29.86,17895666
2023-01-30,601633,31.53,31.05,32.44,30.87,37891262
2023-01-31,601633,31.01,30.94,31.38,30.83,17994382
2023-02-01,601633,30.94,32.35,32.39,30.94,33499489
2023-02-02,601633,32.4,32.46,33.16,32.15,31210832
2023-02-03,601633,32.36,32.1,32.6,31.69,16348749
2023-02-06,601633,32.1,31.5,32.35,31.45,13690047
2023-02-07,601633,31.46,31.46,31.75,31.2,10224913
2023-02-08,601633,31.1,31.31,31.76,30.72,14543939
2023-02-09,601633,31.05,31.63,31.8,30.94,13424435
2023-02-10,601633,31.58,31.29,32.0,31.2,12429486
2023-02-13,601633,31.0,31.62,31.82,30.56,19247423
2023-02-14,601633,31.77,32.78,32.88,31.49,28257788
2023-02-15,601633,33.2,32.86,33.4,32.65,24789027
2023-02-16,601633,33.1,32.7,33.8,32.51,28285726
2023-02-17,601633,32.72,32.59,33.46,32.52,17886835
2023-02-20,601633,32.67,32.61,32.82,31.68,20920961
2023-02-21,601633,32.7,34.14,34.5,32.61,37052451
2023-02-22,601633,33.94,34.31,34.56,33.6,22457077
2023-02-23,601633,34.43,35.64,35.97,34.35,33679169
2023-02-24,601633,35.5,34.33,35.88,34.18,29951565
2023-02-27,601633,33.9,34.55,34.99,33.83,20089089
2023-02-28,601633,34.43,34.49,34.91,33.78,24297566
2023-03-01,601633,34.27,35.41,35.73,33.85,24650213
2023-03-02,601633,35.19,34.85,35.66,34.81,15559637
2023-03-03,601633,34.89,34.81,35.2,34.47,11162539
2023-03-06,601633,34.6,34.72,34.78,33.84,15584971
2023-03-07,601633,34.52,33.95,34.9,33.9,15901294
2023-03-08,601633,33.68,33.97,34.0,33.53,12715381
2023-03-09,601633,34.07,33.6,34.17,33.21,23484811
2023-03-10,601633,33.21,30.24,33.21,30.24,65493676
2023-03-13,601633,29.06,28.49,29.46,28.3,44319422
2023-03-14,601633,28.4,27.27,28.6,27.11,53231005
2023-03-15,601633,27.39,26.9,27.53,26.81,34627946
2023-03-16,601633,26.65,26.79,27.22,26.44,23120399
2023-03-17,601633,26.96,26.49,27.15,26.38,26129527
2023-03-20,601633,26.49,26.11,26.65,25.97,20664837
2023-03-21,601633,26.36,26.93,27.0,26.04,24433730
2023-03-22,601633,27.2,27.06,27.37,26.7,26470465
2023-03-23,601633,26.98,27.14,27.17,26.62,14485696
2023-03-24,601633,27.2,27.03,27.35,26.9,12530342
2023-03-27,601633,27.0,27.08,27.15,26.76,11251988
2023-03-28,601633,27.08,28.36,28.53,26.98,31879441
2023-03-29,601633,28.28,27.83,28.53,27.81,19414927
2023-03-30,601633,27.83,28.24,28.4,27.4,19091492
2023-03-31,601633,28.57,27.93,28.6,27.84,18842088
2023-04-03,601633,27.93,27.32,28.0,27.19,26692689
2023-04-04,601633,27.19,26.96,27.24,26.57,26324979
2023-04-06,601633,26.91,26.81,27.07,26.63,12449785
2023-04-07,601633,26.72,27.27,27.34,26.68,15508057
2023-04-10,601633,27.21,27.01,27.47,26.8,15376736
2023-04-11,601633,26.86,26.82,27.1,26.44,20296252
2023-04-12,601633,26.84,26.42,26.88,26.37,12107603
2023-04-13,601633,26.33,25.86,26.42,25.81,22076490
2023-04-14,601633,26.71,27.68,28.25,26.33,60411384
2023-04-17,601633,27.28,29.1,29.2,27.27,47148561
2023-04-18,601633,29.1,29.65,30.08,29.1,40624218
2023-04-19,601633,29.6,29.06,29.6,28.62,34203793
2023-04-20,601633,28.79,28.17,28.79,28.0,21610235
2023-04-21,601633,27.98,27.37,28.32,27.36,19993342
2023-04-24,601633,26.67,27.94,28.65,25.7,34836836
2023-04-25,601633,27.95,26.6,27.95,26.35,21826293
2023-04-26,601633,26.56,26.92,27.56,26.4,15136811
2023-04-27,601633,26.79,27.24,27.66,26.62,16050417
2023-04-28,601633,27.22,26.86,27.7,26.71,16563823
2023-05-04,601633,26.86,26.54,27.07,26.42,13344949
2023-05-05,601633,26.54,26.06,26.74,25.95,14034911
2023-05-08,601633,26.2,26.23,26.84,26.09,13120799
2023-05-09,601633,26.33,26.52,26.95,26.01,18406233
2023-05-10,601633,26.5,28.31,28.35,26.3,38968758
2023-05-11,601633,27.96,28.32,29.12,27.52,30489370
2023-05-12,601633,28.23,27.77,28.62,27.73,14104070
2023-05-15,601633,27.77,28.14,28.3,27.75,12172204
2023-05-16,601633,28.48,27.21,28.48,27.07,17276966
2023-05-17,601633,27.2,26.95,27.44,26.6,12708428
2023-05-18,601633,26.98,26.79,27.25,26.52,11186403
2023-05-19,601633,26.79,26.88,26.95,26.5,8431711
2023-05-22,601633,26.88,27.2,27.43,26.6,13156159
2023-05-23,601633,27.15,26.7,27.48,26.67,11214093
2023-05-24,601633,26.51,26.43,26.88,26.31,9530485
2023-05-25,601633,26.34,24.8,26.4,24.5,35031558
2023-05-26,601633,24.57,23.74,24.57,23.16,42490246
2023-05-29,601633,23.72,22.7,23.72,22.65,45843900
2023-05-30,601633,22.57,23.0,23.45,22.42,32061642
2023-05-31,601633,22.91,22.59,23.0,22.46,18533722
2023-06-01,601633,22.7,22.82,23.18,22.55,18244225
2023-06-02,601633,22.82,23.58,23.6,22.73,26396870
2023-06-05,601633,23.69,23.4,23.79,23.0,17085990
2023-06-06,601633,23.6,23.35,23.96,23.23,17504214
2023-06-07,601633,23.38,23.09,23.46,22.78,16847653
2023-06-08,601633,23.08,23.02,23.29,22.85,11066144
2023-06-09,601633,23.31,23.23,23.57,23.04,19466307
2023-06-12,601633,23.15,23.71,23.86,23.03,23622397
2023-06-13,601633,23.7,24.06,24.19,23.65,19889656
2023-06-14,601633,24.2,24.13,24.44,24.0,17828844
2023-06-15,601633,24.11,24.82,25.25,24.05,27691113
2023-06-16,601633,24.91,24.85,25.36,24.67,21322822
2023-06-19,601633,24.85,25.36,25.63,24.79,27953268
2023-06-20,601633,25.35,25.06,25.35,24.87,16595272
2023-06-21,601633,24.94,25.08,25.56,24.85,20660604
