date,code,open,close,high,low,volume
2022-11-23,601668,5.44,5.52,5.78,5.4,619973208
2022-11-24,601668,5.53,5.42,5.57,5.36,265056650
2022-11-25,601668,5.43,5.74,5.78,5.42,569927471
2022-11-28,601668,5.61,5.64,5.76,5.58,379536105
2022-11-29,601668,5.78,5.88,5.98,5.75,626453883
2022-11-30,601668,5.85,5.88,5.93,5.79,309704222
2022-12-01,601668,5.89,5.74,5.92,5.7,396136492
2022-12-02,601668,5.74,5.68,5.76,5.53,319067612
2022-12-05,601668,5.82,6.11,6.17,5.73,649013197
2022-12-06,601668,6.02,5.97,6.14,5.93,327477555
2022-12-07,601668,5.94,5.88,6.01,5.82,281822549
2022-12-08,601668,5.87,5.9,5.99,5.84,185782348
2022-12-09,601668,5.98,5.94,5.99,5.81,258677146
2022-12-12,601668,5.9,5.77,5.95,5.74,251397323
2022-12-13,601668,5.75,5.77,5.84,5.71,165077525
2022-12-14,601668,5.77,5.71,5.79,5.68,185485193
2022-12-15,601668,5.7,5.61,5.72,5.58,214266802
2022-12-16,601668,5.62,5.69,5.76,5.61,184631724
2022-12-19,601668,5.67,5.53,5.74,5.51,187097917
2022-12-20,601668,5.54,5.49,5.6,5.46,141349419
2022-12-21,601668,5.5,5.46,5.5,5.43,99088040
2022-12-22,601668,5.5,5.43,5.56,5.38,227726252
2022-12-23,601668,5.42,5.42,5.45,5.37,99512926
2022-12-26,601668,5.42,5.37,5.43,5.3,175474705
2022-12-27,601668,5.42,5.41,5.5,5.4,154124027
2022-12-28,601668,5.4,5.39,5.44,5.36,121464404
2022-12-29,601668,5.4,5.32,5.4,5.29,169470314
2022-12-30,601668,5.34,5.43,5.46,5.32,178223892
2023-01-03,601668,5.44,5.49,5.52,5.37,184636684
2023-01-04,601668,5.49,5.6,5.65,5.45,219935350
2023-01-05,601668,5.62,5.59,5.63,5.54,198902085
2023-01-06,601668,5.59,5.52,5.62,5.51,162716059
2023-01-09,601668,5.54,5.53,5.56,5.47,149959165
2023-01-10,601668,5.51,5.43,5.52,5.41,135921248
2023-01-11,601668,5.43,5.43,5.5,5.42,174121052
2023-01-12,601668,5.42,5.39,5.44,5.35,123246335
2023-01-13,601668,5.4,5.45,5.46,5.38,139742679
2023-01-16,601668,5.44,5.46,5.5,5.36,227455010
2023-01-17,601668,5.44,5.39,5.46,5.36,155643752
2023-01-18,601668,5.39,5.37,5.44,5.36,119252710
2023-01-19,601668,5.35,5.39,5.39,5.31,180545056
2023-01-20,601668,5.38,5.57,5.57,5.36,310349679
2023-01-30,601668,5.6,5.5,5.62,5.48,258219684
2023-01-31,601668,5.51,5.54,5.56,5.48,171842219
2023-02-01,601668,5.55,5.57,5.58,5.48,205565170
2023-02-02,601668,5.58,5.53,5.58,5.49,188083799
2023-02-03,601668,5.5,5.41,5.51,5.39,196902259
2023-02-06,601668,5.37,5.4,5.44,5.34,176796796
2023-02-07,601668,5.4,5.5,5.52,5.38,220741825
2023-02-08,601668,5.51,5.41,5.51,5.39,145794879
2023-02-09,601668,5.39,5.44,5.46,5.38,120336655
2023-02-10,601668,5.43,5.43,5.46,5.4,135147666
2023-02-13,601668,5.41,5.46,5.49,5.36,221420457
2023-02-14,601668,5.46,5.49,5.52,5.44,148735903
2023-02-15,601668,5.48,5.39,5.49,5.38,174707883
2023-02-16,601668,5.41,5.44,5.57,5.41,368166889
2023-02-17,601668,5.44,5.37,5.46,5.36,228101784
2023-02-20,601668,5.38,5.69,5.72,5.37,567819605
2023-02-21,601668,5.68,5.77,5.78,5.68,316438797
2023-02-22,601668,5.72,5.72,5.79,5.71,193860579
2023-02-23,601668,5.72,5.7,5.74,5.66,151058264
2023-02-24,601668,5.69,5.62,5.72,5.58,213877904
2023-02-27,601668,5.59,5.6,5.65,5.57,132268483
2023-02-28,601668,5.61,5.62,5.64,5.52,242579880
2023-03-01,601668,5.62,5.75,5.78,5.58,303614618
2023-03-02,601668,5.74,5.89,5.95,5.72,472025104
2023-03-03,601668,5.9,6.11,6.16,5.88,618680486
2023-03-06,601668,6.21,6.04,6.26,6.01,445351114
2023-03-07,601668,6.06,6.03,6.28,6.02,553450908
2023-03-08,601668,5.99,6.01,6.05,5.94,224343143
2023-03-09,601668,6.02,5.92,6.03,5.89,247197804
2023-03-10,601668,5.89,5.84,5.96,5.83,241088816
2023-03-13,601668,5.95,6.11,6.12,5.93,400183124
2023-03-14,601668,6.07,5.99,6.16,5.97,321729332
2023-03-15,601668,6.02,6.18,6.25,5.92,464902151
2023-03-16,601668,6.11,6.08,6.2,6.05,311032309
2023-03-17,601668,6.1,6.23,6.32,6.06,531664207
2023-03-20,601668,6.27,6.12,6.54,6.11,603860205
2023-03-21,601668,6.13,6.04,6.2,6.0,332624973
2023-03-22,601668,6.03,6.09,6.22,6.0,286206606
2023-03-23,601668,6.06,6.18,6.2,6.02,265355626
2023-03-24,601668,6.16,5.92,6.16,5.9,501317635
2023-03-27,601668,5.91,5.87,5.96,5.82,291512737
2023-03-28,601668,5.9,5.86,5.97,5.83,201583373
2023-03-29,601668,5.89,5.73,5.89,5.72,277422508
2023-03-30,601668,5.74,5.85,5.86,5.72,234863159
2023-03-31,601668,5.83,5.8,5.87,5.77,189089429
2023-04-03,601668,5.79,5.85,5.92,5.73,257339722
2023-04-04,601668,5.85,6.16,6.18,5.82,569669950
2023-04-06,601668,6.14,6.11,6.19,6.05,228097953
2023-04-07,601668,6.13,6.12,6.18,6.07,183882127
2023-04-10,601668,6.11,6.17,6.24,6.08,248780177
2023-04-11,601668,6.16,6.22,6.24,6.05,300297910
2023-04-12,601668,6.22,6.41,6.42,6.17,403578477
2023-04-13,601668,6.37,6.39,6.42,6.3,223103245
2023-04-14,601668,6.37,6.49,6.53,6.34,335365854
2023-04-17,601668,6.46,6.58,6.65,6.39,415490238
2023-04-18,601668,6.41,6.5,6.55,6.33,460423670
2023-04-19,601668,6.47,6.34,6.57,6.32,350268709
2023-04-20,601668,6.32,6.47,6.51,6.29,374748623
2023-04-21,601668,6.5,6.37,6.58,6.37,311473173
2023-04-24,601668,6.4,6.24,6.46,6.21,408024841
2023-04-25,601668,6.3,6.3,6.38,6.22,313484217
2023-04-26,601668,6.26,6.13,6.3,6.07,351513641
2023-04-27,601668,6.18,6.3,6.39,6.14,313611765
2023-04-28,601668,6.44,6.57,6.58,6.36,535634109
2023-05-04,601668,6.5,7.0,7.04,6.45,813542844
2023-05-05,601668,7.0,6.92,7.05,6.9,480940264
2023-05-08,601668,6.92,7.08,7.22,6.86,626271355
2023-05-09,601668,7.11,6.97,7.35,6.95,664018875
2023-05-10,601668,6.98,6.77,7.0,6.73,455590879
2023-05-11,601668,6.79,6.73,6.84,6.7,280721259
2023-05-12,601668,6.71,6.53,6.79,6.53,312188232
2023-05-15,601668,6.52,6.49,6.54,6.34,392927086
