date,code,open,close,high,low,volume
2022-11-23,601669,7.47,7.68,7.95,7.42,363311242
2022-11-24,601669,7.5,7.5,7.63,7.39,178104264
2022-11-25,601669,7.48,7.69,7.73,7.44,151879889
2022-11-28,601669,7.5,7.74,7.88,7.49,169456178
2022-11-29,601669,7.75,7.73,7.85,7.63,171254193
2022-11-30,601669,7.68,7.64,7.72,7.56,131984125
2022-12-01,601669,7.65,7.58,7.67,7.52,107575742
2022-12-02,601669,7.58,7.51,7.6,7.48,94749892
2022-12-05,601669,7.62,8.03,8.06,7.58,294366172
2022-12-06,601669,7.96,7.74,7.96,7.7,192935544
2022-12-07,601669,7.75,7.63,7.77,7.55,149681918
2022-12-08,601669,7.57,7.61,7.65,7.54,86328352
2022-12-09,601669,7.59,7.63,7.68,7.45,194665668
2022-12-12,601669,7.55,7.38,7.57,7.37,141402376
2022-12-13,601669,7.35,7.34,7.41,7.33,66233131
2022-12-14,601669,7.38,7.35,7.39,7.31,49675227
2022-12-15,601669,7.35,7.27,7.36,7.24,67425726
2022-12-16,601669,7.24,7.27,7.36,7.23,70401233
2022-12-19,601669,7.28,7.14,7.29,7.06,94726714
2022-12-20,601669,7.11,7.11,7.19,7.07,66227295
2022-12-21,601669,7.11,7.05,7.13,7.01,83913671
2022-12-22,601669,7.06,6.94,7.08,6.9,103821644
2022-12-23,601669,6.87,6.85,6.94,6.85,65174499
2022-12-26,601669,6.86,6.89,6.93,6.81,81477399
2022-12-27,601669,6.93,6.94,6.96,6.89,84058032
2022-12-28,601669,6.94,6.9,7.05,6.85,117238880
2022-12-29,601669,6.87,6.92,6.95,6.83,64612902
2022-12-30,601669,6.94,7.08,7.11,6.91,102620397
2023-01-03,601669,7.06,7.1,7.12,7.01,93666449
2023-01-04,601669,7.07,7.07,7.14,7.03,70136281
2023-01-05,601669,7.1,7.09,7.11,7.05,93558271
2023-01-06,601669,7.08,7.15,7.25,7.06,121900426
2023-01-09,601669,7.16,7.13,7.21,7.11,66730010
2023-01-10,601669,7.13,7.03,7.13,7.02,81128195
2023-01-11,601669,7.03,6.97,7.06,6.95,62618886
2023-01-12,601669,6.99,7.0,7.01,6.95,48901303
2023-01-13,601669,7.01,6.94,7.01,6.89,95834619
2023-01-16,601669,6.94,6.98,7.05,6.89,116247281
2023-01-17,601669,6.96,6.9,6.97,6.87,91354837
2023-01-18,601669,6.87,6.89,6.93,6.87,56185998
2023-01-19,601669,6.89,6.93,6.93,6.88,60651740
2023-01-20,601669,6.94,7.04,7.04,6.92,121331605
2023-01-30,601669,7.11,7.03,7.14,7.0,120144271
2023-01-31,601669,7.04,7.02,7.04,6.98,64837123
2023-02-01,601669,7.02,7.09,7.09,6.98,123716574
2023-02-02,601669,7.09,7.06,7.09,7.02,81404267
2023-02-03,601669,7.03,6.96,7.03,6.93,103711896
2023-02-06,601669,6.93,6.97,7.02,6.91,56725711
2023-02-07,601669,6.97,7.0,7.01,6.94,68207480
2023-02-08,601669,6.99,6.95,7.0,6.94,52452736
2023-02-09,601669,6.94,6.97,6.99,6.93,56423775
2023-02-10,601669,6.94,6.97,6.98,6.94,62444078
2023-02-13,601669,6.99,7.05,7.05,6.95,114592899
2023-02-14,601669,7.06,7.03,7.07,7.0,60614088
2023-02-15,601669,7.03,6.98,7.04,6.97,47940390
2023-02-16,601669,6.98,6.95,7.04,6.91,106370600
2023-02-17,601669,6.94,6.9,6.96,6.9,62992586
2023-02-20,601669,6.94,7.03,7.05,6.9,134883883
2023-02-21,601669,7.02,7.03,7.05,6.98,102023127
2023-02-22,601669,7.01,7.0,7.05,6.99,60359143
2023-02-23,601669,7.0,6.97,7.01,6.95,63593301
2023-02-24,601669,6.98,6.92,6.98,6.92,62748647
2023-02-27,601669,6.92,6.9,6.94,6.88,62802962
2023-02-28,601669,6.91,7.18,7.19,6.88,224389660
2023-03-01,601669,7.14,7.63,7.66,7.13,588684654
2023-03-02,601669,7.56,7.61,7.74,7.5,307975927
2023-03-03,601669,7.64,7.77,7.89,7.62,311244389
2023-03-06,601669,7.78,7.68,7.81,7.6,228784550
2023-03-07,601669,7.7,7.63,7.9,7.61,270744488
2023-03-08,601669,7.6,7.61,7.65,7.5,173504356
2023-03-09,601669,7.6,7.59,7.63,7.49,101071409
2023-03-10,601669,7.52,7.51,7.61,7.5,98451501
2023-03-13,601669,7.77,7.7,7.8,7.55,178135266
2023-03-14,601669,7.65,7.64,7.82,7.6,142024024
2023-03-15,601669,7.66,7.85,7.93,7.46,237459844
2023-03-16,601669,7.79,7.72,7.89,7.69,151670621
2023-03-17,601669,7.77,7.77,7.91,7.61,214638285
2023-03-20,601669,7.77,7.68,8.15,7.66,259935913
2023-03-21,601669,7.58,7.6,7.8,7.51,162896206
2023-03-22,601669,7.58,7.56,7.66,7.41,98717420
2023-03-23,601669,7.54,7.68,7.7,7.44,127695349
2023-03-24,601669,7.65,7.47,7.66,7.42,160989151
2023-03-27,601669,7.45,7.28,7.46,7.21,126712951
2023-03-28,601669,7.32,7.26,7.39,7.25,73387157
2023-03-29,601669,7.28,7.2,7.32,7.12,84173283
2023-03-30,601669,7.18,7.12,7.21,7.04,88012127
2023-03-31,601669,7.12,7.13,7.19,7.08,73166211
2023-04-03,601669,7.15,7.18,7.22,7.1,65562947
2023-04-04,601669,7.18,7.43,7.51,7.13,175586580
2023-04-06,601669,7.38,7.32,7.42,7.26,88514182
2023-04-07,601669,7.3,7.28,7.35,7.24,59629765
2023-04-10,601669,7.28,7.3,7.4,7.22,71561365
2023-04-11,601669,7.28,7.25,7.28,7.12,78972930
2023-04-12,601669,7.26,7.33,7.39,7.19,77345111
2023-04-13,601669,7.32,7.78,7.88,7.28,320167664
2023-04-14,601669,7.71,7.8,7.88,7.63,205250463
2023-04-17,601669,7.8,7.84,7.96,7.7,198250059
2023-04-18,601669,7.79,7.76,7.92,7.7,122680512
2023-04-19,601669,7.72,7.67,7.84,7.65,110087983
2023-04-20,601669,7.65,7.81,7.87,7.59,141865622
2023-04-21,601669,7.81,7.6,7.93,7.6,135631606
2023-04-24,601669,7.61,7.48,7.71,7.43,103678079
2023-04-25,601669,7.49,7.49,7.57,7.39,86369412
2023-04-26,601669,7.45,7.45,7.52,7.3,92762919
2023-04-27,601669,7.46,7.53,7.7,7.45,130357260
2023-04-28,601669,7.54,7.69,7.73,7.5,156267445
2023-05-04,601669,7.62,7.8,7.88,7.58,178845382
2023-05-05,601669,7.82,7.74,7.88,7.65,102827398
2023-05-08,601669,7.79,7.76,7.92,7.72,195551183
2023-05-09,601669,7.84,7.61,7.99,7.6,234235641
2023-05-10,601669,7.62,7.48,7.69,7.43,159839100
2023-05-11,601669,7.47,7.46,7.57,7.38,103940565
2023-05-12,601669,7.45,7.2,7.51,7.2,147235691
2023-05-15,601669,7.18,7.18,7.21,7.05,146210113
2023-05-16,601669,7.19,7.12,7.23,7.09,109474666
2023-05-17,601669,7.09,7.13,7.15,7.02,85773689
2023-05-18,601669,7.15,7.07,7.18,7.04,122034465
2023-05-19,601669,7.06,6.9,7.06,6.88,199457222
2023-05-22,601669,6.9,6.91,6.94,6.87,115421932
2023-05-23,601669,6.91,6.78,6.93,6.78,117871389
2023-05-24,601669,6.77,6.79,6.82,6.64,135747896
