date,code,open,close,high,low,volume
2022-11-23,601688,12.83,12.88,13.03,12.82,25298698
2022-11-24,601688,12.98,12.83,13.05,12.81,16990631
2022-11-25,601688,12.83,13.0,13.02,12.81,30710842
2022-11-28,601688,12.8,12.7,12.85,12.6,43965424
2022-11-29,601688,12.73,13.17,13.25,12.73,78621869
2022-11-30,601688,13.1,13.07,13.29,13.05,49167566
2022-12-01,601688,13.25,13.17,13.51,13.16,72887107
2022-12-02,601688,13.18,13.15,13.3,13.1,32995517
2022-12-05,601688,13.3,13.51,13.55,13.28,74011845
2022-12-06,601688,13.44,13.46,13.65,13.38,52453594
2022-12-07,601688,13.41,13.28,13.48,13.2,44854744
2022-12-08,601688,13.28,13.26,13.32,13.19,33689219
2022-12-09,601688,13.28,13.3,13.44,13.14,91855499
2022-12-12,601688,13.22,13.12,13.25,13.1,46044775
2022-12-13,601688,13.14,13.16,13.2,13.09,21291202
2022-12-14,601688,13.16,13.18,13.25,13.09,25577817
2022-12-15,601688,13.24,13.08,13.26,13.03,26481822
2022-12-16,601688,12.99,13.08,13.17,12.98,27618159
2022-12-19,601688,13.08,12.73,13.15,12.68,33212645
2022-12-20,601688,12.71,12.69,12.8,12.62,23072696
2022-12-21,601688,12.69,12.63,12.74,12.57,16372783
2022-12-22,601688,12.71,12.64,12.79,12.6,20783903
2022-12-23,601688,12.56,12.65,12.72,12.55,13967021
2022-12-26,601688,12.69,12.58,12.72,12.56,18854918
2022-12-27,601688,12.68,12.71,12.75,12.64,21913117
2022-12-28,601688,12.69,12.69,12.77,12.64,22946933
2022-12-29,601688,12.65,12.67,12.7,12.59,23849765
2022-12-30,601688,12.73,12.74,12.8,12.69,21179619
2023-01-03,601688,11.9,11.89,11.98,11.64,180829028
2023-01-04,601688,11.81,11.9,11.95,11.78,84644808
2023-01-05,601688,11.96,12.06,12.16,11.94,79948237
2023-01-06,601688,12.05,12.0,12.12,11.96,52659306
2023-01-09,601688,12.05,12.13,12.22,12.01,61129600
2023-01-10,601688,12.14,12.11,12.29,12.08,53364314
2023-01-11,601688,12.12,12.02,12.15,12.01,35386217
2023-01-12,601688,12.05,12.05,12.08,11.95,29655601
2023-01-13,601688,12.07,12.2,12.23,12.02,56629335
2023-01-16,601688,12.24,12.7,12.93,12.19,148911140
2023-01-17,601688,12.65,12.93,12.96,12.58,87654000
2023-01-18,601688,12.84,12.86,12.99,12.83,53707540
2023-01-19,601688,12.81,13.05,13.05,12.78,69992780
2023-01-20,601688,13.06,13.13,13.17,12.88,63539184
2023-01-30,601688,13.29,13.03,13.41,13.01,74600059
2023-01-31,601688,13.04,12.97,13.13,12.92,45838721
2023-02-01,601688,13.02,13.22,13.27,12.97,58037390
2023-02-02,601688,13.42,13.03,13.47,13.01,89534835
2023-02-03,601688,12.97,12.9,13.03,12.79,52841323
2023-02-06,601688,12.81,12.69,12.85,12.67,49453811
2023-02-07,601688,12.77,12.7,12.83,12.65,42113074
2023-02-08,601688,12.71,12.6,12.72,12.6,29459346
2023-02-09,601688,12.59,12.71,12.73,12.57,35370471
2023-02-10,601688,12.66,12.66,12.69,12.61,23988336
2023-02-13,601688,12.61,12.68,12.74,12.6,38758599
2023-02-14,601688,12.71,12.67,12.74,12.62,31091869
2023-02-15,601688,12.67,12.59,12.69,12.58,27866959
2023-02-16,601688,12.6,12.47,12.79,12.38,62563147
2023-02-17,601688,12.47,12.36,12.55,12.34,37622378
2023-02-20,601688,12.48,12.78,12.8,12.45,63565930
2023-02-21,601688,12.78,12.81,12.84,12.69,45910490
