date,code,open,close,high,low,volume
2022-11-23,601696,11.21,11.2,11.27,11.12,26577303
2022-11-24,601696,11.28,11.14,11.33,11.11,22372209
2022-11-25,601696,11.1,11.2,11.3,11.09,25763059
2022-11-28,601696,11.0,10.95,11.0,10.7,32548788
2022-11-29,601696,10.94,11.34,11.38,10.91,52866856
2022-11-30,601696,11.3,11.26,11.42,11.23,31420291
2022-12-01,601696,11.39,11.25,11.59,11.25,43339813
2022-12-02,601696,11.21,11.2,11.32,11.17,24542979
2022-12-05,601696,11.32,11.47,11.53,11.28,50686207
2022-12-06,601696,11.41,11.5,11.65,11.38,41656543
2022-12-07,601696,11.42,11.36,11.51,11.28,28746409
2022-12-08,601696,11.41,11.31,11.41,11.27,20222681
2022-12-09,601696,11.31,11.3,11.38,11.18,26221245
2022-12-12,601696,11.23,11.06,11.26,11.03,23903901
2022-12-13,601696,11.08,11.08,11.13,11.04,14527743
2022-12-14,601696,11.08,11.15,11.21,11.04,17201391
2022-12-15,601696,11.14,11.1,11.19,11.07,14720483
2022-12-16,601696,11.01,11.08,11.14,10.98,14960977
2022-12-19,601696,11.05,10.63,11.13,10.57,33016453
2022-12-20,601696,10.63,10.63,10.72,10.56,16251262
2022-12-21,601696,10.57,10.49,10.63,10.42,19002100
2022-12-22,601696,10.64,10.71,11.19,10.63,58823852
2022-12-23,601696,10.55,10.66,10.83,10.52,31336783
2022-12-26,601696,10.67,10.65,10.7,10.45,22311180
2022-12-27,601696,10.77,10.7,10.83,10.67,22431440
2022-12-28,601696,10.6,10.59,10.68,10.53,17935640
2022-12-29,601696,10.52,10.56,10.64,10.5,13455672
2022-12-30,601696,10.58,10.57,10.64,10.56,11710501
2023-01-03,601696,10.45,10.62,10.63,10.33,21408933
2023-01-04,601696,10.6,10.62,10.69,10.56,15521175
2023-01-05,601696,10.66,10.7,10.77,10.63,22814408
2023-01-06,601696,10.71,10.67,10.76,10.63,15951028
2023-01-09,601696,10.67,10.8,10.93,10.66,25423402
2023-01-10,601696,10.78,10.73,10.89,10.7,18341401
2023-01-11,601696,10.73,10.62,10.77,10.62,13517063
2023-01-12,601696,10.66,10.72,10.73,10.58,15956411
2023-01-13,601696,10.75,10.86,10.87,10.7,24689191
2023-01-16,601696,10.99,11.15,11.37,10.92,63247579
2023-01-17,601696,11.12,11.25,11.29,11.1,35522797
2023-01-18,601696,11.18,11.26,11.37,11.18,28573268
2023-01-19,601696,11.22,11.53,11.56,11.21,54580944
2023-01-20,601696,11.53,11.4,11.55,11.31,37201197
2023-01-30,601696,11.56,11.3,11.56,11.25,38828995
2023-01-31,601696,11.28,11.26,11.37,11.18,21877780
2023-02-01,601696,11.33,11.59,11.61,11.29,52253781
2023-02-02,601696,11.9,11.4,11.95,11.36,59516101
2023-02-03,601696,11.36,11.34,11.5,11.24,30227776
2023-02-06,601696,11.25,11.21,11.32,11.16,19982067
2023-02-07,601696,11.27,11.2,11.3,11.14,19605664
2023-02-08,601696,11.22,11.07,11.24,11.07,18394662
2023-02-09,601696,11.09,11.26,11.27,11.07,22626193
2023-02-10,601696,11.21,11.14,11.28,11.13,18760349
2023-02-13,601696,11.11,11.16,11.22,11.1,20364615
2023-02-14,601696,11.16,11.17,11.2,11.07,20023844
2023-02-15,601696,11.16,11.09,11.17,11.06,17155027
2023-02-16,601696,11.08,10.92,11.28,10.84,47675599
2023-02-17,601696,10.92,10.74,10.95,10.73,27370816
2023-02-20,601696,10.87,11.08,11.12,10.79,37395551
2023-02-21,601696,11.03,11.07,11.1,10.98,23527001
2023-02-22,601696,11.0,11.01,11.14,10.98,18745504
2023-02-23,601696,11.04,11.04,11.19,11.01,29189539
2023-02-24,601696,11.04,10.95,11.08,10.93,21855021
2023-02-27,601696,10.89,10.85,11.11,10.84,26218663
2023-02-28,601696,10.87,11.36,11.54,10.87,89501145
2023-03-01,601696,11.34,11.41,11.63,11.31,70457867
2023-03-02,601696,11.39,11.35,11.47,11.29,33902366
2023-03-03,601696,11.27,11.3,11.4,11.15,39950000
2023-03-06,601696,11.28,11.14,11.32,11.11,28334706
2023-03-07,601696,11.12,10.98,11.21,10.94,29080637
2023-03-08,601696,10.9,10.96,10.97,10.86,22774434
2023-03-09,601696,10.97,10.89,10.98,10.85,18942406
2023-03-10,601696,10.81,10.73,10.87,10.73,24740995
2023-03-13,601696,10.72,10.78,10.78,10.58,22895572
2023-03-14,601696,10.73,10.67,10.73,10.55,20525182
2023-03-15,601696,10.77,10.74,10.85,10.73,21204317
2023-03-16,601696,10.72,10.65,10.76,10.62,15812317
2023-03-17,601696,10.72,10.78,10.87,10.72,29704163
2023-03-20,601696,10.81,10.69,10.85,10.66,22748800
2023-03-21,601696,10.74,10.76,10.79,10.69,16274504
2023-03-22,601696,10.8,10.8,10.82,10.74,20755084
2023-03-23,601696,10.77,10.89,10.9,10.75,22714766
2023-03-24,601696,10.89,10.88,10.93,10.78,19424120
2023-03-27,601696,10.89,10.92,10.96,10.77,22480327
2023-03-28,601696,10.96,10.81,10.96,10.8,15558495
2023-03-29,601696,10.82,10.74,10.83,10.66,18898771
2023-03-30,601696,10.76,10.75,10.82,10.58,21352000
2023-03-31,601696,10.76,10.74,10.78,10.71,13703150
