date,code,open,close,high,low,volume
2022-11-23,601728,4.0,4.03,4.08,3.97,146279833
2022-11-24,601728,4.02,4.02,4.06,3.99,71428747
2022-11-25,601728,4.01,4.19,4.26,4.0,425726918
2022-11-28,601728,4.12,4.2,4.25,4.1,197635021
2022-11-29,601728,4.2,4.18,4.24,4.15,131215606
2022-11-30,601728,4.18,4.34,4.39,4.17,351669285
2022-12-01,601728,4.31,4.38,4.66,4.28,412805480
2022-12-02,601728,4.35,4.34,4.42,4.3,177526513
2022-12-05,601728,4.41,4.59,4.66,4.38,544696113
2022-12-06,601728,4.51,4.5,4.57,4.45,261048238
2022-12-07,601728,4.49,4.39,4.5,4.33,267630499
2022-12-08,601728,4.38,4.36,4.39,4.32,172720691
2022-12-09,601728,4.35,4.4,4.48,4.33,277695328
2022-12-12,601728,4.38,4.47,4.6,4.37,253952195
2022-12-13,601728,4.47,4.43,4.49,4.38,94870128
2022-12-14,601728,4.43,4.35,4.48,4.34,120893569
2022-12-15,601728,4.37,4.34,4.39,4.33,104352744
2022-12-16,601728,4.31,4.32,4.36,4.31,90549474
2022-12-19,601728,4.32,4.17,4.34,4.13,141287381
2022-12-20,601728,4.18,4.17,4.23,4.14,75513599
2022-12-21,601728,4.17,4.14,4.2,4.11,80343246
2022-12-22,601728,4.15,4.13,4.23,4.1,109004528
2022-12-23,601728,4.11,4.23,4.25,4.11,108021029
2022-12-26,601728,4.22,4.21,4.3,4.19,71139477
2022-12-27,601728,4.22,4.24,4.26,4.2,72790804
2022-12-28,601728,4.24,4.23,4.3,4.19,81099341
2022-12-29,601728,4.22,4.2,4.24,4.16,73526446
2022-12-30,601728,4.21,4.19,4.23,4.16,59333375
2023-01-03,601728,4.18,4.35,4.42,4.15,188696184
2023-01-04,601728,4.33,4.38,4.41,4.32,121721565
2023-01-05,601728,4.38,4.36,4.48,4.35,116206004
2023-01-06,601728,4.35,4.3,4.36,4.27,112133503
2023-01-09,601728,4.3,4.35,4.36,4.27,104959185
2023-01-10,601728,4.34,4.31,4.36,4.3,70322203
2023-01-11,601728,4.31,4.35,4.38,4.3,120521250
2023-01-12,601728,4.33,4.4,4.43,4.31,127922894
2023-01-13,601728,4.39,4.44,4.45,4.37,130861463
2023-01-16,601728,4.43,4.35,4.45,4.33,172883398
2023-01-17,601728,4.34,4.3,4.37,4.29,84896231
2023-01-18,601728,4.29,4.39,4.43,4.26,155285734
2023-01-19,601728,4.38,4.41,4.45,4.35,122441454
