date,code,open,close,high,low,volume
2022-11-23,601800,7.97,8.58,8.58,7.9,262621085
2022-11-24,601800,8.58,8.28,8.59,8.07,308725159
2022-11-25,601800,8.21,8.78,8.98,8.18,346789202
2022-11-28,601800,8.5,8.76,9.3,8.47,284636176
2022-11-29,601800,8.81,9.12,9.22,8.62,285406644
2022-11-30,601800,8.94,9.06,9.27,8.81,186900855
2022-12-01,601800,8.95,8.85,9.09,8.78,166375609
2022-12-02,601800,8.77,8.97,9.13,8.66,156424832
2022-12-05,601800,9.31,9.87,9.87,9.03,335976190
2022-12-06,601800,9.55,9.45,9.64,9.35,195125698
2022-12-07,601800,9.36,9.38,9.53,9.12,178885298
2022-12-08,601800,9.22,9.26,9.34,9.15,106700641
2022-12-09,601800,9.28,9.05,9.31,8.97,117528449
2022-12-12,601800,9.0,8.88,9.13,8.83,110361361
2022-12-13,601800,8.88,9.0,9.05,8.78,111564194
2022-12-14,601800,8.9,8.97,9.06,8.74,79079246
2022-12-15,601800,8.92,8.9,9.05,8.8,69129834
2022-12-16,601800,8.85,9.05,9.15,8.82,113370845
2022-12-19,601800,8.97,8.31,8.97,8.26,179680499
2022-12-20,601800,8.31,8.26,8.45,8.26,82048669
2022-12-21,601800,8.26,8.27,8.33,8.17,57175892
2022-12-22,601800,8.32,8.13,8.39,8.05,79946383
2022-12-23,601800,8.07,8.19,8.27,8.06,48832652
2022-12-26,601800,8.16,8.19,8.23,8.02,44699235
2022-12-27,601800,8.22,8.24,8.35,8.13,73420028
2022-12-28,601800,8.18,8.11,8.29,8.08,57177813
2022-12-29,601800,8.13,7.98,8.16,7.91,64388433
2022-12-30,601800,8.01,8.05,8.09,7.92,44857831
2023-01-03,601800,8.03,8.28,8.32,7.97,77956140
2023-01-04,601800,8.25,8.24,8.38,8.18,67194174
2023-01-05,601800,8.24,8.3,8.36,8.22,64074677
2023-01-06,601800,8.27,8.16,8.28,8.08,68566590
2023-01-09,601800,8.15,8.13,8.21,8.11,39797269
2023-01-10,601800,8.15,8.07,8.16,8.05,32165395
2023-01-11,601800,8.09,8.05,8.17,8.03,41148854
2023-01-12,601800,8.02,7.96,8.06,7.94,40234166
2023-01-13,601800,7.94,8.01,8.01,7.89,35282872
2023-01-16,601800,8.02,8.28,8.42,7.95,120797984
2023-01-17,601800,8.24,8.28,8.32,8.21,49182602
2023-01-18,601800,8.24,8.28,8.34,8.24,32562644
2023-01-19,601800,8.27,8.31,8.33,8.15,45971594
2023-01-20,601800,8.31,8.68,8.77,8.28,114208122
2023-01-30,601800,8.88,8.49,8.88,8.47,105242434
2023-01-31,601800,8.48,8.55,8.57,8.45,52817873
2023-02-01,601800,8.55,8.86,8.94,8.49,110029625
2023-02-02,601800,8.81,8.98,9.08,8.74,91341124
2023-02-03,601800,8.93,8.81,8.94,8.76,76598469
2023-02-06,601800,8.75,8.77,8.97,8.68,54555751
2023-02-07,601800,8.78,9.11,9.12,8.73,95779503
2023-02-08,601800,9.03,8.83,9.09,8.81,71259378
2023-02-09,601800,8.82,8.9,9.03,8.8,59328910
2023-02-10,601800,8.89,9.04,9.11,8.86,71730254
2023-02-13,601800,9.05,9.25,9.34,8.98,94313037
2023-02-14,601800,9.22,9.15,9.24,9.08,62325109
2023-02-15,601800,9.11,9.07,9.18,9.0,46509239
2023-02-16,601800,9.1,8.87,9.25,8.76,92448814
2023-02-17,601800,8.86,8.79,8.92,8.79,43444380
2023-02-20,601800,8.83,9.28,9.31,8.83,122580430
2023-02-21,601800,9.27,9.3,9.38,9.15,79274710
2023-02-22,601800,9.29,9.38,9.5,9.22,100181697
2023-02-23,601800,9.3,9.24,9.37,9.16,75898151
2023-02-24,601800,9.22,9.13,9.23,9.09,41298048
2023-02-27,601800,9.1,9.03,9.22,8.99,55586350
2023-02-28,601800,9.01,9.23,9.23,8.99,62460163
2023-03-01,601800,9.23,9.58,9.63,9.16,132115664
2023-03-02,601800,9.6,10.15,10.45,9.54,210184561
2023-03-03,601800,10.15,10.78,10.95,10.1,239725726
2023-03-06,601800,10.87,10.68,11.01,10.46,168914307
2023-03-07,601800,10.77,10.59,11.1,10.54,192142986
2023-03-08,601800,10.38,10.71,10.73,10.38,119566428
2023-03-09,601800,10.67,10.58,10.7,10.35,91707092
2023-03-10,601800,10.51,10.57,10.75,10.35,98983371
2023-03-13,601800,10.9,11.06,11.2,10.67,167728925
2023-03-14,601800,10.9,11.03,11.34,10.85,126589683
2023-03-15,601800,10.99,11.59,11.89,10.66,197316742
2023-03-16,601800,11.44,11.38,11.75,11.35,105803534
2023-03-17,601800,11.45,11.86,12.0,11.32,134095319
2023-03-20,601800,11.85,11.58,12.78,11.5,191886770
2023-03-21,601800,11.56,11.35,11.81,11.12,150243292
2023-03-22,601800,11.25,11.29,11.45,10.97,98848435
2023-03-23,601800,11.17,11.8,11.94,11.1,141917980
2023-03-24,601800,11.66,11.11,11.67,11.01,140720069
2023-03-27,601800,10.98,11.06,11.24,10.89,92105444
2023-03-28,601800,11.17,11.3,11.37,11.0,94780757
2023-03-29,601800,11.19,10.6,11.2,10.41,159893066
2023-03-30,601800,10.43,10.56,10.68,10.18,112957694
2023-03-31,601800,10.5,10.56,10.63,10.33,72587320
2023-04-03,601800,10.55,10.66,10.78,10.47,78109616
2023-04-04,601800,10.61,11.65,11.73,10.55,204591601
2023-04-06,601800,11.64,11.59,11.82,11.27,132170370
2023-04-07,601800,11.5,11.25,11.59,11.16,97949072
2023-04-10,601800,11.33,11.63,11.9,11.25,120883981
2023-04-11,601800,11.61,11.8,11.8,11.33,91015765
2023-04-12,601800,11.8,11.98,12.28,11.49,115240436
2023-04-13,601800,11.86,11.82,12.19,11.68,81988724
2023-04-14,601800,11.8,12.05,12.19,11.63,127409266
