date,code,open,close,high,low,volume
2022-11-23,601872,7.27,7.28,7.39,7.17,54037590
2022-11-24,601872,7.18,7.11,7.18,7.02,81966550
2022-11-25,601872,7.04,6.98,7.05,6.91,73636836
2022-11-28,601872,6.9,6.91,6.93,6.79,60937237
2022-11-29,601872,6.89,6.71,6.9,6.58,114558646
2022-11-30,601872,6.66,6.57,6.66,6.23,195009899
2022-12-01,601872,6.43,6.44,6.53,6.35,101511859
2022-12-02,601872,6.41,6.08,6.42,6.03,198025680
2022-12-05,601872,6.12,6.25,6.3,6.09,126386968
2022-12-06,601872,6.25,6.19,6.27,6.13,71801981
2022-12-07,601872,6.15,6.15,6.22,6.1,70480338
2022-12-08,601872,6.14,6.11,6.2,6.06,58503438
2022-12-09,601872,6.14,6.15,6.24,6.1,81345714
2022-12-12,601872,6.16,6.21,6.23,5.94,83088087
2022-12-13,601872,6.29,6.41,6.5,6.26,149649510
2022-12-14,601872,6.33,6.17,6.39,6.16,77578622
2022-12-15,601872,6.17,6.16,6.22,6.12,35264085
2022-12-16,601872,6.16,6.14,6.18,6.07,40502976
2022-12-19,601872,6.1,5.9,6.14,5.85,82850447
2022-12-20,601872,5.9,6.01,6.04,5.86,46165481
2022-12-21,601872,5.97,5.92,6.04,5.86,38002158
2022-12-22,601872,5.96,5.7,5.98,5.66,86074268
2022-12-23,601872,5.63,5.55,5.7,5.5,56861612
2022-12-26,601872,5.55,5.68,5.72,5.55,45429880
2022-12-27,601872,5.7,5.67,5.72,5.61,32536487
2022-12-28,601872,5.68,5.7,5.8,5.65,55970441
2022-12-29,601872,5.65,5.6,5.68,5.57,30840662
2022-12-30,601872,5.63,5.59,5.66,5.58,25357305
2023-01-03,601872,5.6,5.82,5.87,5.57,68514410
2023-01-04,601872,5.75,5.72,5.76,5.67,46428443
2023-01-05,601872,5.66,5.73,5.77,5.63,34167084
2023-01-06,601872,5.74,5.85,5.89,5.7,66640468
2023-01-09,601872,5.9,5.83,5.91,5.81,37606220
2023-01-10,601872,5.85,5.75,5.86,5.71,33318416
2023-01-11,601872,5.75,5.93,6.02,5.75,66051905
2023-01-12,601872,5.87,6.07,6.17,5.84,76216105
2023-01-13,601872,6.06,6.07,6.18,6.04,57716663
2023-01-16,601872,6.05,6.13,6.15,6.02,46510207
2023-01-17,601872,6.14,6.04,6.14,6.0,30121512
2023-01-18,601872,6.08,6.29,6.31,6.07,81664159
2023-01-19,601872,6.25,6.3,6.32,6.21,34697375
