date,code,open,close,high,low,volume
2022-11-23,601899,9.59,9.55,9.75,9.53,155610090
2022-11-24,601899,9.7,9.74,9.8,9.65,171961026
2022-11-25,601899,9.66,9.79,9.9,9.65,173300051
2022-11-28,601899,9.6,9.58,9.62,9.41,163193830
2022-11-29,601899,9.6,9.87,9.91,9.56,208150733
2022-11-30,601899,9.83,9.83,9.89,9.74,147098132
2022-12-01,601899,10.2,10.3,10.4,10.14,432823798
2022-12-02,601899,10.32,10.11,10.39,10.07,227035825
2022-12-05,601899,10.23,10.45,10.56,10.14,288048196
2022-12-06,601899,10.28,10.41,10.49,10.26,172410459
2022-12-07,601899,10.35,10.27,10.4,10.18,163043069
2022-12-08,601899,10.27,10.32,10.43,10.23,94830304
2022-12-09,601899,10.36,10.61,10.65,10.34,234509493
2022-12-12,601899,10.46,10.33,10.55,10.3,166552027
2022-12-13,601899,10.25,10.34,10.43,10.23,106640564
2022-12-14,601899,10.51,10.47,10.61,10.42,130256410
2022-12-15,601899,10.4,10.26,10.55,10.18,145297324
2022-12-16,601899,10.12,10.3,10.37,10.1,118304167
2022-12-19,601899,10.38,10.06,10.44,9.97,139321031
2022-12-20,601899,10.0,9.9,10.08,9.79,133898026
2022-12-21,601899,10.05,9.97,10.15,9.94,79063000
2022-12-22,601899,10.15,10.01,10.17,9.98,88120531
2022-12-23,601899,9.86,9.9,9.98,9.77,90110430
2022-12-26,601899,9.95,9.78,9.96,9.74,112772086
2022-12-27,601899,9.88,10.05,10.07,9.85,115147751
2022-12-28,601899,10.0,10.0,10.01,9.88,82167768
2022-12-29,601899,9.88,9.84,9.94,9.77,133667018
2022-12-30,601899,9.88,10.0,10.09,9.85,132916479
2023-01-03,601899,9.96,10.53,10.59,9.88,237742369
2023-01-04,601899,10.43,10.3,10.51,10.25,135956369
2023-01-05,601899,10.43,10.39,10.5,10.33,162355070
2023-01-06,601899,10.44,10.43,10.5,10.39,105452849
2023-01-09,601899,10.69,11.44,11.46,10.67,389677661
2023-01-10,601899,11.44,11.41,11.52,11.28,187217759
2023-01-11,601899,11.56,11.49,11.69,11.44,151648273
2023-01-12,601899,11.7,11.42,11.85,11.38,152678023
2023-01-13,601899,11.59,11.55,11.77,11.45,141332948
2023-01-16,601899,11.65,11.51,11.77,11.4,192191522
2023-01-17,601899,11.45,11.29,11.45,11.11,187682889
2023-01-18,601899,11.39,11.39,11.52,11.33,131328387
2023-01-19,601899,11.4,11.58,11.64,11.33,122601126
2023-01-20,601899,11.68,11.91,12.11,11.67,215167523
2023-01-30,601899,12.0,11.53,12.0,11.48,308807306
2023-01-31,601899,11.53,11.79,11.93,11.45,216048832
2023-02-01,601899,11.87,12.27,12.32,11.85,258835312
2023-02-02,601899,12.26,12.07,12.27,11.99,156991318
2023-02-03,601899,11.88,11.85,11.89,11.7,171095072
2023-02-06,601899,11.5,11.39,11.51,11.21,257288012
2023-02-07,601899,11.45,11.56,11.69,11.39,148197686
2023-02-08,601899,11.59,11.37,11.62,11.36,120970851
2023-02-09,601899,11.3,11.4,11.42,11.24,113320039
2023-02-10,601899,11.3,11.19,11.34,11.13,131292710
2023-02-13,601899,11.02,11.3,11.36,11.02,136635604
2023-02-14,601899,11.32,11.57,11.68,11.28,183553830
2023-02-15,601899,11.58,11.57,11.91,11.46,168857877
2023-02-16,601899,11.55,11.27,11.57,11.18,133298984
2023-02-17,601899,11.35,11.36,11.69,11.32,156839795
2023-02-20,601899,11.41,11.69,11.7,11.38,168910196
2023-02-21,601899,11.75,12.13,12.24,11.72,263388056
2023-02-22,601899,12.03,11.95,12.18,11.9,144342540
2023-02-23,601899,11.95,11.95,12.05,11.83,83065313
2023-02-24,601899,11.79,11.63,11.81,11.56,162573387
2023-02-27,601899,11.4,11.41,11.55,11.26,135699473
2023-02-28,601899,11.49,11.41,11.58,11.3,106019006
2023-03-01,601899,11.55,11.98,12.05,11.52,192370983
2023-03-02,601899,12.06,12.1,12.25,11.93,162166552
2023-03-03,601899,12.1,11.98,12.14,11.9,99356063
2023-03-06,601899,12.04,11.93,12.09,11.66,128029028
2023-03-07,601899,11.95,11.98,12.19,11.81,196536373
2023-03-08,601899,11.7,11.66,11.75,11.42,157851419
2023-03-09,601899,11.7,11.56,11.75,11.51,96441797
2023-03-10,601899,11.46,11.44,11.59,11.41,93161452
2023-03-13,601899,11.68,12.16,12.2,11.67,250055940
2023-03-14,601899,12.34,12.03,12.59,12.0,215749155
2023-03-15,601899,12.02,11.82,12.03,11.81,136479127
2023-03-16,601899,11.6,11.39,11.71,11.36,231926620
2023-03-17,601899,11.49,11.46,11.69,11.32,171872537
2023-03-20,601899,11.73,11.8,11.9,11.67,165806656
2023-03-21,601899,11.8,11.82,11.89,11.62,111609459
2023-03-22,601899,11.71,11.74,11.9,11.65,119278038
2023-03-23,601899,11.82,12.14,12.18,11.74,201091345
2023-03-24,601899,12.2,12.01,12.2,11.97,117251488
2023-03-27,601899,12.0,11.99,12.07,11.73,123953844
2023-03-28,601899,11.99,12.01,12.14,11.88,107876553
2023-03-29,601899,12.12,12.01,12.34,11.99,109723903
2023-03-30,601899,12.04,12.25,12.25,11.93,150717840
2023-03-31,601899,12.29,12.39,12.45,12.25,158691034
2023-04-03,601899,12.39,12.12,12.45,12.07,168677506
2023-04-04,601899,12.2,12.35,12.43,12.09,155954633
2023-04-06,601899,12.43,13.13,13.14,12.41,294272220
2023-04-07,601899,12.96,12.89,13.07,12.79,138168235
2023-04-10,601899,12.79,12.98,13.12,12.66,116873407
2023-04-11,601899,12.98,13.43,13.44,12.84,225374558
2023-04-12,601899,13.38,13.55,13.75,13.32,185436762
2023-04-13,601899,13.5,13.4,13.78,13.24,158387217
2023-04-14,601899,13.74,13.94,13.99,13.69,210578014
2023-04-17,601899,13.58,13.91,14.02,13.48,163355709
2023-04-18,601899,13.87,13.86,14.05,13.75,123473848
2023-04-19,601899,13.9,13.9,14.1,13.83,115489075
2023-04-20,601899,13.8,13.59,13.82,13.32,205681007
2023-04-21,601899,13.62,13.29,13.66,13.29,129483400
2023-04-24,601899,13.25,12.69,13.43,12.58,244729896
2023-04-25,601899,12.83,12.88,13.08,12.67,181595737
2023-04-26,601899,12.66,12.57,12.81,12.47,169260872
2023-04-27,601899,12.49,12.82,13.03,12.42,177955680
2023-04-28,601899,12.55,12.83,12.98,12.55,145362116
2023-05-04,601899,13.25,12.93,13.38,12.84,211489221
2023-05-05,601899,13.03,12.58,13.14,12.45,187067529
2023-05-08,601899,12.49,12.66,12.74,12.31,147503510
2023-05-09,601899,12.67,12.25,12.67,12.19,171466059
2023-05-10,601899,12.32,12.08,12.42,12.04,124335355
2023-05-11,601899,12.04,11.68,12.09,11.6,186931676
2023-05-12,601899,11.4,10.98,11.41,10.91,338569980
2023-05-15,601899,10.98,11.11,11.2,10.66,235775700
2023-05-16,601899,11.05,11.25,11.42,11.0,206495633
2023-05-17,601899,11.04,11.0,11.2,10.93,130722931
2023-05-18,601899,11.17,11.1,11.27,11.01,138468681
2023-05-19,601899,10.86,10.89,11.03,10.7,205289952
2023-05-22,601899,10.9,10.9,11.0,10.81,99725436
2023-05-23,601899,10.88,10.67,10.94,10.67,126921865
2023-05-24,601899,10.62,10.69,10.83,10.51,128497770
2023-05-25,601899,10.62,10.52,10.62,10.38,148254167
2023-05-26,601899,10.45,10.8,10.87,10.39,128083399
2023-05-29,601899,10.82,10.8,10.88,10.71,115787493
2023-05-30,601899,10.79,10.71,10.87,10.61,118788486
2023-05-31,601899,10.75,10.69,10.87,10.61,124179454
2023-06-01,601899,10.73,11.05,11.23,10.68,220497810
2023-06-02,601899,11.17,11.59,11.62,11.17,267583940
2023-06-05,601899,11.41,11.28,11.41,11.14,167579066
2023-06-06,601899,11.38,11.39,11.65,11.34,168797874
2023-06-07,601899,11.46,11.4,11.6,11.36,110395819
2023-06-08,601899,11.28,11.52,11.57,11.16,117954964
2023-06-09,601899,11.69,11.71,11.88,11.52,150815129
2023-06-12,601899,11.59,11.55,11.62,11.38,136545790
2023-06-13,601899,11.49,11.6,11.62,11.42,88581336
2023-06-14,601899,11.7,11.88,12.0,11.7,196690302
2023-06-15,601899,11.68,11.8,11.84,11.42,145484376
2023-06-16,601899,11.85,12.03,12.28,11.84,180454160
2023-06-19,601899,12.03,11.81,12.08,11.71,148234676
2023-06-20,601899,11.79,11.76,11.86,11.59,92657207
2023-06-21,601899,11.6,11.57,11.85,11.54,84114400
2023-06-26,601899,11.52,11.49,11.65,11.43,79180144
2023-06-27,601899,11.45,11.69,11.73,11.28,102267126
2023-06-28,601899,11.59,11.66,11.73,11.52,73042283
2023-06-29,601899,11.61,11.35,11.66,11.33,94829276
2023-06-30,601899,11.39,11.37,11.52,11.25,66313367
2023-07-03,601899,11.5,11.93,12.03,11.49,171518591
2023-07-04,601899,11.97,11.8,12.0,11.74,107427130
2023-07-05,601899,11.78,11.8,11.9,11.73,71207528
2023-07-06,601899,11.71,11.61,11.75,11.52,76833555
2023-07-07,601899,11.51,11.55,11.72,11.28,125582984
2023-07-10,601899,11.58,11.54,11.76,11.48,80589768
2023-07-11,601899,11.71,11.84,11.95,11.68,121686578
2023-07-12,601899,11.83,11.95,12.05,11.77,187653141
2023-07-13,601899,12.38,12.52,12.76,12.38,289777576
2023-07-14,601899,12.75,12.58,12.8,12.56,127187184
2023-07-17,601899,12.48,12.34,12.5,12.3,86362787
2023-07-18,601899,12.34,12.4,12.53,12.26,68098977
2023-07-19,601899,12.56,12.59,12.66,12.45,103886841
2023-07-20,601899,12.54,12.61,12.8,12.52,98663315
2023-07-21,601899,12.55,12.53,12.68,12.49,70515847
2023-07-24,601899,12.41,12.43,12.62,12.38,57319982
2023-07-25,601899,12.64,12.94,13.1,12.64,175567357
2023-07-26,601899,12.96,13.07,13.08,12.88,89449527
2023-07-27,601899,13.07,12.88,13.1,12.83,76066981
2023-07-28,601899,12.66,12.79,12.84,12.55,145064577
2023-07-31,601899,12.99,13.01,13.18,12.95,116713079
2023-08-01,601899,13.27,13.05,13.44,13.0,120142346
2023-08-02,601899,12.82,12.86,12.96,12.77,83936798
2023-08-03,601899,12.75,12.74,12.8,12.6,109846621
2023-08-04,601899,12.86,12.85,12.99,12.78,78105281
2023-08-07,601899,12.78,12.85,12.88,12.73,44623088
2023-08-08,601899,12.85,13.03,13.13,12.74,111902027
2023-08-09,601899,12.9,12.87,12.98,12.74,84007485
2023-08-10,601899,12.8,12.73,12.88,12.69,70330322
2023-08-11,601899,12.75,12.5,12.83,12.44,93182422
2023-08-14,601899,12.39,12.32,12.42,12.15,131024479
2023-08-15,601899,12.34,12.32,12.43,12.16,68007984
2023-08-16,601899,12.18,12.19,12.25,12.08,74573738
2023-08-17,601899,12.06,12.29,12.34,11.84,101796875
2023-08-18,601899,12.29,12.08,12.43,12.05,76821225
2023-08-21,601899,12.08,11.98,12.18,11.98,75479962
2023-08-22,601899,12.08,12.41,12.48,12.08,165777633
2023-08-23,601899,12.45,12.17,12.49,12.12,126975644
2023-08-24,601899,12.45,12.49,12.65,12.35,138872628
2023-08-25,601899,12.4,12.3,12.45,12.15,127145799
2023-08-28,601899,12.92,12.14,12.97,12.06,203852109
2023-08-29,601899,12.11,12.08,12.37,12.04,140982272
2023-08-30,601899,12.25,12.45,12.54,12.22,159470560
2023-08-31,601899,12.49,12.36,12.6,12.34,82969987
2023-09-01,601899,12.39,12.8,12.9,12.37,143485185
2023-09-04,601899,12.95,13.2,13.5,12.95,188698652
2023-09-05,601899,13.1,13.15,13.21,12.97,80427855
2023-09-06,601899,13.02,13.06,13.18,12.93,72466469
2023-09-07,601899,12.94,13.01,13.11,12.9,72247716
2023-09-08,601899,13.01,12.88,13.1,12.81,55492369
2023-09-11,601899,12.88,13.0,13.15,12.82,87787035
2023-09-12,601899,13.01,12.84,13.09,12.8,84410056
2023-09-13,601899,12.78,12.84,12.98,12.76,87054305
2023-09-14,601899,12.9,12.98,13.1,12.84,152218542
2023-09-15,601899,13.19,13.15,13.42,13.06,173231399
2023-09-18,601899,13.08,13.07,13.08,12.89,105742734
2023-09-19,601899,13.0,13.17,13.25,12.98,108154112
