date,code,open,close,high,low,volume
2022-11-23,601901,6.72,6.67,6.77,6.66,21013284
2022-11-24,601901,6.7,6.64,6.76,6.63,22970027
2022-11-25,601901,6.64,6.7,6.72,6.62,21464803
2022-11-28,601901,6.62,6.6,6.66,6.54,25705922
2022-11-29,601901,6.6,6.82,6.83,6.6,41273612
2022-11-30,601901,6.81,6.78,6.88,6.77,25854557
2022-12-01,601901,6.87,6.79,6.95,6.77,35324453
2022-12-02,601901,6.79,6.81,6.86,6.78,18181620
2022-12-05,601901,6.85,6.95,6.97,6.84,35219221
2022-12-06,601901,6.94,6.92,6.98,6.89,23969521
2022-12-07,601901,6.66,6.82,6.91,6.65,32892325
2022-12-08,601901,6.87,6.81,6.9,6.77,32085722
2022-12-09,601901,6.74,6.52,6.8,6.5,145145191
2022-12-12,601901,6.5,6.44,6.52,6.41,39872505
2022-12-13,601901,6.43,6.44,6.48,6.42,23297424
2022-12-14,601901,6.45,6.46,6.49,6.4,21920396
2022-12-15,601901,6.46,6.44,6.47,6.43,16389447
2022-12-16,601901,6.43,6.43,6.46,6.4,18282391
2022-12-19,601901,6.4,6.29,6.44,6.28,29458716
2022-12-20,601901,6.3,6.3,6.32,6.27,17918772
2022-12-21,601901,6.44,6.37,6.48,6.36,34941268
2022-12-22,601901,6.4,6.32,6.47,6.3,27364656
2022-12-23,601901,6.29,6.34,6.37,6.28,14336990
2022-12-26,601901,6.34,6.37,6.39,6.32,15497345
2022-12-27,601901,6.39,6.41,6.44,6.35,18179025
2022-12-28,601901,6.38,6.35,6.4,6.33,13360324
2022-12-29,601901,6.33,6.35,6.36,6.3,11915886
2022-12-30,601901,6.38,6.38,6.39,6.35,12006609
2023-01-03,601901,6.37,6.43,6.44,6.29,25482713
2023-01-04,601901,6.41,6.43,6.46,6.4,20485410
2023-01-05,601901,6.43,6.48,6.51,6.43,31202364
2023-01-06,601901,6.49,6.48,6.53,6.46,22851078
2023-01-09,601901,6.5,6.53,6.59,6.49,29254935
2023-01-10,601901,6.56,6.49,6.58,6.48,21875172
2023-01-11,601901,6.5,6.45,6.53,6.45,19805036
2023-01-12,601901,6.45,6.47,6.48,6.42,14376793
2023-01-13,601901,6.51,6.6,6.6,6.48,33062166
2023-01-16,601901,6.63,6.74,6.85,6.58,72916373
2023-01-17,601901,6.7,6.77,6.78,6.67,36148255
2023-01-18,601901,6.76,6.74,6.82,6.72,26599470
2023-01-19,601901,6.73,6.87,6.89,6.71,39822676
2023-01-20,601901,6.98,6.98,7.25,6.88,100978420
2023-01-30,601901,7.06,6.94,7.07,6.93,66135118
2023-01-31,601901,6.95,6.94,7.02,6.89,37078534
2023-02-01,601901,6.94,7.09,7.11,6.93,55190483
2023-02-02,601901,7.22,7.0,7.22,7.0,59335757
2023-02-03,601901,6.99,6.97,7.0,6.92,31738128
2023-02-06,601901,6.93,6.86,6.94,6.83,30746678
2023-02-07,601901,6.9,6.88,6.91,6.82,21343875
2023-02-08,601901,6.88,6.82,6.89,6.81,16146890
2023-02-09,601901,6.81,6.9,6.92,6.81,24484871
2023-02-10,601901,6.88,6.84,6.9,6.82,18683424
2023-02-13,601901,6.82,6.86,6.88,6.8,17769927
2023-02-14,601901,6.88,6.86,6.88,6.81,18014740
2023-02-15,601901,6.86,6.82,6.87,6.81,15808182
2023-02-16,601901,6.82,6.75,6.94,6.7,49164552
2023-02-17,601901,6.74,6.67,6.78,6.67,24387640
2023-02-20,601901,6.78,6.87,6.89,6.73,39212641
2023-02-21,601901,6.88,6.88,6.91,6.83,23742234
2023-02-22,601901,6.86,6.92,7.08,6.84,43378980
2023-02-23,601901,6.92,6.94,7.02,6.9,32468522
2023-02-24,601901,6.96,6.99,7.06,6.93,41380160
2023-02-27,601901,6.96,6.9,6.97,6.86,29230848
2023-02-28,601901,6.95,6.97,6.99,6.89,31543200
2023-03-01,601901,6.98,7.02,7.04,6.92,44577290
2023-03-02,601901,7.02,7.03,7.06,7.0,34066156
2023-03-03,601901,7.07,7.04,7.07,6.97,33075938
2023-03-06,601901,7.06,6.95,7.06,6.95,33825619
2023-03-07,601901,6.97,6.86,7.02,6.84,35392038
2023-03-08,601901,6.82,6.89,6.89,6.81,17064907
2023-03-09,601901,6.88,6.83,6.89,6.82,14083519
2023-03-10,601901,6.81,6.81,6.87,6.78,23073590
2023-03-13,601901,6.79,6.83,6.85,6.76,17686796
2023-03-14,601901,6.8,6.75,6.81,6.7,21112227
2023-03-15,601901,6.8,6.83,6.87,6.8,21911127
2023-03-16,601901,6.78,6.73,6.84,6.72,18328396
2023-03-17,601901,6.78,6.83,6.87,6.78,27764725
2023-03-20,601901,6.84,6.78,6.89,6.78,28859529
2023-03-21,601901,6.81,6.99,7.06,6.8,56552444
2023-03-22,601901,6.99,7.06,7.12,6.96,60366600
2023-03-23,601901,7.03,7.1,7.1,7.01,41358983
2023-03-24,601901,7.11,7.04,7.11,7.0,30274369
2023-03-27,601901,7.03,7.05,7.06,6.96,32534510
2023-03-28,601901,7.05,7.01,7.07,6.99,22339209
2023-03-29,601901,7.04,6.98,7.04,6.92,25855681
2023-03-30,601901,7.0,6.98,7.03,6.9,26877701
2023-03-31,601901,6.97,6.97,7.03,6.94,19521669
2023-04-03,601901,6.99,7.15,7.19,6.99,68922053
2023-04-04,601901,7.14,7.15,7.18,7.1,41040058
2023-04-06,601901,7.15,7.12,7.15,7.09,26135023
2023-04-07,601901,7.12,7.15,7.21,7.08,35707959
2023-04-10,601901,7.24,7.12,7.29,7.11,48356969
2023-04-11,601901,7.18,7.18,7.26,7.14,40608574
2023-04-12,601901,7.19,7.2,7.21,7.12,28631219
2023-04-13,601901,7.15,7.11,7.18,7.08,28356022
2023-04-14,601901,7.12,7.1,7.18,7.09,21483206
2023-04-17,601901,7.1,7.24,7.27,7.1,49099466
2023-04-18,601901,7.25,7.19,7.3,7.19,32896211
2023-04-19,601901,7.18,7.17,7.22,7.12,36026110
2023-04-20,601901,7.16,7.16,7.2,7.12,22088968
2023-04-21,601901,7.16,6.86,7.16,6.85,47196313
2023-04-24,601901,6.85,6.8,6.92,6.76,28029600
2023-04-25,601901,6.81,6.83,6.88,6.76,26959498
2023-04-26,601901,6.81,6.8,6.86,6.78,21374058
2023-04-27,601901,6.8,6.85,6.88,6.77,22397413
2023-04-28,601901,6.88,7.0,7.05,6.85,31476626
2023-05-04,601901,6.97,7.07,7.08,6.93,32260747
2023-05-05,601901,7.07,7.11,7.21,7.06,42598421
2023-05-08,601901,7.1,7.22,7.24,7.07,48841190
2023-05-09,601901,7.24,7.25,7.45,7.18,110322655
2023-05-10,601901,7.18,7.07,7.23,7.06,53863309
2023-05-11,601901,7.1,7.09,7.16,7.07,24635443
2023-05-12,601901,7.09,7.04,7.14,7.02,20381085
2023-05-15,601901,7.01,7.1,7.12,6.89,30755504
2023-05-16,601901,7.12,7.06,7.23,7.04,28770990
2023-05-17,601901,7.07,7.04,7.09,7.0,18369544
2023-05-18,601901,7.06,6.99,7.09,6.97,22606413
2023-05-19,601901,6.98,6.89,6.98,6.87,25267571
2023-05-22,601901,6.87,6.88,6.92,6.85,20658645
2023-05-23,601901,6.87,6.8,6.92,6.8,19845848
2023-05-24,601901,6.79,6.68,6.82,6.67,28938085
2023-05-25,601901,6.66,6.71,6.73,6.65,21115761
2023-05-26,601901,6.72,6.74,6.75,6.68,12686722
2023-05-29,601901,6.75,6.74,6.81,6.72,17284421
2023-05-30,601901,6.77,6.81,6.83,6.71,19515296
2023-05-31,601901,6.82,6.98,6.98,6.78,51021231
2023-06-01,601901,6.89,6.79,6.89,6.78,37700986
2023-06-02,601901,6.79,6.81,6.83,6.79,17367932
2023-06-05,601901,6.81,6.73,6.83,6.71,18965159
2023-06-06,601901,6.72,6.65,6.76,6.63,21985009
2023-06-07,601901,6.66,6.65,6.7,6.62,11874969
2023-06-08,601901,6.66,6.71,6.72,6.62,14538285
2023-06-09,601901,6.71,6.69,6.71,6.66,11843460
2023-06-12,601901,6.67,6.64,6.69,6.62,13199873
2023-06-13,601901,6.65,6.67,6.68,6.64,9636707
2023-06-14,601901,6.67,6.67,6.72,6.65,12858380
2023-06-15,601901,6.69,6.74,6.76,6.67,17479567
2023-06-16,601901,6.74,6.75,6.75,6.7,15269094
2023-06-19,601901,6.74,6.68,6.74,6.68,14366449
2023-06-20,601901,6.67,6.67,6.7,6.66,10301513
2023-06-21,601901,6.66,6.58,6.68,6.58,14585879
2023-06-26,601901,6.55,6.43,6.56,6.42,19476249
2023-06-27,601901,6.44,6.47,6.48,6.43,10198577
2023-06-28,601901,6.45,6.48,6.51,6.45,8453355
2023-06-29,601901,6.48,6.46,6.5,6.45,7670215
2023-06-30,601901,6.47,6.54,6.55,6.45,11555218
2023-07-03,601901,6.53,6.6,6.62,6.52,13944263
2023-07-04,601901,6.59,6.59,6.61,6.56,9238408
2023-07-05,601901,6.57,6.58,6.6,6.56,7499252
2023-07-06,601901,6.57,6.58,6.62,6.56,8267518
2023-07-07,601901,6.57,6.62,6.64,6.56,9729764
2023-07-10,601901,6.65,6.61,6.65,6.6,7451696
2023-07-11,601901,6.61,6.69,6.71,6.61,14096201
2023-07-12,601901,6.69,6.64,6.72,6.64,10141700
2023-07-13,601901,6.66,6.7,6.73,6.65,16402971
2023-07-14,601901,6.69,6.69,6.74,6.67,11713701
2023-07-17,601901,6.68,6.73,6.73,6.65,11763653
2023-07-18,601901,6.73,6.71,6.75,6.69,7210042
2023-07-19,601901,6.7,6.75,6.76,6.68,11945802
2023-07-20,601901,6.76,6.69,6.78,6.69,9374794
2023-07-21,601901,6.68,6.72,6.75,6.67,8934581
2023-07-24,601901,6.72,6.73,6.75,6.7,6450400
2023-07-25,601901,6.87,6.93,6.95,6.81,52854774
2023-07-26,601901,6.9,6.9,6.93,6.83,27133803
2023-07-27,601901,6.89,6.84,6.93,6.83,18546413
2023-07-28,601901,6.82,7.2,7.25,6.82,112077208
2023-07-31,601901,7.38,7.24,7.45,7.24,138490957
2023-08-01,601901,7.08,7.15,7.27,7.05,90550997
2023-08-02,601901,7.14,7.16,7.27,7.09,45763731
2023-08-03,601901,7.19,7.88,7.88,7.16,326449959
2023-08-04,601901,8.1,7.95,8.44,7.89,420673132
2023-08-07,601901,7.88,8.16,8.18,7.83,226629049
2023-08-08,601901,8.02,7.93,8.12,7.8,165464222
2023-08-09,601901,7.96,7.84,8.03,7.81,92157743
2023-08-10,601901,7.86,7.94,7.95,7.78,102305168
2023-08-11,601901,7.87,7.63,7.88,7.59,120601776
2023-08-14,601901,7.5,7.52,7.61,7.41,80580505
2023-08-15,601901,7.52,7.56,7.6,7.44,54309010
2023-08-16,601901,7.45,7.61,7.78,7.41,84999369
2023-08-17,601901,7.61,7.67,7.75,7.5,74633154
2023-08-18,601901,7.69,7.5,7.75,7.48,50358589
2023-08-21,601901,7.46,7.32,7.55,7.32,56710839
2023-08-22,601901,7.39,7.45,7.48,7.28,51746418
2023-08-23,601901,7.39,7.22,7.42,7.19,53551861
2023-08-24,601901,7.29,7.28,7.41,7.25,43870763
2023-08-25,601901,7.28,7.29,7.37,7.25,37199753
2023-08-28,601901,8.02,7.44,8.02,7.42,164197130
2023-08-29,601901,7.36,7.38,7.47,7.23,86407744
2023-08-30,601901,7.4,7.22,7.4,7.21,50432265
2023-08-31,601901,7.23,7.22,7.27,7.17,38962570
2023-09-01,601901,7.23,7.17,7.26,7.15,28169719
2023-09-04,601901,7.18,7.19,7.22,7.1,34903783
2023-09-05,601901,7.17,7.12,7.18,7.1,23763135
2023-09-06,601901,7.08,7.16,7.19,7.08,23581899
2023-09-07,601901,7.15,7.13,7.19,7.11,23853677
2023-09-08,601901,7.12,7.16,7.18,7.06,21341450
2023-09-11,601901,7.18,7.35,7.43,7.15,52090120
2023-09-12,601901,7.3,7.26,7.36,7.24,23579933
2023-09-13,601901,7.27,7.17,7.28,7.14,22637900
2023-09-14,601901,7.2,7.24,7.24,7.15,22106802
2023-09-15,601901,7.25,7.33,7.34,7.21,41791657
2023-09-18,601901,7.26,7.19,7.28,7.15,35486989
2023-09-19,601901,7.17,7.18,7.21,7.14,20992854
2023-09-20,601901,7.17,7.2,7.23,7.13,18964144
2023-09-21,601901,7.2,7.16,7.25,7.15,19540900
2023-09-22,601901,7.15,7.38,7.39,7.15,52164048
2023-09-25,601901,7.34,7.28,7.35,7.26,27863682
2023-09-26,601901,7.28,7.38,7.45,7.27,34060478
2023-09-27,601901,7.38,7.45,7.48,7.35,34551611
2023-09-28,601901,7.44,7.4,7.5,7.38,26708393
2023-10-09,601901,7.35,7.25,7.37,7.18,32258691
2023-10-10,601901,7.27,7.28,7.33,7.26,18399401
2023-10-11,601901,7.3,7.25,7.36,7.22,19071617
2023-10-12,601901,7.34,7.32,7.38,7.25,23153385
2023-10-13,601901,7.24,7.17,7.28,7.17,22615935
2023-10-16,601901,7.17,7.21,7.25,7.1,19311549
2023-10-17,601901,7.24,7.43,7.48,7.2,49015530
2023-10-18,601901,7.41,7.4,7.48,7.36,34175146
2023-10-19,601901,7.37,7.44,7.54,7.35,58338723
2023-10-20,601901,7.4,7.49,7.56,7.38,44763818
2023-10-23,601901,7.41,7.24,7.43,7.18,44783394
2023-10-24,601901,7.29,7.52,7.54,7.21,50623948
2023-10-25,601901,7.57,7.45,7.59,7.42,39447735
2023-10-26,601901,7.41,7.49,7.5,7.37,27324053
2023-10-27,601901,7.42,7.52,7.57,7.36,40993771
2023-10-30,601901,7.5,7.63,7.64,7.46,47277473
