date,code,open,close,high,low,volume
2022-11-23,601919,12.38,12.49,12.62,12.34,155045360
2022-11-24,601919,12.4,12.24,12.43,12.21,104435095
2022-11-25,601919,12.27,12.43,12.52,12.27,100570921
2022-11-28,601919,12.26,12.36,12.38,12.16,77511723
2022-11-29,601919,12.39,12.46,12.51,12.34,92828088
2022-11-30,601919,12.41,12.63,12.67,12.39,115844580
2022-12-01,601919,12.7,12.62,12.74,12.59,91062564
2022-12-02,601919,12.56,12.55,12.62,12.52,58401780
2022-12-05,601919,12.61,13.03,13.1,12.61,143170490
2022-12-06,601919,13.0,13.09,13.33,12.9,135235223
2022-12-07,601919,13.15,13.39,13.5,13.15,171226327
2022-12-08,601919,13.41,13.26,13.44,13.23,113380474
2022-12-09,601919,13.3,13.3,13.45,13.15,102786353
2022-12-12,601919,13.33,13.12,13.38,13.09,108003362
2022-12-13,601919,13.12,12.97,13.25,12.97,118024039
2022-12-14,601919,11.19,10.99,11.2,10.88,157842188
2022-12-15,601919,10.99,10.78,11.04,10.74,87546236
2022-12-16,601919,10.73,11.14,11.15,10.69,100921201
2022-12-19,601919,11.15,10.86,11.15,10.79,72790083
2022-12-20,601919,10.81,10.73,10.91,10.71,47524518
2022-12-21,601919,10.74,10.69,10.79,10.65,37204011
2022-12-22,601919,10.78,10.77,10.98,10.7,58857666
2022-12-23,601919,10.71,10.69,10.82,10.65,33720284
2022-12-26,601919,10.7,10.4,10.75,10.35,72136850
2022-12-27,601919,10.46,10.48,10.59,10.4,42144332
2022-12-28,601919,10.5,10.4,10.54,10.39,41191487
2022-12-29,601919,10.38,10.14,10.38,10.13,62167018
2022-12-30,601919,10.15,10.29,10.32,10.14,55061316
2023-01-03,601919,10.29,10.28,10.3,10.11,52415335
2023-01-04,601919,10.22,10.23,10.26,10.18,45051568
2023-01-05,601919,10.26,10.23,10.28,10.2,47590242
2023-01-06,601919,10.26,10.26,10.34,10.23,49992909
2023-01-09,601919,10.23,10.23,10.26,10.15,55633774
2023-01-10,601919,10.25,10.19,10.26,10.16,41492189
2023-01-11,601919,10.19,10.15,10.28,10.14,49979400
2023-01-12,601919,10.17,10.06,10.19,9.98,67375633
2023-01-13,601919,10.04,10.13,10.14,10.04,48332444
2023-01-16,601919,10.09,10.2,10.27,10.04,70899920
2023-01-17,601919,10.21,10.27,10.28,10.18,54074496
2023-01-18,601919,10.24,10.26,10.3,10.22,37069764
2023-01-19,601919,10.24,10.27,10.28,10.18,44874549
2023-01-20,601919,10.27,10.42,10.43,10.26,70148167
2023-01-30,601919,10.5,10.42,10.53,10.38,90986934
2023-01-31,601919,10.41,10.63,10.68,10.37,101884064
2023-02-01,601919,10.64,10.84,10.89,10.64,105236783
2023-02-02,601919,10.93,10.83,10.93,10.77,71665809
2023-02-03,601919,10.85,10.65,10.86,10.55,85104821
2023-02-06,601919,10.59,10.68,10.72,10.52,53494499
2023-02-07,601919,10.68,10.7,10.74,10.6,48341561
2023-02-08,601919,10.69,10.78,10.84,10.68,59690782
2023-02-09,601919,10.78,10.91,10.93,10.74,69376349
2023-02-10,601919,10.91,10.83,10.91,10.76,56949314
2023-02-13,601919,10.82,10.77,10.83,10.72,54489721
2023-02-14,601919,10.78,10.79,10.84,10.75,38737327
2023-02-15,601919,10.77,10.7,10.78,10.66,55751939
2023-02-16,601919,10.71,10.62,10.84,10.53,79667683
2023-02-17,601919,10.56,10.57,10.72,10.56,53676678
2023-02-20,601919,10.56,10.66,10.71,10.46,72249433
2023-02-21,601919,10.67,10.86,10.92,10.64,92492962
2023-02-22,601919,10.8,10.84,10.9,10.76,53785773
2023-02-23,601919,10.84,10.77,10.87,10.76,54242120
2023-02-24,601919,10.8,10.72,10.82,10.69,50353415
2023-02-27,601919,10.69,10.68,10.8,10.64,49286288
2023-02-28,601919,10.71,10.78,10.79,10.66,51996024
2023-03-01,601919,10.75,10.85,10.85,10.72,65204129
2023-03-02,601919,10.86,11.17,11.25,10.84,172396832
2023-03-03,601919,11.17,11.28,11.31,11.1,128374328
2023-03-06,601919,11.33,11.26,11.37,11.15,92821040
2023-03-07,601919,11.25,11.26,11.56,11.17,162553147
2023-03-08,601919,11.19,11.15,11.2,11.06,81930306
2023-03-09,601919,11.13,11.19,11.27,11.13,56338651
2023-03-10,601919,11.17,10.95,11.18,10.95,71787347
2023-03-13,601919,10.91,11.01,11.11,10.91,60190157
2023-03-14,601919,11.04,10.79,11.06,10.72,75395457
2023-03-15,601919,10.89,11.3,11.38,10.88,138623037
2023-03-16,601919,11.27,11.09,11.31,11.09,83761979
2023-03-17,601919,11.18,11.11,11.27,11.08,122200854
2023-03-20,601919,11.2,11.09,11.38,11.08,102349144
2023-03-21,601919,11.15,11.06,11.2,11.0,64223875
2023-03-22,601919,11.1,11.1,11.14,11.02,50698969
2023-03-23,601919,11.09,11.44,11.5,11.03,175463157
2023-03-24,601919,11.41,11.35,11.43,11.31,65243137
2023-03-27,601919,11.36,11.3,11.39,11.19,65639229
