date,code,open,close,high,low,volume
2022-11-23,601990,8.35,8.33,8.42,8.25,21783964
2022-11-24,601990,8.39,8.3,8.43,8.28,16983500
2022-11-25,601990,8.28,8.36,8.41,8.26,19754471
2022-11-28,601990,8.16,8.24,8.26,8.11,20648061
2022-11-29,601990,8.26,8.5,8.6,8.22,46543752
2022-11-30,601990,8.47,8.53,8.69,8.47,42152684
2022-12-01,601990,8.63,8.5,8.8,8.48,43733333
2022-12-02,601990,8.55,8.45,8.58,8.42,24887271
2022-12-05,601990,8.54,8.62,8.67,8.5,42604662
2022-12-06,601990,8.55,8.55,8.65,8.52,25612941
2022-12-07,601990,8.49,8.43,8.56,8.4,31026724
2022-12-08,601990,8.4,8.37,8.46,8.37,22482718
2022-12-09,601990,8.36,8.24,8.41,8.2,65892955
2022-12-12,601990,8.2,8.13,8.22,8.12,26373891
2022-12-13,601990,8.15,8.12,8.18,8.1,20659791
2022-12-14,601990,8.14,8.24,8.26,8.1,25070112
2022-12-15,601990,8.18,8.19,8.25,8.16,16041334
2022-12-16,601990,8.13,8.14,8.21,8.11,16306887
2022-12-19,601990,8.14,7.92,8.17,7.86,25374794
2022-12-20,601990,7.88,7.94,8.0,7.86,12581088
2022-12-21,601990,7.95,7.92,7.99,7.89,11122522
2022-12-22,601990,7.95,7.85,8.01,7.81,13158707
2022-12-23,601990,7.81,7.88,7.91,7.8,10476777
2022-12-26,601990,7.9,7.93,7.94,7.86,9028180
2022-12-27,601990,7.98,7.98,8.04,7.94,13281197
2022-12-28,601990,7.94,7.91,7.98,7.89,8986432
2022-12-29,601990,7.87,7.91,7.94,7.85,8935195
2022-12-30,601990,7.91,7.93,7.96,7.91,8358225
2023-01-03,601990,7.88,7.98,7.99,7.74,16705356
2023-01-04,601990,7.98,7.96,8.02,7.93,12400859
2023-01-05,601990,8.0,8.05,8.1,7.98,20720534
2023-01-06,601990,8.04,7.99,8.08,7.97,14690740
2023-01-09,601990,8.0,8.06,8.14,7.99,22706100
2023-01-10,601990,8.05,8.03,8.12,8.03,14236541
2023-01-11,601990,8.03,7.93,8.06,7.92,15680054
2023-01-12,601990,7.9,7.96,7.97,7.86,14379173
2023-01-13,601990,8.01,8.1,8.1,7.94,23114420
2023-01-16,601990,8.1,8.26,8.43,8.1,55519481
2023-01-17,601990,8.21,8.37,8.4,8.16,37596518
