date,code,open,close,high,low,volume
2022-10-26,601995,34.12,34.44,34.88,34.0,5469627
2022-10-27,601995,34.67,34.73,35.04,34.35,5812038
2022-10-28,601995,34.52,33.67,34.74,33.46,5952425
2022-10-31,601995,33.21,34.64,34.64,33.21,5606448
2022-11-01,601995,34.22,35.3,35.3,34.21,7412820
2022-11-02,601995,35.14,35.63,36.05,34.98,8426396
2022-11-03,601995,35.52,36.2,36.23,35.28,8347057
2022-11-04,601995,36.02,36.55,37.04,36.01,10788602
2022-11-07,601995,36.32,36.18,36.53,36.0,6721709
2022-11-08,601995,36.2,36.34,36.43,36.1,3771314
2022-11-09,601995,36.21,36.3,36.36,35.99,3563616
2022-11-10,601995,36.0,36.37,36.68,35.93,5703040
2022-11-11,601995,37.28,37.65,38.25,36.62,13886468
2022-11-14,601995,37.81,37.88,38.8,37.61,11658760
2022-11-15,601995,37.83,38.98,39.8,37.5,14080361
2022-11-16,601995,38.72,38.34,38.8,37.98,8180625
2022-11-17,601995,38.11,38.37,38.53,37.75,8132309
2022-11-18,601995,38.32,37.7,38.36,37.7,4651896
2022-11-21,601995,37.6,37.38,37.67,37.15,3414914
2022-11-22,601995,37.45,37.76,38.2,37.4,4341142
2022-11-23,601995,37.78,38.0,38.19,37.45,5075171
2022-11-24,601995,38.28,37.55,38.38,37.51,3679863
2022-11-25,601995,37.44,38.33,39.09,37.33,9143642
2022-11-28,601995,37.2,38.12,38.22,37.01,6164323
2022-11-29,601995,38.23,39.13,39.45,38.1,11909939
2022-11-30,601995,38.82,38.39,39.13,38.02,8483580
2022-12-01,601995,38.66,38.42,39.88,38.42,9725303
2022-12-02,601995,38.25,38.22,38.58,38.1,4593692
2022-12-05,601995,38.97,39.7,39.93,38.58,13032056
2022-12-06,601995,39.31,39.46,39.86,39.26,6826971
2022-12-07,601995,39.17,39.65,39.9,38.95,7999287
2022-12-08,601995,39.47,40.2,40.33,39.38,10082360
2022-12-09,601995,39.95,40.43,40.59,39.8,21182161
2022-12-12,601995,39.99,38.75,40.38,38.71,11769849
2022-12-13,601995,38.96,38.69,38.99,38.62,3822574
2022-12-14,601995,38.51,39.01,39.33,38.4,4000733
2022-12-15,601995,38.83,38.75,39.17,38.65,2949778
2022-12-16,601995,38.59,38.73,38.99,38.28,3349440
2022-12-19,601995,38.84,37.57,38.99,37.5,3902646
2022-12-20,601995,37.6,37.46,37.85,37.18,3027160
2022-12-21,601995,37.5,37.27,37.63,37.21,1840491
2022-12-22,601995,37.7,37.66,38.07,37.35,3473973
2022-12-23,601995,37.42,37.98,38.25,37.36,3120977
2022-12-26,601995,38.0,37.76,38.31,37.36,2591021
2022-12-27,601995,38.03,38.4,38.74,37.94,3709760
2022-12-28,601995,38.38,38.67,38.8,38.26,3504595
2022-12-29,601995,38.3,38.38,38.55,38.0,2581770
2022-12-30,601995,38.38,38.13,38.6,38.12,2615193
2023-01-03,601995,37.88,38.4,38.5,37.12,4447830
2023-01-04,601995,38.31,38.22,38.68,38.05,3242507
2023-01-05,601995,38.4,38.58,38.8,38.28,6414058
2023-01-06,601995,38.59,38.84,39.3,38.35,7843409
2023-01-09,601995,38.86,38.97,39.55,38.78,6198307
2023-01-10,601995,38.97,38.52,39.24,38.52,4728624
2023-01-11,601995,38.72,38.2,38.72,38.16,4315282
2023-01-12,601995,38.38,39.55,39.99,38.25,10633177
