date,code,open,close,high,low,volume
2022-11-23,603235,31.32,30.72,31.44,30.42,1389564
2022-11-24,603235,31.09,31.42,31.6,30.74,1280164
2022-11-25,603235,31.21,30.69,31.49,30.6,1005000
2022-11-28,603235,30.21,30.36,30.86,30.17,941375
2022-11-29,603235,30.49,30.77,30.82,30.36,703419
2022-11-30,603235,30.73,30.29,30.73,30.24,971304
2022-12-01,603235,30.45,30.98,31.1,30.42,1337032
2022-12-02,603235,30.79,30.97,31.18,30.78,773960
2022-12-05,603235,31.34,32.14,32.92,31.15,3050894
2022-12-06,603235,31.89,31.38,32.37,31.21,1829263
2022-12-07,603235,31.3,31.68,31.93,31.3,1215363
2022-12-08,603235,31.6,31.55,31.73,31.38,865393
2022-12-09,603235,31.55,31.86,32.17,31.12,1751752
2022-12-12,603235,32.12,32.54,33.33,32.07,3461645
2022-12-13,603235,32.75,32.15,32.86,31.86,1880131
2022-12-14,603235,31.96,31.24,31.98,31.15,1690840
2022-12-15,603235,31.16,31.09,31.44,30.91,775112
2022-12-16,603235,31.09,31.21,31.5,30.77,1061176
2022-12-19,603235,31.2,29.92,31.35,29.91,1603504
2022-12-20,603235,29.91,30.03,30.1,29.7,456567
2022-12-21,603235,29.95,29.92,30.2,29.85,394935
2022-12-22,603235,30.12,29.41,30.13,29.35,576483
2022-12-23,603235,29.41,29.26,29.65,29.18,344500
2022-12-26,603235,29.06,29.4,29.6,29.0,411612
2022-12-27,603235,29.43,29.3,29.62,29.13,421921
2022-12-28,603235,29.31,29.06,29.45,29.02,392397
2022-12-29,603235,29.08,29.13,29.27,29.0,367932
2022-12-30,603235,29.2,29.12,29.23,29.04,377231
2023-01-03,603235,29.12,29.61,29.72,29.05,585118
2023-01-04,603235,29.46,29.56,29.74,29.44,397202
2023-01-05,603235,29.51,29.66,29.75,29.44,446163
2023-01-06,603235,29.7,29.62,29.88,29.52,494709
2023-01-09,603235,29.54,29.65,29.77,29.54,456372
2023-01-10,603235,29.81,29.35,29.81,29.31,506460
2023-01-11,603235,29.32,29.31,29.78,29.23,578336
2023-01-12,603235,29.31,29.12,29.37,29.03,493597
2023-01-13,603235,29.15,29.36,29.4,29.08,549714
2023-01-16,603235,29.36,29.64,29.73,29.3,578199
2023-01-17,603235,29.64,29.89,30.0,29.5,568165
2023-01-18,603235,29.97,29.82,30.0,29.73,304669
2023-01-19,603235,29.83,29.8,29.98,29.77,377906
2023-01-20,603235,29.94,30.03,30.06,29.9,457772
2023-01-30,603235,30.12,30.13,30.35,30.04,518770
2023-01-31,603235,30.09,30.61,30.78,29.91,1043643
2023-02-01,603235,30.61,30.86,30.94,30.58,696827
2023-02-02,603235,30.87,31.21,31.47,30.75,1176179
2023-02-03,603235,31.18,30.9,31.18,30.7,630678
2023-02-06,603235,30.84,31.41,31.74,30.66,1236273
2023-02-07,603235,31.42,31.3,31.53,31.18,498006
2023-02-08,603235,31.4,31.24,31.45,31.13,525900
2023-02-09,603235,31.12,31.28,31.31,31.06,486347
2023-02-10,603235,31.35,31.4,31.5,31.2,507732
2023-02-13,603235,31.99,32.86,34.06,31.8,4063032
2023-02-14,603235,32.88,32.58,32.94,32.37,1589305
2023-02-15,603235,32.62,32.44,32.66,32.26,926278
2023-02-16,603235,32.37,31.76,32.64,31.61,1446985
2023-02-17,603235,31.98,31.92,32.21,31.68,898308
2023-02-20,603235,31.82,33.07,33.26,31.49,1930215
2023-02-21,603235,33.0,33.08,33.28,32.7,1577968
2023-02-22,603235,33.01,33.19,33.59,32.94,1175411
2023-02-23,603235,33.15,32.7,33.41,32.59,1025518
2023-02-24,603235,32.7,32.81,32.96,32.53,428097
2023-02-27,603235,32.53,33.25,33.77,32.45,2084538
2023-02-28,603235,33.18,33.23,33.44,32.85,685616
2023-03-01,603235,33.23,33.46,33.68,33.0,1077605
2023-03-02,603235,33.41,33.27,33.6,33.22,775721
2023-03-03,603235,33.23,32.7,33.23,32.63,805929
2023-03-06,603235,33.03,32.66,33.23,32.54,791638
2023-03-07,603235,32.66,31.92,32.82,31.92,719871
2023-03-08,603235,31.79,32.04,32.14,31.79,269177
2023-03-09,603235,32.05,32.23,32.44,32.05,279700
2023-03-10,603235,32.04,31.75,32.05,31.61,459142
2023-03-13,603235,31.66,31.54,31.9,31.4,401900
2023-03-14,603235,31.41,31.94,32.32,30.9,973097
2023-03-15,603235,31.94,31.69,32.0,31.43,632694
2023-03-16,603235,31.51,31.11,31.66,31.06,409003
2023-03-17,603235,31.17,30.98,31.48,30.95,596928
2023-03-20,603235,30.98,30.25,30.98,30.18,766131
2023-03-21,603235,30.35,30.75,30.83,30.25,418203
2023-03-22,603235,31.0,31.25,31.34,30.69,423375
2023-03-23,603235,31.25,31.57,31.64,30.96,646492
2023-03-24,603235,31.46,31.51,31.74,31.29,340007
2023-03-27,603235,31.5,31.3,31.57,31.13,444994
2023-03-28,603235,31.3,31.43,31.6,31.12,421403
2023-03-29,603235,31.53,31.36,31.6,31.14,345600
2023-03-30,603235,31.6,31.15,31.6,31.13,356759
2023-03-31,603235,31.2,32.83,33.4,31.15,3076062
2023-04-03,603235,32.83,31.63,32.88,31.39,2949470
2023-04-04,603235,31.51,31.36,31.57,31.2,1044403
