date,open,high,low,close,volume
2022-11-23,83.450,84.150,80.910,82.010,23583588
2022-11-24,82.610,83.590,81.560,82.180,10935953
2022-11-25,82.000,82.300,80.260,81.940,11318125
2022-11-28,75.000,77.000,73.750,76.070,47318430
2022-11-29,76.550,79.330,76.100,78.200,33073323
2022-11-30,77.850,78.670,77.200,78.000,17130849
2022-12-01,79.300,80.890,79.000,80.000,18288405
2022-12-02,79.900,79.900,77.510,77.700,17775803
2022-12-05,78.900,79.090,77.600,78.400,15145927
2022-12-06,78.390,80.490,77.790,78.210,17810050
2022-12-07,78.000,79.930,77.870,78.880,13374083
2022-12-08,78.610,80.780,77.810,80.040,16414314
2022-12-09,80.080,80.990,78.880,80.000,20996217
2022-12-12,80.010,81.490,79.700,80.710,14590272
2022-12-13,80.710,80.800,78.610,78.800,12416745
2022-12-14,78.810,79.800,78.310,78.640,11677350
2022-12-15,78.320,78.890,77.130,78.250,12955156
2022-12-16,78.700,79.550,77.860,79.080,11975759
2022-12-19,78.520,79.070,77.120,77.280,10966035
2022-12-20,76.880,77.750,75.000,75.310,13036525
2022-12-21,75.810,76.300,75.100,75.180,8206365
2022-12-22,76.000,78.450,75.100,77.000,17256984
2022-12-23,76.760,78.000,75.600,77.020,9636625
2022-12-26,77.400,78.100,76.700,77.710,8717373
2022-12-27,78.100,79.650,77.850,78.940,13615259
2022-12-28,78.780,80.420,77.820,79.130,14351367
2022-12-29,78.330,82.100,78.200,80.940,23985898
2022-12-30,80.600,81.960,80.600,81.000,15708274
2023-01-03,80.860,82.410,79.410,81.690,18170691
2023-01-04,82.300,83.800,82.000,82.600,17354653
2023-01-05,83.680,89.270,82.710,87.970,42776599
2023-01-06,87.410,88.180,86.630,87.570,24786139
2023-01-09,87.650,90.650,87.500,89.390,23551117
2023-01-10,90.000,90.390,88.600,89.530,14811955
2023-01-11,89.460,91.780,89.390,89.560,19520065
2023-01-12,90.730,92.580,90.300,90.920,20045008
2023-01-13,91.100,91.400,89.730,91.000,19749017
2023-01-16,91.110,99.900,90.900,98.180,50166642
2023-01-17,98.000,98.700,94.320,95.660,32638692
2023-01-18,95.230,95.500,93.880,94.730,13731720
2023-01-19,94.540,98.800,93.480,97.490,28892907
2023-01-20,97.200,99.500,96.600,97.500,15915816
2023-01-30,100.000,100.000,96.080,96.340,21305543
2023-01-31,96.600,98.350,93.030,93.250,23588529
2023-02-01,93.350,93.980,92.010,93.880,16193902
2023-02-02,94.150,97.430,92.800,95.000,20555523
2023-02-03,94.230,94.960,92.980,93.800,11065636
2023-02-06,92.600,92.610,89.510,91.440,24729930
2023-02-07,91.920,93.240,90.690,91.700,12981211
2023-02-08,92.000,93.390,90.550,90.730,11806184
2023-02-09,90.080,91.600,90.000,91.320,10084163
2023-02-10,91.260,91.500,88.880,89.770,15613918
2023-02-13,89.000,91.100,88.120,89.300,18800949
2023-02-14,89.220,89.840,87.940,89.080,14269395
2023-02-15,89.210,89.390,86.500,86.950,20028273
2023-02-16,87.400,88.180,85.570,86.100,17990789
2023-02-17,85.800,86.900,85.100,85.210,15506923
2023-02-20,85.580,86.290,84.190,86.220,18901723
2023-02-21,86.220,86.460,84.680,85.260,15796308
2023-02-22,84.520,85.100,83.740,83.900,15043892
2023-02-23,83.300,85.380,83.300,84.080,14975133
2023-02-24,84.060,84.070,82.550,82.660,15249105
2023-02-27,82.300,83.500,81.560,81.900,15622755
2023-02-28,81.900,82.760,81.610,82.680,14297689
2023-03-01,82.350,84.060,81.010,83.820,25248006
2023-03-02,83.830,84.010,82.900,83.450,13877254
2023-03-03,83.980,85.540,83.130,83.250,22003107
2023-03-06,83.010,83.620,81.500,82.000,22287251
2023-03-07,82.000,83.290,81.030,81.200,17690733
2023-03-08,80.500,80.890,79.500,79.950,18097350
2023-03-09,80.200,81.520,80.110,80.750,16559852
