date,code,open,close,high,low,volume
2022-11-23,603288,71.5,70.5,71.9,70.5,4594626
2022-11-24,603288,71.55,70.15,72.0,69.93,4163179
2022-11-25,603288,70.15,70.03,70.63,69.75,3195951
2022-11-28,603288,68.06,70.19,70.29,67.35,7219415
2022-11-29,603288,70.83,70.55,71.88,70.25,9173318
2022-11-30,603288,70.97,70.36,70.97,69.82,5568290
2022-12-01,603288,72.5,74.1,74.9,72.2,14199156
2022-12-02,603288,73.46,75.35,75.5,73.36,9303718
2022-12-05,603288,76.81,76.51,76.98,75.67,8437194
2022-12-06,603288,75.99,80.01,80.5,75.88,11597910
2022-12-07,603288,80.21,81.8,82.79,79.25,11135381
2022-12-08,603288,81.55,80.0,81.6,79.53,6248542
2022-12-09,603288,79.76,80.2,80.58,78.06,8088168
2022-12-12,603288,79.88,79.75,80.45,78.62,4756822
2022-12-13,603288,79.99,80.46,81.16,78.58,5561386
2022-12-14,603288,80.5,81.6,81.75,79.5,5127244
2022-12-15,603288,81.41,80.12,81.42,79.45,4116539
2022-12-16,603288,80.14,80.79,80.83,79.66,4398549
2022-12-19,603288,80.78,80.08,80.98,79.8,2843963
2022-12-20,603288,79.79,77.92,80.03,77.1,4329131
2022-12-21,603288,78.78,78.26,78.93,77.84,3546517
2022-12-22,603288,78.91,78.39,79.48,77.85,3815392
2022-12-23,603288,78.15,80.57,80.98,77.2,5876073
2022-12-26,603288,80.58,79.54,82.5,79.4,3839661
2022-12-27,603288,80.46,79.68,80.78,79.42,3704416
2022-12-28,603288,80.01,80.31,80.41,79.01,5140881
2022-12-29,603288,79.71,78.83,79.99,78.0,4357813
2022-12-30,603288,78.83,79.6,80.0,78.32,4714429
2023-01-03,603288,78.96,77.69,78.96,77.0,6015230
2023-01-04,603288,77.49,77.0,77.9,77.0,3910455
2023-01-05,603288,78.54,79.96,80.49,77.13,8012377
2023-01-06,603288,79.65,79.3,79.9,78.54,5280229
2023-01-09,603288,80.59,80.23,80.87,78.64,6970392
2023-01-10,603288,80.15,80.15,80.49,79.24,5098197
2023-01-11,603288,80.15,78.9,80.4,78.8,4023231
2023-01-12,603288,79.6,79.0,79.62,78.44,3947953
2023-01-13,603288,79.05,82.31,82.31,79.0,11357773
2023-01-16,603288,82.35,85.08,86.0,82.35,9907909
2023-01-17,603288,84.78,84.5,85.0,83.85,6175526
2023-01-18,603288,84.3,83.06,84.98,82.75,6796620
2023-01-19,603288,83.06,80.65,83.18,80.11,11221570
2023-01-20,603288,80.88,79.74,81.18,79.21,8458171
2023-01-30,603288,82.92,80.29,82.92,79.8,10077112
2023-01-31,603288,81.04,79.34,81.39,79.3,6837800
2023-02-01,603288,79.38,79.24,79.76,78.31,5317469
2023-02-02,603288,79.45,79.88,79.89,78.51,6074212
2023-02-03,603288,79.22,78.59,79.35,78.0,6179180
2023-02-06,603288,77.97,78.6,78.6,77.13,4865539
2023-02-07,603288,78.98,78.13,79.01,77.9,3574772
2023-02-08,603288,78.13,77.3,78.8,77.18,4721234
2023-02-09,603288,77.17,77.82,78.08,77.02,4145276
2023-02-10,603288,77.7,77.7,77.86,77.0,4883300
2023-02-13,603288,76.87,78.87,78.91,76.87,8445889
2023-02-14,603288,78.9,78.87,79.18,78.19,3709058
2023-02-15,603288,78.8,78.05,79.05,77.71,3697746
2023-02-16,603288,78.62,78.06,79.46,77.56,6542069
2023-02-17,603288,78.01,78.3,80.0,77.82,8946524
2023-02-20,603288,78.0,79.79,80.1,77.6,6411845
2023-02-21,603288,79.79,80.6,81.1,79.48,7027322
2023-02-22,603288,80.59,80.69,81.3,80.24,5421518
2023-02-23,603288,80.69,80.47,81.95,80.08,4511482
2023-02-24,603288,80.0,79.75,80.78,79.63,4525009
2023-02-27,603288,79.38,81.56,81.75,79.31,8059682
2023-02-28,603288,81.7,82.18,82.7,81.2,6077759
2023-03-01,603288,82.0,82.2,82.57,81.67,4819963
2023-03-02,603288,81.0,81.6,82.5,81.0,3461145
2023-03-03,603288,82.6,80.88,82.7,80.81,4056716
2023-03-06,603288,80.68,80.48,80.88,79.71,4123348
2023-03-07,603288,80.1,77.8,80.29,77.7,6626662
2023-03-08,603288,77.8,77.3,77.8,77.03,4053846
2023-03-09,603288,77.35,75.22,77.71,75.12,7214671
2023-03-10,603288,74.9,75.25,75.94,74.78,4260447
2023-03-13,603288,75.39,76.66,77.13,75.39,4512070
2023-03-14,603288,76.66,75.86,77.14,75.24,3192932
2023-03-15,603288,76.98,75.1,76.99,75.03,3556533
2023-03-16,603288,75.11,75.44,75.85,74.81,2814846
2023-03-17,603288,75.75,74.77,76.73,74.5,5171182
2023-03-20,603288,74.79,74.52,75.1,73.98,3101323
2023-03-21,603288,74.99,74.8,75.46,74.55,3907145
2023-03-22,603288,75.58,75.1,75.68,74.42,4790340
