date,code,open,close,high,low,volume
2022-11-23,603383,49.5,50.2,50.2,47.9,3334147
2022-11-24,603383,49.48,47.63,49.99,47.63,2063537
2022-11-25,603383,47.4,46.69,48.18,46.5,1581318
2022-11-28,603383,46.2,45.89,48.34,45.51,2137589
2022-11-29,603383,45.52,45.28,46.0,44.86,2129601
2022-11-30,603383,45.33,44.39,45.61,43.66,2044416
2022-12-01,603383,44.9,47.53,48.36,44.35,3708291
2022-12-02,603383,46.62,46.85,48.19,46.49,2305338
2022-12-05,603383,46.61,45.9,47.3,45.43,1464870
2022-12-06,603383,45.45,44.49,46.34,44.25,2359449
2022-12-07,603383,43.95,44.0,44.8,43.7,1887942
2022-12-08,603383,43.94,43.05,44.56,42.8,2812700
2022-12-09,603383,43.1,41.31,43.6,41.31,2582540
2022-12-12,603383,41.47,42.29,42.68,40.91,2825778
2022-12-13,603383,42.67,40.46,42.67,40.35,2631468
2022-12-14,603383,40.56,40.52,41.44,40.13,2261200
2022-12-15,603383,40.0,40.19,40.88,39.8,1600084
2022-12-16,603383,39.89,39.26,40.1,39.0,2026110
2022-12-19,603383,39.32,38.61,39.6,38.13,1294149
2022-12-20,603383,38.48,38.4,39.4,38.2,1832986
2022-12-21,603383,38.53,37.73,39.08,37.32,2110771
2022-12-22,603383,38.13,37.76,38.9,37.05,1759471
2022-12-23,603383,37.46,38.92,40.32,37.27,4341262
2022-12-26,603383,38.4,40.52,41.4,38.24,4166504
2022-12-27,603383,40.98,40.3,41.13,39.9,2377391
2022-12-28,603383,39.98,39.31,40.3,39.1,2076003
2022-12-29,603383,39.63,41.84,43.24,38.8,5090087
2022-12-30,603383,42.46,43.64,44.3,41.3,5066265
2023-01-03,603383,43.33,46.7,47.97,42.72,4352689
2023-01-04,603383,46.72,47.08,47.28,45.14,3357722
2023-01-05,603383,46.44,46.42,47.34,45.4,2723340
2023-01-06,603383,46.4,47.5,51.06,45.15,6009450
2023-01-09,603383,46.98,47.38,49.04,45.3,4402740
2023-01-10,603383,47.5,49.71,49.88,46.24,4752896
2023-01-11,603383,48.85,47.22,49.0,47.01,3674247
2023-01-12,603383,47.75,47.13,48.2,46.53,2413186
2023-01-13,603383,46.96,47.7,48.46,46.55,1911850
2023-01-16,603383,48.21,48.99,52.4,47.7,5114953
2023-01-17,603383,49.21,49.6,49.8,47.8,2818074
2023-01-18,603383,49.85,52.55,53.24,48.81,3829213
2023-01-19,603383,52.55,57.0,57.79,52.12,3494758
2023-01-20,603383,55.7,53.41,56.7,53.0,2984106
2023-01-30,603383,53.49,53.99,54.5,51.81,2800005
2023-01-31,603383,53.1,49.88,53.6,49.72,4693140
