date,code,open,close,high,low,volume
2022-11-23,603392,151.56,146.95,155.55,146.66,4139524
2022-11-24,603392,148.99,149.73,152.58,148.0,2707385
2022-11-25,603392,149.73,150.44,150.6,144.0,3189225
2022-11-28,603392,146.0,148.0,154.14,145.09,3377150
2022-11-29,603392,148.0,158.99,162.5,145.2,5776300
2022-11-30,603392,157.0,162.81,164.8,155.58,5110026
2022-12-01,603392,162.82,151.99,165.59,150.0,5829202
2022-12-02,603392,153.35,152.63,154.48,150.25,2230035
2022-12-05,603392,157.0,149.72,157.15,146.66,5961271
2022-12-06,603392,150.99,137.45,151.0,135.02,11070611
2022-12-07,603392,137.88,136.83,138.75,134.88,3865377
2022-12-08,603392,139.5,139.8,142.0,137.39,4078639
2022-12-09,603392,141.3,144.48,148.4,140.5,5775505
2022-12-12,603392,145.16,140.22,145.74,140.15,3868987
2022-12-13,603392,140.01,141.99,144.5,136.0,3830745
2022-12-14,603392,140.2,137.2,140.6,136.1,3751393
2022-12-15,603392,139.0,134.05,139.63,133.51,3408742
2022-12-16,603392,133.04,134.16,136.5,133.04,2646299
2022-12-19,603392,134.3,128.6,134.3,128.29,3810724
2022-12-20,603392,128.51,128.46,130.65,127.95,2252922
2022-12-21,603392,128.57,127.0,129.49,126.58,1543211
2022-12-22,603392,127.13,125.21,128.46,124.73,1927698
2022-12-23,603392,123.02,125.14,125.58,122.0,1941460
2022-12-26,603392,124.35,123.93,125.97,123.1,1748335
2022-12-27,603392,123.85,124.49,126.95,121.28,2531530
2022-12-28,603392,124.0,125.77,126.48,123.13,2134950
2022-12-29,603392,125.04,128.0,128.59,124.48,2904767
2022-12-30,603392,128.0,126.7,129.36,125.4,2581803
2023-01-03,603392,126.38,127.95,128.71,124.5,2210819
2023-01-04,603392,128.29,125.78,128.95,125.22,1746924
2023-01-05,603392,126.87,135.39,138.0,125.8,4949602
2023-01-06,603392,135.3,135.18,137.0,133.4,1960663
2023-01-09,603392,134.37,135.02,136.89,133.08,1792079
2023-01-10,603392,135.02,136.32,138.51,133.51,2083976
2023-01-11,603392,135.7,135.26,139.38,135.08,1924989
2023-01-12,603392,135.0,133.8,136.58,133.21,1631458
2023-01-13,603392,134.38,137.41,137.99,133.76,2077087
2023-01-16,603392,137.76,141.28,144.5,137.41,3489624
