date,code,open,close,high,low,volume
2022-11-23,605358,47.5,46.98,48.1,46.24,10441739
2022-11-24,605358,47.26,46.71,47.49,46.49,6457552
2022-11-25,605358,46.5,46.18,47.39,46.16,6864276
2022-11-28,605358,45.0,45.21,46.1,44.58,6685047
2022-11-29,605358,45.26,46.16,46.44,45.26,8143735
2022-11-30,605358,46.0,46.37,46.81,45.63,6363329
2022-12-01,605358,46.88,46.64,47.67,46.57,9891901
2022-12-02,605358,46.51,47.29,47.37,46.22,7800042
2022-12-05,605358,47.7,47.87,48.04,47.27,6899880
2022-12-06,605358,47.87,49.03,49.48,47.6,12432117
2022-12-07,605358,49.03,47.92,49.04,47.85,9764008
2022-12-08,605358,47.72,47.2,48.0,47.07,7742597
2022-12-09,605358,47.7,48.95,48.95,47.3,17514273
2022-12-12,605358,48.6,49.37,49.98,48.1,16892893
2022-12-13,605358,49.09,48.57,49.6,48.51,9308109
2022-12-14,605358,49.97,48.85,50.77,48.61,15342701
2022-12-15,605358,48.7,49.37,50.1,48.05,11964654
2022-12-16,605358,49.1,48.17,49.11,48.0,9436739
2022-12-19,605358,48.14,46.28,48.14,46.07,9076982
2022-12-20,605358,46.16,45.9,47.1,45.7,7200844
2022-12-21,605358,45.91,44.26,46.36,43.93,7689389
2022-12-22,605358,44.6,43.39,44.67,43.22,6454387
2022-12-23,605358,43.0,42.24,43.35,41.86,6791125
2022-12-26,605358,42.18,43.45,43.68,42.09,5789462
2022-12-27,605358,43.45,43.86,44.05,43.1,5094456
2022-12-28,605358,43.59,43.05,43.76,42.96,4582666
2022-12-29,605358,42.95,42.86,43.44,42.8,3704583
2022-12-30,605358,43.02,42.6,43.38,42.39,3751598
2023-01-03,605358,42.5,43.2,43.36,42.02,5023180
2023-01-04,605358,43.1,42.59,43.8,42.4,6318324
2023-01-05,605358,42.68,42.81,42.97,42.24,6744307
2023-01-06,605358,42.63,43.57,44.3,42.51,11003743
2023-01-09,605358,43.4,44.06,44.66,43.4,7689045
2023-01-10,605358,43.92,44.06,44.82,43.85,7613345
2023-01-11,605358,44.06,43.55,44.8,43.43,7085338
2023-01-12,605358,43.51,43.74,43.97,43.03,4412024
2023-01-13,605358,43.74,44.0,44.0,43.44,4284671
2023-01-16,605358,43.69,44.81,45.35,43.58,9201432
2023-01-17,605358,44.7,45.98,47.17,44.7,10462651
2023-01-18,605358,46.5,46.0,46.5,45.76,5291426
2023-01-19,605358,45.81,46.96,47.1,45.72,8240608
2023-01-20,605358,46.97,47.03,47.28,46.48,5478231
2023-01-30,605358,47.6,47.69,48.34,46.81,9375611
2023-01-31,605358,47.31,46.56,47.63,46.45,7939419
2023-02-01,605358,46.66,47.28,47.69,46.6,6882270
2023-02-02,605358,47.66,47.45,48.18,47.15,10149568
2023-02-03,605358,47.15,47.55,48.0,46.69,7473542
2023-02-06,605358,47.28,46.88,47.82,46.65,6758275
2023-02-07,605358,46.99,46.69,47.27,46.5,5930034
2023-02-08,605358,46.77,46.12,47.5,46.11,7284717
2023-02-09,605358,46.07,47.93,48.1,45.81,14298697
2023-02-10,605358,47.9,47.48,48.75,47.2,10663991
2023-02-13,605358,47.35,47.63,47.92,47.0,8045117
2023-02-14,605358,47.63,47.47,48.62,47.17,8877575
2023-02-15,605358,47.43,48.25,48.3,47.14,9469285
2023-02-16,605358,48.31,46.93,48.78,46.2,14726715
2023-02-17,605358,46.63,45.04,47.1,45.0,13983573
2023-02-20,605358,45.1,45.7,45.87,44.53,8202204
2023-02-21,605358,45.52,45.85,46.39,45.34,6815219
2023-02-22,605358,45.5,45.63,46.18,45.35,4591458
2023-02-23,605358,45.59,45.41,45.9,45.22,4345189
2023-02-24,605358,45.75,45.05,45.9,44.8,5176572
2023-02-27,605358,44.77,44.18,44.95,44.04,5891787
2023-02-28,605358,44.46,44.6,44.88,43.97,4650402
2023-03-01,605358,44.57,44.82,45.02,44.38,4952459
2023-03-02,605358,44.83,44.22,45.18,44.2,5472468
2023-03-03,605358,44.76,45.17,45.27,44.35,9526488
2023-03-06,605358,45.15,45.38,45.76,44.43,8277058
2023-03-07,605358,45.08,43.95,45.37,43.87,7937123
2023-03-08,605358,43.75,44.38,44.67,43.66,4825181
2023-03-09,605358,44.49,44.92,45.56,44.39,9029642
2023-03-10,605358,44.68,46.73,47.55,44.6,23207778
2023-03-13,605358,46.35,46.98,47.1,46.13,12832568
2023-03-14,605358,46.8,49.3,49.61,46.3,34633101
2023-03-15,605358,49.4,48.52,49.97,48.35,24195713
2023-03-16,605358,48.12,47.61,49.1,47.33,16945442
2023-03-17,605358,48.1,48.17,48.72,47.38,16259834
2023-03-20,605358,48.1,49.95,50.52,47.66,26196980
2023-03-21,605358,49.51,49.5,49.9,48.85,15229971
2023-03-22,605358,49.6,49.36,49.77,48.9,11714776
2023-03-23,605358,49.18,50.81,50.87,49.07,25547050
2023-03-24,605358,50.7,50.06,50.84,49.47,16806504
2023-03-27,605358,49.9,49.3,50.66,49.25,14469561
2023-03-28,605358,48.7,47.6,48.8,47.53,15511343
2023-03-29,605358,47.69,52.36,52.36,47.52,24077793
2023-03-30,605358,53.86,53.2,55.38,52.92,57662715
2023-03-31,605358,53.53,54.48,54.49,52.74,30971028
2023-04-03,605358,54.99,58.08,58.6,54.92,43494720
2023-04-04,605358,57.21,56.98,59.77,56.52,37488838
2023-04-06,605358,56.4,58.88,60.85,56.21,43018897
2023-04-07,605358,58.93,59.07,59.67,57.5,26010761
2023-04-10,605358,59.08,55.9,59.49,55.67,29736481
2023-04-11,605358,56.3,57.07,57.57,55.71,22298173
2023-04-12,605358,56.97,56.68,57.45,55.7,20300371
2023-04-13,605358,56.0,54.68,56.65,54.49,21443157
2023-04-14,605358,55.2,59.36,59.93,53.86,42564621
2023-04-17,605358,59.43,59.11,61.12,58.2,29687625
2023-04-18,605358,58.32,57.99,58.4,56.97,19006229
2023-04-19,605358,57.71,58.8,59.92,57.71,27218260
2023-04-20,605358,58.3,60.18,60.49,57.98,29802372
2023-04-21,605358,59.5,56.56,59.5,56.0,30451920
2023-04-24,605358,54.11,50.9,55.56,50.9,32995757
2023-04-25,605358,49.8,46.3,49.92,45.81,43054668
2023-04-26,605358,46.05,45.51,46.77,45.18,22011862
2023-04-27,605358,45.0,44.81,46.5,44.56,16804791
2023-04-28,605358,45.05,46.1,46.2,44.88,15985060
2023-05-04,605358,45.39,44.19,45.86,44.1,15090437
2023-05-05,605358,44.19,43.0,44.85,42.6,13109451
2023-05-08,605358,43.0,42.43,43.3,42.2,12139261
2023-05-09,605358,42.4,41.38,42.72,41.3,14177528
2023-05-10,605358,41.01,40.13,41.43,39.6,17664008
2023-05-11,605358,40.34,39.97,40.64,39.89,9845430
2023-05-12,605358,40.1,39.14,40.4,39.12,11082489
2023-05-15,605358,38.88,39.48,39.62,38.12,14050127
2023-05-16,605358,39.45,39.68,40.26,38.85,13406798
