date,code,open,close,high,low,volume
2022-11-23,688017,107.8,106.99,107.98,103.0,2804812
2022-11-24,688017,106.68,105.84,108.98,105.16,2436317
2022-11-25,688017,106.15,103.07,106.42,102.4,2205421
2022-11-28,688017,101.0,101.84,105.66,100.22,2573350
2022-11-29,688017,104.25,99.5,104.25,99.07,3176552
2022-11-30,688017,99.88,98.99,102.69,97.66,3437281
2022-12-01,688017,100.01,101.71,105.0,100.01,3885739
2022-12-02,688017,101.98,103.85,105.86,100.47,3061248
2022-12-05,688017,106.0,102.7,106.37,100.66,2650600
2022-12-06,688017,103.0,104.99,107.57,101.95,3372240
2022-12-07,688017,105.17,105.0,108.88,103.31,3774045
2022-12-08,688017,104.14,104.0,106.8,102.5,2733187
2022-12-09,688017,103.2,104.28,106.49,102.47,2204685
2022-12-12,688017,104.96,112.0,114.2,104.95,6057748
2022-12-13,688017,109.63,102.8,112.97,102.0,4868316
2022-12-14,688017,103.13,105.0,108.96,102.81,3997637
2022-12-15,688017,105.45,112.15,113.18,103.2,5825798
2022-12-16,688017,112.8,110.04,114.93,109.3,3887940
2022-12-19,688017,108.82,106.79,112.66,105.62,2935421
2022-12-20,688017,105.6,106.47,108.97,104.8,2602560
2022-12-21,688017,106.45,102.26,107.82,101.51,2631454
2022-12-22,688017,102.64,98.4,103.0,98.01,2497894
2022-12-23,688017,97.86,93.0,98.22,90.88,3889671
2022-12-26,688017,92.7,99.34,100.46,91.15,3620304
2022-12-27,688017,100.1,100.98,102.0,98.33,1731680
2022-12-28,688017,101.01,98.45,101.01,96.1,2662053
2022-12-29,688017,97.45,98.11,101.5,97.23,1789328
2022-12-30,688017,97.98,96.78,99.88,95.93,1299102
2023-01-03,688017,95.8,100.46,101.71,95.42,2526257
2023-01-04,688017,101.19,100.55,101.88,98.73,2079696
2023-01-05,688017,100.89,110.6,111.09,99.55,5380401
2023-01-06,688017,109.0,110.0,112.45,108.43,2867734
2023-01-09,688017,110.72,109.05,112.97,108.08,2616227
2023-01-10,688017,109.48,110.64,111.49,107.55,2108409
2023-01-11,688017,110.12,106.68,112.15,106.34,2563574
2023-01-12,688017,107.8,107.4,108.45,105.6,1658441
2023-01-13,688017,107.5,106.39,107.8,104.81,1906971
2023-01-16,688017,106.03,110.53,113.0,105.5,2788879
2023-01-17,688017,110.15,113.89,116.0,110.14,2274681
2023-01-18,688017,114.54,115.32,118.0,113.0,2839543
2023-01-19,688017,114.91,119.99,121.86,113.1,3079542
2023-01-20,688017,128.0,123.8,131.49,122.0,6569279
2023-01-30,688017,123.8,124.43,127.77,122.13,3482652
2023-01-31,688017,123.93,128.83,132.04,123.5,3397629
2023-02-01,688017,129.8,129.0,130.53,126.5,2323885
2023-02-02,688017,129.0,128.51,133.68,126.6,2686732
2023-02-03,688017,126.56,129.85,130.4,125.5,2338910
2023-02-06,688017,129.6,127.7,131.0,126.88,1571987
2023-02-07,688017,127.7,153.24,153.24,127.5,8835898
2023-02-08,688017,149.0,144.39,149.9,139.01,7625135
2023-02-09,688017,141.9,149.45,153.26,140.45,4979318
2023-02-10,688017,148.0,151.97,156.6,148.0,3770003
2023-02-13,688017,150.0,148.96,151.97,145.35,2930623
2023-02-14,688017,148.9,144.27,149.0,141.3,4303829
2023-02-15,688017,142.99,144.0,145.5,141.82,2324047
2023-02-16,688017,143.5,136.45,143.5,136.0,4151439
2023-02-17,688017,136.3,133.0,136.45,132.77,2746782
2023-02-20,688017,132.48,132.59,134.33,130.01,2504597
2023-02-21,688017,134.0,134.81,139.55,132.0,3800374
2023-02-22,688017,133.0,135.22,136.97,131.81,1816490
2023-02-23,688017,134.79,137.47,137.83,131.22,2692249
2023-02-24,688017,137.0,130.02,137.0,130.02,2913280
2023-02-27,688017,124.1,130.92,132.9,121.5,4367237
2023-02-28,688017,129.45,131.38,133.26,128.1,2062691
2023-03-01,688017,131.62,133.0,133.18,129.5,1800445
2023-03-02,688017,135.69,121.85,136.0,119.2,6148866
2023-03-03,688017,120.67,121.23,123.0,119.6,2128866
2023-03-06,688017,120.0,120.58,123.48,116.29,2881363
2023-03-07,688017,121.38,120.38,124.77,120.0,2503544
2023-03-08,688017,119.54,117.88,122.0,116.88,1911005
2023-03-09,688017,118.13,117.37,121.76,117.13,1961906
2023-03-10,688017,116.2,113.66,118.0,113.66,2295195
2023-03-13,688017,113.66,115.91,117.55,112.7,2704260
2023-03-14,688017,115.09,112.0,117.0,111.18,2286097
2023-03-15,688017,114.94,115.3,121.21,114.0,3083532
2023-03-16,688017,113.5,110.32,114.96,110.0,2513661
2023-03-17,688017,110.91,112.92,114.7,110.61,2381992
2023-03-20,688017,111.89,112.76,115.34,111.11,2538217
2023-03-21,688017,113.87,116.0,117.74,111.51,2769911
2023-03-22,688017,116.0,102.8,116.67,102.7,7292593
2023-03-23,688017,102.4,101.38,105.0,99.11,5623081
2023-03-24,688017,101.0,106.93,107.33,100.66,4844912
2023-03-27,688017,108.37,115.15,121.15,108.37,8962244
2023-03-28,688017,114.8,117.88,122.0,113.5,5780871
