date,code,open,close,high,low,volume
2022-12-08,688084,79.9,88.1,101.0,78.0,11666692
2022-12-09,688084,83.88,90.05,94.0,82.92,5887307
2022-12-12,688084,88.0,97.6,99.9,84.33,4577604
2022-12-13,688084,96.5,93.82,99.0,92.01,2795158
2022-12-14,688084,94.98,98.99,101.99,93.34,2797938
2022-12-15,688084,99.0,95.8,100.74,95.8,1788795
2022-12-16,688084,95.98,90.27,96.0,88.81,2259448
2022-12-19,688084,90.0,90.6,92.33,89.43,1025097
2022-12-20,688084,90.3,92.0,92.3,87.5,1037886
2022-12-21,688084,91.0,84.86,91.22,84.86,1330271
2022-12-22,688084,84.21,82.4,85.44,80.01,1261613
2022-12-23,688084,81.5,81.68,84.0,80.61,1001459
2022-12-26,688084,82.0,85.38,86.0,81.22,965060
2022-12-27,688084,85.89,85.45,86.27,82.31,698285
2022-12-28,688084,84.07,81.4,86.77,81.21,690057
2022-12-29,688084,80.67,83.3,85.47,80.41,973061
2022-12-30,688084,84.45,82.68,84.45,81.45,733508
2023-01-03,688084,83.0,86.1,87.87,82.0,1020687
2023-01-04,688084,87.04,79.49,87.04,78.01,1806389
2023-01-05,688084,79.0,82.0,82.45,78.98,1405069
2023-01-06,688084,81.48,79.55,81.8,78.2,1533417
2023-01-09,688084,79.55,77.02,80.8,75.42,1585653
2023-01-10,688084,76.69,75.91,76.99,74.03,1563331
2023-01-11,688084,75.19,75.12,76.68,74.08,1236978
2023-01-12,688084,75.29,75.8,77.3,75.12,936387
2023-01-13,688084,75.45,74.48,75.51,74.29,473968
2023-01-16,688084,74.21,78.92,79.72,74.21,1518391
2023-01-17,688084,77.95,80.25,80.3,77.35,1025925
2023-01-18,688084,80.07,79.35,81.23,78.6,473881
2023-01-19,688084,79.36,81.33,81.98,78.86,601443
2023-01-20,688084,84.0,81.53,87.97,81.37,797614
2023-01-30,688084,81.46,82.3,84.68,81.46,719151
2023-01-31,688084,82.0,87.6,87.78,81.35,1287634
2023-02-01,688084,84.62,86.75,87.45,84.62,675243
2023-02-02,688084,88.1,88.28,89.55,86.3,894305
2023-02-03,688084,88.99,90.93,91.81,87.88,988526
2023-02-06,688084,90.8,87.68,92.56,87.17,778396
2023-02-07,688084,88.11,90.1,92.55,88.11,911141
2023-02-08,688084,89.93,87.32,91.78,87.29,532536
2023-02-09,688084,86.99,89.09,90.44,86.88,558993
2023-02-10,688084,90.09,87.3,90.3,86.9,589800
2023-02-13,688084,87.98,90.46,91.2,87.31,699347
2023-02-14,688084,90.22,89.43,90.5,87.8,439866
2023-02-15,688084,89.01,91.6,92.28,88.78,527213
2023-02-16,688084,91.17,92.5,95.44,91.17,1025828
2023-02-17,688084,93.8,89.54,93.88,89.02,668924
2023-02-20,688084,88.0,97.7,98.98,88.0,1404653
2023-02-21,688084,96.0,96.7,97.97,94.58,522357
2023-02-22,688084,97.5,95.48,97.98,94.02,544859
2023-02-23,688084,95.83,94.06,95.83,92.91,470841
2023-02-24,688084,94.35,97.87,98.48,93.19,723341
2023-02-27,688084,96.33,94.4,98.4,94.0,428655
2023-02-28,688084,91.4,92.37,95.58,91.35,915171
2023-03-01,688084,93.27,90.92,94.82,90.27,596803
2023-03-02,688084,91.27,91.0,91.65,88.58,440633
2023-03-03,688084,90.8,87.3,91.14,87.0,681392
2023-03-06,688084,87.3,87.3,89.0,86.88,348887
2023-03-07,688084,87.4,84.6,87.99,84.42,391984
2023-03-08,688084,83.97,85.49,85.99,83.96,286624
2023-03-09,688084,85.49,86.4,86.78,84.59,200424
2023-03-10,688084,85.7,84.66,87.0,83.11,465399
2023-03-13,688084,84.62,85.84,86.17,82.65,430274
2023-03-14,688084,85.11,83.45,86.12,82.35,292147
2023-03-15,688084,85.46,83.21,85.46,82.02,399232
2023-03-16,688084,83.3,81.1,83.3,80.35,491540
