date,code,open,close,high,low,volume
2022-11-23,688108,6.67,6.36,6.67,6.3,10827889
2022-11-24,688108,6.37,6.39,6.48,6.32,6245881
2022-11-25,688108,6.38,6.44,6.46,6.28,5376235
2022-11-28,688108,6.35,6.45,6.5,6.35,5221241
2022-11-29,688108,6.42,6.67,6.75,6.38,10302791
2022-11-30,688108,7.16,6.81,7.35,6.72,22394883
2022-12-01,688108,6.81,6.56,6.91,6.43,14586156
2022-12-02,688108,6.65,6.85,6.89,6.57,11961268
2022-12-05,688108,6.83,6.77,6.93,6.74,8178352
2022-12-06,688108,6.77,6.58,6.78,6.58,6139612
2022-12-07,688108,6.56,6.61,6.68,6.46,5572805
2022-12-08,688108,6.61,6.62,6.83,6.53,6388187
2022-12-09,688108,6.68,6.72,6.89,6.63,8751958
2022-12-12,688108,6.77,6.88,6.92,6.68,10560870
2022-12-13,688108,6.88,6.81,6.89,6.67,7106848
2022-12-14,688108,6.8,6.58,6.87,6.56,7431908
2022-12-15,688108,6.6,6.52,6.68,6.44,5670704
2022-12-16,688108,6.55,6.49,6.59,6.45,5268072
2022-12-19,688108,6.51,6.2,6.51,6.16,6176664
2022-12-20,688108,6.26,6.2,6.27,6.09,3827474
2022-12-21,688108,6.27,6.05,6.27,6.04,5139615
2022-12-22,688108,6.05,5.96,6.14,5.95,4494026
2022-12-23,688108,6.07,5.99,6.22,5.91,6976202
2022-12-26,688108,5.91,5.9,6.11,5.84,6167521
2022-12-27,688108,5.91,5.77,5.92,5.74,5039015
2022-12-28,688108,5.82,5.7,5.84,5.68,3481095
2022-12-29,688108,5.75,5.7,5.79,5.63,4054749
2022-12-30,688108,5.7,5.71,5.85,5.68,4282874
2023-01-03,688108,5.73,5.87,5.89,5.7,4246169
2023-01-04,688108,5.88,5.91,5.96,5.84,3808917
2023-01-05,688108,5.96,5.88,5.96,5.82,3804612
2023-01-06,688108,5.91,5.83,5.91,5.78,5315044
2023-01-09,688108,5.86,5.91,5.94,5.8,4623942
2023-01-10,688108,5.9,5.92,5.96,5.82,3498683
2023-01-11,688108,5.92,5.85,5.95,5.85,3631091
2023-01-12,688108,5.81,5.83,5.86,5.75,4122335
2023-01-13,688108,5.85,5.81,5.86,5.72,3645931
2023-01-16,688108,5.82,6.02,6.16,5.78,7133555
2023-01-17,688108,6.02,5.93,6.1,5.9,4573585
2023-01-18,688108,5.93,5.96,5.99,5.89,3164811
2023-01-19,688108,5.97,6.05,6.08,5.92,3554931
2023-01-20,688108,6.07,6.16,6.23,6.07,5185888
2023-01-30,688108,6.26,6.22,6.34,6.19,8706263
2023-01-31,688108,6.2,6.07,6.21,6.01,5107629
2023-02-01,688108,6.07,6.18,6.19,6.05,4205396
2023-02-02,688108,6.17,6.27,6.3,6.17,4680685
2023-02-03,688108,6.29,6.31,6.36,6.19,5049015
2023-02-06,688108,6.31,6.33,6.44,6.28,4130143
2023-02-07,688108,6.4,6.27,6.4,6.21,4838736
