date,code,open,close,high,low,volume
2022-11-09,688126,20.12,20.06,20.45,20.02,6614764
2022-11-10,688126,20.12,19.57,20.2,19.55,10937777
2022-11-11,688126,20.09,19.76,20.26,19.75,8615166
2022-11-14,688126,20.05,20.15,20.45,19.67,10708942
2022-11-15,688126,19.98,20.86,20.94,19.98,14964628
2022-11-16,688126,20.85,20.89,21.08,20.7,10686674
2022-11-17,688126,20.76,21.46,21.63,20.5,14748305
2022-11-18,688126,21.4,20.61,21.7,20.61,11722449
2022-11-21,688126,20.4,20.45,20.96,20.3,6885446
2022-11-22,688126,20.5,20.3,20.81,20.23,6884545
2022-11-23,688126,20.32,20.31,20.5,19.98,6018751
2022-11-24,688126,20.26,19.89,20.6,19.82,7452220
2022-11-25,688126,19.81,19.7,20.24,19.66,6032653
2022-11-28,688126,19.41,19.15,19.85,19.07,9081714
2022-11-29,688126,19.3,19.42,19.43,18.92,9036909
2022-11-30,688126,19.31,19.26,19.47,18.95,7134636
2022-12-01,688126,19.32,19.08,19.74,18.94,14093686
2022-12-02,688126,19.08,19.26,19.42,18.95,7912644
2022-12-05,688126,19.39,19.85,20.03,19.28,11525872
2022-12-06,688126,19.86,20.7,20.84,19.75,16595978
2022-12-07,688126,20.45,20.5,20.62,20.36,8977369
2022-12-08,688126,20.36,19.89,20.62,19.85,10957046
2022-12-09,688126,19.99,19.48,20.07,19.28,29665671
2022-12-12,688126,19.52,19.73,19.79,19.15,14060267
2022-12-13,688126,19.67,19.52,19.85,19.5,7988406
2022-12-14,688126,20.01,19.69,20.34,19.56,11419319
2022-12-15,688126,19.5,19.78,19.98,19.5,8888893
2022-12-16,688126,19.61,19.26,19.77,19.13,11715370
2022-12-19,688126,19.27,18.55,19.39,18.5,9220053
2022-12-20,688126,18.55,18.24,18.75,18.23,7259782
2022-12-21,688126,18.24,17.85,18.35,17.56,9555064
2022-12-22,688126,17.9,17.57,18.06,17.56,4525112
2022-12-23,688126,17.41,17.39,17.67,17.06,6525558
2022-12-26,688126,17.48,17.79,18.0,17.42,7484912
2022-12-27,688126,18.0,17.86,18.16,17.67,5905014
2022-12-28,688126,17.81,17.5,17.9,17.5,7320192
2022-12-29,688126,17.51,17.48,17.77,17.48,6911605
2022-12-30,688126,17.66,17.61,17.87,17.55,5691963
2023-01-03,688126,17.64,17.83,17.89,17.35,7355880
2023-01-04,688126,17.87,17.77,18.15,17.66,9361699
2023-01-05,688126,17.65,17.89,18.02,17.65,6646779
2023-01-06,688126,17.9,17.97,18.24,17.8,8230086
2023-01-09,688126,17.9,18.16,18.23,17.9,6219573
2023-01-10,688126,18.07,18.15,18.4,18.05,6936046
2023-01-11,688126,18.15,17.87,18.33,17.85,6903894
2023-01-12,688126,17.91,17.71,17.98,17.64,4291020
2023-01-13,688126,17.76,17.84,17.87,17.62,4390871
2023-01-16,688126,17.67,18.28,18.41,17.67,9360814
2023-01-17,688126,18.37,18.61,18.84,18.21,7905401
2023-01-18,688126,18.74,18.57,18.74,18.45,4514830
2023-01-19,688126,18.5,18.84,18.9,18.42,7142701
2023-01-20,688126,19.5,19.3,19.58,19.11,9538587
2023-01-30,688126,19.56,20.88,21.19,19.56,28818539
2023-01-31,688126,20.99,20.88,21.03,20.43,14188712
2023-02-01,688126,20.88,21.28,21.35,20.83,13318354
2023-02-02,688126,21.25,20.88,21.35,20.8,13920792
2023-02-03,688126,20.74,20.98,21.1,20.71,11678820
2023-02-06,688126,20.73,20.41,21.11,20.29,15703143
2023-02-07,688126,20.6,20.68,20.72,20.4,9134021
2023-02-08,688126,20.6,20.4,20.86,20.37,5962022
2023-02-09,688126,20.34,21.0,21.09,20.33,12847250
2023-02-10,688126,20.8,20.94,21.15,20.76,9048520
2023-02-13,688126,20.94,21.11,21.26,20.84,11857387
2023-02-14,688126,21.05,20.98,21.6,20.9,10137825
2023-02-15,688126,20.93,21.38,21.7,20.9,12888586
2023-02-16,688126,21.4,20.88,21.58,20.74,11696201
2023-02-17,688126,20.8,20.63,21.29,20.62,10830255
2023-02-20,688126,20.6,20.66,20.74,20.3,9846417
2023-02-21,688126,20.68,20.43,20.78,20.31,7641460
2023-02-22,688126,20.25,20.26,20.47,20.05,6352763
2023-02-23,688126,20.15,20.03,20.3,19.91,6006714
2023-02-24,688126,20.2,20.14,20.44,20.11,6161291
2023-02-27,688126,20.15,19.7,20.2,19.61,8834477
2023-02-28,688126,19.82,20.09,20.23,19.8,7827825
2023-03-01,688126,20.0,20.18,20.28,19.98,7145809
2023-03-02,688126,20.31,20.09,20.4,20.02,7366473
2023-03-03,688126,20.4,20.38,20.58,20.1,11131977
2023-03-06,688126,20.3,20.5,20.59,19.97,10018061
2023-03-07,688126,20.51,20.02,20.65,20.02,7932897
2023-03-08,688126,19.91,20.29,20.46,19.82,6182120
2023-03-09,688126,20.25,20.59,20.78,20.25,11047383
2023-03-10,688126,20.59,21.97,23.32,20.45,48101748
2023-03-13,688126,21.92,21.55,22.07,21.25,33400137
2023-03-14,688126,21.7,23.26,23.46,21.45,66253954
2023-03-15,688126,23.05,22.88,23.69,22.6,44845936
2023-03-16,688126,22.65,22.86,23.4,22.6,29981639
2023-03-17,688126,23.35,23.19,23.5,22.36,42287093
2023-03-20,688126,22.92,23.17,24.29,22.66,45440824
2023-03-21,688126,22.93,23.0,23.48,22.68,27584935
2023-03-22,688126,23.03,23.38,23.44,22.75,26348109
2023-03-23,688126,23.38,23.41,23.44,22.83,38765761
2023-03-24,688126,23.4,22.7,23.4,22.51,34042524
2023-03-27,688126,22.45,22.51,23.1,22.22,28824505
2023-03-28,688126,22.6,22.09,22.68,22.09,18499348
2023-03-29,688126,22.25,23.13,23.45,22.02,40793497
2023-03-30,688126,23.16,22.88,23.56,22.47,28015283
2023-03-31,688126,23.02,23.39,23.52,22.98,31478936
2023-04-03,688126,23.78,24.39,24.95,23.19,63872635
2023-04-04,688126,24.51,24.06,25.04,23.93,64671670
2023-04-06,688126,23.88,24.69,25.76,23.81,68389806
2023-04-07,688126,24.75,24.3,25.18,23.96,45175377
2023-04-10,688126,24.9,23.47,24.99,23.3,47158199
2023-04-11,688126,23.36,22.97,23.78,22.49,39785471
2023-04-12,688126,22.77,23.63,24.09,22.6,39202212
2023-04-13,688126,23.28,22.71,23.57,22.7,29528169
2023-04-14,688126,22.9,24.26,24.8,22.52,57015352
2023-04-17,688126,24.27,24.42,25.31,24.19,52108602
2023-04-18,688126,24.39,23.77,24.39,23.41,34735411
2023-04-19,688126,23.73,23.37,24.17,23.26,38599134
2023-04-20,688126,23.19,24.96,25.21,23.17,72736384
2023-04-21,688126,25.0,25.19,26.33,24.18,93273339
2023-04-24,688126,25.24,23.76,26.3,23.45,85774778
2023-04-25,688126,23.77,22.5,23.96,22.42,56905494
2023-04-26,688126,22.32,21.65,23.1,21.5,45669768
2023-04-27,688126,21.6,22.06,22.51,21.6,27966408
2023-04-28,688126,22.7,23.82,25.66,22.7,84133996
2023-05-04,688126,23.5,23.93,24.56,23.47,42224135
2023-05-05,688126,23.75,22.8,24.24,22.62,42764145
2023-05-08,688126,22.62,22.73,23.09,22.16,29384248
2023-05-09,688126,22.63,22.54,23.49,22.52,36692705
2023-05-10,688126,22.6,21.87,22.79,21.6,32167914
