date,code,open,close,high,low,volume
2022-11-23,688185,223.02,205.19,226.3,201.61,7861447
2022-11-24,688185,206.08,210.22,213.38,206.0,3996311
2022-11-25,688185,212.89,218.6,228.83,202.0,6888540
2022-11-28,688185,210.0,214.0,222.0,208.5,4931750
2022-11-29,688185,211.16,239.87,251.0,210.33,8494550
2022-11-30,688185,227.0,223.44,236.0,223.44,7045023
2022-12-01,688185,225.0,204.0,228.0,202.0,7951973
2022-12-02,688185,204.79,205.01,211.5,202.0,4569921
2022-12-05,688185,203.0,186.88,207.0,186.8,6486735
2022-12-06,688185,187.84,180.8,191.0,177.2,5855545
2022-12-07,688185,180.88,182.6,187.0,175.31,4600772
2022-12-08,688185,185.19,183.33,186.88,179.31,4279557
2022-12-09,688185,186.33,191.74,195.33,181.5,6571973
2022-12-12,688185,191.69,190.5,198.68,188.9,4625170
2022-12-13,688185,190.0,185.7,193.6,178.5,5445960
2022-12-14,688185,182.91,201.49,207.56,177.11,11189332
2022-12-15,688185,202.36,195.41,206.0,194.0,6472017
2022-12-16,688185,195.41,195.0,200.97,191.0,4978710
2022-12-19,688185,190.72,174.7,190.87,174.0,5670732
2022-12-20,688185,174.92,175.77,180.88,174.71,2885717
2022-12-21,688185,173.71,171.1,177.5,170.99,2518544
2022-12-22,688185,171.78,163.64,171.98,162.95,3664944
2022-12-23,688185,163.55,162.59,167.32,162.07,2360627
2022-12-26,688185,161.5,155.9,163.78,155.89,3667684
2022-12-27,688185,151.73,148.02,152.99,143.34,4701165
2022-12-28,688185,149.92,147.51,150.99,146.24,2890694
2022-12-29,688185,149.58,152.04,161.0,149.03,4827793
2022-12-30,688185,152.35,146.02,153.27,145.96,3293630
2023-01-03,688185,145.6,146.77,148.49,144.5,2255431
2023-01-04,688185,148.23,145.09,148.23,144.18,2279242
2023-01-05,688185,146.77,148.21,149.6,143.5,3007777
2023-01-06,688185,152.48,149.71,156.78,148.84,4303009
2023-01-09,688185,151.0,149.06,151.68,147.84,2570114
2023-01-10,688185,149.06,152.08,154.55,145.35,3130867
2023-01-11,688185,151.0,151.1,155.44,150.56,2604778
2023-01-12,688185,152.0,147.7,152.0,146.0,2305424
2023-01-13,688185,148.8,149.03,149.86,146.76,1691400
2023-01-16,688185,149.03,152.97,154.9,148.5,3214136
2023-01-17,688185,154.68,150.0,154.68,149.3,2028964
2023-01-18,688185,150.08,147.01,150.53,147.01,1517576
2023-01-19,688185,146.73,147.4,149.25,144.6,1853211
2023-01-20,688185,147.99,146.71,149.68,146.26,1620357
2023-01-30,688185,146.9,142.86,147.5,142.41,2946340
2023-01-31,688185,139.0,131.41,139.26,130.6,4725228
