date,code,open,close,high,low,volume
2022-11-23,688256,65.9,64.54,66.24,64.2,2207471.0
2022-11-24,688256,64.95,63.65,65.77,63.55,1597120.0
2022-11-25,688256,63.48,63.45,64.53,63.12,1322825.0
2022-11-28,688256,62.06,62.25,63.45,61.68,1547998.0
2022-11-29,688256,62.57,64.19,64.66,62.57,1746706.0
2022-11-30,688256,64.17,63.42,64.74,63.21,2895119.0
2022-12-01,688256,64.6,64.92,65.75,64.01,1984623.0
2022-12-02,688256,65.43,66.0,66.17,64.61,1722561.0
2022-12-05,688256,66.6,66.49,67.49,65.62,1782066.0
2022-12-06,688256,66.5,67.59,68.21,66.0,2322638.0
2022-12-07,688256,67.34,67.06,67.78,66.88,1369081.0
2022-12-08,688256,66.9,65.22,67.06,65.03,1857025.0
2022-12-09,688256,65.07,65.71,66.66,64.88,2370533.0
2022-12-12,688256,65.88,67.11,67.9,65.5,2384383.0
2022-12-13,688256,67.16,66.87,67.4,66.36,1425180.0
2022-12-14,688256,69.99,66.81,70.05,66.81,2487509.0
2022-12-15,688256,67.0,67.48,68.4,65.71,1862162.0
2022-12-16,688256,64.95,63.98,65.4,61.49,4784661.0
2022-12-19,688256,63.06,60.3,63.46,60.1,3731411.0
2022-12-20,688256,60.35,59.9,61.35,59.43,1887743.0
2022-12-21,688256,59.89,58.53,60.34,58.23,1772879.0
2022-12-22,688256,58.94,57.19,59.4,56.88,1738063.0
2022-12-23,688256,56.79,56.47,57.5,55.9,1790642.0
2022-12-26,688256,56.48,57.14,57.75,56.48,1808619.0
2022-12-27,688256,57.0,57.17,57.49,56.31,1672861.0
2022-12-28,688256,57.0,55.88,57.17,55.68,1321209.0
2022-12-29,688256,55.9,55.6,56.47,55.6,1319469.0
2022-12-30,688256,56.37,54.56,56.37,54.5,2087202.0
2023-01-03,688256,54.51,56.78,57.34,54.15,2049104.0
2023-01-04,688256,57.23,56.94,58.08,56.33,1556703.0
2023-01-05,688256,56.88,56.8,57.22,55.8,1615095.0
2023-01-06,688256,56.98,56.65,57.54,56.02,1708176.0
2023-01-09,688256,56.83,56.89,57.6,56.6,1416688.0
2023-01-10,688256,56.89,57.14,58.16,56.89,1914714.0
2023-01-11,688256,57.17,56.37,58.0,56.25,1672659.0
2023-01-12,688256,56.19,55.73,56.68,55.3,1823372.0
2023-01-13,688256,56.26,56.09,56.26,55.51,1198055.0
2023-01-16,688256,55.99,57.79,58.5,55.83,2754769.0
2023-01-17,688256,57.99,58.05,59.42,57.52,2068939.0
2023-01-18,688256,58.55,58.5,59.17,58.04,1638655.0
2023-01-19,688256,58.1,61.0,61.0,58.07,2893483.0
2023-01-20,688256,61.02,61.03,61.63,60.51,1846164.0
2023-01-30,688256,65.5,64.31,65.98,63.56,5090146.0
2023-01-31,688256,64.0,62.1,64.78,61.88,2841052.0
2023-02-01,688256,62.0,64.74,65.98,62.0,4408074.0
2023-02-02,688256,66.0,69.9,74.69,65.71,9285172.0
2023-02-03,688256,69.88,71.11,72.78,69.84,8169512.0
2023-02-06,688256,73.1,72.84,74.96,71.05,10526794.0
2023-02-07,688256,71.31,75.7,80.88,71.31,15126771.0
2023-02-08,688256,78.0,74.8,82.3,74.8,13914428.0
2023-02-09,688256,73.21,79.07,80.0,72.55,14811369.0
2023-02-10,688256,78.4,79.11,83.63,77.7,13806028.0
2023-02-13,688256,79.0,87.5,91.5,78.0,15939997.0
2023-02-14,688256,87.5,85.48,89.58,83.69,11115825.0
2023-02-15,688256,85.8,89.1,90.87,83.0,15361550.0
2023-02-16,688256,86.8,80.5,88.29,80.08,14412638.0
2023-02-17,688256,80.81,80.0,82.42,78.23,9171375.0
2023-02-20,688256,80.8,82.45,83.4,78.59,7455271.0
2023-02-21,688256,82.6,85.3,87.95,82.0,8915286.0
2023-02-22,688256,83.08,84.4,86.33,82.77,5762387.0
2023-02-23,688256,84.9,83.22,86.25,82.05,6672789.0
2023-02-24,688256,86.5,87.93,89.28,85.3,10624702.0
2023-02-27,688256,86.71,85.17,88.99,84.3,7500391.0
2023-02-28,688256,85.25,83.97,87.44,81.91,7300523.0
2023-03-01,688256,83.59,90.6,92.55,83.1,12939481.0
2023-03-02,688256,89.5,91.5,92.68,89.02,8924913.0
2023-03-03,688256,95.99,93.71,99.5,92.26,10063730.0
2023-03-06,688256,92.12,91.23,94.45,90.2,6569446.0
2023-03-07,688256,91.0,87.88,91.88,86.94,6979707.0
2023-03-08,688256,89.87,90.01,91.68,87.88,6269025.0
2023-03-09,688256,90.1,90.6,93.58,89.6,4682598.0
2023-03-10,688256,90.46,91.98,95.8,89.6,8259867.0
2023-03-13,688256,90.38,95.78,96.69,90.15,7142219.0
2023-03-14,688256,95.85,102.89,105.0,95.3,12776811.0
2023-03-15,688256,102.0,103.98,106.19,101.95,9368586.0
2023-03-16,688256,104.98,102.44,106.08,99.59,10759426.0
2023-03-17,688256,102.65,122.93,122.93,102.0,22253439.0
2023-03-20,688256,124.0,135.0,137.69,122.15,19994422.0
2023-03-21,688256,133.25,136.8,137.5,130.48,12341805.0
2023-03-22,688256,134.96,160.15,164.16,133.0,20374958.0
2023-03-23,688256,162.62,167.0,178.88,159.85,20270948.0
2023-03-24,688256,167.01,183.0,185.18,163.01,19889311.0
2023-03-27,688256,178.0,186.39,188.88,172.0,19097184.0
2023-03-28,688256,179.94,172.0,180.5,170.3,15609484.0
2023-03-29,688256,174.46,172.0,184.65,168.8,21674823.0
2023-03-30,688256,172.64,176.1,181.6,170.0,20671037.0
2023-03-31,688256,170.81,185.95,191.76,165.23,20298252.0
2023-04-03,688256,188.88,211.0,217.0,184.0,21196597.0
2023-04-04,688256,206.0,215.51,226.53,202.3,16494106.0
2023-04-06,688256,212.0,208.0,230.98,203.03,15662831.0
2023-04-07,688256,209.45,225.5,225.62,207.0,12796932.0
2023-04-10,688256,225.5,207.59,225.51,200.01,18501308.0
2023-04-11,688256,205.67,201.5,213.6,187.51,18413454.0
2023-04-12,688256,193.0,206.0,213.68,192.0,15207871.0
2023-04-13,688256,201.02,188.0,207.55,185.9,17134022.0
2023-04-14,688256,190.01,195.0,197.71,183.89,13834771.0
2023-04-17,688256,191.39,196.8,199.19,187.0,12486326.0
2023-04-18,688256,194.0,195.78,201.33,185.55,12696053.0
2023-04-19,688256,204.5,221.8,223.28,204.5,21573299.0
2023-04-20,688256,230.06,266.16,266.16,230.06,19964291.0
2023-04-21,688256,271.4,248.0,271.47,243.0,18946064.0
2023-04-24,688256,246.0,243.0,248.0,228.88,16347103.0
2023-04-25,688256,242.0,248.0,264.88,237.16,17411621.0
2023-04-26,688256,250.0,238.0,255.8,225.8,14446499.0
2023-04-27,688256,235.01,230.75,246.0,217.78,13813564.0
2023-04-28,688256,228.1,249.5,252.5,225.8,14608544.0
2023-05-04,688256,244.5,232.8,245.48,224.04,11748565.0
2023-05-05,688256,228.88,207.98,240.5,200.73,19630070.0
2023-05-08,688256,203.0,208.39,215.01,199.0,10836641.0
2023-05-09,688256,208.16,211.4,218.3,204.11,11252281.0
2023-05-10,688256,206.03,199.08,212.93,191.41,13808054.0
2023-05-11,688256,201.62,196.02,205.6,196.0,8215291.0
2023-05-12,688256,195.97,196.0,204.5,192.11,7502785.0
2023-05-15,688256,200.0,188.45,201.58,177.0,17714570.0
2023-05-16,688256,191.08,184.51,193.0,183.33,10261854.0
2023-05-17,688256,184.0,187.54,192.66,183.82,8012193.0
2023-05-18,688256,192.22,196.81,204.5,188.0,16393375.0
2023-05-19,688256,205.9,195.3,213.8,193.92,13846796.0
2023-05-22,688256,189.14,188.65,201.89,186.0,9489520.0
2023-05-23,688256,187.84,184.11,190.98,183.36,8268614.0
2023-05-24,688256,183.92,182.0,188.55,175.05,10485434.0
2023-05-25,688256,195.0,194.5,203.0,184.17,16082814.0
2023-05-26,688256,194.0,224.0,233.4,193.03,19349292.0
2023-05-29,688256,225.99,219.6,232.58,218.4,15087680.0
2023-05-30,688256,218.08,234.8,239.8,214.11,12165497.0
2023-05-31,688256,233.45,254.19,254.19,227.0,14570182.0
2023-06-01,688256,248.0,237.01,259.24,237.0,12185998.0
2023-06-02,688256,241.0,228.7,244.58,224.84,11829555.0
2023-06-05,688256,227.7,230.32,235.24,225.0,8976525.0
